23623985,Jan/07/2017 15:50,y_shindoh,63C - Bulls and Cows,GNU C++11,Accepted,30 ms,1800 KB,2017-01-07 15:50:00
311061,Feb/28/2011 19:42,* Mi_Sawa,63C - Bulls and Cows,Ruby,Accepted,360 ms,5600 KB,2011-02-28 19:42:00
35978488,Mar/06/2018 02:21,HeshamAli,63C - Bulls and Cows,GNU C++11,Accepted,124 ms,2100 KB,2018-03-06 02:21:00
339438,Mar/17/2011 20:44,vlad107,63C - Bulls and Cows,FPC,Accepted,30 ms,1500 KB,2011-03-17 20:44:00
311987,Feb/28/2011 20:44,000golabi,63C - Bulls and Cows,MS C++,Accepted,30 ms,1300 KB,2011-02-28 20:44:00
554841,Jul/22/2011 12:52,vjudge3,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-07-22 12:52:00
311569,Feb/28/2011 20:11,krhgg,63C - Bulls and Cows,MS C++,Accepted,30 ms,1400 KB,2011-02-28 20:11:00
41108360,Aug/02/2018 08:32,vjudge4,63C - Bulls and Cows,GNU C++,Accepted,62 ms,0 KB,2018-08-02 08:32:00
322564,Mar/06/2011 17:09,Psilocybe,63C - Bulls and Cows,MS C++,Accepted,30 ms,1700 KB,2011-03-06 17:09:00
1203387,Feb/19/2012 12:14,vjudge1,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2012-02-19 12:14:00
520631,Jun/30/2011 20:32,gx_wind,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-06-30 20:32:00
8070975,Oct/03/2014 20:57,Man,63C - Bulls and Cows,GNU C++0x,Accepted,62 ms,200 KB,2014-10-03 20:57:00
313345,Mar/01/2011 17:09,ekrilov92,63C - Bulls and Cows,MS C++,Accepted,50 ms,1500 KB,2011-03-01 17:09:00
1203992,Feb/19/2012 16:54,vjudge3,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2012-02-19 16:54:00
1203259,Feb/19/2012 11:37,vjudge5,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2012-02-19 11:37:00
32438195,Nov/18/2017 21:15,softmax1,63C - Bulls and Cows,GNU C++11,Accepted,30 ms,1800 KB,2017-11-18 21:15:00
311163,Feb/28/2011 19:47,* none,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-02-28 19:47:00
1976764,Aug/04/2012 17:51,suminos,63C - Bulls and Cows,GNU C++,Accepted,90 ms,1400 KB,2012-08-04 17:51:00
34475862,Jan/23/2018 12:13,Nahla_Galal,63C - Bulls and Cows,GNU C++14,Accepted,30 ms,1900 KB,2018-01-23 12:13:00
41108575,Aug/02/2018 08:38,vjudge4,63C - Bulls and Cows,GNU C++,Accepted,62 ms,0 KB,2018-08-02 08:38:00
41274422,Aug/06/2018 15:24,vjudge2,63C - Bulls and Cows,GNU C++,Accepted,62 ms,0 KB,2018-08-06 15:24:00
554404,Jul/22/2011 11:02,vjudge1,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-07-22 11:02:00
315561,Mar/05/2011 03:11,Woodpecker,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-03-05 03:11:00
24580877,Feb/11/2017 05:34,lzr_010506#,63C - Bulls and Cows,GNU C++,Accepted,30 ms,2000 KB,2017-02-11 05:34:00
310809,Feb/28/2011 19:33,suneast,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-02-28 19:33:00
313442,Mar/01/2011 18:27,Georgievbg,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-03-01 18:27:00
24440603,Feb/04/2017 22:50,abdulla.ashraf,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,2200 KB,2017-02-04 22:50:00
59227481,Aug/21/2019 17:16,Protego_totalum,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,100 KB,2019-08-21 17:16:00
554475,Jul/22/2011 11:18,vjudge5,63C - Bulls and Cows,GNU C++,Accepted,60 ms,1400 KB,2011-07-22 11:18:00
312528,Feb/28/2011 22:17,00000,63C - Bulls and Cows,FPC,Accepted,30 ms,1200 KB,2011-02-28 22:17:00
312531,Feb/28/2011 22:18,Petrushenko,63C - Bulls and Cows,FPC,Accepted,30 ms,1200 KB,2011-02-28 22:18:00
22568904,Nov/28/2016 11:32,hieptk,63C - Bulls and Cows,GNU C++,Accepted,62 ms,0 KB,2016-11-28 11:32:00
77364666,Apr/20/2020 16:27,AKY,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,46600 KB,2020-04-20 16:27:00
46899877,Dec/11/2018 14:25,265918,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,0 KB,2018-12-11 14:25:00
64163719,Nov/03/2019 18:28,Mai-sanBestWaifu,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,200 KB,2019-11-03 18:28:00
52788071,Apr/15/2019 18:43,mahmoud_aboeleneen,63C - Bulls and Cows,GNU C++17,Accepted,62 ms,100 KB,2019-04-15 18:43:00
38472149,May/21/2018 04:10,RNS_MHB,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,0 KB,2018-05-21 04:10:00
554373,Jul/22/2011 10:57,vjudge5,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-07-22 10:57:00
39819940,Jul/01/2018 14:33,Princ_iple,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,0 KB,2018-07-01 14:33:00
21200779,Oct/05/2016 07:28,LSY_is_retired#,63C - Bulls and Cows,GNU C++11,Accepted,30 ms,0 KB,2016-10-05 07:28:00
74896295,Mar/31/2020 10:29,mad_i,63C - Bulls and Cows,GNU C++17,Accepted,62 ms,300 KB,2020-03-31 10:29:00
35807735,Mar/01/2018 12:58,MaghrabyZ,63C - Bulls and Cows,GNU C++14,Accepted,30 ms,1900 KB,2018-03-01 12:58:00
74896373,Mar/31/2020 10:31,mad_i,63C - Bulls and Cows,GNU C++17,Accepted,62 ms,0 KB,2020-03-31 10:31:00
311050,Feb/28/2011 19:42,* KrK,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-02-28 19:42:00
23613123,Jan/07/2017 00:16,Ali.Pi,63C - Bulls and Cows,GNU C++14,Accepted,60 ms,1900 KB,2017-01-07 00:16:00
603747,Aug/12/2011 12:36,aminabedi,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-08-12 12:36:00
443314,May/09/2011 01:23,renzo1805,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-05-09 01:23:00
41109153,Aug/02/2018 08:57,vjudge5,63C - Bulls and Cows,GNU C++,Accepted,62 ms,300 KB,2018-08-02 08:57:00
41115254,Aug/02/2018 11:41,vjudge4,63C - Bulls and Cows,GNU C++17,Accepted,62 ms,300 KB,2018-08-02 11:41:00
69212904,Jan/21/2020 00:13,GrimReaper42,63C - Bulls and Cows,GNU C++17,Accepted,92 ms,0 KB,2020-01-21 00:13:00
8078525,Oct/04/2014 18:21,vjudge2,63C - Bulls and Cows,GNU C++,Accepted,92 ms,0 KB,2014-10-04 18:21:00
310684,Feb/28/2011 19:29,safeasmilk,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-02-28 19:29:00
41111732,Aug/02/2018 10:06,vjudge2,63C - Bulls and Cows,GNU C++,Accepted,62 ms,300 KB,2018-08-02 10:06:00
310691,Feb/28/2011 19:30,baf585d,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-02-28 19:30:00
311628,Feb/28/2011 20:15,CKhye,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-02-28 20:15:00
554571,Jul/22/2011 11:43,vjudge3,63C - Bulls and Cows,GNU C++,Accepted,830 ms,1400 KB,2011-07-22 11:43:00
33197649,Dec/13/2017 01:32,HanTroid,63C - Bulls and Cows,GNU C++11,Accepted,186 ms,2400 KB,2017-12-13 01:32:00
45480441,Nov/09/2018 17:32,CiroR,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,0 KB,2018-11-09 17:32:00
77438216,Apr/21/2020 09:56,candidatemaster1,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,0 KB,2020-04-21 09:56:00
