11497503,Jun/08/2015 15:15,zentorwie,314C - Sereja and Subsequences,GNU C++11,Accepted,156 ms,8200 KB,2015-06-08 15:15:00
16621961,Mar/09/2016 21:01,antea.hadviger,315E - Sereja and Subsequences,GNU C++,Accepted,124 ms,3700 KB,2016-03-09 21:01:00
36276372,Mar/14/2018 16:01,bert30702,314C - Sereja and Subsequences,GNU C++14,Accepted,374 ms,17500 KB,2018-03-14 16:01:00
12741822,Aug/29/2015 13:21,alex20030190,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,7800 KB,2015-08-29 13:21:00
11171295,May/20/2015 04:46,pacu,314C - Sereja and Subsequences,MS C++,Accepted,248 ms,8200 KB,2015-05-20 04:46:00
4450977,Sep/13/2013 13:46,Ruthles#,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,7800 KB,2013-09-13 13:46:00
12570732,Aug/17/2015 09:15,vjudge1,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,15700 KB,2015-08-17 09:15:00
27278207,May/22/2017 09:37,secundus,314C - Sereja and Subsequences,GNU C++,Accepted,436 ms,16400 KB,2017-05-22 09:37:00
50078478,Feb/18/2019 04:20,Jonothor_Darry,314C - Sereja and Subsequences,GNU C++11,Accepted,124 ms,16600 KB,2019-02-18 04:20:00
39731929,Jun/28/2018 06:53,Fouru,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,7800 KB,2018-06-28 06:53:00
3843964,Jun/07/2013 23:38,problem-solved,314C - Sereja and Subsequences,GNU C++,Accepted,62 ms,3900 KB,2013-06-07 23:38:00
4217450,Aug/02/2013 16:55,Mobinteymoori,314C - Sereja and Subsequences,GNU C++,Accepted,186 ms,15700 KB,2013-08-02 16:55:00
57462193,Jul/21/2019 17:07,Jabaiy_Mysyq,314C - Sereja and Subsequences,GNU C++11,Accepted,374 ms,15700 KB,2019-07-21 17:07:00
3847486,Jun/08/2013 18:27,Omelianenko,315E - Sereja and Subsequences,FPC,Accepted,93 ms,15700 KB,2013-06-08 18:27:00
3847490,Jun/08/2013 18:28,Omelianenko,314C - Sereja and Subsequences,FPC,Accepted,93 ms,15700 KB,2013-06-08 18:28:00
74094006,Mar/23/2020 18:32,iShibly,314C - Sereja and Subsequences,GNU C++14,Accepted,122 ms,15700 KB,2020-03-23 18:32:00
5611760,Jan/03/2014 21:41,fwm94,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,15700 KB,2014-01-03 21:41:00
4303653,Aug/17/2013 17:10,823046544,314C - Sereja and Subsequences,FPC,Accepted,124 ms,23500 KB,2013-08-17 17:10:00
3852179,Jun/10/2013 02:30,carvajal,314C - Sereja and Subsequences,Python 2,Accepted,1531 ms,9700 KB,2013-06-10 02:30:00
3841325,Jun/07/2013 21:18,phtniit,314C - Sereja and Subsequences,GNU C++,Accepted,62 ms,9400 KB,2013-06-07 21:18:00
14585825,Dec/01/2015 18:04,hsnprsd,315E - Sereja and Subsequences,GNU C++11,Accepted,218 ms,8600 KB,2015-12-01 18:04:00
41397051,Aug/09/2018 14:42,nqiiii,314C - Sereja and Subsequences,GNU C++14,Accepted,92 ms,8100 KB,2018-08-09 14:42:00
