4158074,Jul/24/2013 22:15,Akigeor,332C - Students' Revenge,GNU C++,Accepted,609 ms,2400 KB,2013-07-24 22:15:00
60215515,Sep/07/2019 14:42,vjudge1,332C - Students' Revenge,GNU C++11,Accepted,186 ms,3000 KB,2019-09-07 14:42:00
62541566,Oct/14/2019 06:47,XZJ,332C - Students' Revenge,GNU C++17,Accepted,810 ms,5200 KB,2019-10-14 06:47:00
62541585,Oct/14/2019 06:48,luogu_bot2,332C - Students' Revenge,GNU C++11,Accepted,1028 ms,5200 KB,2019-10-14 06:48:00
52714090,Apr/13/2019 19:17,BackOnTrack,332C - Students' Revenge,GNU C++17,Accepted,186 ms,2800 KB,2019-04-13 19:17:00
4219973,Aug/03/2013 12:26,WuxinyuJason,332C - Students' Revenge,GNU C++,Accepted,186 ms,1600 KB,2013-08-03 12:26:00
4261705,Aug/10/2013 17:24,yuxiaobhcs,332C - Students' Revenge,GNU C++,Accepted,186 ms,1200 KB,2013-08-10 17:24:00
72272001,Mar/02/2020 22:55,kyuna,332C - Students' Revenge,GNU C++14,Accepted,778 ms,1600 KB,2020-03-02 22:55:00
11270965,May/26/2015 00:46,pacu,332C - Students' Revenge,MS C++,Accepted,590 ms,1600 KB,2015-05-26 00:46:00
17131546,Apr/02/2016 17:11,freebsdx,332C - Students' Revenge,GNU C++11,Accepted,186 ms,3500 KB,2016-04-02 17:11:00
23988346,Jan/20/2017 15:29,Djok216,332C - Students' Revenge,GNU C++11,Accepted,746 ms,6500 KB,2017-01-20 15:29:00
51820423,Mar/25/2019 14:46,luogu_bot2,332C - Students' Revenge,GNU C++11,Accepted,156 ms,4700 KB,2019-03-25 14:46:00
51820663,Mar/25/2019 14:53,Eric_hooo,332C - Students' Revenge,GNU C++11,Accepted,156 ms,4700 KB,2019-03-25 14:53:00
4276728,Aug/14/2013 12:49,MeinKraft,332C - Students' Revenge,GNU C++,Accepted,436 ms,1500 KB,2013-08-14 12:49:00
4164750,Jul/25/2013 19:39,MeinKraft,332C - Students' Revenge,GNU C++,Accepted,281 ms,1200 KB,2013-07-25 19:39:00
11453712,Jun/06/2015 05:36,zld3794955#,332C - Students' Revenge,GNU C++11,Accepted,156 ms,1200 KB,2015-06-06 05:36:00
4163223,Jul/25/2013 14:54,wythend,332C - Students' Revenge,GNU C++0x,Accepted,515 ms,3900 KB,2013-07-25 14:54:00
19099575,Jul/14/2016 05:38,yanQval,332C - Students' Revenge,GNU C++,Accepted,218 ms,156600 KB,2016-07-14 05:38:00
4200253,Jul/29/2013 19:21,mooli,332C - Students' Revenge,GNU C++0x,Accepted,404 ms,3400 KB,2013-07-29 19:21:00
6457187,Apr/24/2014 00:51,Nouran_Abdelaziz,332C - Students' Revenge,GNU C++,Accepted,342 ms,3100 KB,2014-04-24 00:51:00
12840317,Sep/04/2015 14:56,jiu-ye1,332C - Students' Revenge,MS C++,Accepted,186 ms,3100 KB,2015-09-04 14:56:00
4446875,Sep/12/2013 10:26,abel,332C - Students' Revenge,GNU C++,Accepted,404 ms,3100 KB,2013-09-12 10:26:00
4195929,Jul/28/2013 22:08,lyc12345,332C - Students' Revenge,GNU C++,Accepted,312 ms,2600 KB,2013-07-28 22:08:00
26743254,Apr/29/2017 11:15,Scut82,332C - Students' Revenge,GNU C++,Accepted,218 ms,3800 KB,2017-04-29 11:15:00
42310189,Aug/31/2018 16:48,vjudge4,332C - Students' Revenge,GNU C++,Accepted,218 ms,3000 KB,2018-08-31 16:48:00
48575642,Jan/19/2019 16:57,vjudge2,332C - Students' Revenge,MS C++,Accepted,156 ms,3100 KB,2019-01-19 16:57:00
4164426,Jul/25/2013 18:28,tenshi_kanade,332C - Students' Revenge,GNU C++0x,Accepted,468 ms,7100 KB,2013-07-25 18:28:00
60309318,Sep/09/2019 18:09,vjudge3,332C - Students' Revenge,GNU C++11,Accepted,218 ms,1800 KB,2019-09-09 18:09:00
4158649,Jul/24/2013 23:14,cAnNot,332C - Students' Revenge,GNU C++,Accepted,593 ms,3100 KB,2013-07-24 23:14:00
4231930,Aug/05/2013 11:33,tworuler,332C - Students' Revenge,GNU C++,Accepted,218 ms,1200 KB,2013-08-05 11:33:00
4338432,Aug/26/2013 12:18,vjudge1,332C - Students' Revenge,GNU C++,Accepted,342 ms,1200 KB,2013-08-26 12:18:00
60251510,Sep/08/2019 10:04,luogu_bot1,332C - Students' Revenge,GNU C++11,Accepted,154 ms,3100 KB,2019-09-08 10:04:00
10747255,Apr/17/2015 04:53,bnuvjudge2,332C - Students' Revenge,GNU C++,Accepted,186 ms,31300 KB,2015-04-17 04:53:00
10752983,Apr/17/2015 19:03,windrises,332C - Students' Revenge,GNU C++11,Accepted,156 ms,3100 KB,2015-04-17 19:03:00
63775923,Oct/30/2019 12:32,WoXiangKu,332C - Students' Revenge,GNU C++14,Accepted,216 ms,2400 KB,2019-10-30 12:32:00
4153748,Jul/24/2013 20:49,* Milanin,332C - Students' Revenge,MS C++,Accepted,171 ms,3100 KB,2013-07-24 20:49:00
60309339,Sep/09/2019 18:09,luogu_bot3,332C - Students' Revenge,GNU C++11,Accepted,218 ms,1800 KB,2019-09-09 18:09:00
4160271,Jul/25/2013 06:22,Timer,332C - Students' Revenge,GNU C++,Accepted,265 ms,3100 KB,2013-07-25 06:22:00
4164124,Jul/25/2013 17:15,_ZigZag_,332C - Students' Revenge,GNU C++,Accepted,562 ms,3100 KB,2013-07-25 17:15:00
4150508,Jul/24/2013 20:14,* vitux,332C - Students' Revenge,GNU C++,Accepted,562 ms,3200 KB,2013-07-24 20:14:00
4338457,Aug/26/2013 12:26,ZEROm,332C - Students' Revenge,GNU C++,Accepted,342 ms,1200 KB,2013-08-26 12:26:00
63776229,Oct/30/2019 12:38,WoXiangKu,332C - Students' Revenge,GNU C++14,Accepted,186 ms,2400 KB,2019-10-30 12:38:00
12388937,Aug/06/2015 16:03,vjudge4,332C - Students' Revenge,GNU C++,Accepted,186 ms,3000 KB,2015-08-06 16:03:00
60251572,Sep/08/2019 10:06,vjudge1,332C - Students' Revenge,GNU C++11,Accepted,124 ms,3100 KB,2019-09-08 10:06:00
60251298,Sep/08/2019 09:56,luogu_bot3,332C - Students' Revenge,GNU C++11,Accepted,186 ms,3000 KB,2019-09-08 09:56:00
4302528,Aug/17/2013 13:27,christinass,332C - Students' Revenge,GNU C++,Accepted,468 ms,3100 KB,2013-08-17 13:27:00
4196916,Jul/29/2013 07:18,916852,332C - Students' Revenge,GNU C++,Accepted,374 ms,1300 KB,2013-07-29 07:18:00
62539725,Oct/14/2019 05:26,vjudge1,332C - Students' Revenge,GNU C++17,Accepted,248 ms,2600 KB,2019-10-14 05:26:00
10753004,Apr/17/2015 19:04,bnuvjudge3,332C - Students' Revenge,GNU C++,Accepted,186 ms,3100 KB,2015-04-17 19:04:00
4163844,Jul/25/2013 16:28,abhra,332C - Students' Revenge,GNU C++,Accepted,671 ms,1700 KB,2013-07-25 16:28:00
31555093,Oct/21/2017 10:24,vjudge5,332C - Students' Revenge,GNU C++,Accepted,186 ms,4300 KB,2017-10-21 10:24:00
48575763,Jan/19/2019 17:00,vjudge3,332C - Students' Revenge,MS C++,Accepted,186 ms,3100 KB,2019-01-19 17:00:00
51787932,Mar/24/2019 14:30,paulzrm,332C - Students' Revenge,GNU C++11,Accepted,186 ms,3600 KB,2019-03-24 14:30:00
35582956,Feb/22/2018 23:21,mjhun,332C - Students' Revenge,GNU C++11,Accepted,156 ms,5200 KB,2018-02-22 23:21:00
5002948,Nov/06/2013 15:39,abcdabcd987,332C - Students' Revenge,GNU C++0x,Accepted,186 ms,3100 KB,2013-11-06 15:39:00
4155169,Jul/24/2013 21:09,welter,332C - Students' Revenge,Python 2,Accepted,1388 ms,32600 KB,2013-07-24 21:09:00
5003031,Nov/06/2013 15:50,abcdabcd987,332C - Students' Revenge,GNU C++0x,Accepted,186 ms,3100 KB,2013-11-06 15:50:00
4152077,Jul/24/2013 20:30,Timer,332C - Students' Revenge,GNU C++,Accepted,296 ms,3100 KB,2013-07-24 20:30:00
4162264,Jul/25/2013 12:28,Accagain,332C - Students' Revenge,MS C++,Accepted,140 ms,3100 KB,2013-07-25 12:28:00
4561206,Sep/25/2013 19:11,Feu,332C - Students' Revenge,GNU C++,Accepted,186 ms,3500 KB,2013-09-25 19:11:00
51787964,Mar/24/2019 14:31,paulzrm,332C - Students' Revenge,GNU C++11,Accepted,186 ms,3600 KB,2019-03-24 14:31:00
62538817,Oct/14/2019 04:37,luogu_bot4,332C - Students' Revenge,GNU C++17,Accepted,216 ms,2600 KB,2019-10-14 04:37:00
4159952,Jul/25/2013 05:30,alpc116,332C - Students' Revenge,GNU C++,Accepted,140 ms,1600 KB,2013-07-25 05:30:00
4174464,Jul/27/2013 11:29,zwjyyc,332C - Students' Revenge,GNU C++,Accepted,624 ms,3100 KB,2013-07-27 11:29:00
60215945,Sep/07/2019 14:52,vjudge1,332C - Students' Revenge,GNU C++11,Accepted,156 ms,3100 KB,2019-09-07 14:52:00
4278198,Aug/14/2013 18:07,AcrossTheSky,332C - Students' Revenge,GNU C++,Accepted,560 ms,5100 KB,2013-08-14 18:07:00
11108769,May/15/2015 18:31,vjudge2,332C - Students' Revenge,GNU C++,Accepted,434 ms,3100 KB,2015-05-15 18:31:00
4156615,Jul/24/2013 21:30,* delta_4d,332C - Students' Revenge,GNU C++0x,Accepted,234 ms,7000 KB,2013-07-24 21:30:00
4357609,Aug/27/2013 19:03,nealzane,332C - Students' Revenge,GNU C++,Accepted,218 ms,1500 KB,2013-08-27 19:03:00
4414797,Sep/06/2013 17:41,ytl#,332C - Students' Revenge,GNU C++,Accepted,248 ms,3500 KB,2013-09-06 17:41:00
4238470,Aug/07/2013 06:52,phidnight,332C - Students' Revenge,GNU C++,Accepted,218 ms,1500 KB,2013-08-07 06:52:00
19303897,Jul/21/2016 17:12,enjoying,332C - Students' Revenge,GNU C++,Accepted,186 ms,3100 KB,2016-07-21 17:12:00
25830391,Mar/27/2017 05:44,McGinn#,332C - Students' Revenge,GNU C++11,Accepted,156 ms,4800 KB,2017-03-27 05:44:00
62539490,Oct/14/2019 05:14,Edennn,332C - Students' Revenge,GNU C++11,Accepted,186 ms,2000 KB,2019-10-14 05:14:00
15225804,Jan/07/2016 16:53,kimiyuki,332C - Students' Revenge,GNU C++11,Accepted,1060 ms,3500 KB,2016-01-07 16:53:00
10766753,Apr/18/2015 14:21,vjudge1,332C - Students' Revenge,GNU C++11,Accepted,156 ms,3000 KB,2015-04-18 14:21:00
10767592,Apr/18/2015 15:33,vjudge4,332C - Students' Revenge,GNU C++11,Accepted,156 ms,3000 KB,2015-04-18 15:33:00
4153132,Jul/24/2013 20:42,seen,332C - Students' Revenge,MS C++,Accepted,156 ms,2200 KB,2013-07-24 20:42:00
4198595,Jul/29/2013 13:14,obag,332C - Students' Revenge,GNU C++,Accepted,810 ms,1600 KB,2013-07-29 13:14:00
4395166,Sep/02/2013 04:50,gangsterveggies,332C - Students' Revenge,GNU C++,Accepted,654 ms,3100 KB,2013-09-02 04:50:00
37548701,Apr/23/2018 13:58,TadijaSebez,332C - Students' Revenge,GNU C++14,Accepted,186 ms,5500 KB,2018-04-23 13:58:00
