47775314,Dec/31/2018 06:11,qjhsly,492C - Vanya and Exams,Python 3,Accepted,451 ms,10800 KB,2018-12-31 06:11:00
8913575,Dec/01/2014 20:10,* Denzed,492C - Vanya and Exams,Python 3,Accepted,701 ms,9800 KB,2014-12-01 20:10:00
28112565,Jun/28/2017 12:42,PAPICHbogdoti2,492C - Vanya and Exams,Python 3,Accepted,701 ms,15000 KB,2017-06-28 12:42:00
75779939,Apr/07/2020 22:19,raghav2915,492C - Vanya and Exams,GNU C++14,Accepted,327 ms,1600 KB,2020-04-07 22:19:00
18173994,May/31/2016 22:36,Ts_alex,492C - Vanya and Exams,Ruby,Accepted,935 ms,15200 KB,2016-05-31 22:36:00
18173987,May/31/2016 22:35,Ts_alex,492C - Vanya and Exams,Ruby,Accepted,919 ms,15200 KB,2016-05-31 22:35:00
9057081,Dec/09/2014 12:58,akaki1996,492C - Vanya and Exams,Python 2,Accepted,483 ms,10300 KB,2014-12-09 12:58:00
9733419,Feb/06/2015 07:12,irajdeep,492C - Vanya and Exams,GNU C++,Accepted,421 ms,1600 KB,2015-02-06 07:12:00
8930978,Dec/02/2014 14:11,rakshakhegde,492C - Vanya and Exams,Python 3,Accepted,592 ms,8300 KB,2014-12-02 14:11:00
23542569,Jan/04/2017 22:21,blackflag777,492C - Vanya and Exams,GNU C++11,Accepted,436 ms,3600 KB,2017-01-04 22:21:00
24534503,Feb/08/2017 21:50,pantho,492C - Vanya and Exams,GNU C++11,Accepted,857 ms,3600 KB,2017-02-08 21:50:00
48547049,Jan/18/2019 23:18,amirah,492C - Vanya and Exams,Python 3,Accepted,452 ms,9300 KB,2019-01-18 23:18:00
8950751,Dec/03/2014 13:40,mgh,492C - Vanya and Exams,Python 3,Accepted,561 ms,10800 KB,2014-12-03 13:40:00
9091422,Dec/12/2014 17:08,chunInsane,492C - Vanya and Exams,Python 2,Accepted,514 ms,10300 KB,2014-12-12 17:08:00
8927436,Dec/02/2014 07:37,Eeyore,492C - Vanya and Exams,Python 3,Accepted,561 ms,8500 KB,2014-12-02 07:37:00
18173912,May/31/2016 22:26,Ts_alex,492C - Vanya and Exams,Ruby,Accepted,982 ms,15100 KB,2016-05-31 22:26:00
36272759,Mar/14/2018 14:19,Paixao,492C - Vanya and Exams,Python 3,Accepted,826 ms,15600 KB,2018-03-14 14:19:00
74671167,Mar/28/2020 22:18,thukrake_mera_pyaar,492C - Vanya and Exams,Python 3,Accepted,514 ms,8700 KB,2020-03-28 22:18:00
23519296,Jan/03/2017 18:28,sanchit.agrawal,492C - Vanya and Exams,Python 2,Accepted,529 ms,16100 KB,2017-01-03 18:28:00
68434424,Jan/09/2020 11:22,bsr011,492C - Vanya and Exams,Python 2,Accepted,561 ms,19200 KB,2020-01-09 11:22:00
14142068,Nov/08/2015 17:06,elistark,492C - Vanya and Exams,Python 2,Accepted,545 ms,16200 KB,2015-11-08 17:06:00
18173979,May/31/2016 22:34,Ts_alex,492C - Vanya and Exams,Ruby,Accepted,920 ms,15200 KB,2016-05-31 22:34:00
