23438854,Dec/30/2016 18:10,Amayoneko,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2016-12-30 18:10:00
23462396,Dec/31/2016 07:14,ELNUR.ktl,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2016-12-31 07:14:00
23469267,Dec/31/2016 15:28,luka25#,750C - New Year and Rating,GNU C++14,Accepted,467 ms,8300 KB,2016-12-31 15:28:00
47486177,Dec/25/2018 11:48,Ridiculo_us,750C - New Year and Rating,GNU C++17,Accepted,93 ms,0 KB,2018-12-25 11:48:00
52478369,Apr/08/2019 05:30,achalkumar076,750C - New Year and Rating,GNU C++14,Accepted,78 ms,200 KB,2019-04-08 05:30:00
23472078,Dec/31/2016 18:44,ahwhgqy,750C - New Year and Rating,GNU C++,Accepted,77 ms,2000 KB,2016-12-31 18:44:00
23456216,Dec/30/2016 22:35,Ali.Pi,750C - New Year and Rating,GNU C++14,Accepted,124 ms,1900 KB,2016-12-30 22:35:00
23895639,Jan/17/2017 09:21,PrimeG,750C - New Year and Rating,GNU C++14,Accepted,468 ms,1900 KB,2017-01-17 09:21:00
23498610,Jan/02/2017 15:20,SiFa,750C - New Year and Rating,GNU C++11,Accepted,546 ms,2000 KB,2017-01-02 15:20:00
33800043,Dec/30/2017 06:48,nlgxh8,750C - New Year and Rating,GNU C++,Accepted,530 ms,2000 KB,2017-12-30 06:48:00
23437017,Dec/30/2016 18:00,Aikurce,750C - New Year and Rating,GNU C++11,Accepted,61 ms,2000 KB,2016-12-30 18:00:00
23488125,Jan/01/2017 21:14,bauyrsaq,750C - New Year and Rating,GNU C++11,Accepted,561 ms,2000 KB,2017-01-01 21:14:00
41234867,Aug/05/2018 09:38,loi_sys,750C - New Year and Rating,GNU C++,Accepted,62 ms,0 KB,2018-08-05 09:38:00
49826198,Feb/12/2019 14:46,struggletime#,750C - New Year and Rating,GNU C++17,Accepted,373 ms,0 KB,2019-02-12 14:46:00
23436465,Dec/30/2016 17:57,613,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2016-12-30 17:57:00
23455315,Dec/30/2016 22:02,VCtop,750C - New Year and Rating,GNU C++,Accepted,93 ms,2000 KB,2016-12-30 22:02:00
23613079,Jan/07/2017 00:12,AmmarElshamy,750C - New Year and Rating,GNU C++11,Accepted,546 ms,2100 KB,2017-01-07 00:12:00
23615098,Jan/07/2017 04:31,Yearsflow,750C - New Year and Rating,GNU C++14,Accepted,93 ms,1900 KB,2017-01-07 04:31:00
23469256,Dec/31/2016 15:28,luka25#,750C - New Year and Rating,GNU C++14,Accepted,421 ms,9100 KB,2016-12-31 15:28:00
23777414,Jan/13/2017 08:46,vjudge2,750C - New Year and Rating,GNU C++,Accepted,561 ms,2000 KB,2017-01-13 08:46:00
23463004,Dec/31/2016 08:04,div24ever,750C - New Year and Rating,GNU C++11,Accepted,93 ms,2000 KB,2016-12-31 08:04:00
23430467,Dec/30/2016 17:35,q707185547,750C - New Year and Rating,GNU C++11,Accepted,62 ms,1900 KB,2016-12-30 17:35:00
23432908,Dec/30/2016 17:43,hyt,750C - New Year and Rating,GNU C++11,Accepted,62 ms,1900 KB,2016-12-30 17:43:00
23433052,Dec/30/2016 17:43,partiallyfinite,750C - New Year and Rating,GNU C++11,Accepted,655 ms,2000 KB,2016-12-30 17:43:00
23555853,Jan/05/2017 16:46,travelers,750C - New Year and Rating,GNU C++11,Accepted,93 ms,2000 KB,2017-01-05 16:46:00
34919280,Feb/04/2018 12:44,Fuko_Ibuki,750C - New Year and Rating,GNU C++11,Accepted,61 ms,3600 KB,2018-02-04 12:44:00
41314588,Aug/07/2018 21:34,Bn_anwar,750C - New Year and Rating,GNU C++11,Accepted,218 ms,0 KB,2018-08-07 21:34:00
23895656,Jan/17/2017 09:21,vjudge3,750C - New Year and Rating,GNU C++,Accepted,702 ms,2000 KB,2017-01-17 09:21:00
30178899,Sep/07/2017 13:55,vjudge3,750C - New Year and Rating,GNU C++,Accepted,530 ms,0 KB,2017-09-07 13:55:00
34919257,Feb/04/2018 12:43,vjudge3,750C - New Year and Rating,GNU C++11,Accepted,62 ms,3600 KB,2018-02-04 12:43:00
23426267,Dec/30/2016 17:25,jerry,750C - New Year and Rating,GNU C++11,Accepted,77 ms,2000 KB,2016-12-30 17:25:00
23436231,Dec/30/2016 17:56,Kemol,750C - New Year and Rating,Python 3,Accepted,733 ms,4600 KB,2016-12-30 17:56:00
23463974,Dec/31/2016 09:14,newgate,750C - New Year and Rating,GNU C++11,Accepted,77 ms,1900 KB,2016-12-31 09:14:00
23458865,Dec/31/2016 01:04,179000,750C - New Year and Rating,GNU C++11,Accepted,624 ms,2000 KB,2016-12-31 01:04:00
25314571,Mar/07/2017 12:47,vjudge1,750C - New Year and Rating,GNU C++,Accepted,607 ms,2100 KB,2017-03-07 12:47:00
77646681,Apr/22/2020 15:45,Anish1712,750C - New Year and Rating,GNU C++17,Accepted,358 ms,0 KB,2020-04-22 15:45:00
23429071,Dec/30/2016 17:32,orz_liuwei,750C - New Year and Rating,GNU C++11,Accepted,561 ms,2000 KB,2016-12-30 17:32:00
29699458,Aug/23/2017 09:40,vjudge5,750C - New Year and Rating,GNU C++14,Accepted,78 ms,0 KB,2017-08-23 09:40:00
23467657,Dec/31/2016 13:43,D.K.lost,750C - New Year and Rating,GNU C++14,Accepted,436 ms,1900 KB,2016-12-31 13:43:00
36886253,Apr/02/2018 21:14,pzdba,750C - New Year and Rating,GNU C++14,Accepted,78 ms,3300 KB,2018-04-02 21:14:00
23464711,Dec/31/2016 10:00,Yougoslavie,750C - New Year and Rating,GNU C++14,Accepted,109 ms,1900 KB,2016-12-31 10:00:00
44285487,Oct/14/2018 10:15,luogu_bot1,750C - New Year and Rating,GNU C++11,Accepted,468 ms,0 KB,2018-10-14 10:15:00
23446576,Dec/30/2016 18:57,C137,750C - New Year and Rating,GNU C++14,Accepted,468 ms,1900 KB,2016-12-30 18:57:00
23473398,Dec/31/2016 20:33,IcyGirl#,750C - New Year and Rating,GNU C++11,Accepted,624 ms,2000 KB,2016-12-31 20:33:00
23620261,Jan/07/2017 11:54,ahmedAbuamra,750C - New Year and Rating,GNU C++,Accepted,576 ms,2000 KB,2017-01-07 11:54:00
23676722,Jan/10/2017 10:45,wwe,750C - New Year and Rating,GNU C++11,Accepted,732 ms,2000 KB,2017-01-10 10:45:00
