26993417,May/10/2017 12:53,Jori,803C - Maximal GCD,GNU C++14,Accepted,31 ms,0 KB,2017-05-10 12:53:00
60204754,Sep/07/2019 10:39,cjrzn,803C - Maximal GCD,GNU C++11,Accepted,46 ms,0 KB,2019-09-07 10:39:00
69711511,Jan/29/2020 10:14,OrifizzN,803C - Maximal GCD,GNU C++14,Accepted,46 ms,0 KB,2020-01-29 10:14:00
26725578,Apr/28/2017 18:46,y553546436,803C - Maximal GCD,GNU C++14,Accepted,30 ms,1900 KB,2017-04-28 18:46:00
26724714,Apr/28/2017 18:37,3EVEHAR_KOAVA,803C - Maximal GCD,Python 3,Accepted,561 ms,5700 KB,2017-04-28 18:37:00
42828944,Sep/13/2018 15:01,jt_112,803C - Maximal GCD,Python 3,Accepted,545 ms,1000 KB,2018-09-13 15:01:00
42829030,Sep/13/2018 15:03,kevinpatel_20,803C - Maximal GCD,Python 3,Accepted,545 ms,1000 KB,2018-09-13 15:03:00
26796425,May/02/2017 08:05,0w1,803C - Maximal GCD,PyPy 3,Accepted,296 ms,28500 KB,2017-05-02 08:05:00
57099611,Jul/15/2019 16:20,vjudge2,803C - Maximal GCD,PyPy 3,Accepted,248 ms,9300 KB,2019-07-15 16:20:00
48087353,Jan/08/2019 14:58,vjudge5,803C - Maximal GCD,GNU C++17,Accepted,46 ms,300 KB,2019-01-08 14:58:00
38092920,May/10/2018 16:52,pyrus#,803C - Maximal GCD,Python 3,Accepted,139 ms,16900 KB,2018-05-10 16:52:00
26916494,May/07/2017 08:41,vjudge4,803C - Maximal GCD,GNU C++,Accepted,31 ms,0 KB,2017-05-07 08:41:00
27198621,May/18/2017 17:24,hitagg008,803C - Maximal GCD,GNU C++11,Accepted,78 ms,0 KB,2017-05-18 17:24:00
31856131,Oct/29/2017 08:06,Warawreh,803C - Maximal GCD,GNU C++14,Accepted,46 ms,200 KB,2017-10-29 08:06:00
34493673,Jan/23/2018 22:04,blackslender,803C - Maximal GCD,Python 3,Accepted,545 ms,5700 KB,2018-01-23 22:04:00
59515009,Aug/26/2019 12:17,Itst,803C - Maximal GCD,GNU C++11,Accepted,78 ms,0 KB,2019-08-26 12:17:00
68594854,Jan/11/2020 16:44,vjudge4,803C - Maximal GCD,GNU C++11,Accepted,78 ms,0 KB,2020-01-11 16:44:00
26725407,Apr/28/2017 18:44,xiaoyimi,803C - Maximal GCD,GNU C++,Accepted,46 ms,2000 KB,2017-04-28 18:44:00
33054551,Dec/09/2017 18:32,vjudge5,803C - Maximal GCD,GNU C++14,Accepted,31 ms,2000 KB,2017-12-09 18:32:00
31198854,Oct/10/2017 20:17,shub.jain,803C - Maximal GCD,PyPy 2,Accepted,857 ms,900 KB,2017-10-10 20:17:00
56964210,Jul/13/2019 10:47,vjudge5,803C - Maximal GCD,GNU C++17,Accepted,46 ms,0 KB,2019-07-13 10:47:00
75953823,Apr/09/2020 08:39,Ferris,803C - Maximal GCD,PyPy 3,Accepted,296 ms,9100 KB,2020-04-09 08:39:00
60195016,Sep/07/2019 03:55,vjudge3,803C - Maximal GCD,GNU C++11,Accepted,46 ms,0 KB,2019-09-07 03:55:00
29469894,Aug/15/2017 02:33,stilinskiy,803C - Maximal GCD,GNU C++14,Accepted,46 ms,1900 KB,2017-08-15 02:33:00
29769919,Aug/25/2017 09:07,vjudge1,803C - Maximal GCD,GNU C++,Accepted,46 ms,0 KB,2017-08-25 09:07:00
35871487,Mar/03/2018 09:52,vjudge2,803C - Maximal GCD,GNU C++,Accepted,46 ms,2000 KB,2018-03-03 09:52:00
45913358,Nov/18/2018 15:48,vjudge5,803C - Maximal GCD,GNU C++17,Accepted,31 ms,200 KB,2018-11-18 15:48:00
35870769,Mar/03/2018 09:34,vjudge1,803C - Maximal GCD,GNU C++,Accepted,77 ms,2000 KB,2018-03-03 09:34:00
26736506,Apr/29/2017 02:05,Apyukin,803C - Maximal GCD,GNU C++11,Accepted,93 ms,2100 KB,2017-04-29 02:05:00
60221701,Sep/07/2019 16:51,luogu_bot2,803C - Maximal GCD,GNU C++11,Accepted,46 ms,0 KB,2019-09-07 16:51:00
38127106,May/12/2018 07:07,vjudge3,803C - Maximal GCD,MS C++,Accepted,46 ms,5300 KB,2018-05-12 07:07:00
68401859,Jan/08/2020 16:28,Flamire,803C - Maximal GCD,GNU C++11,Accepted,46 ms,0 KB,2020-01-08 16:28:00
26746224,Apr/29/2017 14:18,NiroBC,803C - Maximal GCD,GNU C++14,Accepted,31 ms,1900 KB,2017-04-29 14:18:00
27101691,May/14/2017 09:32,vjudge4,803C - Maximal GCD,GNU C++,Accepted,78 ms,0 KB,2017-05-14 09:32:00
33595708,Dec/24/2017 17:41,Inkheart,803C - Maximal GCD,GNU C++11,Accepted,31 ms,2000 KB,2017-12-24 17:41:00
60194570,Sep/07/2019 03:28,vjudge5,803C - Maximal GCD,GNU C++11,Accepted,31 ms,0 KB,2019-09-07 03:28:00
61193299,Sep/24/2019 07:11,zhwq,803C - Maximal GCD,GNU C++11,Accepted,78 ms,800 KB,2019-09-24 07:11:00
44963488,Oct/27/2018 20:47,vjudge3,803C - Maximal GCD,GNU C++11,Accepted,77 ms,0 KB,2018-10-27 20:47:00
35990905,Mar/06/2018 15:12,vjudge1,803C - Maximal GCD,GNU C++,Accepted,78 ms,2000 KB,2018-03-06 15:12:00
35990950,Mar/06/2018 15:14,vjudge2,803C - Maximal GCD,GNU C++,Accepted,62 ms,2000 KB,2018-03-06 15:14:00
35991007,Mar/06/2018 15:16,vjudge3,803C - Maximal GCD,GNU C++,Accepted,78 ms,2000 KB,2018-03-06 15:16:00
35991086,Mar/06/2018 15:18,vjudge3,803C - Maximal GCD,GNU C++,Accepted,78 ms,2000 KB,2018-03-06 15:18:00
45696614,Nov/14/2018 07:11,yongwhan,803C - Maximal GCD,GNU C++17,Accepted,46 ms,0 KB,2018-11-14 07:11:00
60205583,Sep/07/2019 10:59,vjudge1,803C - Maximal GCD,GNU C++11,Accepted,31 ms,0 KB,2019-09-07 10:59:00
26727314,Apr/28/2017 19:06,thisismyhandle,803C - Maximal GCD,Python 2,Accepted,233 ms,6200 KB,2017-04-28 19:06:00
26732864,Apr/28/2017 21:05,kimden,803C - Maximal GCD,GNU C++14,Accepted,46 ms,1900 KB,2017-04-28 21:05:00
26743874,Apr/29/2017 11:54,mbrc,803C - Maximal GCD,GNU C++,Accepted,78 ms,2100 KB,2017-04-29 11:54:00
26773625,Apr/30/2017 21:56,TerenceLiu,803C - Maximal GCD,GNU C++11,Accepted,93 ms,2000 KB,2017-04-30 21:56:00
26730874,Apr/28/2017 20:01,zylber,803C - Maximal GCD,GNU C++11,Accepted,77 ms,2100 KB,2017-04-28 20:01:00
26745598,Apr/29/2017 13:38,644262163,803C - Maximal GCD,GNU C++11,Accepted,78 ms,2100 KB,2017-04-29 13:38:00
33017788,Dec/08/2017 11:30,freshman0213,803C - Maximal GCD,GNU C++,Accepted,31 ms,1800 KB,2017-12-08 11:30:00
42859926,Sep/14/2018 15:15,vjudge5,803C - Maximal GCD,GNU C++17,Accepted,46 ms,300 KB,2018-09-14 15:15:00
43354045,Sep/24/2018 07:58,vjudge2,803C - Maximal GCD,GNU C++17,Accepted,46 ms,0 KB,2018-09-24 07:58:00
64717140,Nov/12/2019 02:19,Anji,803C - Maximal GCD,GNU C++17,Accepted,46 ms,200 KB,2019-11-12 02:19:00
26919694,May/07/2017 11:53,vjudge3,803C - Maximal GCD,GNU C++,Accepted,31 ms,0 KB,2017-05-07 11:53:00
26966130,May/09/2017 04:31,Svlad_Cjelli,803C - Maximal GCD,GNU C++11,Accepted,78 ms,0 KB,2017-05-09 04:31:00
30913683,Oct/01/2017 19:12,ivan100sic,803C - Maximal GCD,GNU C++14,Accepted,46 ms,0 KB,2017-10-01 19:12:00
35990816,Mar/06/2018 15:09,76120114,803C - Maximal GCD,GNU C++,Accepted,78 ms,2000 KB,2018-03-06 15:09:00
