25265485,Mar/05/2017 18:25,arcanae,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,202 ms,20800 KB,2017-03-05 18:25:00
28700077,Jul/19/2017 18:24,Feeey#,782C - Andryusha and Colored Balloons,GNU C++,Accepted,109 ms,30800 KB,2017-07-19 18:24:00
48324600,Jan/13/2019 14:10,scientificuber,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,733 ms,18800 KB,2019-01-13 14:10:00
25296894,Mar/06/2017 19:01,mariamii,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,686 ms,22300 KB,2017-03-06 19:01:00
25434669,Mar/12/2017 15:38,a_nand,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,639 ms,20800 KB,2017-03-12 15:38:00
25434721,Mar/12/2017 15:41,a_nand,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,639 ms,20800 KB,2017-03-12 15:41:00
26873890,May/05/2017 09:03,lRl,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,624 ms,15800 KB,2017-05-05 09:03:00
25277336,Mar/06/2017 05:21,Deng2X,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,20800 KB,2017-03-06 05:21:00
25287237,Mar/06/2017 12:25,szawinis#,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,342 ms,49000 KB,2017-03-06 12:25:00
25704796,Mar/22/2017 09:39,Ghost_lzp,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,20800 KB,2017-03-22 09:39:00
63191757,Oct/22/2019 20:24,vjudge2,780C - Andryusha and Colored Balloons,PyPy 3,Accepted,1996 ms,38600 KB,2019-10-22 20:24:00
27209013,May/19/2017 09:46,A-Sitora,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,624 ms,15800 KB,2017-05-19 09:46:00
53893765,May/09/2019 06:39,vjudge5,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,140 ms,87600 KB,2019-05-09 06:39:00
25255072,Mar/05/2017 16:51,TerenceLiu,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,780 ms,20800 KB,2017-03-05 16:51:00
25277178,Mar/06/2017 05:05,DABAI520,782C - Andryusha and Colored Balloons,GNU C++,Accepted,811 ms,20800 KB,2017-03-06 05:05:00
38266792,May/15/2018 15:08,wlxsq,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,919 ms,23800 KB,2018-05-15 15:08:00
25319244,Mar/07/2017 14:17,mc_emir#,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,202 ms,31000 KB,2017-03-07 14:17:00
25389789,Mar/11/2017 00:56,manish3749,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,748 ms,20800 KB,2017-03-11 00:56:00
43291879,Sep/23/2018 14:17,ygy,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,1013 ms,20300 KB,2018-09-23 14:17:00
25863332,Mar/28/2017 04:52,ForceKnight,782C - Andryusha and Colored Balloons,GNU C++,Accepted,1029 ms,17700 KB,2017-03-28 04:52:00
25250411,Mar/05/2017 16:21,pranet,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,202 ms,20800 KB,2017-03-05 16:21:00
25294684,Mar/06/2017 17:19,dumbguy,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,202 ms,31000 KB,2017-03-06 17:19:00
27106757,May/14/2017 15:43,square1001,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,187 ms,18900 KB,2017-05-14 15:43:00
56057542,Jun/26/2019 04:57,vjudge1,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,780 ms,18800 KB,2019-06-26 04:57:00
25254088,Mar/05/2017 16:44,Lusajfer,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,218 ms,22300 KB,2017-03-05 16:44:00
25282844,Mar/06/2017 09:09,qguaihudou,782C - Andryusha and Colored Balloons,GNU C++,Accepted,842 ms,17700 KB,2017-03-06 09:09:00
25284124,Mar/06/2017 10:42,qguaihudou,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,654 ms,17700 KB,2017-03-06 10:42:00
74851568,Mar/30/2020 20:17,_kevindebruyne_,780C - Andryusha and Colored Balloons,GNU C++17,Accepted,592 ms,15800 KB,2020-03-30 20:17:00
61544858,Sep/30/2019 12:58,_dark_side,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,795 ms,15700 KB,2019-09-30 12:58:00
32984104,Dec/06/2017 21:05,ahmedAbuamra,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,186 ms,17600 KB,2017-12-06 21:05:00
59618809,Aug/28/2019 16:35,himanshu802,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,608 ms,27500 KB,2019-08-28 16:35:00
25258590,Mar/05/2017 17:19,Neumann,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,187 ms,20800 KB,2017-03-05 17:19:00
53099068,Apr/21/2019 18:16,Sophis,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,826 ms,15600 KB,2019-04-21 18:16:00
60709154,Sep/17/2019 10:12,vjudge1,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,811 ms,18800 KB,2019-09-17 10:12:00
64359815,Nov/06/2019 14:24,vjudge2,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,795 ms,18800 KB,2019-11-06 14:24:00
35109498,Feb/10/2018 05:20,vjudge1,782C - Andryusha and Colored Balloons,GNU C++,Accepted,217 ms,18400 KB,2018-02-10 05:20:00
