23489855,Jan/01/2017 23:22,Mjgonzales,140C - New Year Snowmen,GNU C++14,Accepted,248 ms,8200 KB,2017-01-01 23:22:00
22140144,Nov/10/2016 03:07,satya_jha,140C - New Year Snowmen,GNU C++,Accepted,156 ms,4700 KB,2016-11-10 03:07:00
39233307,Jun/14/2018 09:42,misho-29,140C - New Year Snowmen,GNU C++14,Accepted,590 ms,5800 KB,2018-06-14 09:42:00
71516868,Feb/20/2020 23:35,BlueDiamond,140C - New Year Snowmen,GNU C++14,Accepted,278 ms,3700 KB,2020-02-20 23:35:00
60291370,Sep/09/2019 10:26,vjudge1,140C - New Year Snowmen,GNU C++17,Accepted,216 ms,6000 KB,2019-09-09 10:26:00
35120836,Feb/10/2018 13:44,IPRIT,140C - New Year Snowmen,GNU C++11,Accepted,278 ms,2800 KB,2018-02-10 13:44:00
22140134,Nov/10/2016 03:05,satya_jha,140C - New Year Snowmen,GNU C++,Accepted,124 ms,4700 KB,2016-11-10 03:05:00
15180128,Jan/04/2016 14:04,AndreiCotor,140C - New Year Snowmen,GNU C++11,Accepted,624 ms,900 KB,2016-01-04 14:04:00
62680307,Oct/16/2019 15:39,luogu_bot4,140C - New Year Snowmen,GNU C++11,Accepted,216 ms,5600 KB,2019-10-16 15:39:00
13614861,Oct/14/2015 23:43,CHAOS.,140C - New Year Snowmen,GNU C++11,Accepted,124 ms,900 KB,2015-10-14 23:43:00
24462582,Feb/06/2017 07:58,xy961218,140C - New Year Snowmen,GNU C++11,Accepted,124 ms,4300 KB,2017-02-06 07:58:00
64207110,Nov/04/2019 16:11,vjudge3,140C - New Year Snowmen,GNU C++14,Accepted,654 ms,6000 KB,2019-11-04 16:11:00
3254560,Mar/05/2013 17:07,vjudge2,140C - New Year Snowmen,GNU C++,Accepted,296 ms,3700 KB,2013-03-05 17:07:00
7256061,Jul/27/2014 12:45,n1tz53,140C - New Year Snowmen,Python 2,Accepted,1090 ms,13100 KB,2014-07-27 12:45:00
60291359,Sep/09/2019 10:25,zzy2005,140C - New Year Snowmen,GNU C++11,Accepted,186 ms,5900 KB,2019-09-09 10:25:00
20487352,Sep/10/2016 02:05,LaFuckinGioconda,140C - New Year Snowmen,GNU C++11,Accepted,654 ms,1600 KB,2016-09-10 02:05:00
34108524,Jan/12/2018 17:32,khalil_2017,140C - New Year Snowmen,MS C++,Accepted,124 ms,6700 KB,2018-01-12 17:32:00
55502060,Jun/12/2019 18:37,vjudge2,140C - New Year Snowmen,GNU C++14,Accepted,124 ms,1500 KB,2019-06-12 18:37:00
18242365,Jun/04/2016 13:19,nino-glonti,140C - New Year Snowmen,GNU C++11,Accepted,778 ms,8400 KB,2016-06-04 13:19:00
