13888105,Oct/27/2015 12:52,130705009,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,600 KB,2015-10-27 12:52:00
15765557,Feb/03/2016 12:47,vjudge1,551C - GukiZ hates Boxes,GNU C++,Accepted,312 ms,1600 KB,2016-02-03 12:47:00
38972700,Jun/05/2018 18:29,LODB---D,551C - GukiZ hates Boxes,GNU C++14,Accepted,234 ms,4100 KB,2018-06-05 18:29:00
11560697,Jun/13/2015 02:42,minsu,551C - GukiZ hates Boxes,GNU C++11,Accepted,249 ms,1300 KB,2015-06-13 02:42:00
12148804,Jul/21/2015 17:20,blscar1999,551C - GukiZ hates Boxes,GNU C++,Accepted,280 ms,1600 KB,2015-07-21 17:20:00
11563694,Jun/13/2015 09:05,Rojo,551C - GukiZ hates Boxes,GNU C++11,Accepted,249 ms,1300 KB,2015-06-13 09:05:00
15395350,Jan/16/2016 00:26,bluefi,551C - GukiZ hates Boxes,GNU C++,Accepted,265 ms,800 KB,2016-01-16 00:26:00
40214388,Jul/12/2018 04:02,luogu_bot1,551C - GukiZ hates Boxes,GNU C++,Accepted,93 ms,800 KB,2018-07-12 04:02:00
11603027,Jun/16/2015 09:54,tylerdurden,551C - GukiZ hates Boxes,GNU C++,Accepted,265 ms,800 KB,2015-06-16 09:54:00
36772262,Mar/31/2018 14:30,brightsompong,551C - GukiZ hates Boxes,GNU C++11,Accepted,280 ms,4200 KB,2018-03-31 14:30:00
71545265,Feb/21/2020 14:08,uglyBlack,551C - GukiZ hates Boxes,GNU C++11,Accepted,93 ms,1600 KB,2020-02-21 14:08:00
40371792,Jul/15/2018 11:35,luogu_bot5,551C - GukiZ hates Boxes,GNU C++,Accepted,264 ms,1600 KB,2018-07-15 11:35:00
61843633,Oct/04/2019 13:35,zengpeichen,551C - GukiZ hates Boxes,GNU C++11,Accepted,78 ms,600 KB,2019-10-04 13:35:00
53258751,Apr/24/2019 21:05,bhargav_0085,551C - GukiZ hates Boxes,GNU C++14,Accepted,77 ms,1200 KB,2019-04-24 21:05:00
14772924,Dec/12/2015 17:14,vjudge4,551C - GukiZ hates Boxes,GNU C++,Accepted,61 ms,800 KB,2015-12-12 17:14:00
15495361,Jan/22/2016 12:02,skpro19,551C - GukiZ hates Boxes,GNU C++11,Accepted,109 ms,1000 KB,2016-01-22 12:02:00
15495373,Jan/22/2016 12:03,skpro19,551C - GukiZ hates Boxes,GNU C++11,Accepted,124 ms,1000 KB,2016-01-22 12:03:00
18053347,May/24/2016 12:52,seeker,551C - GukiZ hates Boxes,GNU C++11,Accepted,405 ms,3700 KB,2016-05-24 12:52:00
39981856,Jul/05/2018 14:12,vjudge3,551C - GukiZ hates Boxes,GNU C++,Accepted,78 ms,1900 KB,2018-07-05 14:12:00
11569237,Jun/13/2015 17:08,irevt,551C - GukiZ hates Boxes,FPC,Accepted,140 ms,1700 KB,2015-06-13 17:08:00
34977260,Feb/06/2018 19:48,vjudge4,551C - GukiZ hates Boxes,GNU C++14,Accepted,62 ms,2600 KB,2018-02-06 19:48:00
12471654,Aug/12/2015 00:43,NoMoreCoding,551C - GukiZ hates Boxes,GNU C++11,Accepted,280 ms,1600 KB,2015-08-12 00:43:00
34977636,Feb/06/2018 20:05,yongwhan,551C - GukiZ hates Boxes,GNU C++14,Accepted,77 ms,2600 KB,2018-02-06 20:05:00
12544175,Aug/15/2015 11:38,vjudge2,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,200 KB,2015-08-15 11:38:00
27303323,May/23/2017 17:34,ccw630,551C - GukiZ hates Boxes,GNU C++11,Accepted,311 ms,400 KB,2017-05-23 17:34:00
39977783,Jul/05/2018 11:41,vjudge4,551C - GukiZ hates Boxes,GNU C++,Accepted,78 ms,1900 KB,2018-07-05 11:41:00
40224876,Jul/12/2018 11:26,vjudge5,551C - GukiZ hates Boxes,GNU C++,Accepted,265 ms,800 KB,2018-07-12 11:26:00
11911028,Jul/03/2015 15:53,cxzxtkj#,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,600 KB,2015-07-03 15:53:00
56455816,Jul/03/2019 06:45,vjudge2,551C - GukiZ hates Boxes,MS C++,Accepted,140 ms,500 KB,2019-07-03 06:45:00
11602808,Jun/16/2015 09:26,Toosample,551C - GukiZ hates Boxes,MS C++,Accepted,171 ms,1600 KB,2015-06-16 09:26:00
42678217,Sep/08/2018 17:51,Zz7,551C - GukiZ hates Boxes,GNU C++14,Accepted,78 ms,1100 KB,2018-09-08 17:51:00
15495385,Jan/22/2016 12:04,skpro19,551C - GukiZ hates Boxes,GNU C++11,Accepted,124 ms,1000 KB,2016-01-22 12:04:00
68688201,Jan/13/2020 07:46,vjudge5,551C - GukiZ hates Boxes,GNU C++11,Accepted,249 ms,1600 KB,2020-01-13 07:46:00
22681078,Dec/03/2016 19:39,vjudge4,551C - GukiZ hates Boxes,GNU C++,Accepted,78 ms,800 KB,2016-12-03 19:39:00
24345393,Feb/01/2017 16:44,vjudge1,551C - GukiZ hates Boxes,GNU C++,Accepted,93 ms,2400 KB,2017-02-01 16:44:00
42589556,Sep/06/2018 21:20,Zz7,551C - GukiZ hates Boxes,GNU C++14,Accepted,78 ms,800 KB,2018-09-06 21:20:00
11584736,Jun/14/2015 19:34,yuseok89,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,600 KB,2015-06-14 19:34:00
40232719,Jul/12/2018 15:59,vjudge2,551C - GukiZ hates Boxes,GNU C++,Accepted,265 ms,400 KB,2018-07-12 15:59:00
34335983,Jan/20/2018 05:47,vjudge4,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,2800 KB,2018-01-20 05:47:00
40232699,Jul/12/2018 15:58,vjudge2,551C - GukiZ hates Boxes,GNU C++,Accepted,280 ms,400 KB,2018-07-12 15:58:00
68705401,Jan/13/2020 14:06,HSZ666666,551C - GukiZ hates Boxes,GNU C++11,Accepted,265 ms,1600 KB,2020-01-13 14:06:00
12690819,Aug/25/2015 05:19,zyyyyy,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,800 KB,2015-08-25 05:19:00
40229477,Jul/12/2018 14:07,vjudge3,551C - GukiZ hates Boxes,GNU C++,Accepted,77 ms,800 KB,2018-07-12 14:07:00
68220262,Jan/05/2020 07:08,luogu_bot5,551C - GukiZ hates Boxes,GNU C++11,Accepted,249 ms,800 KB,2020-01-05 07:08:00
11548616,Jun/12/2015 20:05,* ecnerwala,551C - GukiZ hates Boxes,GNU C++11,Accepted,124 ms,3100 KB,2015-06-12 20:05:00
35749597,Feb/27/2018 05:30,WillyPillow,551C - GukiZ hates Boxes,GNU C++14,Accepted,93 ms,2400 KB,2018-02-27 05:30:00
42993469,Sep/17/2018 14:14,XianHZ,551C - GukiZ hates Boxes,GNU C++11,Accepted,312 ms,800 KB,2018-09-17 14:14:00
40409193,Jul/16/2018 14:33,fancycoser,551C - GukiZ hates Boxes,GNU C++,Accepted,280 ms,800 KB,2018-07-16 14:33:00
52071754,Mar/31/2019 11:10,fancycoser,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,600 KB,2019-03-31 11:10:00
11673938,Jun/19/2015 22:44,fudail225,551C - GukiZ hates Boxes,GNU C++,Accepted,327 ms,400 KB,2015-06-19 22:44:00
18156068,May/30/2016 14:21,vikhs_96,551C - GukiZ hates Boxes,GNU C++11,Accepted,389 ms,3000 KB,2016-05-30 14:21:00
11565247,Jun/13/2015 11:40,Erona,551C - GukiZ hates Boxes,GNU C++11,Accepted,280 ms,1600 KB,2015-06-13 11:40:00
17165834,Apr/05/2016 06:19,freebsdx,551C - GukiZ hates Boxes,GNU C++11,Accepted,78 ms,2800 KB,2016-04-05 06:19:00
24488257,Feb/07/2017 16:01,YangHong,551C - GukiZ hates Boxes,GNU C++14,Accepted,249 ms,2700 KB,2017-02-07 16:01:00
12352658,Aug/05/2015 17:46,shuj,551C - GukiZ hates Boxes,GNU C++,Accepted,295 ms,1600 KB,2015-08-05 17:46:00
28930435,Jul/27/2017 15:48,vjudge5,551C - GukiZ hates Boxes,MS C++,Accepted,77 ms,2800 KB,2017-07-27 15:48:00
11673553,Jun/19/2015 22:09,fudail225,551C - GukiZ hates Boxes,GNU C++,Accepted,530 ms,400 KB,2015-06-19 22:09:00
40695780,Jul/24/2018 10:57,vjudge4,551C - GukiZ hates Boxes,GNU C++,Accepted,77 ms,400 KB,2018-07-24 10:57:00
39981820,Jul/05/2018 14:12,PinkEx,551C - GukiZ hates Boxes,GNU C++11,Accepted,78 ms,1900 KB,2018-07-05 14:12:00
62773730,Oct/17/2019 14:07,AmShZ,551C - GukiZ hates Boxes,GNU C++17,Accepted,233 ms,800 KB,2019-10-17 14:07:00
62773931,Oct/17/2019 14:10,Alireza_Keshavarz,551C - GukiZ hates Boxes,GNU C++17,Accepted,233 ms,800 KB,2019-10-17 14:10:00
11634153,Jun/18/2015 17:36,Achilles_96,551C - GukiZ hates Boxes,GNU C++,Accepted,124 ms,1600 KB,2015-06-18 17:36:00
11711985,Jun/22/2015 19:15,IcyGirl#,551C - GukiZ hates Boxes,GNU C++,Accepted,78 ms,1000 KB,2015-06-22 19:15:00
40075186,Jul/08/2018 07:15,sjc061031,551C - GukiZ hates Boxes,GNU C++17,Accepted,108 ms,1600 KB,2018-07-08 07:15:00
45694584,Nov/14/2018 04:17,zd11024,551C - GukiZ hates Boxes,GNU C++11,Accepted,514 ms,800 KB,2018-11-14 04:17:00
11554159,Jun/12/2015 21:07,* kiana810,551C - GukiZ hates Boxes,GNU C++,Accepted,109 ms,1400 KB,2015-06-12 21:07:00
40603112,Jul/21/2018 12:44,Patiala_Peg,551C - GukiZ hates Boxes,PyPy 2,Accepted,1544 ms,10700 KB,2018-07-21 12:44:00
14054548,Nov/04/2015 12:46,ACchallenge,551C - GukiZ hates Boxes,GNU C++,Accepted,108 ms,1600 KB,2015-11-04 12:46:00
40047012,Jul/07/2018 03:12,vjudge1,551C - GukiZ hates Boxes,GNU C++,Accepted,78 ms,600 KB,2018-07-07 03:12:00
14092837,Nov/05/2015 19:34,vjudge4,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,800 KB,2015-11-05 19:34:00
34398214,Jan/21/2018 05:58,vjudge5,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,2600 KB,2018-01-21 05:58:00
43040012,Sep/18/2018 18:12,felmid,551C - GukiZ hates Boxes,GNU C++17,Accepted,93 ms,900 KB,2018-09-18 18:12:00
36573720,Mar/24/2018 15:16,PetitAPetit,551C - GukiZ hates Boxes,GNU C++14,Accepted,78 ms,4500 KB,2018-03-24 15:16:00
11572454,Jun/13/2015 21:30,4k_lady,551C - GukiZ hates Boxes,GNU C++,Accepted,265 ms,800 KB,2015-06-13 21:30:00
42888335,Sep/15/2018 14:16,Eric_hooo,551C - GukiZ hates Boxes,GNU C++11,Accepted,280 ms,800 KB,2018-09-15 14:16:00
14782022,Dec/13/2015 11:27,49cryoke,551C - GukiZ hates Boxes,GNU C++11,Accepted,264 ms,800 KB,2015-12-13 11:27:00
11566700,Jun/13/2015 13:45,chiehmin,551C - GukiZ hates Boxes,PyPy 2,Accepted,951 ms,10000 KB,2015-06-13 13:45:00
11674127,Jun/19/2015 23:02,fudail225,551C - GukiZ hates Boxes,GNU C++,Accepted,358 ms,400 KB,2015-06-19 23:02:00
12020592,Jul/12/2015 18:22,sunacm,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,800 KB,2015-07-12 18:22:00
25287233,Mar/06/2017 12:24,vjudge4,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,2600 KB,2017-03-06 12:24:00
39977773,Jul/05/2018 11:41,fyy2603,551C - GukiZ hates Boxes,GNU C++14,Accepted,93 ms,1900 KB,2018-07-05 11:41:00
42906606,Sep/16/2018 05:30,vjudge5,551C - GukiZ hates Boxes,GNU C++11,Accepted,93 ms,1600 KB,2018-09-16 05:30:00
26818997,May/03/2017 15:52,reginagallardo1,551C - GukiZ hates Boxes,GNU C++11,Accepted,61 ms,2800 KB,2017-05-03 15:52:00
38972810,Jun/05/2018 18:33,LODB---D,551C - GukiZ hates Boxes,GNU C++14,Accepted,78 ms,4100 KB,2018-06-05 18:33:00
13407665,Oct/04/2015 22:43,.I.#,551C - GukiZ hates Boxes,GNU C++11,Accepted,109 ms,400 KB,2015-10-04 22:43:00
38972803,Jun/05/2018 18:33,LODB---D,551C - GukiZ hates Boxes,GNU C++14,Accepted,234 ms,4100 KB,2018-06-05 18:33:00
39971171,Jul/05/2018 05:36,vjudge2,551C - GukiZ hates Boxes,GNU C++,Accepted,77 ms,800 KB,2018-07-05 05:36:00
29505539,Aug/16/2017 15:48,vjudge3,551C - GukiZ hates Boxes,GNU C++,Accepted,265 ms,800 KB,2017-08-16 15:48:00
11728640,Jun/24/2015 00:38,Zzyzx,551C - GukiZ hates Boxes,GNU C++11,Accepted,312 ms,400 KB,2015-06-24 00:38:00
39969203,Jul/05/2018 03:30,vjudge3,551C - GukiZ hates Boxes,GNU C++,Accepted,280 ms,1200 KB,2018-07-05 03:30:00
11554149,Jun/12/2015 21:07,* clq111111,551C - GukiZ hates Boxes,GNU C++11,Accepted,124 ms,400 KB,2015-06-12 21:07:00
11561343,Jun/13/2015 04:51,michael153,551C - GukiZ hates Boxes,GNU C++11,Accepted,280 ms,3100 KB,2015-06-13 04:51:00
