34566571,Jan/26/2018 09:25,vjudge3,225C - Barcode,GNU C++,Accepted,842 ms,3000 KB,2018-01-26 09:25:00
42134856,Aug/27/2018 01:20,Mk_Python_v1,225C - Barcode,Python 3,Accepted,622 ms,5800 KB,2018-08-27 01:20:00
79051730,May/05/2020 14:37,thnkdiff,225C - Barcode,GNU C++17,Accepted,404 ms,0 KB,2020-05-05 14:37:00
57130192,Jul/16/2019 09:48,shiv1470,225C - Barcode,PyPy 3,Accepted,498 ms,5500 KB,2019-07-16 09:48:00
51274100,Mar/13/2019 22:45,Ali1381,225C - Barcode,GNU C++11,Accepted,748 ms,0 KB,2019-03-13 22:45:00
48943699,Jan/25/2019 20:56,sawhil,225C - Barcode,GNU C++14,Accepted,404 ms,1100 KB,2019-01-25 20:56:00
58562909,Aug/11/2019 09:37,vjudge3,225C - Barcode,GNU C++11,Accepted,248 ms,0 KB,2019-08-11 09:37:00
7216643,Jul/24/2014 16:58,nsfxlyl,225C - Barcode,GNU C++,Accepted,156 ms,1000 KB,2014-07-24 16:58:00
7239626,Jul/25/2014 11:33,nsfxlyl,225C - Barcode,GNU C++,Accepted,156 ms,1000 KB,2014-07-25 11:33:00
48953806,Jan/26/2019 05:57,digcboy,225C - Barcode,GNU C++14,Accepted,62 ms,1000 KB,2019-01-26 05:57:00
51395435,Mar/17/2019 07:07,luogu_bot1,225C - Barcode,GNU C++11,Accepted,748 ms,0 KB,2019-03-17 07:07:00
48929873,Jan/25/2019 15:06,XianHZ,225C - Barcode,GNU C++11,Accepted,778 ms,0 KB,2019-01-25 15:06:00
48956140,Jan/26/2019 07:42,digcboy,225C - Barcode,GNU C++11,Accepted,92 ms,1000 KB,2019-01-26 07:42:00
2227715,Sep/21/2012 21:58,tamojit9,225C - Barcode,MS C++,Accepted,359 ms,2500 KB,2012-09-21 21:58:00
23559237,Jan/05/2017 19:58,szawinis,225C - Barcode,GNU C++14,Accepted,62 ms,2900 KB,2017-01-05 19:58:00
11072064,May/11/2015 19:49,manyfold,225C - Barcode,GNU C++,Accepted,872 ms,1000 KB,2015-05-11 19:49:00
13414266,Oct/05/2015 14:07,vatsalyachauhan,225C - Barcode,GNU C++,Accepted,842 ms,1000 KB,2015-10-05 14:07:00
13930640,Oct/29/2015 12:47,SarvagyaAgarwal,225C - Barcode,GNU C++11,Accepted,904 ms,1000 KB,2015-10-29 12:47:00
18267910,Jun/06/2016 12:29,kshitijgupta,225C - Barcode,GNU C++11,Accepted,872 ms,3200 KB,2016-06-06 12:29:00
18290404,Jun/07/2016 23:59,dheeraj_1997,225C - Barcode,GNU C++,Accepted,966 ms,3200 KB,2016-06-07 23:59:00
2545820,Nov/12/2012 21:18,vjudge5,225C - Barcode,GNU C++,Accepted,125 ms,1000 KB,2012-11-12 21:18:00
28293741,Jul/05/2017 07:14,somebody_else,225C - Barcode,GNU C++14,Accepted,342 ms,2900 KB,2017-07-05 07:14:00
32713321,Nov/27/2017 14:38,metowolf,225C - Barcode,GNU C++14,Accepted,218 ms,1900 KB,2017-11-27 14:38:00
24797557,Feb/19/2017 11:23,Superstorm4242,225C - Barcode,GNU C++11,Accepted,62 ms,3100 KB,2017-02-19 11:23:00
28293782,Jul/05/2017 07:17,vjudge4,225C - Barcode,GNU C++14,Accepted,342 ms,2900 KB,2017-07-05 07:17:00
36421095,Mar/20/2018 00:31,thebes,225C - Barcode,GNU C++14,Accepted,156 ms,3300 KB,2018-03-20 00:31:00
2877272,Jan/06/2013 13:17,hakobyan.tigran,225C - Barcode,MS C++,Accepted,31 ms,1000 KB,2013-01-06 13:17:00
48479014,Jan/17/2019 08:01,shravansdr_2531,225C - Barcode,GNU C++17,Accepted,92 ms,300 KB,2019-01-17 08:01:00
43999786,Oct/08/2018 16:11,JinTianHao,225C - Barcode,GNU C++11,Accepted,904 ms,1000 KB,2018-10-08 16:11:00
2221468,Sep/20/2012 07:09,nealzane,225C - Barcode,GNU C++,Accepted,46 ms,2500 KB,2012-09-20 07:09:00
45053307,Oct/29/2018 14:40,tzxydby,225C - Barcode,GNU C++17,Accepted,92 ms,300 KB,2018-10-29 14:40:00
57884090,Jul/28/2019 12:04,yanghangyv,225C - Barcode,GNU C++17,Accepted,374 ms,0 KB,2019-07-28 12:04:00
20785346,Sep/21/2016 00:29,nologic,225C - Barcode,GNU C++,Accepted,904 ms,200 KB,2016-09-21 00:29:00
38139283,May/12/2018 16:12,wanggann,225C - Barcode,GNU C++14,Accepted,468 ms,3600 KB,2018-05-12 16:12:00
41543899,Aug/13/2018 05:39,tzxydby,225C - Barcode,GNU C++,Accepted,528 ms,0 KB,2018-08-13 05:39:00
12623664,Aug/21/2015 09:24,emon11111,225C - Barcode,GNU C++11,Accepted,872 ms,200 KB,2015-08-21 09:24:00
29622215,Aug/20/2017 16:30,Haru_,225C - Barcode,GNU C++,Accepted,840 ms,1200 KB,2017-08-20 16:30:00
57883882,Jul/28/2019 11:58,vjudge5,225C - Barcode,GNU C++17,Accepted,434 ms,0 KB,2019-07-28 11:58:00
3583961,Apr/21/2013 12:09,deepak44,225C - Barcode,GNU C++,Accepted,234 ms,1000 KB,2013-04-21 12:09:00
3584100,Apr/21/2013 12:34,deepak44,225C - Barcode,GNU C++,Accepted,234 ms,1000 KB,2013-04-21 12:34:00
16532031,Mar/05/2016 14:11,happystar,225C - Barcode,GNU C++,Accepted,872 ms,1000 KB,2016-03-05 14:11:00
37654615,Apr/27/2018 11:41,HanZhongBalls,225C - Barcode,GNU C++11,Accepted,62 ms,4600 KB,2018-04-27 11:41:00
2222241,Sep/20/2012 11:24,svanidz1,225C - Barcode,GNU C++,Accepted,218 ms,2500 KB,2012-09-20 11:24:00
16581943,Mar/07/2016 16:13,Victorx,225C - Barcode,GNU C++11,Accepted,342 ms,2100 KB,2016-03-07 16:13:00
64120658,Nov/03/2019 03:56,hltk,225C - Barcode,GNU C++17,Accepted,62 ms,0 KB,2019-11-03 03:56:00
56292195,Jun/30/2019 05:22,vjudge1,225C - Barcode,GNU C++14,Accepted,404 ms,0 KB,2019-06-30 05:22:00
4245392,Aug/09/2013 07:03,alex-china,225C - Barcode,GNU C++,Accepted,186 ms,1200 KB,2013-08-09 07:03:00
16254680,Feb/21/2016 08:43,vjudge4,225C - Barcode,GNU C++,Accepted,342 ms,0 KB,2016-02-21 08:43:00
43102547,Sep/20/2018 09:24,vjudge2,225C - Barcode,GNU C++11,Accepted,92 ms,1300 KB,2018-09-20 09:24:00
47513757,Dec/26/2018 11:26,vjudge4,225C - Barcode,GNU C++17,Accepted,342 ms,2400 KB,2018-12-26 11:26:00
37633989,Apr/26/2018 14:42,sjc061031,225C - Barcode,GNU C++17,Accepted,342 ms,4300 KB,2018-04-26 14:42:00
