12083196,Jul/16/2015 15:04,varun_naganathan,117C - Cycle,GNU C++,Accepted,748 ms,24600 KB,2015-07-16 15:04:00
12629936,Aug/21/2015 18:10,master_of_none,117C - Cycle,GNU C++,Accepted,746 ms,24600 KB,2015-08-21 18:10:00
45663844,Nov/13/2018 10:17,Reegan,117C - Cycle,GNU C++14,Accepted,560 ms,24700 KB,2018-11-13 10:17:00
37698793,Apr/29/2018 06:12,vjudge5,117C - Cycle,GNU C++,Accepted,778 ms,28100 KB,2018-04-29 06:12:00
37685915,Apr/28/2018 15:45,zhongyuwei,117C - Cycle,GNU C++17,Accepted,872 ms,101800 KB,2018-04-28 15:45:00
37698799,Apr/29/2018 06:13,vjudge4,117C - Cycle,GNU C++,Accepted,808 ms,28100 KB,2018-04-29 06:13:00
7008102,Jul/04/2014 07:40,dcmm,117C - Cycle,GNU C++,Accepted,652 ms,25200 KB,2014-07-04 07:40:00
724328,Sep/25/2011 20:15,nhcuong95,117C - Cycle,FPC,Accepted,220 ms,26900 KB,2011-09-25 20:15:00
40082179,Jul/08/2018 13:36,CaNDidaTE_FaSTer,117C - Cycle,GNU C++14,Accepted,716 ms,24700 KB,2018-07-08 13:36:00
56605195,Jul/06/2019 06:59,vjudge4,117C - Cycle,GNU C++11,Accepted,498 ms,24700 KB,2019-07-06 06:59:00
1944445,Jul/27/2012 14:55,SPAND,117C - Cycle,GNU C++,Accepted,590 ms,26600 KB,2012-07-27 14:55:00
1996496,Aug/10/2012 08:16,What_Dream,117C - Cycle,GNU C++,Accepted,590 ms,26200 KB,2012-08-10 08:16:00
23925891,Jan/18/2017 18:40,YazanRi,117C - Cycle,GNU C++14,Accepted,592 ms,26600 KB,2017-01-18 18:40:00
3294825,Mar/12/2013 17:27,alibulut,117C - Cycle,GNU C++,Accepted,640 ms,24700 KB,2013-03-12 17:27:00
17219321,Apr/08/2016 00:22,sainiarpit12,117C - Cycle,GNU C++,Accepted,622 ms,26700 KB,2016-04-08 00:22:00
37698770,Apr/29/2018 06:10,vjudge2,117C - Cycle,GNU C++,Accepted,810 ms,28100 KB,2018-04-29 06:10:00
