46910651,Dec/11/2018 19:44,denkazankov4299,4C - Registration System,Python 3,Accepted,1964 ms,500 KB,2018-12-11 19:44:00
46977316,Dec/13/2018 20:22,timur8554,4C - Registration System,Python 3,Accepted,1964 ms,500 KB,2018-12-13 20:22:00
46995322,Dec/14/2018 11:01,buranbaev.den,4C - Registration System,Python 3,Accepted,1964 ms,500 KB,2018-12-14 11:01:00
47487971,Dec/25/2018 13:09,Tima_str,4C - Registration System,Python 3,Accepted,1964 ms,500 KB,2018-12-25 13:09:00
49192619,Jan/30/2019 11:53,chid_ar,4C - Registration System,Python 3,Accepted,1964 ms,500 KB,2019-01-30 11:53:00
49537312,Feb/06/2019 19:36,16wh1a0556,4C - Registration System,Python 3,Accepted,2026 ms,900 KB,2019-02-06 19:36:00
51166453,Mar/11/2019 17:28,Ethan88888888,4C - Registration System,Python 3,Accepted,1964 ms,900 KB,2019-03-11 17:28:00
55058099,Jun/03/2019 23:07,DarshanPatel,4C - Registration System,Python 3,Accepted,1996 ms,900 KB,2019-06-03 23:07:00
55309101,Jun/08/2019 19:25,kirtanpathak4,4C - Registration System,Python 3,Accepted,1996 ms,900 KB,2019-06-08 19:25:00
61080679,Sep/22/2019 19:13,Tayi_sid,4C - Registration System,Python 3,Accepted,2026 ms,800 KB,2019-09-22 19:13:00
70342458,Feb/05/2020 11:45,unitedxxxx,4C - Registration System,Python 3,Accepted,1964 ms,900 KB,2020-02-05 11:45:00
71588525,Feb/22/2020 08:37,stars_in_the_sky,4C - Registration System,Python 3,Accepted,1964 ms,900 KB,2020-02-22 08:37:00
79110611,May/06/2020 08:57,maniya_dhruvit,4C - Registration System,PyPy 3,Accepted,3306 ms,9300 KB,2020-05-06 08:57:00
79228974,May/07/2020 07:32,shohidulpolash,4C - Registration System,Python 3,Accepted,1840 ms,7300 KB,2020-05-07 07:32:00
22772472,Dec/07/2016 03:10,Gribon,4C - Registration System,Python 3,Accepted,2682 ms,5400 KB,2016-12-07 03:10:00
27095869,May/13/2017 21:56,priyansh.dalsania,4C - Registration System,Python 3,Accepted,2588 ms,1200 KB,2017-05-13 21:56:00
34004144,Jan/08/2018 16:10,boyfaceone,4C - Registration System,Python 2,Accepted,436 ms,5500 KB,2018-01-08 16:10:00
46755147,Dec/08/2018 14:18,mah1ndra,4C - Registration System,Python 3,Accepted,2028 ms,500 KB,2018-12-08 14:18:00
46974653,Dec/13/2018 18:50,LiyaKatya,4C - Registration System,Python 3,Accepted,2028 ms,500 KB,2018-12-13 18:50:00
46974687,Dec/13/2018 18:51,Julia_palm,4C - Registration System,Python 3,Accepted,2028 ms,500 KB,2018-12-13 18:51:00
46974976,Dec/13/2018 19:00,leog40,4C - Registration System,Python 3,Accepted,2028 ms,500 KB,2018-12-13 19:00:00
46995912,Dec/14/2018 11:28,18k4,4C - Registration System,Python 3,Accepted,2028 ms,500 KB,2018-12-14 11:28:00
53990989,May/11/2019 15:16,a1b2h3i4,4C - Registration System,Python 3,Accepted,2058 ms,900 KB,2019-05-11 15:16:00
70154125,Feb/03/2020 16:39,Subarna578,4C - Registration System,PyPy 3,Accepted,3242 ms,9300 KB,2020-02-03 16:39:00
73181624,Mar/14/2020 05:37,akshithaadepu,4C - Registration System,Python 3,Accepted,1964 ms,700 KB,2020-03-14 05:37:00
18504392,Jun/15/2016 21:29,hintpine,4C - Registration System,Python 2,Accepted,654 ms,7200 KB,2016-06-15 21:29:00
38331881,May/16/2018 22:58,saket13,4C - Registration System,Python 3,Accepted,2618 ms,7400 KB,2018-05-16 22:58:00
42289513,Aug/30/2018 22:38,kgmkr00001,4C - Registration System,Python 3,Accepted,2962 ms,500 KB,2018-08-30 22:38:00
43632727,Oct/01/2018 09:38,prahlad125,4C - Registration System,Python 3,Accepted,2712 ms,700 KB,2018-10-01 09:38:00
46976610,Dec/13/2018 19:57,lugenlord,4C - Registration System,Python 3,Accepted,1964 ms,500 KB,2018-12-13 19:57:00
57969211,Jul/30/2019 07:55,alankrit_singh_1,4C - Registration System,PyPy 3,Accepted,3148 ms,9300 KB,2019-07-30 07:55:00
63914529,Oct/31/2019 12:34,akashkishore10,4C - Registration System,PyPy 3,Accepted,3120 ms,9500 KB,2019-10-31 12:34:00
11127401,May/17/2015 17:15,kwakwa,4C - Registration System,JavaScript,Accepted,1090 ms,4400 KB,2015-05-17 17:15:00
32996924,Dec/07/2017 12:43,ASO,4C - Registration System,Python 3,Accepted,2464 ms,6000 KB,2017-12-07 12:43:00
33919654,Jan/05/2018 13:23,Mahdi_Shokoufi,4C - Registration System,Python 3,Accepted,2432 ms,6000 KB,2018-01-05 13:23:00
49504794,Feb/05/2019 20:00,TsutsukakushiTsukiko,4C - Registration System,PyPy 3,Accepted,2962 ms,9600 KB,2019-02-05 20:00:00
69815842,Jan/30/2020 09:08,akashpoonia79,4C - Registration System,Python 3,Accepted,1902 ms,900 KB,2020-01-30 09:08:00
72234237,Mar/02/2020 10:51,kurdistan_kurdistan,4C - Registration System,Python 3,Accepted,1902 ms,900 KB,2020-03-02 10:51:00
