11337634,May/28/2015 22:13,Amr_Hassan,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2015-05-28 22:13:00
67666702,Dec/26/2019 21:11,mota_haathi,487A - Fight the Monster,GNU C++14,Accepted,30 ms,0 KB,2019-12-26 21:11:00
12596087,Aug/19/2015 05:46,vjudge3,487A - Fight the Monster,GNU C++,Accepted,140 ms,0 KB,2015-08-19 05:46:00
18278979,Jun/07/2016 08:34,aman9,487A - Fight the Monster,GNU C++11,Accepted,15 ms,2200 KB,2016-06-07 08:34:00
78482036,Apr/29/2020 16:48,Rishabh.Jain,487A - Fight the Monster,GNU C++14,Accepted,31 ms,0 KB,2020-04-29 16:48:00
17159129,Apr/04/2016 17:25,freebsdx,487A - Fight the Monster,GNU C++11,Accepted,30 ms,2000 KB,2016-04-04 17:25:00
18054295,May/24/2016 14:26,AymanGamal,487A - Fight the Monster,GNU C++,Accepted,15 ms,2200 KB,2016-05-24 14:26:00
41991689,Aug/23/2018 12:15,Kelly,487A - Fight the Monster,GNU C++14,Accepted,171 ms,0 KB,2018-08-23 12:15:00
9057846,Dec/09/2014 14:32,ljz,488C - Fight the Monster,FPC,Accepted,15 ms,100 KB,2014-12-09 14:32:00
23267560,Dec/24/2016 11:46,SulaymaVictorZC,488C - Fight the Monster,GNU C++11,Accepted,31 ms,1800 KB,2016-12-24 11:46:00
13124737,Sep/21/2015 13:45,SmileDog,488C - Fight the Monster,MS C++,Accepted,31 ms,0 KB,2015-09-21 13:45:00
47799924,Jan/01/2019 00:10,AngrySeal,487A - Fight the Monster,GNU C++11,Accepted,31 ms,0 KB,2019-01-01 00:10:00
8797111,Nov/22/2014 11:05,Hust_YY,487A - Fight the Monster,GNU C++,Accepted,30 ms,100 KB,2014-11-22 11:05:00
9022051,Dec/08/2014 23:30,ashpsycho#,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2014-12-08 23:30:00
8841558,Nov/25/2014 05:18,graceoflives,488C - Fight the Monster,FPC,Accepted,15 ms,0 KB,2014-11-25 05:18:00
8841575,Nov/25/2014 05:20,graceoflives,487A - Fight the Monster,FPC,Accepted,15 ms,0 KB,2014-11-25 05:20:00
10338475,Mar/18/2015 17:02,rajagopal_kumar,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2015-03-18 17:02:00
11514396,Jun/09/2015 22:02,force_code,488C - Fight the Monster,GNU C++,Accepted,46 ms,0 KB,2015-06-09 22:02:00
15641240,Jan/29/2016 10:44,vicky111,487A - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2016-01-29 10:44:00
12595875,Aug/19/2015 05:22,nsfxlyl,487A - Fight the Monster,GNU C++,Accepted,717 ms,0 KB,2015-08-19 05:22:00
22824794,Dec/09/2016 05:59,nologic,487A - Fight the Monster,GNU C++,Accepted,702 ms,0 KB,2016-12-09 05:59:00
8980281,Dec/04/2014 14:15,mR.ilchi#,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2014-12-04 14:15:00
35789233,Feb/28/2018 18:17,vjudge4,488C - Fight the Monster,GNU C++,Accepted,15 ms,2000 KB,2018-02-28 18:17:00
8779151,Nov/21/2014 20:36,albertg,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2014-11-21 20:36:00
8874944,Nov/28/2014 03:40,wisest,488C - Fight the Monster,Python 3,Accepted,93 ms,0 KB,2014-11-28 03:40:00
8850644,Nov/25/2014 23:46,hossain.ruetcse,487A - Fight the Monster,GNU C++,Accepted,78 ms,0 KB,2014-11-25 23:46:00
9796199,Feb/11/2015 10:53,gnldkm,487A - Fight the Monster,Python 2,Accepted,77 ms,0 KB,2015-02-11 10:53:00
27697696,Jun/10/2017 02:41,cephian,487A - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2017-06-10 02:41:00
8792405,Nov/22/2014 00:04,Gauss,488C - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2014-11-22 00:04:00
8795380,Nov/22/2014 07:37,knowl,488C - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2014-11-22 07:37:00
16555197,Mar/06/2016 19:50,vsingh0075,487A - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2016-03-06 19:50:00
9821820,Feb/14/2015 02:38,vjudge5,487A - Fight the Monster,GNU C++,Accepted,670 ms,0 KB,2015-02-14 02:38:00
12409784,Aug/08/2015 08:39,yanice,488C - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2015-08-08 08:39:00
8880398,Nov/28/2014 18:41,ShyngyS,488C - Fight the Monster,GNU C++,Accepted,78 ms,0 KB,2014-11-28 18:41:00
21815710,Oct/27/2016 12:14,shad0w_walker#,487A - Fight the Monster,GNU C++14,Accepted,15 ms,0 KB,2016-10-27 12:14:00
24957552,Feb/24/2017 10:34,sandeep__,487A - Fight the Monster,GNU C++14,Accepted,15 ms,1800 KB,2017-02-24 10:34:00
8803656,Nov/22/2014 18:21,tomlau,488C - Fight the Monster,Python 3,Accepted,62 ms,0 KB,2014-11-22 18:21:00
8803704,Nov/22/2014 18:24,tomlau,487A - Fight the Monster,Python 3,Accepted,62 ms,0 KB,2014-11-22 18:24:00
8827360,Nov/23/2014 20:37,ankushchoton,488C - Fight the Monster,GNU C++,Accepted,46 ms,0 KB,2014-11-23 20:37:00
22286781,Nov/17/2016 14:43,t90tank#,487A - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2016-11-17 14:43:00
8790279,Nov/21/2014 22:18,vanogam,488C - Fight the Monster,GNU C++,Accepted,124 ms,0 KB,2014-11-21 22:18:00
8832153,Nov/24/2014 11:23,Rivx,488C - Fight the Monster,GNU C++0x,Accepted,31 ms,0 KB,2014-11-24 11:23:00
8844028,Nov/25/2014 12:28,lzhexp#,488C - Fight the Monster,GNU C,Accepted,15 ms,0 KB,2014-11-25 12:28:00
59930565,Sep/03/2019 09:59,sandeep_kumar_e,487A - Fight the Monster,GNU C++17,Accepted,31 ms,0 KB,2019-09-03 09:59:00
8779595,Nov/21/2014 20:39,Ra16bit,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2014-11-21 20:39:00
13328280,Oct/01/2015 13:30,manu1311,488C - Fight the Monster,GNU C++11,Accepted,31 ms,0 KB,2015-10-01 13:30:00
18963855,Jul/08/2016 10:22,SoiMae,488C - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2016-07-08 10:22:00
32144135,Nov/08/2017 21:11,YazanRi,488C - Fight the Monster,GNU C++14,Accepted,15 ms,0 KB,2017-11-08 21:11:00
11344983,May/29/2015 14:55,igdor99,488C - Fight the Monster,FPC,Accepted,15 ms,100 KB,2015-05-29 14:55:00
69401139,Jan/23/2020 11:53,Scut82,487A - Fight the Monster,GNU C++14,Accepted,31 ms,200 KB,2020-01-23 11:53:00
8841554,Nov/25/2014 05:16,graceoflives,488C - Fight the Monster,FPC,Accepted,30 ms,0 KB,2014-11-25 05:16:00
9019997,Dec/08/2014 18:43,dori,488C - Fight the Monster,GNU C++,Accepted,30 ms,0 KB,2014-12-08 18:43:00
9057054,Dec/09/2014 12:54,dori,487A - Fight the Monster,GNU C++,Accepted,30 ms,0 KB,2014-12-09 12:54:00
42901023,Sep/15/2018 22:03,garvitK,487A - Fight the Monster,GNU C++14,Accepted,31 ms,0 KB,2018-09-15 22:03:00
