22820419,Dec/08/2016 23:05,bluefi,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,30 ms,0 KB,2016-12-08 23:05:00
28637638,Jul/17/2017 14:22,cxt,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2017-07-17 14:22:00
22819874,Dec/08/2016 22:39,bluefi,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2016-12-08 22:39:00
22819947,Dec/08/2016 22:42,Rajat_Tyagi,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2016-12-08 22:42:00
22995186,Dec/15/2016 04:27,merolish,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,93 ms,1200 KB,2016-12-15 04:27:00
22783283,Dec/07/2016 13:54,luka25,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-07 13:54:00
22743126,Dec/06/2016 18:08,Eliden,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C,Accepted,15 ms,1900 KB,2016-12-06 18:08:00
22782281,Dec/07/2016 13:07,abc_1988_1106,741A - Arpa's loud Owf and Mehrdad's evil plan,PyPy 2,Accepted,77 ms,21500 KB,2016-12-07 13:07:00
23183653,Dec/20/2016 22:07,SiFa,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,2000 KB,2016-12-20 22:07:00
22742530,Dec/06/2016 18:05,receed,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,93 ms,5700 KB,2016-12-06 18:05:00
22776609,Dec/07/2016 08:22,julyc#,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-07 08:22:00
22776355,Dec/07/2016 08:08,Cyberdream,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-07 08:08:00
40488520,Jul/17/2018 21:25,petiteteaparty#,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,187 ms,1100 KB,2018-07-17 21:25:00
22741951,Dec/06/2016 18:03,marX,741A - Arpa's loud Owf and Mehrdad's evil plan,PyPy 3,Accepted,109 ms,22600 KB,2016-12-06 18:03:00
72142395,Mar/01/2020 11:43,yoddhaa,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++17,Accepted,31 ms,0 KB,2020-03-01 11:43:00
22755141,Dec/06/2016 19:00,LordVoldebug,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,4500 KB,2016-12-06 19:00:00
22911737,Dec/12/2016 22:07,1O1,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,31 ms,0 KB,2016-12-12 22:07:00
23381671,Dec/28/2016 19:12,Momentum,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-28 19:12:00
22746300,Dec/06/2016 18:19,Black_Fregat,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,4500 KB,2016-12-06 18:19:00
22741803,Dec/06/2016 18:02,crosscheese,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-06 18:02:00
71263655,Feb/17/2020 10:44,Shrey2809,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++17,Accepted,46 ms,0 KB,2020-02-17 10:44:00
22744189,Dec/06/2016 18:12,cugel,742C - Arpa's loud Owf and Mehrdad's evil plan,PyPy 3,Accepted,265 ms,38900 KB,2016-12-06 18:12:00
22777242,Dec/07/2016 09:01,Iamyxx,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 2,Accepted,124 ms,9700 KB,2016-12-07 09:01:00
22788557,Dec/07/2016 17:15,wwwxxxddd,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,30 ms,2000 KB,2016-12-07 17:15:00
22802557,Dec/08/2016 08:58,Ortsb,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,4500 KB,2016-12-08 08:58:00
71494454,Feb/20/2020 16:02,vjudge2,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++17,Accepted,46 ms,0 KB,2020-02-20 16:02:00
22736522,Dec/06/2016 17:45,Ra16bit,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-06 17:45:00
70756756,Feb/11/2020 00:32,I_love_Marion_Cotillard.,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++17,Accepted,31 ms,0 KB,2020-02-11 00:32:00
22758421,Dec/06/2016 19:19,tranbapcaiphutho,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,2100 KB,2016-12-06 19:19:00
22897251,Dec/12/2016 06:25,dihimono,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,0 KB,2016-12-12 06:25:00
22849588,Dec/10/2016 09:52,tyf0530,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,31 ms,0 KB,2016-12-10 09:52:00
50763425,Mar/04/2019 00:12,dilute2,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,46 ms,0 KB,2019-03-04 00:12:00
22794597,Dec/07/2016 21:16,sayatez#,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 2,Accepted,124 ms,9600 KB,2016-12-07 21:16:00
29708869,Aug/23/2017 16:44,Shinbai,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,0 KB,2017-08-23 16:44:00
47362358,Dec/22/2018 12:27,vjudge3,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2018-12-22 12:27:00
22947377,Dec/14/2016 14:43,Webwei,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,30 ms,0 KB,2016-12-14 14:43:00
36415809,Mar/19/2018 19:15,Secretone1,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,30 ms,3200 KB,2018-03-19 19:15:00
22753952,Dec/06/2016 18:54,rappel,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,93 ms,5700 KB,2016-12-06 18:54:00
22781659,Dec/07/2016 12:38,abdullah009,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,4500 KB,2016-12-07 12:38:00
26714896,Apr/28/2017 10:37,indra_vb6,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,1900 KB,2017-04-28 10:37:00
22748046,Dec/06/2016 18:26,lyjccmm,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,1800 KB,2016-12-06 18:26:00
22773538,Dec/07/2016 04:57,fyj_404,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-07 04:57:00
22748200,Dec/06/2016 18:27,PAG,742C - Arpa's loud Owf and Mehrdad's evil plan,FPC,Accepted,15 ms,1600 KB,2016-12-06 18:27:00
22798845,Dec/08/2016 01:48,--d#,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,78 ms,4500 KB,2016-12-08 01:48:00
22816823,Dec/08/2016 20:46,frabbi-sw,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,31 ms,0 KB,2016-12-08 20:46:00
22756985,Dec/06/2016 19:11,LYDing,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,2000 KB,2016-12-06 19:11:00
22740232,Dec/06/2016 17:55,htnhtn,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,1900 KB,2016-12-06 17:55:00
22772919,Dec/07/2016 03:54,Gribon,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,4500 KB,2016-12-07 03:54:00
22737801,Dec/06/2016 17:48,TsReaper,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,2000 KB,2016-12-06 17:48:00
23075594,Dec/18/2016 05:07,LocknKey,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,30 ms,0 KB,2016-12-18 05:07:00
26953998,May/08/2017 12:55,NevMiIVD,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,0 KB,2017-05-08 12:55:00
25948739,Mar/30/2017 13:36,phycode,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2017-03-30 13:36:00
56757481,Jul/09/2019 17:29,Mad_Andrei,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,186 ms,1100 KB,2019-07-09 17:29:00
22804758,Dec/08/2016 11:22,Kriti,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2100 KB,2016-12-08 11:22:00
22758205,Dec/06/2016 19:18,zzyypeng,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,1900 KB,2016-12-06 19:18:00
23029812,Dec/16/2016 16:07,dream_love,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,0 KB,2016-12-16 16:07:00
22767849,Dec/06/2016 22:03,iniesta8,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-06 22:03:00
22767876,Dec/06/2016 22:04,nishantarora,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-06 22:04:00
22768137,Dec/06/2016 22:13,iniesta8,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-06 22:13:00
43523273,Sep/28/2018 12:51,iota,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,31 ms,300 KB,2018-09-28 12:51:00
22758401,Dec/06/2016 19:19,jinzhao,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,1800 KB,2016-12-06 19:19:00
22782854,Dec/07/2016 13:35,fourarms,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,2000 KB,2016-12-07 13:35:00
22784916,Dec/07/2016 15:08,fourarms,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,2000 KB,2016-12-07 15:08:00
24475932,Feb/06/2017 23:22,maxkrivich,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 2,Accepted,77 ms,4600 KB,2017-02-06 23:22:00
42733345,Sep/10/2018 15:42,vjudge1,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2018-09-10 15:42:00
22874413,Dec/11/2016 12:58,Lepsvera,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,30 ms,0 KB,2016-12-11 12:58:00
77446225,Apr/21/2020 11:42,yuvrajsingh,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++17,Accepted,31 ms,0 KB,2020-04-21 11:42:00
22776630,Dec/07/2016 08:23,naveen.learning#,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-07 08:23:00
22776837,Dec/07/2016 08:35,Recoder,741A - Arpa's loud Owf and Mehrdad's evil plan,PHP,Accepted,46 ms,5900 KB,2016-12-07 08:35:00
27203125,May/18/2017 21:56,rick_c137#,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,0 KB,2017-05-18 21:56:00
23041885,Dec/17/2016 10:51,waynetuinfor,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2016-12-17 10:51:00
24822118,Feb/20/2017 15:30,vjudge3,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,31 ms,2000 KB,2017-02-20 15:30:00
22736983,Dec/06/2016 17:46,kien_coi_1997,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2100 KB,2016-12-06 17:46:00
22774725,Dec/07/2016 06:20,UsedToBe,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,2000 KB,2016-12-07 06:20:00
23037865,Dec/17/2016 04:45,swust_20131737,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,0 KB,2016-12-17 04:45:00
23789651,Jan/13/2017 19:55,szszsz,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2017-01-13 19:55:00
27728745,Jun/12/2017 03:17,RNS_JKS#,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,0 KB,2017-06-12 03:17:00
22774354,Dec/07/2016 05:54,binsjl,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,2000 KB,2016-12-07 05:54:00
22866150,Dec/11/2016 00:22,aadishj02,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,30 ms,0 KB,2016-12-11 00:22:00
22839324,Dec/09/2016 19:59,vkozlovs,742C - Arpa's loud Owf and Mehrdad's evil plan,FPC,Accepted,15 ms,0 KB,2016-12-09 19:59:00
34268743,Jan/18/2018 09:48,hesihesiwujiuwu#,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2018-01-18 09:48:00
26714905,Apr/28/2017 10:37,vjudge1,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,1900 KB,2017-04-28 10:37:00
70454207,Feb/06/2020 20:03,is_mail,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++17,Accepted,31 ms,0 KB,2020-02-06 20:03:00
22744078,Dec/06/2016 18:12,G.E.M.orz,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,1800 KB,2016-12-06 18:12:00
22740346,Dec/06/2016 17:55,Hujiwara,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-06 17:55:00
26187415,Apr/07/2017 11:34,qguaihudou#,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2017-04-07 11:34:00
23217998,Dec/22/2016 08:48,Unchang_star,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-22 08:48:00
22753339,Dec/06/2016 18:51,1366138143,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-06 18:51:00
22755777,Dec/06/2016 19:04,Reza_H,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-06 19:04:00
42855627,Sep/14/2018 12:13,vjudge2,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,31 ms,0 KB,2018-09-14 12:13:00
22744770,Dec/06/2016 18:14,shad0w_walker,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-06 18:14:00
23389447,Dec/29/2016 05:38,LoveMe_JJ,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,1800 KB,2016-12-29 05:38:00
22751638,Dec/06/2016 18:42,201530800126,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-06 18:42:00
22881890,Dec/11/2016 17:21,vjudge2,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,30 ms,0 KB,2016-12-11 17:21:00
22772193,Dec/07/2016 02:35,linrunbo,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,1800 KB,2016-12-07 02:35:00
22847215,Dec/10/2016 05:25,liaoliao,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,0 KB,2016-12-10 05:25:00
23388952,Dec/29/2016 04:12,shirokami,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++,Accepted,15 ms,1800 KB,2016-12-29 04:12:00
