6468357,Apr/25/2014 12:23,* Borunov,424C - Magic Formulas,FPC,Accepted,202 ms,3900 KB,2014-04-25 12:23:00
17896045,May/14/2016 02:35,thabetx,424C - Magic Formulas,GNU C++11,Accepted,202 ms,6100 KB,2016-05-14 02:35:00
6501420,Apr/28/2014 20:26,burakcetin,424C - Magic Formulas,GNU C++,Accepted,202 ms,3900 KB,2014-04-28 20:26:00
19668179,Aug/06/2016 13:38,Momentum,424C - Magic Formulas,GNU C++11,Accepted,249 ms,6000 KB,2016-08-06 13:38:00
57911071,Jul/28/2019 23:15,noob.learning#,424C - Magic Formulas,GNU C++17,Accepted,1731 ms,3900 KB,2019-07-28 23:15:00
25880843,Mar/28/2017 21:01,slonmudrosti,424C - Magic Formulas,Python 2,Accepted,1591 ms,61000 KB,2017-03-28 21:01:00
13135504,Sep/22/2015 08:27,novice_4,424C - Magic Formulas,Python 2,Accepted,1544 ms,52400 KB,2015-09-22 08:27:00
59507742,Aug/26/2019 09:49,AlKhawarizmiAliraqi,424C - Magic Formulas,GNU C++14,Accepted,265 ms,3900 KB,2019-08-26 09:49:00
6686397,May/23/2014 13:37,itisalways42#,424C - Magic Formulas,GNU C++,Accepted,1170 ms,3900 KB,2014-05-23 13:37:00
10201121,Mar/08/2015 09:27,JokerNVT,424C - Magic Formulas,GNU C++,Accepted,202 ms,4800 KB,2015-03-08 09:27:00
6475364,Apr/25/2014 22:57,LordArian,424C - Magic Formulas,GNU C++,Accepted,857 ms,7800 KB,2014-04-25 22:57:00
6470437,Apr/25/2014 13:20,upzaaaa,424C - Magic Formulas,GNU C++,Accepted,218 ms,3900 KB,2014-04-25 13:20:00
14689528,Dec/07/2015 20:18,UltraRus26laN,424C - Magic Formulas,FPC,Accepted,202 ms,7800 KB,2015-12-07 20:18:00
21246475,Oct/07/2016 01:03,i_hate_cp,424C - Magic Formulas,GNU C++11,Accepted,389 ms,4800 KB,2016-10-07 01:03:00
23502810,Jan/02/2017 19:32,coolboy95,424C - Magic Formulas,GNU C++,Accepted,296 ms,5800 KB,2017-01-02 19:32:00
25347427,Mar/08/2017 21:14,21August,424C - Magic Formulas,GNU C++14,Accepted,280 ms,5800 KB,2017-03-08 21:14:00
18585847,Jun/18/2016 22:17,m7mdkamal,424C - Magic Formulas,GNU C++11,Accepted,218 ms,3700 KB,2016-06-18 22:17:00
55717197,Jun/18/2019 16:20,spellstaker,424C - Magic Formulas,Python 3,Accepted,1434 ms,55800 KB,2019-06-18 16:20:00
6760561,Jun/01/2014 08:58,shashank201101193,424C - Magic Formulas,Python 2,Accepted,1528 ms,62300 KB,2014-06-01 08:58:00
15444649,Jan/20/2016 01:17,NWO,424C - Magic Formulas,GNU C++,Accepted,249 ms,3700 KB,2016-01-20 01:17:00
6545685,May/04/2014 20:22,Vlad_kv,424C - Magic Formulas,MS C++,Accepted,249 ms,3800 KB,2014-05-04 20:22:00
6520269,May/02/2014 09:29,germanchowder,424C - Magic Formulas,GNU C++0x,Accepted,202 ms,3900 KB,2014-05-02 09:29:00
10266443,Mar/14/2015 08:47,imprtant,424C - Magic Formulas,Python 3,Accepted,1574 ms,56900 KB,2015-03-14 08:47:00
61123811,Sep/23/2019 17:11,shrikant.2251,424C - Magic Formulas,GNU C++17,Accepted,280 ms,7800 KB,2019-09-23 17:11:00
6508064,Apr/30/2014 04:16,iridescent,424C - Magic Formulas,Python 2,Accepted,1699 ms,52500 KB,2014-04-30 04:16:00
6537095,May/03/2014 12:11,xiyanxiyan10,424C - Magic Formulas,GNU C++,Accepted,826 ms,4300 KB,2014-05-03 12:11:00
