43427397,Sep/26/2018 00:22,ahmedsharyo,95A - Hockey,Ruby,Accepted,154 ms,500 KB,2018-09-26 00:22:00
537474,Jul/08/2011 22:15,fura2,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 22:15:00
4392298,Sep/01/2013 14:11,viv001,95A - Hockey,GNU C++,Accepted,30 ms,200 KB,2013-09-01 14:11:00
30991826,Oct/04/2017 15:36,MFoad_Aba,95A - Hockey,GNU C++14,Accepted,30 ms,900 KB,2017-10-04 15:36:00
533830,Jul/08/2011 19:37,aan93,96C - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-08 19:37:00
536814,Jul/08/2011 21:37,aan93,95A - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-08 21:37:00
15591808,Jan/26/2016 14:29,vjudge3,95A - Hockey,GNU C++11,Accepted,30 ms,0 KB,2016-01-26 14:29:00
984908,Dec/25/2011 12:04,tmt514,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-12-25 12:04:00
15511450,Jan/23/2016 12:02,NWO,95A - Hockey,GNU C++,Accepted,30 ms,0 KB,2016-01-23 12:02:00
533058,Jul/08/2011 19:21,LGM,95A - Hockey,GNU C++,Accepted,60 ms,1400 KB,2011-07-08 19:21:00
30991759,Oct/04/2017 15:32,vjudge5,95A - Hockey,GNU C++14,Accepted,30 ms,900 KB,2017-10-04 15:32:00
22802984,Dec/08/2016 09:28,qweiop77,96C - Hockey,GNU C++14,Accepted,30 ms,1900 KB,2016-12-08 09:28:00
51979347,Mar/29/2019 18:37,AngrySeal,95A - Hockey,GNU C++14,Accepted,62 ms,200 KB,2019-03-29 18:37:00
59240027,Aug/21/2019 22:12,rainboy,95A - Hockey,GNU C11,Accepted,62 ms,0 KB,2019-08-21 22:12:00
41433273,Aug/10/2018 16:41,Photon_,95A - Hockey,GNU C++17,Accepted,62 ms,100 KB,2018-08-10 16:41:00
588905,Aug/07/2011 10:42,evima,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-08-07 10:42:00
602208,Aug/11/2011 06:22,maksay,95A - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-08-11 06:22:00
1645409,Apr/30/2012 11:54,radix.ru,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2012-04-30 11:54:00
35546940,Feb/21/2018 15:28,aro1,95A - Hockey,GNU C++,Accepted,30 ms,2100 KB,2018-02-21 15:28:00
533139,Jul/08/2011 19:23,Ra16bit,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:23:00
536784,Jul/08/2011 21:36,whhone,95A - Hockey,GNU C++,Accepted,30 ms,1300 KB,2011-07-08 21:36:00
24610052,Feb/12/2017 16:57,farmerboy,95A - Hockey,GNU C++,Accepted,30 ms,2000 KB,2017-02-12 16:57:00
15587971,Jan/26/2016 10:02,vjudge2,95A - Hockey,GNU C++,Accepted,30 ms,0 KB,2016-01-26 10:02:00
533921,Jul/08/2011 19:40,tonyjjw,96C - Hockey,GNU C++,Accepted,30 ms,1300 KB,2011-07-08 19:40:00
1449042,Apr/01/2012 15:37,tsfn,95A - Hockey,GNU C++,Accepted,50 ms,1400 KB,2012-04-01 15:37:00
60359151,Sep/10/2019 20:28,akash_3135,95A - Hockey,GNU C11,Accepted,62 ms,0 KB,2019-09-10 20:28:00
29512367,Aug/16/2017 22:03,RedStone,95A - Hockey,GNU C++14,Accepted,30 ms,200 KB,2017-08-16 22:03:00
76319332,Apr/12/2020 14:12,sourabhgol1999,96C - Hockey,GNU C++11,Accepted,62 ms,100 KB,2020-04-12 14:12:00
76319354,Apr/12/2020 14:13,sourabhgol1999,96C - Hockey,GNU C++17,Accepted,62 ms,200 KB,2020-04-12 14:13:00
534997,Jul/08/2011 20:10,teoy,96C - Hockey,GNU C,Accepted,30 ms,1300 KB,2011-07-08 20:10:00
552201,Jul/20/2011 14:32,xavier_lt,95A - Hockey,GNU C++,Accepted,50 ms,1300 KB,2011-07-20 14:32:00
537135,Jul/08/2011 21:47,Tsumiman,96C - Hockey,Python 2,Accepted,60 ms,2800 KB,2011-07-08 21:47:00
537142,Jul/08/2011 21:47,Tsumiman,95A - Hockey,Python 2,Accepted,60 ms,2800 KB,2011-07-08 21:47:00
543711,Jul/13/2011 01:15,luciys,95A - Hockey,FPC,Accepted,50 ms,1200 KB,2011-07-13 01:15:00
53318066,Apr/26/2019 14:30,jaaguptamme,95A - Hockey,GNU C++17,Accepted,62 ms,900 KB,2019-04-26 14:30:00
534618,Jul/08/2011 19:59,watashi,95A - Hockey,GNU C++0x,Accepted,50 ms,1400 KB,2011-07-08 19:59:00
834037,Jul/08/2011 19:28,Vladl1313#,96C - Hockey,FPC,Accepted,30 ms,1200 KB,2011-07-08 19:28:00
40839421,Jul/27/2018 11:55,ahmedAbuamra,95A - Hockey,GNU C++14,Accepted,62 ms,200 KB,2018-07-27 11:55:00
36571296,Mar/24/2018 13:44,chetan52720,95A - Hockey,GNU C++11,Accepted,60 ms,3700 KB,2018-03-24 13:44:00
534728,Jul/08/2011 20:02,IrisM,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 20:02:00
24888299,Feb/22/2017 11:45,Runli_the_worst,95A - Hockey,GNU C++14,Accepted,60 ms,1900 KB,2017-02-22 11:45:00
25107552,Feb/28/2017 21:12,Ilnur_the_best,95A - Hockey,GNU C++14,Accepted,60 ms,1900 KB,2017-02-28 21:12:00
533457,Jul/08/2011 19:29,tsotne,96C - Hockey,GNU C++,Accepted,30 ms,1300 KB,2011-07-08 19:29:00
6643217,May/17/2014 18:16,ASoboll#,96C - Hockey,MS C++,Accepted,30 ms,0 KB,2014-05-17 18:16:00
12831310,Sep/03/2015 19:23,SaMer,95A - Hockey,GNU C++11,Accepted,60 ms,0 KB,2015-09-03 19:23:00
76652709,Apr/14/2020 06:14,Swarn10,95A - Hockey,GNU C++14,Accepted,62 ms,0 KB,2020-04-14 06:14:00
15589498,Jan/26/2016 11:44,vjudge5,95A - Hockey,GNU C++,Accepted,30 ms,0 KB,2016-01-26 11:44:00
532913,Jul/08/2011 19:19,pedja,95A - Hockey,FPC,Accepted,30 ms,1000 KB,2011-07-08 19:19:00
532727,Jul/08/2011 19:15,ACube,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:15:00
545837,Jul/15/2011 09:43,cavalier,95A - Hockey,GNU C++0x,Accepted,50 ms,1300 KB,2011-07-15 09:43:00
74175059,Mar/24/2020 10:54,WhatsInItForMe,95A - Hockey,GNU C++17,Accepted,62 ms,300 KB,2020-03-24 10:54:00
15586144,Jan/26/2016 07:48,vjudge3,95A - Hockey,GNU C++,Accepted,30 ms,0 KB,2016-01-26 07:48:00
4392552,Sep/01/2013 15:05,darkshadows,95A - Hockey,GNU C++,Accepted,30 ms,200 KB,2013-09-01 15:05:00
533172,Jul/08/2011 19:24,Myungwoo,95A - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-08 19:24:00
12780797,Aug/30/2015 22:00,roniel#,96C - Hockey,GNU C++,Accepted,62 ms,0 KB,2015-08-30 22:00:00
36516464,Mar/23/2018 00:55,GLAYS,95A - Hockey,GNU C++14,Accepted,62 ms,3400 KB,2018-03-23 00:55:00
