223089,Dec/17/2010 19:35,kolina,49C - Disposition,FPC,Accepted,50 ms,900 KB,2010-12-17 19:35:00
12797357,Sep/01/2015 08:36,Scu_Mao,49C - Disposition,GNU C++11,Accepted,124 ms,0 KB,2015-09-01 08:36:00
11724715,Jun/23/2015 17:36,ITDOI#,49C - Disposition,GNU C++11,Accepted,124 ms,0 KB,2015-06-23 17:36:00
68986631,Jan/17/2020 15:44,dingdingsb,49C - Disposition,GNU C++11,Accepted,92 ms,0 KB,2020-01-17 15:44:00
14837455,Dec/16/2015 20:13,Lamductan,49C - Disposition,GNU C++,Accepted,62 ms,0 KB,2015-12-16 20:13:00
42424391,Sep/03/2018 14:57,luogu_bot2,49C - Disposition,GNU C++11,Accepted,124 ms,200 KB,2018-09-03 14:57:00
12018057,Jul/12/2015 14:13,YakutovDmitriy,49C - Disposition,GNU C++11,Accepted,92 ms,0 KB,2015-07-12 14:13:00
225197,Dec/19/2010 00:17,master_j,49C - Disposition,GNU C++,Accepted,60 ms,1900 KB,2010-12-19 00:17:00
58868219,Aug/15/2019 17:13,wuhuang1,49C - Disposition,GNU C++11,Accepted,124 ms,0 KB,2019-08-15 17:13:00
3902700,Jun/15/2013 23:18,ShadowSong,49C - Disposition,GNU C++,Accepted,46 ms,0 KB,2013-06-15 23:18:00
42424370,Sep/03/2018 14:57,tzc_wk,49C - Disposition,GNU C++17,Accepted,62 ms,0 KB,2018-09-03 14:57:00
3517602,Apr/12/2013 15:43,vjudge4,49C - Disposition,GNU C++,Accepted,46 ms,0 KB,2013-04-12 15:43:00
7499833,Aug/18/2014 14:20,kawazaki,49C - Disposition,GNU C++,Accepted,62 ms,0 KB,2014-08-18 14:20:00
70341534,Feb/05/2020 11:33,programmer228,49C - Disposition,GNU C++17,Accepted,92 ms,0 KB,2020-02-05 11:33:00
6058321,Mar/18/2014 03:39,ghooo,49C - Disposition,GNU C++,Accepted,62 ms,0 KB,2014-03-18 03:39:00
12797848,Sep/01/2015 09:37,Harry502,49C - Disposition,GNU C++,Accepted,92 ms,0 KB,2015-09-01 09:37:00
1874710,Jul/08/2012 05:39,zlshang,49C - Disposition,GNU C++,Accepted,50 ms,1400 KB,2012-07-08 05:39:00
25449393,Mar/13/2017 11:23,scope,49C - Disposition,GNU C++14,Accepted,60 ms,1900 KB,2017-03-13 11:23:00
225787,Jan/03/2011 16:17,guille,49C - Disposition,GNU C++,Accepted,60 ms,1300 KB,2011-01-03 16:17:00
1097434,Jan/20/2012 18:27,lysine,49C - Disposition,GNU C++,Accepted,50 ms,1400 KB,2012-01-20 18:27:00
42261510,Aug/30/2018 06:38,habdala70,49C - Disposition,GNU C++11,Accepted,154 ms,0 KB,2018-08-30 06:38:00
70445447,Feb/06/2020 18:01,big_tq,49C - Disposition,GNU C++11,Accepted,92 ms,0 KB,2020-02-06 18:01:00
224899,Dec/18/2010 07:32,1guangnian,49C - Disposition,MS C++,Accepted,60 ms,1600 KB,2010-12-18 07:32:00
71384447,Feb/18/2020 17:29,luogu_bot1,49C - Disposition,GNU C++11,Accepted,156 ms,0 KB,2020-02-18 17:29:00
222967,Dec/17/2010 19:31,* xiaoyoulei,49C - Disposition,MS C++,Accepted,110 ms,1300 KB,2010-12-17 19:31:00
13891540,Oct/27/2015 16:51,TheDarkKnight989,49C - Disposition,GNU C++11,Accepted,62 ms,0 KB,2015-10-27 16:51:00
