26401613,Apr/16/2017 05:22,dailong,165C - Another Problem on Strings,GNU C++,Accepted,372 ms,84200 KB,2017-04-16 05:22:00
28782925,Jul/22/2017 19:14,betsycamus,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,83100 KB,2017-07-22 19:14:00
71114185,Feb/15/2020 13:30,Tuitkf,165C - Another Problem on Strings,GNU C++11,Accepted,312 ms,11700 KB,2020-02-15 13:30:00
11175879,May/20/2015 12:50,ss_nitian,165C - Another Problem on Strings,GNU C++,Accepted,372 ms,9900 KB,2015-05-20 12:50:00
11242039,May/23/2015 20:57,bhargav104,165C - Another Problem on Strings,GNU C++11,Accepted,372 ms,9900 KB,2015-05-23 20:57:00
20406027,Sep/05/2016 21:56,shivanand217,165C - Another Problem on Strings,GNU C++11,Accepted,404 ms,11700 KB,2016-09-05 21:56:00
28159140,Jun/30/2017 01:16,The_Learners,165C - Another Problem on Strings,GNU C++14,Accepted,374 ms,13500 KB,2017-06-30 01:16:00
40080880,Jul/08/2018 12:31,micutu,165C - Another Problem on Strings,GNU C++,Accepted,374 ms,12600 KB,2018-07-08 12:31:00
2983157,Jan/22/2013 14:52,Chen_ChaoRui,165C - Another Problem on Strings,FPC,Accepted,46 ms,9200 KB,2013-01-22 14:52:00
14512690,Nov/27/2015 17:21,_roCkY_,165C - Another Problem on Strings,GNU C++,Accepted,468 ms,11700 KB,2015-11-27 17:21:00
6003707,Mar/12/2014 18:28,LowB,165C - Another Problem on Strings,JavaScript,Accepted,122 ms,17500 KB,2014-03-12 18:28:00
8315509,Oct/19/2014 14:43,woyeshizuile,165C - Another Problem on Strings,GNU C++,Accepted,218 ms,6400 KB,2014-10-19 14:43:00
4391476,Sep/01/2013 10:14,agural,165C - Another Problem on Strings,GNU C++,Accepted,186 ms,10300 KB,2013-09-01 10:14:00
5620717,Jan/05/2014 12:42,PSDEV,165C - Another Problem on Strings,GNU C++,Accepted,156 ms,10300 KB,2014-01-05 12:42:00
74926901,Mar/31/2020 16:20,SakshamK6,165C - Another Problem on Strings,PyPy 3,Accepted,810 ms,58200 KB,2020-03-31 16:20:00
4391448,Sep/01/2013 10:02,agural,165C - Another Problem on Strings,GNU C++,Accepted,186 ms,10300 KB,2013-09-01 10:02:00
27290183,May/22/2017 22:20,The_Winners,165C - Another Problem on Strings,FPC,Accepted,62 ms,12200 KB,2017-05-22 22:20:00
43435484,Sep/26/2018 08:13,soumyasarkar1998,165C - Another Problem on Strings,PyPy 2,Accepted,374 ms,12300 KB,2018-09-26 08:13:00
46996466,Dec/14/2018 11:47,Outsourcer,165C - Another Problem on Strings,GNU C++14,Accepted,312 ms,6800 KB,2018-12-14 11:47:00
1375066,Mar/18/2012 13:53,shinshin0811,165C - Another Problem on Strings,GNU C++,Accepted,140 ms,10800 KB,2012-03-18 13:53:00
4391990,Sep/01/2013 12:54,saketh,165C - Another Problem on Strings,GNU C++,Accepted,186 ms,10300 KB,2013-09-01 12:54:00
11078592,May/12/2015 16:20,thocevar,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,6000 KB,2015-05-12 16:20:00
11633550,Jun/18/2015 16:53,ITDOI,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,6000 KB,2015-06-18 16:53:00
50631249,Mar/01/2019 12:15,codexharsh,165C - Another Problem on Strings,GNU C++14,Accepted,312 ms,6800 KB,2019-03-01 12:15:00
23831636,Jan/15/2017 08:54,redchrom,165C - Another Problem on Strings,GNU C++14,Accepted,436 ms,13500 KB,2017-01-15 08:54:00
35289864,Feb/15/2018 13:49,kulkarni.rachit,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,13400 KB,2018-02-15 13:49:00
13580343,Oct/12/2015 20:30,Behnam,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,9900 KB,2015-10-12 20:30:00
45501822,Nov/10/2018 11:04,singlashubham957,165C - Another Problem on Strings,GNU C++11,Accepted,1120 ms,80300 KB,2018-11-10 11:04:00
1763139,Jun/04/2012 12:05,Omelianenko,165C - Another Problem on Strings,FPC,Accepted,50 ms,10200 KB,2012-06-04 12:05:00
4392064,Sep/01/2013 13:11,saketh,165C - Another Problem on Strings,GNU C++,Accepted,248 ms,8200 KB,2013-09-01 13:11:00
7325349,Aug/02/2014 10:21,Myguicl,165C - Another Problem on Strings,FPC,Accepted,62 ms,9200 KB,2014-08-02 10:21:00
14178287,Nov/10/2015 01:42,130705009,165C - Another Problem on Strings,GNU C++,Accepted,902 ms,8200 KB,2015-11-10 01:42:00
18769483,Jun/28/2016 18:17,amand26,165C - Another Problem on Strings,GNU C++,Accepted,374 ms,11700 KB,2016-06-28 18:17:00
59550037,Aug/27/2019 05:08,Chem_Than,165C - Another Problem on Strings,GNU C++17,Accepted,312 ms,11600 KB,2019-08-27 05:08:00
59557079,Aug/27/2019 09:44,adarshgabbar007,165C - Another Problem on Strings,GNU C++17,Accepted,312 ms,11600 KB,2019-08-27 09:44:00
80443483,May/17/2020 10:18,tasokekenadze,165C - Another Problem on Strings,GNU C++14,Accepted,310 ms,84800 KB,2020-05-17 10:18:00
6002266,Mar/12/2014 14:40,LowB,165C - Another Problem on Strings,JavaScript,Accepted,124 ms,17500 KB,2014-03-12 14:40:00
19539549,Jul/31/2016 17:02,Awti,165C - Another Problem on Strings,GNU C++,Accepted,404 ms,7800 KB,2016-07-31 17:02:00
76452172,Apr/13/2020 08:34,vjudge3,165C - Another Problem on Strings,PyPy 3,Accepted,1372 ms,19000 KB,2020-04-13 08:34:00
6002270,Mar/12/2014 14:41,LowB,165C - Another Problem on Strings,JavaScript,Accepted,124 ms,17500 KB,2014-03-12 14:41:00
57292941,Jul/18/2019 20:37,Hach,165C - Another Problem on Strings,GNU C++17,Accepted,342 ms,10700 KB,2019-07-18 20:37:00
6959700,Jun/25/2014 23:37,WARenie,165C - Another Problem on Strings,FPC,Accepted,92 ms,3900 KB,2014-06-25 23:37:00
65336435,Nov/19/2019 12:06,Mohamed_Ayman,165C - Another Problem on Strings,PyPy 3,Accepted,468 ms,15700 KB,2019-11-19 12:06:00
1378375,Mar/19/2012 06:55,Archon.JK,165C - Another Problem on Strings,GNU C++0x,Accepted,50 ms,6200 KB,2012-03-19 06:55:00
6002276,Mar/12/2014 14:42,LowB,165C - Another Problem on Strings,JavaScript,Accepted,122 ms,17500 KB,2014-03-12 14:42:00
16537651,Mar/05/2016 19:29,mohamadsrour,165C - Another Problem on Strings,GNU C++,Accepted,436 ms,11700 KB,2016-03-05 19:29:00
47883935,Jan/03/2019 23:18,namanbansal013,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,10700 KB,2019-01-03 23:18:00
45182433,Nov/01/2018 20:53,tortoise1,165C - Another Problem on Strings,GNU C++14,Accepted,312 ms,10800 KB,2018-11-01 20:53:00
25947898,Mar/30/2017 13:06,r8b8,165C - Another Problem on Strings,GNU C++11,Accepted,374 ms,13700 KB,2017-03-30 13:06:00
42126471,Aug/26/2018 18:33,samer_orfali,165C - Another Problem on Strings,GNU C++,Accepted,404 ms,11700 KB,2018-08-26 18:33:00
4306789,Aug/18/2013 09:38,fatehunter,165C - Another Problem on Strings,GNU C++,Accepted,62 ms,5100 KB,2013-08-18 09:38:00
11112697,May/16/2015 05:50,vjudge5,165C - Another Problem on Strings,GNU C++,Accepted,342 ms,6000 KB,2015-05-16 05:50:00
17529264,Apr/27/2016 02:13,Hackrxer#,165C - Another Problem on Strings,GNU C++11,Accepted,404 ms,13900 KB,2016-04-27 02:13:00
79076561,May/05/2020 19:40,juggernaut,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,18600 KB,2020-05-05 19:40:00
6099522,Mar/21/2014 19:35,AndrewVychev,165C - Another Problem on Strings,FPC,Accepted,92 ms,3900 KB,2014-03-21 19:35:00
10223781,Mar/10/2015 09:02,IITianUG,165C - Another Problem on Strings,GNU C++,Accepted,342 ms,6000 KB,2015-03-10 09:02:00
52748114,Apr/14/2019 15:41,Akbar_Ali,165C - Another Problem on Strings,GNU C++17,Accepted,312 ms,10700 KB,2019-04-14 15:41:00
72600784,Mar/06/2020 22:49,2017331037,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,10700 KB,2020-03-06 22:49:00
1913630,Jul/20/2012 14:02,SPAND,165C - Another Problem on Strings,GNU C++,Accepted,140 ms,10800 KB,2012-07-20 14:02:00
18038736,May/23/2016 06:50,hznu2,165C - Another Problem on Strings,GNU C++,Accepted,374 ms,14200 KB,2016-05-23 06:50:00
