30026808,Sep/03/2017 11:00,saba2000,319C - Kalila and Dimna in the Logging Industry,GNU C++14,Accepted,390 ms,3500 KB,2017-09-03 11:00:00
3956436,Jun/24/2013 20:34,Nwinter,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,343 ms,3000 KB,2013-06-24 20:34:00
4083139,Jul/17/2013 05:16,vjudge4,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,93 ms,3100 KB,2013-07-17 05:16:00
10248363,Mar/12/2015 17:28,sutekine,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,124 ms,3000 KB,2015-03-12 17:28:00
3957531,Jun/25/2013 05:34,milenkoviclazar,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,359 ms,2700 KB,2013-06-25 05:34:00
3951589,Jun/23/2013 20:37,Jaejoong,319C - Kalila and Dimna in the Logging Industry,GNU C++0x,Accepted,93 ms,1700 KB,2013-06-23 20:37:00
3948586,Jun/23/2013 18:27,hime,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,109 ms,3100 KB,2013-06-23 18:27:00
4301012,Aug/17/2013 07:44,aaaypq,319C - Kalila and Dimna in the Logging Industry,FPC,Accepted,124 ms,3100 KB,2013-08-17 07:44:00
71641266,Feb/23/2020 06:44,WarrenWorks,319C - Kalila and Dimna in the Logging Industry,Python 3,Accepted,529 ms,10700 KB,2020-02-23 06:44:00
3949878,Jun/23/2013 18:50,ufo-cpu,320E - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,359 ms,3000 KB,2013-06-23 18:50:00
46282327,Nov/27/2018 17:01,Ehsan22,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,421 ms,27400 KB,2018-11-27 17:01:00
28902377,Jul/26/2017 14:28,-synx-,319C - Kalila and Dimna in the Logging Industry,GNU C++14,Accepted,77 ms,3700 KB,2017-07-26 14:28:00
15957085,Feb/11/2016 16:47,vjudge1,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,546 ms,2800 KB,2016-02-11 16:47:00
3947971,Jun/23/2013 18:15,sy2006,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,109 ms,1900 KB,2013-06-23 18:15:00
5321346,Dec/01/2013 16:03,PSDEV,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,124 ms,3100 KB,2013-12-01 16:03:00
