24184008,Jan/27/2017 12:23,aadishj02,734C - Anton and Making Potions,GNU C++14,Accepted,1637 ms,8100 KB,2017-01-27 12:23:00
29832114,Aug/27/2017 21:02,ImagineDragons,734C - Anton and Making Potions,GNU C++14,Accepted,1684 ms,6300 KB,2017-08-27 21:02:00
47494022,Dec/25/2018 16:57,Jesse123,734C - Anton and Making Potions,Python 3,Accepted,794 ms,33200 KB,2018-12-25 16:57:00
22249878,Nov/15/2016 22:43,sbagan,734C - Anton and Making Potions,Python 3,Accepted,779 ms,34600 KB,2016-11-15 22:43:00
22264345,Nov/16/2016 13:57,beched,734C - Anton and Making Potions,PyPy 2,Accepted,327 ms,24300 KB,2016-11-16 13:57:00
22664223,Dec/02/2016 21:53,cgfs10000,734C - Anton and Making Potions,Python 2,Accepted,1044 ms,21200 KB,2016-12-02 21:53:00
22664251,Dec/02/2016 21:55,cgfs10000,734C - Anton and Making Potions,PyPy 2,Accepted,390 ms,24200 KB,2016-12-02 21:55:00
22780653,Dec/07/2016 11:49,asdfghjkl2345,734C - Anton and Making Potions,Python 3,Accepted,732 ms,34000 KB,2016-12-07 11:49:00
22252346,Nov/15/2016 23:58,ITDOI#,734C - Anton and Making Potions,GNU C++11,Accepted,467 ms,6300 KB,2016-11-15 23:58:00
22239351,Nov/15/2016 20:27,VeryLonelyRaccoon,734C - Anton and Making Potions,Python 3,Accepted,3010 ms,34500 KB,2016-11-15 20:27:00
22257778,Nov/16/2016 07:53,Darknight,734C - Anton and Making Potions,GNU C++11,Accepted,1934 ms,31300 KB,2016-11-16 07:53:00
33387109,Dec/18/2017 20:02,zhukm1227,734C - Anton and Making Potions,Python 3,Accepted,904 ms,38900 KB,2017-12-18 20:02:00
55296874,Jun/08/2019 13:16,anshuman16423,734C - Anton and Making Potions,PyPy 2,Accepted,280 ms,19400 KB,2019-06-08 13:16:00
22253619,Nov/16/2016 01:30,TISparta,734C - Anton and Making Potions,Python 3,Accepted,3135 ms,33900 KB,2016-11-16 01:30:00
22266872,Nov/16/2016 15:37,hansy2015,734C - Anton and Making Potions,GNU C++,Accepted,1980 ms,6300 KB,2016-11-16 15:37:00
22639507,Dec/01/2016 15:48,damiane_kapanadze,734C - Anton and Making Potions,GNU C++,Accepted,1950 ms,6300 KB,2016-12-01 15:48:00
22271522,Nov/16/2016 18:38,williamchen,734C - Anton and Making Potions,PyPy 3,Accepted,1325 ms,29700 KB,2016-11-16 18:38:00
77416796,Apr/21/2020 03:00,beethoven97,734C - Anton and Making Potions,PyPy 2,Accepted,327 ms,21900 KB,2020-04-21 03:00:00
22364540,Nov/20/2016 16:25,calla212,734C - Anton and Making Potions,GNU C++,Accepted,2074 ms,6300 KB,2016-11-20 16:25:00
23456667,Dec/30/2016 22:53,hsrf7,734C - Anton and Making Potions,GNU C++11,Accepted,3961 ms,8300 KB,2016-12-30 22:53:00
54059243,May/13/2019 13:17,vjudge2,734C - Anton and Making Potions,GNU C++17,Accepted,1450 ms,6300 KB,2019-05-13 13:17:00
