40734013,Jul/25/2018 11:55,_iconer_,281E - Game on Tree,GNU C++11,Accepted,154 ms,9000 KB,2018-07-25 11:55:00
24229012,Jan/28/2017 18:36,Ehsan22,280C - Game on Tree,GNU C++11,Accepted,280 ms,11000 KB,2017-01-28 18:36:00
38153864,May/13/2018 09:38,Lakh,280C - Game on Tree,GNU C++11,Accepted,810 ms,16300 KB,2018-05-13 09:38:00
3412781,Mar/27/2013 20:45,judge,280C - Game on Tree,GNU C++,Accepted,93 ms,9100 KB,2013-03-27 20:45:00
72102218,Feb/29/2020 17:03,luogu_bot3,280C - Game on Tree,GNU C++11,Accepted,92 ms,6500 KB,2020-02-29 17:03:00
72102289,Feb/29/2020 17:04,Changyu,280C - Game on Tree,GNU C++17,Accepted,124 ms,6600 KB,2020-02-29 17:04:00
72980583,Mar/11/2020 22:21,saza,281E - Game on Tree,GNU C++11,Accepted,654 ms,7800 KB,2020-03-11 22:21:00
63725064,Oct/29/2019 15:28,carryup,280C - Game on Tree,GNU C++11,Accepted,92 ms,7000 KB,2019-10-29 15:28:00
3289797,Mar/11/2013 16:26,dhh1995,280C - Game on Tree,GNU C++,Accepted,62 ms,3900 KB,2013-03-11 16:26:00
12388579,Aug/06/2015 15:39,asdsteven2,280C - Game on Tree,GNU C++,Accepted,92 ms,5300 KB,2015-08-06 15:39:00
28017662,Jun/25/2017 10:29,ruhan.habib39,280C - Game on Tree,GNU C++14,Accepted,124 ms,11000 KB,2017-06-25 10:29:00
42105769,Aug/26/2018 03:16,zhaimingshuzms,280C - Game on Tree,GNU C++17,Accepted,124 ms,6600 KB,2018-08-26 03:16:00
77356442,Apr/20/2020 14:55,luogu_bot2,280C - Game on Tree,GNU C++11,Accepted,92 ms,6400 KB,2020-04-20 14:55:00
10499035,Mar/28/2015 13:52,xlk,280C - Game on Tree,GNU C++,Accepted,124 ms,9000 KB,2015-03-28 13:52:00
16296442,Feb/23/2016 19:58,gedica,280C - Game on Tree,GNU C++11,Accepted,122 ms,9000 KB,2016-02-23 19:58:00
19137374,Jul/15/2016 01:40,dcordb,280C - Game on Tree,GNU C++11,Accepted,92 ms,9000 KB,2016-07-15 01:40:00
41138606,Aug/03/2018 03:27,vjudge5,280C - Game on Tree,GNU C++11,Accepted,746 ms,7800 KB,2018-08-03 03:27:00
72225385,Mar/02/2020 06:30,wbyyui,280C - Game on Tree,GNU C++11,Accepted,124 ms,7800 KB,2020-03-02 06:30:00
73833558,Mar/20/2020 23:46,CaiJiZXY,281E - Game on Tree,GNU C++11,Accepted,654 ms,7800 KB,2020-03-20 23:46:00
28596400,Jul/16/2017 15:50,vjudge4,280C - Game on Tree,GNU C++11,Accepted,122 ms,11000 KB,2017-07-16 15:50:00
15267190,Jan/09/2016 12:43,vedaanta,280C - Game on Tree,GNU C++11,Accepted,342 ms,9800 KB,2016-01-09 12:43:00
40921511,Jul/29/2018 18:02,Chenqiqian,280C - Game on Tree,GNU C++11,Accepted,156 ms,20700 KB,2018-07-29 18:02:00
10983994,May/03/2015 16:20,K_D_M,280C - Game on Tree,GNU C++11,Accepted,122 ms,9000 KB,2015-05-03 16:20:00
50421302,Feb/24/2019 12:13,pavkal5,280C - Game on Tree,GNU C++17,Accepted,124 ms,9100 KB,2019-02-24 12:13:00
3321715,Mar/15/2013 19:02,CAPITAL,280C - Game on Tree,Python 2,Accepted,640 ms,12200 KB,2013-03-15 19:02:00
9335499,Dec/31/2014 23:03,suchir,280C - Game on Tree,GNU C++0x,Accepted,92 ms,9500 KB,2014-12-31 23:03:00
43237689,Sep/22/2018 11:42,vjudge5,280C - Game on Tree,GNU C++14,Accepted,154 ms,7600 KB,2018-09-22 11:42:00
60075484,Sep/05/2019 15:28,luogu_bot5,280C - Game on Tree,GNU C++11,Accepted,92 ms,6600 KB,2019-09-05 15:28:00
39859625,Jul/02/2018 10:01,Martin53,280C - Game on Tree,GNU C++17,Accepted,592 ms,8000 KB,2018-07-02 10:01:00
54055380,May/13/2019 10:49,vjudge2,280C - Game on Tree,GNU C++11,Accepted,122 ms,9000 KB,2019-05-13 10:49:00
48711148,Jan/22/2019 11:35,da32s1da,280C - Game on Tree,GNU C++11,Accepted,92 ms,6400 KB,2019-01-22 11:35:00
