41312049,Aug/07/2018 19:47,O_O_,967E - Big Secret,GNU C++14,Accepted,202 ms,5400 KB,2018-08-07 19:47:00
39463544,Jun/21/2018 16:29,MFoad_Aba,967E - Big Secret,GNU C++14,Accepted,124 ms,4200 KB,2018-06-21 16:29:00
37717560,Apr/29/2018 17:12,Stilwell,966C - Big Secret,GNU C++,Accepted,109 ms,35500 KB,2018-04-29 17:12:00
37789153,May/01/2018 08:43,DOlaBMOon,966C - Big Secret,GNU C++14,Accepted,124 ms,6600 KB,2018-05-01 08:43:00
43817415,Oct/05/2018 09:20,cor001,967E - Big Secret,GNU C++11,Accepted,93 ms,2700 KB,2018-10-05 09:20:00
37725420,Apr/29/2018 18:21,Magolor,966C - Big Secret,GNU C++11,Accepted,155 ms,7400 KB,2018-04-29 18:21:00
37727184,Apr/29/2018 18:36,pb0207,966C - Big Secret,GNU C++14,Accepted,171 ms,7400 KB,2018-04-29 18:36:00
50298608,Feb/22/2019 02:25,Apocrypha,925C - Big Secret,GNU C++11,Accepted,109 ms,3100 KB,2019-02-22 02:25:00
37748953,Apr/30/2018 16:20,des1997,966C - Big Secret,GNU C++14,Accepted,109 ms,18500 KB,2018-04-30 16:20:00
48166594,Jan/10/2019 05:07,vjudge2,966C - Big Secret,GNU C++11,Accepted,93 ms,3300 KB,2019-01-10 05:07:00
38211371,May/14/2018 13:24,mltang,925C - Big Secret,GNU C++11,Accepted,109 ms,8500 KB,2018-05-14 13:24:00
48167908,Jan/10/2019 06:42,CrazyTeaMajor,966C - Big Secret,GNU C++11,Accepted,109 ms,3100 KB,2019-01-10 06:42:00
37722821,Apr/29/2018 17:56,cuibst2,966C - Big Secret,GNU C++14,Accepted,109 ms,6800 KB,2018-04-29 17:56:00
38320102,May/16/2018 15:06,ctlchild#,966C - Big Secret,GNU C++14,Accepted,124 ms,7700 KB,2018-05-16 15:06:00
37721311,Apr/29/2018 17:42,palayutm,966C - Big Secret,GNU C++17,Accepted,109 ms,8000 KB,2018-04-29 17:42:00
39689712,Jun/27/2018 06:08,ilnil,966C - Big Secret,GNU C++,Accepted,93 ms,2600 KB,2018-06-27 06:08:00
42024048,Aug/24/2018 14:13,Dance_Of_Faith,967E - Big Secret,GNU C++17,Accepted,140 ms,3300 KB,2018-08-24 14:13:00
