id,day,author,problem,language,ac,len,word,source,token,time,memory,status
8531076,2014-11-03 07:52:00,Eeyore,252B - Unsorting Array,Python 3,Accepted,21,204,"n  =  int ( input ()) arr  =  list ( map ( int ,  input (). split ())) a ,  b  =   - 1 ,   - 1 for  i  in  range ( 1 ,  n ): 	 if  arr [ i - 1 ]   ==  arr [ i ]: 		 continue 	arr [ i - 1 ],  arr [ i ]   =  arr [ i ],  arr [ i - 1 ] 	up ,  down  =   True ,   True 	 for  j  in  range ( 1 ,  n ): 		 if  arr [ j - 1 ]   <  arr [ j ]: 			down  =   False 		 if  arr [ j - 1 ]   >  arr [ j ]: 			up  =   False 	 if   not  up  and   not  down : 		a ,  b  =  i - 1 ,  i 		 break 	arr [ i - 1 ],  arr [ i ]   =  arr [ i ],  arr [ i - 1 ] if  a  ==   - 1 : 	 print (- 1 ) else : 	 print ( '%d %d'   %   ( a + 1 ,  b + 1 ))",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun lit kwd pln kwd pln pun lit pun pln pun pln kwd pln pun pln pun lit pun pln pun pln pun pln pun pln kwd pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln kwd pun pln kwd pln kwd pln kwd pln pun lit pun pln pun pln kwd pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln kwd pln kwd pln kwd pln pun pln pun pln pun pln pun lit pun pln pln kwd pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun kwd pln pun pln pun lit pun pln kwd pun lit pun kwd pun pln kwd pun str pln pun pln pun pln pun lit pun pln pun lit pun,374 ms,8300 KB,252
4067268,2013-07-14 10:13:00,hl_joker,253B - Physics Practical,Python 3,Accepted,8,84,"import  sys from  bisect  import   * sys . stdin  =  open ( 'input.txt' ,   'r' ) sys . stdout  =  open ( 'output.txt' ,   'w' ) ans = n = int ( input ()) a = sorted ( map ( int , sys . stdin . readline (). split ())) for  i  in  range ( n ): ans = min ( ans , n - bisect_right ( a , a [ i ]* 2 )+ i ) print ( ans )",kwd pln kwd pln kwd pln pun pln pun pln pun pln pun str pun pln str pun pln pun pln pun pln pun str pun pln str pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun kwd pun pln pun,406 ms,7500 KB,253
55855602,2019-06-21 09:49:00,MajAK,254B - Jury Size,Python 3,Accepted,13,151,"w = open ( 'output.txt' ,   'w' ) r = open ( 'input.txt' ,   'r' ) s =[ 0 ]* 466 y =[ 0 ,   100 ,   131 ,   159 ,   190 ,   220 ,   251 ,   281 ,   312 ,   343 ,   373 ,   404 ,   434 ] n = int ( r . readline ()) for  i  in  range ( n ):     m ,  d ,  p ,  t  =  map ( int ,  r . readline (). split ())     x  =  y [ m ]   +  d     s [ x ]   -=  p     s [ x  -  t ]   +=  p for  i  in  range ( 465 ):     s [ i  +   1 ]   +=  s [ i ] w . write ( str ( max ( s )))",pln pun pln pun str pun pln str pun pln pun pln pun str pun pln str pun pln pun lit pun lit pln pun lit pun pln lit pun pln lit pun pln lit pun pln lit pun pln lit pun pln lit pun pln lit pun pln lit pun pln lit pun pln lit pun pln lit pun pln lit pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pln pun pln pun pln pun pln pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun lit pun pln pun pln pun pln lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun,248 ms,0 KB,254
70580499,2020-02-08 20:03:00,cs1g,255B - Code Parsing,Python 3,Accepted,4,32,s  =  input () k  =  s . count ( 'x' )   -  s . count ( 'y' )   print ( 'x' * k  +   'y' *- k ),pln pun pln pun pln pun pln pun pln pun str pun pln pun pln pun pln pun str pun pln kwd pun str pun pln pun pln str pun pln pun,248 ms,4100 KB,255
75521850,2020-04-05 00:31:00,zapdospops,257B - Playing Cubes,Python 3,Accepted,2,22,"a , b = sorted ( map ( int , input (). split ())) print ( b - 1 , a )",pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun lit pun pln pun,218 ms,0 KB,257
69697249,2020-01-29 00:10:00,cs1g,259B - Little Elephant and Magic Square,Python 3,Accepted,6,67,"A  =   [ list ( map ( int ,  input (). split ()))   for  _  in  range ( 3 )] s  =  sum ( map ( sum ,  A ))   //   2   for  i  in  range ( 3 ):     A [ i ][ i ]   =  s  -  sum ( A [ i ])      print (* A [ i ])",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit pln kwd pln kwd pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pun pln pun pln pun,218 ms,0 KB,259
79073191,2020-05-05 18:56:00,h111801015,260B - Ancient Prophesy,Python 3,Accepted,10,87,"from  re  import  findall from  calendar  import  monthrange from  collections  import  defaultdict n = input () dic = defaultdict ( int ) for  i  in  findall ( '(?=(\d\d-\d\d-201[3-5]))' , n ):     d , m , y = map ( int , i . split ( '-' ))      if   1 <= m <= 12   and   1 <= d <= monthrange ( y , m )[ 1 ]:         dic [ i ]+= 1 print ( max ( dic , key = dic . get ))",kwd pln kwd pln kwd pln kwd pln kwd pln kwd pln pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun str pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun str pun pln kwd pln lit pun pln pun lit pln kwd pln lit pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit kwd pun pln pun pln pun pln pun pln pun pln pun,171 ms,1600 KB,260
49055825,2019-01-27 16:15:00,ashok123,262B - Roma and Changing Signs,Python 3,Accepted,6,53,"from  heapq  import   *   n , k = map ( int , input (). split ()) a =[ int ( i )   for  i  in  input (). split ()] for  i  in  range ( k ):     heappush ( a ,- heappop ( a )) print ( sum ( a ))",kwd pln kwd pln pun pln pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun pln pun,404 ms,7200 KB,262
78825988,2020-05-02 17:44:00,coderemite,263B - Squares,Python 3,Accepted,3,41,"n , k = map ( int , input (). split ()) a = sorted ( map ( int , input (). split ())) print (*( k > n  and [- 1 ] or [ a [- k ]]* 2 ))",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun pln kwd pun lit pun kwd pun pln pun pln pun lit pun,216 ms,0 KB,263
53170980,2019-04-23 00:31:00,vjudge1,264B - Good Sequences,Python 3,Accepted,14,145,"n  =   100001 p  =   [ 0 ]   *  n t  =   [[]   for  i  in  range ( n )] t [ 1 ]   =   [ 1 ] for  i  in  range ( 2 ,  n ):      if   not  t [ i ]:         t [ i ]   =   [ i ]          for  j  in  range ( 2   *  i ,  n ,  i ):  t [ j ]. append ( i ) input () a  =  list ( map ( int ,  input (). split ())) for  i  in  a :     x  =  max ( p [ j ]   for  j  in  t [ i ])   +   1      for  j  in  t [ i ]:  p [ j ]   =  x print ( max ( p ))",pln pun pln lit pln pun pln pun lit pun pln pun pln pln pun pln pun pln kwd pln kwd pln pun pln pun pln pun lit pun pln pun pln pun lit pun kwd pln kwd pln pun lit pun pln pun pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun lit pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun pln pun pln lit pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln kwd pun pln pun pln pun,686 ms,14000 KB,264
