41215277,Aug/04/2018 15:40,mcqueen1,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-04 15:40:00
56689510,Jul/08/2019 05:39,njwrz,24B - F1 Champions,GNU C++14,Accepted,62 ms,400 KB,2019-07-08 05:39:00
33073917,Dec/10/2017 09:43,hjx_bravery,24B - F1 Champions,GNU C++14,Accepted,30 ms,2200 KB,2017-12-10 09:43:00
41380082,Aug/09/2018 04:37,felmid,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2018-08-09 04:37:00
8058240,Oct/02/2014 17:30,fan_hd,24B - F1 Champions,GNU C++,Accepted,30 ms,200 KB,2014-10-02 17:30:00
101386,Jul/26/2010 17:21,pes,24B - F1 Champions,MS C++,Accepted,30 ms,1400 KB,2010-07-26 17:21:00
41328312,Aug/08/2018 10:08,felmid,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2018-08-08 10:08:00
48933089,Jan/25/2019 16:09,wanghaoze,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2019-01-25 16:09:00
43812228,Oct/05/2018 04:58,Eric_hooo,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2018-10-05 04:58:00
13139462,Sep/22/2015 14:15,bluefi,24B - F1 Champions,GNU C++,Accepted,62 ms,100 KB,2015-09-22 14:15:00
101834,Jul/26/2010 17:38,syboy,24B - F1 Champions,GNU C++,Accepted,30 ms,1600 KB,2010-07-26 17:38:00
41214070,Aug/04/2018 15:07,eddysboy,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-04 15:07:00
41289091,Aug/07/2018 03:41,luogu_bot2,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-07 03:41:00
33074438,Dec/10/2017 10:14,hjx_bravery,24B - F1 Champions,GNU C++14,Accepted,30 ms,2400 KB,2017-12-10 10:14:00
41379708,Aug/09/2018 04:22,felmid,24B - F1 Champions,GNU C++11,Accepted,62 ms,200 KB,2018-08-09 04:22:00
33074348,Dec/10/2017 10:08,JessicaLee,24B - F1 Champions,GNU C++14,Accepted,30 ms,2400 KB,2017-12-10 10:08:00
33330202,Dec/17/2017 09:17,Best_Memories,24B - F1 Champions,GNU C++14,Accepted,30 ms,2300 KB,2017-12-17 09:17:00
77985263,Apr/25/2020 09:52,vjudge3,24B - F1 Champions,GNU C++11,Accepted,62 ms,4200 KB,2020-04-25 09:52:00
13139257,Sep/22/2015 14:01,bluefi,24B - F1 Champions,GNU C++,Accepted,30 ms,100 KB,2015-09-22 14:01:00
101844,Jul/26/2010 17:39,mib,24B - F1 Champions,Python 2,Accepted,60 ms,2700 KB,2010-07-26 17:39:00
33074394,Dec/10/2017 10:11,chenyiheng,24B - F1 Champions,GNU C++,Accepted,30 ms,2500 KB,2017-12-10 10:11:00
41230161,Aug/05/2018 05:10,Nidhoggsun,24B - F1 Champions,GNU C++14,Accepted,62 ms,400 KB,2018-08-05 05:10:00
41214125,Aug/04/2018 15:09,tzx,24B - F1 Champions,GNU C++14,Accepted,60 ms,200 KB,2018-08-04 15:09:00
41229356,Aug/05/2018 04:06,tyd05,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-05 04:06:00
33073915,Dec/10/2017 09:43,Demerzel_wyh,24B - F1 Champions,GNU C++,Accepted,60 ms,2300 KB,2017-12-10 09:43:00
56689190,Jul/08/2019 05:23,vjudge4,24B - F1 Champions,GNU C++14,Accepted,62 ms,400 KB,2019-07-08 05:23:00
41214105,Aug/04/2018 15:08,sjc_fan,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-04 15:08:00
6667580,May/21/2014 18:17,nsfxlyl,24B - F1 Champions,GNU C++,Accepted,60 ms,200 KB,2014-05-21 18:17:00
70495732,Feb/07/2020 13:30,tony0604,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2020-02-07 13:30:00
41213943,Aug/04/2018 15:04,vjudge3,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-04 15:04:00
41330415,Aug/08/2018 11:22,felmid,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2018-08-08 11:22:00
41213944,Aug/04/2018 15:04,mcqueen1,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-04 15:04:00
22707094,Dec/05/2016 11:20,franckmy,24B - F1 Champions,Python 2,Accepted,92 ms,0 KB,2016-12-05 11:20:00
103203,Jul/26/2010 18:31,Gassa,24B - F1 Champions,Python 2,Accepted,60 ms,2700 KB,2010-07-26 18:31:00
41229422,Aug/05/2018 04:14,nanatoday,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-05 04:14:00
73939984,Mar/22/2020 10:30,suypa99,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2020-03-22 10:30:00
