37823741,May/01/2018 21:47,Wishnya,137B - Permutation,Python 3,Accepted,904 ms,7200 KB,2018-05-01 21:47:00
2440656,Oct/27/2012 04:24,changyuheng,137B - Permutation,Python 2,Accepted,640 ms,300 KB,2012-10-27 04:24:00
31899397,Oct/30/2017 19:18,realcomplex,137B - Permutation,Python 2,Accepted,124 ms,400 KB,2017-10-30 19:18:00
77156611,Apr/18/2020 10:58,nocreative1,137B - Permutation,PyPy 3,Accepted,310 ms,1900 KB,2020-04-18 10:58:00
963326,Dec/16/2011 17:04,unk#,137B - Permutation,Python 2,Accepted,80 ms,3300 KB,2011-12-16 17:04:00
4073944,Jul/15/2013 12:22,vjudge2,137B - Permutation,Python 2,Accepted,62 ms,300 KB,2013-07-15 12:22:00
5534739,Dec/28/2013 12:54,sgsurya,137B - Permutation,Python 2,Accepted,748 ms,400 KB,2013-12-28 12:54:00
12787690,Aug/31/2015 14:21,PPTGamer,137B - Permutation,Python 3,Accepted,124 ms,400 KB,2015-08-31 14:21:00
4435287,Sep/09/2013 15:50,karaseva,137B - Permutation,Python 3,Accepted,92 ms,300 KB,2013-09-09 15:50:00
22828669,Dec/09/2016 11:17,TmLev,137B - Permutation,Python 3,Accepted,124 ms,400 KB,2016-12-09 11:17:00
79963384,May/13/2020 12:26,alibek_lfc,137B - Permutation,Python 3,Accepted,218 ms,7200 KB,2020-05-13 12:26:00
1402859,Mar/24/2012 14:26,alexey.enkov,137B - Permutation,Python 2,Accepted,80 ms,3100 KB,2012-03-24 14:26:00
12033117,Jul/13/2015 23:00,"Only natural in slim: DonilZ, sasshaaaa#",137B - Permutation,Python 3,Accepted,1028 ms,300 KB,2015-07-13 23:00:00
51337197,Mar/15/2019 17:41,clevermax,137B - Permutation,Python 3,Accepted,248 ms,1000 KB,2019-03-15 17:41:00
61191684,Sep/24/2019 06:08,shall_not_pass,137B - Permutation,PyPy 3,Accepted,310 ms,1800 KB,2019-09-24 06:08:00
959345,Dec/16/2011 10:31,ziliang,137B - Permutation,Python 2,Accepted,60 ms,3100 KB,2011-12-16 10:31:00
12787701,Aug/31/2015 14:23,PPTGamer,137B - Permutation,Python 3,Accepted,124 ms,400 KB,2015-08-31 14:23:00
4073806,Jul/15/2013 11:55,vjudge5,137B - Permutation,Python 2,Accepted,46 ms,400 KB,2013-07-15 11:55:00
30501855,Sep/19/2017 17:52,sergey.prokudin,137B - Permutation,Python 2,Accepted,746 ms,400 KB,2017-09-19 17:52:00
44603497,Oct/20/2018 18:36,angaria3,137B - Permutation,Python 2,Accepted,342 ms,400 KB,2018-10-20 18:36:00
53899615,May/09/2019 11:20,Perfectcodder,137B - Permutation,Python 3,Accepted,218 ms,300 KB,2019-05-09 11:20:00
58943492,Aug/17/2019 10:56,meme_lord,137B - Permutation,Python 3,Accepted,248 ms,300 KB,2019-08-17 10:56:00
61451229,Sep/29/2019 05:58,Exile_2k4,137B - Permutation,Python 3,Accepted,218 ms,600 KB,2019-09-29 05:58:00
8418137,Oct/26/2014 11:39,qszhu,137B - Permutation,Python 2,Accepted,92 ms,400 KB,2014-10-26 11:39:00
78327368,Apr/27/2020 23:04,Amendark31,137B - Permutation,Python 3,Accepted,218 ms,600 KB,2020-04-27 23:04:00
3496771,Apr/09/2013 18:01,songzhipeng,137B - Permutation,Python 2,Accepted,734 ms,400 KB,2013-04-09 18:01:00
