15212367,Jan/06/2016 20:01,WillSherwood,612B - HDD is Outdated Technology,Python 3,Accepted,436 ms,23600 KB,2016-01-06 20:01:00
51112743,Mar/10/2019 08:25,ashok123,612B - HDD is Outdated Technology,Python 3,Accepted,343 ms,19000 KB,2019-03-10 08:25:00
49646354,Feb/09/2019 07:44,kal013#,612B - HDD is Outdated Technology,PyPy 2,Accepted,234 ms,16400 KB,2019-02-09 07:44:00
15073426,Dec/28/2015 18:46,Sajid_Hasan_Apon,612B - HDD is Outdated Technology,Python 3,Accepted,264 ms,12600 KB,2015-12-28 18:46:00
50350817,Feb/23/2019 11:27,meiniak,612B - HDD is Outdated Technology,PyPy 3,Accepted,763 ms,18900 KB,2019-02-23 11:27:00
68053977,Jan/01/2020 23:43,propashii,612B - HDD is Outdated Technology,PyPy 3,Accepted,264 ms,14400 KB,2020-01-01 23:43:00
74919701,Mar/31/2020 15:09,galim665,612B - HDD is Outdated Technology,PyPy 3,Accepted,296 ms,22300 KB,2020-03-31 15:09:00
68918652,Jan/16/2020 11:57,Anus1373,612B - HDD is Outdated Technology,GNU C++14,Accepted,265 ms,1600 KB,2020-01-16 11:57:00
24723738,Feb/16/2017 21:01,slonmudrosti,612B - HDD is Outdated Technology,Python 2,Accepted,280 ms,16100 KB,2017-02-16 21:01:00
30888928,Oct/01/2017 01:17,rprtr258,612B - HDD is Outdated Technology,Python 3,Accepted,249 ms,13000 KB,2017-10-01 01:17:00
55973430,Jun/23/2019 19:04,scambret#,612B - HDD is Outdated Technology,PyPy 3,Accepted,327 ms,21900 KB,2019-06-23 19:04:00
20422359,Sep/06/2016 20:06,A_Le_K,612B - HDD is Outdated Technology,GNU C++11,Accepted,358 ms,800 KB,2016-09-06 20:06:00
31709681,Oct/25/2017 15:56,Tracing,612B - HDD is Outdated Technology,Python 3,Accepted,280 ms,13900 KB,2017-10-25 15:56:00
15008719,Dec/25/2015 18:09,minimario,612B - HDD is Outdated Technology,Python 3,Accepted,265 ms,14700 KB,2015-12-25 18:09:00
15009170,Dec/25/2015 18:13,manatee,612B - HDD is Outdated Technology,PyPy 3,Accepted,280 ms,15200 KB,2015-12-25 18:13:00
15014255,Dec/25/2015 18:56,justinz2018,612B - HDD is Outdated Technology,PyPy 3,Accepted,280 ms,15000 KB,2015-12-25 18:56:00
20324549,Sep/01/2016 17:46,s17b2_voroneckij#,612B - HDD is Outdated Technology,Python 3,Accepted,342 ms,17900 KB,2016-09-01 17:46:00
23339250,Dec/26/2016 14:47,shashwataggarwal,612B - HDD is Outdated Technology,Python 2,Accepted,514 ms,20200 KB,2016-12-26 14:47:00
53194913,Apr/23/2019 17:43,vitorfhc,612B - HDD is Outdated Technology,Python 3,Accepted,295 ms,15100 KB,2019-04-23 17:43:00
15177031,Jan/04/2016 07:05,manhhomienbienthuy,612B - HDD is Outdated Technology,Python 3,Accepted,233 ms,13900 KB,2016-01-04 07:05:00
15586016,Jan/26/2016 07:35,goffrie,612B - HDD is Outdated Technology,PyPy 2,Accepted,139 ms,21000 KB,2016-01-26 07:35:00
15608787,Jan/27/2016 12:38,surokpro#,612B - HDD is Outdated Technology,Python 3,Accepted,842 ms,19900 KB,2016-01-27 12:38:00
27448621,May/30/2017 16:02,TISparta,612B - HDD is Outdated Technology,Python 3,Accepted,218 ms,13800 KB,2017-05-30 16:02:00
36620920,Mar/25/2018 18:28,Nister,612B - HDD is Outdated Technology,Python 3,Accepted,311 ms,30500 KB,2018-03-25 18:28:00
31233590,Oct/12/2017 09:34,treasuryonly,612B - HDD is Outdated Technology,Python 3,Accepted,265 ms,13900 KB,2017-10-12 09:34:00
15009965,Dec/25/2015 18:19,miniluigi,612B - HDD is Outdated Technology,Python 3,Accepted,265 ms,12600 KB,2015-12-25 18:19:00
15010529,Dec/25/2015 18:23,TurboArtem,612B - HDD is Outdated Technology,FPC,Accepted,31 ms,800 KB,2015-12-25 18:23:00
15011328,Dec/25/2015 18:29,cugel,612B - HDD is Outdated Technology,Python 3,Accepted,421 ms,19500 KB,2015-12-25 18:29:00
15014676,Dec/25/2015 19:01,long_wave,612B - HDD is Outdated Technology,Python 2,Accepted,264 ms,11000 KB,2015-12-25 19:01:00
78573415,Apr/30/2020 16:57,toyuzuko,612B - HDD is Outdated Technology,Python 3,Accepted,296 ms,14200 KB,2020-04-30 16:57:00
