450990,May/13/2011 20:37,haas,83B - Doctor,GNU C++,Accepted,230 ms,17000 KB,2011-05-13 20:37:00
452753,May/13/2011 21:46,kelvin,83B - Doctor,GNU C++,Accepted,80 ms,2900 KB,2011-05-13 21:46:00
488060,Jun/15/2011 13:32,aan93,83B - Doctor,MS C++,Accepted,250 ms,1700 KB,2011-06-15 13:32:00
488062,Jun/15/2011 13:33,aan93,84D - Doctor,MS C++,Accepted,250 ms,1700 KB,2011-06-15 13:33:00
1153380,Feb/06/2012 16:44,heroming,83B - Doctor,GNU C++,Accepted,190 ms,1800 KB,2012-02-06 16:44:00
29930303,Aug/30/2017 21:58,narcissist,83B - Doctor,GNU C++14,Accepted,122 ms,1600 KB,2017-08-30 21:58:00
450579,May/13/2011 20:28,Coder,83B - Doctor,MS C++,Accepted,110 ms,1800 KB,2011-05-13 20:28:00
2308519,Oct/06/2012 21:12,airon,84D - Doctor,Delphi,Accepted,78 ms,600 KB,2012-10-06 21:12:00
26217250,Apr/08/2017 14:16,bharat.khanna.cse14,83B - Doctor,GNU C++11,Accepted,530 ms,3700 KB,2017-04-08 14:16:00
35436112,Feb/18/2018 07:40,comalmot,83B - Doctor,GNU C++14,Accepted,92 ms,2600 KB,2018-02-18 07:40:00
455785,May/15/2011 10:35,pedrolc,84D - Doctor,MS C++,Accepted,80 ms,2900 KB,2011-05-15 10:35:00
60334192,Sep/10/2019 10:40,reinhard0618,83B - Doctor,GNU C++11,Accepted,218 ms,8700 KB,2019-09-10 10:40:00
51983474,Mar/29/2019 20:24,Math_Master,84D - Doctor,GNU C++17,Accepted,404 ms,1600 KB,2019-03-29 20:24:00
10177570,Mar/06/2015 16:58,instantkill,83B - Doctor,GNU C++0x,Accepted,654 ms,6400 KB,2015-03-06 16:58:00
11227540,May/22/2015 23:09,Elshiko,84D - Doctor,GNU C++11,Accepted,248 ms,600 KB,2015-05-22 23:09:00
17316917,Apr/14/2016 19:10,M.Mahdi#,83B - Doctor,GNU C++11,Accepted,124 ms,800 KB,2016-04-14 19:10:00
19311791,Jul/22/2016 05:25,HBING,83B - Doctor,GNU C++,Accepted,122 ms,800 KB,2016-07-22 05:25:00
21352141,Oct/11/2016 09:40,KhAsTeGaN: Batman#,83B - Doctor,GNU C++14,Accepted,248 ms,15100 KB,2016-10-11 09:40:00
39948544,Jul/04/2018 11:49,pzdba,83B - Doctor,GNU C++14,Accepted,154 ms,1900 KB,2018-07-04 11:49:00
