80079415,May/14/2020 17:36,Vishvas,113B - Petr#,GNU C++17,Accepted,1808 ms,68800 KB,2020-05-14 17:36:00
24630675,Feb/13/2017 18:18,playhard,113B - Petr#,GNU C++14,Accepted,404 ms,26500 KB,2017-02-13 18:18:00
47784412,Dec/31/2018 12:52,SiberiaHLY,113B - Petr#,GNU C++11,Accepted,92 ms,203600 KB,2018-12-31 12:52:00
750660,Oct/08/2011 14:31,watashi,113B - Petr#,GNU C++0x,Accepted,310 ms,26000 KB,2011-10-08 14:31:00
25305785,Mar/07/2017 04:21,Far,113B - Petr#,GNU C++11,Accepted,374 ms,33900 KB,2017-03-07 04:21:00
10793724,Apr/20/2015 06:41,vjudge3,113B - Petr#,GNU C++,Accepted,374 ms,27200 KB,2015-04-20 06:41:00
6332087,Apr/12/2014 15:09,deepak47,113B - Petr#,GNU C++,Accepted,404 ms,25200 KB,2014-04-12 15:09:00
3398968,Mar/24/2013 12:15,deepak44,113B - Petr#,GNU C++,Accepted,296 ms,25200 KB,2013-03-24 12:15:00
80079186,May/14/2020 17:33,Jr.Vishvas,113B - Petr#,GNU C++17,Accepted,1684 ms,68800 KB,2020-05-14 17:33:00
48308318,Jan/13/2019 00:46,veronika1337,113B - Petr#,GNU C++14,Accepted,1246 ms,52100 KB,2019-01-13 00:46:00
918700,Dec/03/2011 17:50,cp12321,113B - Petr#,GNU C++,Accepted,50 ms,17200 KB,2011-12-03 17:50:00
48308401,Jan/13/2019 00:50,veronika1337,113B - Petr#,GNU C++14,Accepted,1246 ms,52400 KB,2019-01-13 00:50:00
1156910,Feb/08/2012 07:13,vjudge5,113B - Petr#,Java 6,Accepted,1500 ms,144300 KB,2012-02-08 07:13:00
8290918,Oct/18/2014 12:05,vjudge5,113B - Petr#,GNU C++,Accepted,248 ms,203500 KB,2014-10-18 12:05:00
18842748,Jul/01/2016 18:32,lungly1,113B - Petr#,GNU C++11,Accepted,374 ms,24600 KB,2016-07-01 18:32:00
28361602,Jul/08/2017 08:48,wdmmsyf,113B - Petr#,GNU C++11,Accepted,1902 ms,54300 KB,2017-07-08 08:48:00
8300635,Oct/19/2014 10:21,NineT,113B - Petr#,GNU C++,Accepted,186 ms,203500 KB,2014-10-19 10:21:00
19522378,Jul/30/2016 20:20,vjudge3,114D - Petr#,GNU C++,Accepted,372 ms,15700 KB,2016-07-30 20:20:00
66810955,Dec/14/2019 05:23,F99_ll_H21,113B - Petr#,GNU C++11,Accepted,434 ms,24700 KB,2019-12-14 05:23:00
23473812,Dec/31/2016 21:15,code_witcher,113B - Petr#,GNU C++11,Accepted,1434 ms,54200 KB,2016-12-31 21:15:00
8614380,Nov/08/2014 15:43,iadh_aboud,113B - Petr#,GNU C++0x,Accepted,1402 ms,53700 KB,2014-11-08 15:43:00
6817272,Jun/05/2014 10:05,vjudge1,114D - Petr#,GNU C++,Accepted,372 ms,25200 KB,2014-06-05 10:05:00
20754542,Sep/19/2016 15:16,somanynames,113B - Petr#,GNU C++11,Accepted,1372 ms,52200 KB,2016-09-19 15:16:00
45651904,Nov/13/2018 05:21,Growth,113B - Petr#,GNU C++11,Accepted,498 ms,24700 KB,2018-11-13 05:21:00
45651893,Nov/13/2018 05:21,Growth,113B - Petr#,GNU C++11,Accepted,466 ms,24700 KB,2018-11-13 05:21:00
19522440,Jul/30/2016 20:23,zyding,114D - Petr#,GNU C++,Accepted,342 ms,15700 KB,2016-07-30 20:23:00
24590618,Feb/11/2017 16:33,Hasan,113B - Petr#,GNU C++11,Accepted,374 ms,82300 KB,2017-02-11 16:33:00
38348990,May/17/2018 15:44,fffeyn,113B - Petr#,GNU C++17,Accepted,372 ms,24700 KB,2018-05-17 15:44:00
40626008,Jul/22/2018 09:10,Patti,113B - Petr#,GNU C++11,Accepted,1778 ms,52200 KB,2018-07-22 09:10:00
45651916,Nov/13/2018 05:22,Growth,113B - Petr#,GNU C++11,Accepted,498 ms,24700 KB,2018-11-13 05:22:00
1619350,Apr/24/2012 10:38,shinian,114D - Petr#,GNU C++,Accepted,270 ms,32700 KB,2012-04-24 10:38:00
694906,Sep/15/2011 06:28,Archon.JK,113B - Petr#,GNU C++0x,Accepted,330 ms,26000 KB,2011-09-15 06:28:00
40540169,Jul/19/2018 11:13,tzxydby,113B - Petr#,GNU C++17,Accepted,374 ms,24700 KB,2018-07-19 11:13:00
66813306,Dec/14/2019 07:21,Acceptedumbrella,113B - Petr#,GNU C++17,Accepted,342 ms,31400 KB,2019-12-14 07:21:00
37260719,Apr/13/2018 00:25,vjudge5,114D - Petr#,GNU C++11,Accepted,1838 ms,70300 KB,2018-04-13 00:25:00
9360169,Jan/04/2015 16:27,vjudge1,113B - Petr#,GNU C++,Accepted,154 ms,203900 KB,2015-01-04 16:27:00
28361644,Jul/08/2017 08:51,wdmmsyf,113B - Petr#,GNU C++11,Accepted,372 ms,33800 KB,2017-07-08 08:51:00
10495925,Mar/28/2015 06:21,vjudge1,113B - Petr#,MS C++,Accepted,92 ms,203900 KB,2015-03-28 06:21:00
45503652,Nov/10/2018 12:05,luogu_bot4,113B - Petr#,GNU C++11,Accepted,436 ms,24500 KB,2018-11-10 12:05:00
16915778,Mar/25/2016 07:11,Animadversion,113B - Petr#,GNU C++11,Accepted,1902 ms,54400 KB,2016-03-25 07:11:00
18750629,Jun/27/2016 13:53,trawiser,113B - Petr#,GNU C++11,Accepted,404 ms,26600 KB,2016-06-27 13:53:00
18750638,Jun/27/2016 13:54,mad_max,113B - Petr#,GNU C++,Accepted,466 ms,26600 KB,2016-06-27 13:54:00
686991,Sep/09/2011 23:12,meshanya,113B - Petr#,GNU C++,Accepted,1730 ms,83000 KB,2011-09-09 23:12:00
1567597,Apr/17/2012 22:18,meshanya,114D - Petr#,GNU C++,Accepted,1660 ms,83000 KB,2012-04-17 22:18:00
