3066876,Feb/03/2013 15:37,m1_k3,30B - Codeforces World Finals,Python 2,Accepted,78 ms,900 KB,2013-02-03 15:37:00
130112,Sep/24/2010 20:22,antonkov,30B - Codeforces World Finals,MS C++,Accepted,30 ms,1300 KB,2010-09-24 20:22:00
129067,Sep/24/2010 19:43,ulandev,30B - Codeforces World Finals,Haskell,Accepted,30 ms,2000 KB,2010-09-24 19:43:00
10137244,Mar/03/2015 22:23,Mohammad_Yasser,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2015-03-03 22:23:00
8042897,Oct/01/2014 09:21,vjudge5,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2014-10-01 09:21:00
41457002,Aug/11/2018 09:53,djpcamel,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-11 09:53:00
12109113,Jul/18/2015 19:56,Favorite,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2015-07-18 19:56:00
8048126,Oct/01/2014 18:19,vjudge2,30B - Codeforces World Finals,GNU C++,Accepted,60 ms,0 KB,2014-10-01 18:19:00
68235964,Jan/05/2020 13:57,AYP2018,30B - Codeforces World Finals,GNU C++11,Accepted,92 ms,0 KB,2020-01-05 13:57:00
132551,Oct/15/2010 12:16,dronimal,30B - Codeforces World Finals,MS C++,Accepted,30 ms,1300 KB,2010-10-15 12:16:00
20922378,Sep/26/2016 12:41,abhigupta4,30B - Codeforces World Finals,PyPy 2,Accepted,218 ms,0 KB,2016-09-26 12:41:00
31966914,Nov/02/2017 06:08,Stronger2020,30B - Codeforces World Finals,GNU C++14,Accepted,30 ms,1500 KB,2017-11-02 06:08:00
47872586,Jan/03/2019 16:40,yuanshaorong,30B - Codeforces World Finals,GNU C++17,Accepted,62 ms,300 KB,2019-01-03 16:40:00
339655,Mar/18/2011 08:38,dreamoon_love_AA,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2011-03-18 08:38:00
1652659,May/04/2012 18:54,Hucker,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1400 KB,2012-05-04 18:54:00
11902871,Jul/03/2015 00:19,poikniok,30B - Codeforces World Finals,Python 2,Accepted,124 ms,0 KB,2015-07-03 00:19:00
128603,Sep/24/2010 19:30,pank.dm,30B - Codeforces World Finals,Python 2,Accepted,60 ms,2700 KB,2010-09-24 19:30:00
17121411,Apr/02/2016 05:08,freebsdx,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,2000 KB,2016-04-02 05:08:00
1351863,Mar/12/2012 17:12,Shik,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2012-03-12 17:12:00
41458788,Aug/11/2018 10:41,qiaoyue666,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-11 10:41:00
41459486,Aug/11/2018 10:59,ssw666,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-11 10:59:00
10929483,Apr/29/2015 16:53,itchyny,30B - Codeforces World Finals,Haskell,Accepted,62 ms,2800 KB,2015-04-29 16:53:00
41459390,Aug/11/2018 10:56,ssw666,30B - Codeforces World Finals,GNU C++,Accepted,92 ms,0 KB,2018-08-11 10:56:00
128618,Sep/24/2010 19:30,macs,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2010-09-24 19:30:00
650983,Aug/30/2011 06:50,tmt514,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2011-08-30 06:50:00
41459786,Aug/11/2018 11:07,lixuesen,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-11 11:07:00
47291247,Dec/20/2018 12:22,hogeover30,30B - Codeforces World Finals,GNU C++17,Accepted,62 ms,200 KB,2018-12-20 12:22:00
56542915,Jul/05/2019 09:15,vjudge1,30B - Codeforces World Finals,MS C++,Accepted,62 ms,0 KB,2019-07-05 09:15:00
41458385,Aug/11/2018 10:30,WYF,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-11 10:30:00
573855,Jul/31/2011 17:06,sevenkplus,30B - Codeforces World Finals,Python 2,Accepted,50 ms,2800 KB,2011-07-31 17:06:00
8044553,Oct/01/2014 12:33,vjudge3,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,100 KB,2014-10-01 12:33:00
131036,Sep/24/2010 21:45,Ferlon,30B - Codeforces World Finals,MS C++,Accepted,30 ms,1300 KB,2010-09-24 21:45:00
7113310,Jul/16/2014 08:52,vjudge2,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2014-07-16 08:52:00
41449343,Aug/11/2018 05:45,DL__,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-11 05:45:00
132364,Oct/04/2010 22:04,belltail,30B - Codeforces World Finals,GNU C++,Accepted,50 ms,1300 KB,2010-10-04 22:04:00
7113312,Jul/16/2014 08:52,vjudge5,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2014-07-16 08:52:00
10929734,Apr/29/2015 17:14,itchyny,30B - Codeforces World Finals,Haskell,Accepted,62 ms,2800 KB,2015-04-29 17:14:00
15507350,Jan/23/2016 07:37,vjudge3,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2016-01-23 07:37:00
131051,Sep/24/2010 21:47,wangchaohui,30B - Codeforces World Finals,MS C++,Accepted,30 ms,1300 KB,2010-09-24 21:47:00
72130305,Mar/01/2020 06:44,zhoutianyi2007221,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-03-01 06:44:00
41553215,Aug/13/2018 12:34,tyd05,30B - Codeforces World Finals,GNU C++11,Accepted,92 ms,0 KB,2018-08-13 12:34:00
3855540,Jun/11/2013 03:02,lemur,30B - Codeforces World Finals,GNU C++0x,Accepted,31 ms,0 KB,2013-06-11 03:02:00
7344990,Aug/04/2014 17:01,Sfire,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2014-08-04 17:01:00
56544504,Jul/05/2019 10:02,vjudge3,30B - Codeforces World Finals,MS C++,Accepted,62 ms,0 KB,2019-07-05 10:02:00
7344986,Aug/04/2014 17:01,vjudge4,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2014-08-04 17:01:00
