13947298,Oct/30/2015 09:06,hznu2,519B - A and B and Compilation Errors,Python 3,Accepted,170 ms,7300 KB,2015-10-30 09:06:00
17242417,Apr/08/2016 20:54,kcherdakov,519B - A and B and Compilation Errors,Python 3,Accepted,186 ms,11900 KB,2016-04-08 20:54:00
15038475,Dec/27/2015 03:13,lavafalls,519B - A and B and Compilation Errors,Python 3,Accepted,156 ms,7400 KB,2015-12-27 03:13:00
33328455,Dec/17/2017 07:44,mftai,519B - A and B and Compilation Errors,Python 3,Accepted,171 ms,14500 KB,2017-12-17 07:44:00
44620728,Oct/21/2018 09:10,helloworld.cpp,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-10-21 09:10:00
54228106,May/16/2019 10:26,nice_doggos,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,7300 KB,2019-05-16 10:26:00
61201907,Sep/24/2019 11:07,mad_foodie,519B - A and B and Compilation Errors,PyPy 3,Accepted,452 ms,11900 KB,2019-09-24 11:07:00
69473254,Jan/24/2020 18:16,saran7188,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,8000 KB,2020-01-24 18:16:00
10083418,Feb/28/2015 18:30,Vivek_N_2,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7100 KB,2015-02-28 18:30:00
28532625,Jul/14/2017 03:05,scott_wu,519B - A and B and Compilation Errors,Python 2,Accepted,249 ms,11500 KB,2017-07-14 03:05:00
73439265,Mar/16/2020 23:29,GTrigger,519B - A and B and Compilation Errors,Python 2,Accepted,342 ms,7200 KB,2020-03-16 23:29:00
73439290,Mar/16/2020 23:30,GTrigger,519B - A and B and Compilation Errors,PyPy 2,Accepted,171 ms,13800 KB,2020-03-16 23:30:00
26739232,Apr/29/2017 07:02,YWepHDSi,519B - A and B and Compilation Errors,PyPy 2,Accepted,187 ms,32100 KB,2017-04-29 07:02:00
18107661,May/26/2016 19:58,kennyhothedev,519B - A and B and Compilation Errors,Python 2,Accepted,296 ms,11500 KB,2016-05-26 19:58:00
10096022,Mar/01/2015 15:36,whn6325689,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7000 KB,2015-03-01 15:36:00
12582973,Aug/18/2015 05:38,Benegripe,519B - A and B and Compilation Errors,Python 2,Accepted,217 ms,7000 KB,2015-08-18 05:38:00
41227620,Aug/05/2018 00:38,shakti_,519B - A and B and Compilation Errors,Python 2,Accepted,343 ms,7700 KB,2018-08-05 00:38:00
72322920,Mar/03/2020 17:59,nav24,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,8000 KB,2020-03-03 17:59:00
11894371,Jul/02/2015 12:12,vinitgandhi007,519B - A and B and Compilation Errors,Python 2,Accepted,233 ms,7100 KB,2015-07-02 12:12:00
72331112,Mar/03/2020 18:23,prado,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,8000 KB,2020-03-03 18:23:00
77126419,Apr/18/2020 00:23,vjudge3,519B - A and B and Compilation Errors,PyPy 3,Accepted,436 ms,11200 KB,2020-04-18 00:23:00
41409031,Aug/09/2018 21:41,Sayonara,519B - A and B and Compilation Errors,Python 3,Accepted,248 ms,8900 KB,2018-08-09 21:41:00
10124652,Mar/02/2015 22:42,sfelixjr,519B - A and B and Compilation Errors,Python 2,Accepted,217 ms,7300 KB,2015-03-02 22:42:00
33645459,Dec/26/2017 14:38,artem_egoroff,519B - A and B and Compilation Errors,Python 3,Accepted,171 ms,12700 KB,2017-12-26 14:38:00
