57170213,Jul/17/2019 05:31,alaatarek928,16B - Burglar and Matches,GNU C++17,Accepted,62 ms,0 KB,2019-07-17 05:31:00
29364373,Aug/12/2017 00:43,Ahmed.Bassiouny,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,1900 KB,2017-08-12 00:43:00
70311,Jun/03/2010 17:30,fredric,16B - Burglar and Matches,GNU C++,Accepted,30 ms,1300 KB,2010-06-03 17:30:00
395201,Apr/17/2011 21:59,frost_nova,16B - Burglar and Matches,Python 2,Accepted,60 ms,2800 KB,2011-04-17 21:59:00
49825990,Feb/12/2019 14:39,bergus,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2019-02-12 14:39:00
73415,Jun/05/2010 03:04,choice,16B - Burglar and Matches,GNU C++,Accepted,30 ms,1300 KB,2010-06-05 03:04:00
69302110,Jan/22/2020 17:08,vjudge3,16B - Burglar and Matches,GNU C++14,Accepted,60 ms,0 KB,2020-01-22 17:08:00
7451171,Aug/15/2014 12:10,sjhshuan_NOW,16B - Burglar and Matches,Python 3,Accepted,154 ms,0 KB,2014-08-15 12:10:00
497866,Jun/19/2011 16:31,fanatid,16B - Burglar and Matches,Python 2,Accepted,60 ms,2800 KB,2011-06-19 16:31:00
39645302,Jun/25/2018 12:47,Aegon,16B - Burglar and Matches,GNU C,Accepted,30 ms,0 KB,2018-06-25 12:47:00
788959,Oct/21/2011 19:33,K_operafan,16B - Burglar and Matches,Ruby,Accepted,80 ms,3500 KB,2011-10-21 19:33:00
48239767,Jan/11/2019 18:39,tusharamit3200,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2019-01-11 18:39:00
55425421,Jun/11/2019 11:42,petushny,16B - Burglar and Matches,Python 3,Accepted,216 ms,0 KB,2019-06-11 11:42:00
2251240,Sep/25/2012 23:53,sanju01,16B - Burglar and Matches,GNU C++,Accepted,31 ms,0 KB,2012-09-25 23:53:00
39893538,Jul/03/2018 15:25,mayurii,16B - Burglar and Matches,PyPy 3,Accepted,340 ms,0 KB,2018-07-03 15:25:00
63383896,Oct/25/2019 16:15,shall_not_pass,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2019-10-25 16:15:00
74249,Jun/24/2010 11:03,ItsNear,16B - Burglar and Matches,Python 2,Accepted,60 ms,2700 KB,2010-06-24 11:03:00
3494167,Apr/08/2013 21:33,GeorgeTheHipster#,16B - Burglar and Matches,GNU C++,Accepted,15 ms,0 KB,2013-04-08 21:33:00
20189265,Aug/27/2016 09:45,yashar_sb_sb,16B - Burglar and Matches,PyPy 3,Accepted,310 ms,22500 KB,2016-08-27 09:45:00
33743372,Dec/28/2017 21:23,N5s,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,1900 KB,2017-12-28 21:23:00
49031885,Jan/27/2019 02:14,Nihad_Nabelsi,16B - Burglar and Matches,GNU C++14,Accepted,62 ms,0 KB,2019-01-27 02:14:00
53697572,May/03/2019 11:34,saghe_talaii,16B - Burglar and Matches,GNU C++17,Accepted,62 ms,0 KB,2019-05-03 11:34:00
74866,Dec/09/2010 22:03,watashi,16B - Burglar and Matches,Ruby,Accepted,80 ms,3000 KB,2010-12-09 22:03:00
1291058,Mar/05/2012 18:35,lllcfr,16B - Burglar and Matches,MS C++,Accepted,30 ms,1400 KB,2012-03-05 18:35:00
66181637,Dec/02/2019 16:01,Solo_Pie,16B - Burglar and Matches,GNU C++11,Accepted,62 ms,0 KB,2019-12-02 16:01:00
70036714,Feb/02/2020 17:11,ronj23,16B - Burglar and Matches,Python 3,Accepted,248 ms,300 KB,2020-02-02 17:11:00
74732569,Mar/29/2020 16:03,humble,16B - Burglar and Matches,GNU C++17,Accepted,62 ms,0 KB,2020-03-29 16:03:00
78932039,May/04/2020 07:47,domferrel,16B - Burglar and Matches,GNU C++17,Accepted,62 ms,0 KB,2020-05-04 07:47:00
990893,Dec/29/2011 17:28,Saken,16B - Burglar and Matches,FPC,Accepted,30 ms,1100 KB,2011-12-29 17:28:00
1812193,Jun/21/2012 14:13,RazeN,16B - Burglar and Matches,FPC,Accepted,30 ms,1300 KB,2012-06-21 14:13:00
48299144,Jan/12/2019 18:58,mhorst,16B - Burglar and Matches,Python 2,Accepted,342 ms,0 KB,2019-01-12 18:58:00
68214776,Jan/05/2020 00:56,yashashwi90,16B - Burglar and Matches,Python 3,Accepted,248 ms,300 KB,2020-01-05 00:56:00
78932936,May/04/2020 08:05,domferrel,16B - Burglar and Matches,GNU C++17,Accepted,62 ms,0 KB,2020-05-04 08:05:00
5863432,Feb/01/2014 19:12,_ShadowSong,16B - Burglar and Matches,GNU C++,Accepted,30 ms,0 KB,2014-02-01 19:12:00
15679858,Jan/30/2016 17:18,Batja_15,16B - Burglar and Matches,GNU C++,Accepted,30 ms,0 KB,2016-01-30 17:18:00
18832885,Jul/01/2016 04:35,Solve_Every_Where,16B - Burglar and Matches,GNU C++11,Accepted,30 ms,0 KB,2016-07-01 04:35:00
37961478,May/06/2018 18:23,MohamedAshraf15,16B - Burglar and Matches,Python 2,Accepted,248 ms,5900 KB,2018-05-06 18:23:00
2000850,Aug/11/2012 23:27,sentinel45,16B - Burglar and Matches,Python 2,Accepted,110 ms,2900 KB,2012-08-11 23:27:00
12320052,Aug/03/2015 05:26,mohammedehab2002,16B - Burglar and Matches,GNU C++,Accepted,62 ms,0 KB,2015-08-03 05:26:00
36286355,Mar/14/2018 23:16,Leendertz,16B - Burglar and Matches,Python 3,Accepted,124 ms,5500 KB,2018-03-14 23:16:00
