17159063,Apr/04/2016 17:20,freebsdx,483B - Friends and Presents,GNU C++11,Accepted,15 ms,2000 KB,2016-04-04 17:20:00
33280545,Dec/16/2017 07:31,huynhsmd,483B - Friends and Presents,GNU C++11,Accepted,15 ms,2000 KB,2017-12-16 07:31:00
8483066,Oct/30/2014 15:23,summer_vj,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-10-30 15:23:00
8489441,Oct/30/2014 20:17,ReMake,483B - Friends and Presents,FPC,Accepted,15 ms,0 KB,2014-10-30 20:17:00
8482906,Oct/30/2014 15:11,summer_vj,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-10-30 15:11:00
60210279,Sep/07/2019 12:47,Lagoon_,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2019-09-07 12:47:00
8482986,Oct/30/2014 15:18,summer_vj,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-10-30 15:18:00
45033788,Oct/29/2018 09:22,homoeconomicus,483B - Friends and Presents,PyPy 3,Accepted,140 ms,0 KB,2018-10-29 09:22:00
8522287,Nov/02/2014 14:16,gagagapapa,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-11-02 14:16:00
22427374,Nov/23/2016 19:13,AAgg,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2016-11-23 19:13:00
8385056,Oct/24/2014 21:40,DigiMath,483B - Friends and Presents,GNU C,Accepted,31 ms,0 KB,2014-10-24 21:40:00
8467493,Oct/29/2014 13:01,nijikilling,483B - Friends and Presents,Python 3,Accepted,62 ms,0 KB,2014-10-29 13:01:00
8582948,Nov/06/2014 07:12,vjudge5,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-11-06 07:12:00
14122600,Nov/07/2015 14:13,vsanjay_nitdgp,483B - Friends and Presents,MS C++,Accepted,15 ms,0 KB,2015-11-07 14:13:00
9268581,Dec/25/2014 17:44,Apt,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-12-25 17:44:00
10053842,Feb/27/2015 18:38,shank_punk,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2015-02-27 18:38:00
16272526,Feb/22/2016 10:11,vjudge5,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2016-02-22 10:11:00
10555198,Apr/03/2015 00:01,tarek.nawara,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2015-04-03 00:01:00
11414821,Jun/04/2015 17:26,Nikikliki99,483B - Friends and Presents,FPC,Accepted,31 ms,0 KB,2015-06-04 17:26:00
8585271,Nov/06/2014 10:27,vjudge4,483B - Friends and Presents,Python 3,Accepted,77 ms,0 KB,2014-11-06 10:27:00
44169747,Oct/12/2018 07:49,min_j,483B - Friends and Presents,GNU C++17,Accepted,31 ms,0 KB,2018-10-12 07:49:00
33141751,Dec/12/2017 04:03,KRoT_5,483B - Friends and Presents,GNU C++,Accepted,15 ms,2000 KB,2017-12-12 04:03:00
8598831,Nov/07/2014 08:54,okuzn,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-11-07 08:54:00
9403178,Jan/11/2015 16:14,rando,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2015-01-11 16:14:00
12810791,Sep/02/2015 08:20,agiffaryalfatah,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2015-09-02 08:20:00
10499722,Mar/28/2015 15:03,vjudge5,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2015-03-28 15:03:00
60210202,Sep/07/2019 12:46,Lagoon_,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2019-09-07 12:46:00
9214302,Dec/21/2014 13:09,k_3,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-12-21 13:09:00
25480976,Mar/14/2017 18:52,tkain,483B - Friends and Presents,Ruby,Accepted,93 ms,6300 KB,2017-03-14 18:52:00
8521944,Nov/02/2014 13:30,summer_vj,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-11-02 13:30:00
8449242,Oct/28/2014 15:15,shinhwa,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-10-28 15:15:00
8465802,Oct/29/2014 08:33,justcode_fk,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-10-29 08:33:00
69175723,Jan/20/2020 11:01,luogu_bot1,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2020-01-20 11:01:00
8384234,Oct/24/2014 21:32,ergatis,483B - Friends and Presents,Python 3,Accepted,62 ms,0 KB,2014-10-24 21:32:00
8560075,Nov/05/2014 19:03,vjudge4,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-11-05 19:03:00
29423695,Aug/13/2017 08:20,vjudge3,483B - Friends and Presents,GNU C++,Accepted,15 ms,2100 KB,2017-08-13 08:20:00
8448684,Oct/28/2014 14:17,kondalini,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-10-28 14:17:00
9184360,Dec/18/2014 11:46,govind53,483B - Friends and Presents,GNU C,Accepted,31 ms,0 KB,2014-12-18 11:46:00
8395415,Oct/25/2014 00:53,KleiberXD,483B - Friends and Presents,GNU C++,Accepted,46 ms,0 KB,2014-10-25 00:53:00
18823592,Jun/30/2016 15:34,orailly,483B - Friends and Presents,Python 3,Accepted,62 ms,0 KB,2016-06-30 15:34:00
10361852,Mar/20/2015 04:08,CIKE,483B - Friends and Presents,MS C++,Accepted,15 ms,0 KB,2015-03-20 04:08:00
8591979,Nov/06/2014 17:42,vjudge5,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-11-06 17:42:00
17388527,Apr/19/2016 17:34,VAVAvile,483B - Friends and Presents,GNU C++11,Accepted,15 ms,2200 KB,2016-04-19 17:34:00
50153808,Feb/19/2019 11:54,vjudge5,483B - Friends and Presents,MS C++,Accepted,31 ms,0 KB,2019-02-19 11:54:00
8412626,Oct/25/2014 18:37,SUD210#,483B - Friends and Presents,GNU C++,Accepted,62 ms,0 KB,2014-10-25 18:37:00
8548850,Nov/04/2014 18:48,erka_01,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-11-04 18:48:00
8621787,Nov/09/2014 12:43,satvika_gupta,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-11-09 12:43:00
15575078,Jan/25/2016 17:22,duc_cho,483B - Friends and Presents,GNU C++11,Accepted,15 ms,0 KB,2016-01-25 17:22:00
27625415,Jun/07/2017 08:02,ssirowa1314,483B - Friends and Presents,GNU C++14,Accepted,15 ms,0 KB,2017-06-07 08:02:00
8427182,Oct/27/2014 10:38,lm_ss#,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-10-27 10:38:00
14493621,Nov/26/2015 16:45,EuEric,483B - Friends and Presents,GNU C++11,Accepted,15 ms,0 KB,2015-11-26 16:45:00
12809534,Sep/02/2015 04:27,Ferro,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2015-09-02 04:27:00
33097913,Dec/11/2017 12:14,DashdavaaJargalmaa,483B - Friends and Presents,GNU C++11,Accepted,15 ms,2000 KB,2017-12-11 12:14:00
57624158,Jul/24/2019 09:21,vjudge1,483B - Friends and Presents,MS C++,Accepted,31 ms,0 KB,2019-07-24 09:21:00
62326227,Oct/10/2019 21:35,Love_bots,483B - Friends and Presents,GNU C++14,Accepted,30 ms,0 KB,2019-10-10 21:35:00
69878675,Jan/31/2020 08:25,vjudge2,483B - Friends and Presents,MS C++,Accepted,31 ms,0 KB,2020-01-31 08:25:00
8468170,Oct/29/2014 14:16,worfzyq,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-10-29 14:16:00
41308849,Aug/07/2018 17:39,vjudge1,483B - Friends and Presents,MS C++,Accepted,31 ms,0 KB,2018-08-07 17:39:00
36702171,Mar/28/2018 22:05,pragya_123,483B - Friends and Presents,GNU C++11,Accepted,30 ms,3700 KB,2018-03-28 22:05:00
40721666,Jul/25/2018 04:43,vjudge4,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2018-07-25 04:43:00
8383514,Oct/24/2014 21:26,scanhex,483B - Friends and Presents,Ruby,Accepted,62 ms,100 KB,2014-10-24 21:26:00
8394418,Oct/24/2014 23:53,yygutn,483B - Friends and Presents,GNU C++,Accepted,46 ms,0 KB,2014-10-24 23:53:00
8398190,Oct/25/2014 09:30,nazmul_islam,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-10-25 09:30:00
10517120,Mar/29/2015 18:03,chialano,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2015-03-29 18:03:00
14128904,Nov/07/2015 21:26,ToTLeS,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2015-11-07 21:26:00
44766458,Oct/24/2018 13:10,vjudge5,483B - Friends and Presents,MS C++,Accepted,31 ms,300 KB,2018-10-24 13:10:00
8507167,Nov/01/2014 03:01,vjudge5,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-11-01 03:01:00
8717748,Nov/17/2014 15:09,serdarada,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-11-17 15:09:00
11077703,May/12/2015 14:41,sbakic,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2015-05-12 14:41:00
8704941,Nov/15/2014 19:14,khewalgaurav,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-11-15 19:14:00
29423678,Aug/13/2017 08:19,vjudge4,483B - Friends and Presents,GNU C++,Accepted,15 ms,2100 KB,2017-08-13 08:19:00
41321950,Aug/08/2018 04:55,vjudge4,483B - Friends and Presents,GNU C++17,Accepted,31 ms,0 KB,2018-08-08 04:55:00
