26149282,Apr/05/2017 19:12,JustInCase,795B - Significant Cups,GNU C++11,Accepted,327 ms,6800 KB,2017-04-05 19:12:00
26152878,Apr/05/2017 19:58,Rusu,795B - Significant Cups,GNU C++11,Accepted,982 ms,5200 KB,2017-04-05 19:58:00
26155139,Apr/05/2017 20:31,IMAN_GH,795B - Significant Cups,GNU C11,Accepted,140 ms,4200 KB,2017-04-05 20:31:00
30307164,Sep/13/2017 15:45,mike_live,774B - Significant Cups,PHP,Accepted,2495 ms,95900 KB,2017-09-13 15:45:00
26183026,Apr/07/2017 05:57,pr0grammer,795B - Significant Cups,Java 8,Accepted,795 ms,20500 KB,2017-04-07 05:57:00
26153261,Apr/05/2017 20:03,GreenGrape,795B - Significant Cups,GNU C++14,Accepted,249 ms,8200 KB,2017-04-05 20:03:00
26154521,Apr/05/2017 20:22,"NRU HSE: Fit Chicks: f1u77y, xlwinner11",774B - Significant Cups,Java 8,Accepted,998 ms,20600 KB,2017-04-05 20:22:00
26153646,Apr/05/2017 20:10,"bmstu: zashikhin: Eva, crusty",774B - Significant Cups,GNU C++14,Accepted,858 ms,7100 KB,2017-04-05 20:10:00
26233411,Apr/09/2017 12:05,_ShadowSong,774B - Significant Cups,MS C#,Accepted,405 ms,18000 KB,2017-04-09 12:05:00
26229736,Apr/09/2017 06:48,unused,795B - Significant Cups,Rust,Accepted,202 ms,9200 KB,2017-04-09 06:48:00
26240362,Apr/09/2017 18:30,Straw,795B - Significant Cups,GNU C++11,Accepted,264 ms,8300 KB,2017-04-09 18:30:00
26154309,Apr/05/2017 20:19,kefaa,795B - Significant Cups,GNU C++11,Accepted,920 ms,5200 KB,2017-04-05 20:19:00
26154241,Apr/05/2017 20:18,"My Life For T-shirts: AntonZ, thequickfox",774B - Significant Cups,GNU C++11,Accepted,312 ms,7700 KB,2017-04-05 20:18:00
26154569,Apr/05/2017 20:23,"Foxycodes: Immortal_ua, vadimstrekha",774B - Significant Cups,GNU C++14,Accepted,873 ms,7100 KB,2017-04-05 20:23:00
26147838,Apr/05/2017 18:55,"hungriest crocodile: chenmark, yj12",795B - Significant Cups,GNU C++11,Accepted,108 ms,4600 KB,2017-04-05 18:55:00
26149700,Apr/05/2017 19:17,step_by_step,795B - Significant Cups,GNU C++14,Accepted,155 ms,5000 KB,2017-04-05 19:17:00
26150877,Apr/05/2017 19:31,"Rainbow - Kode: I.Smirn0ff, Phil9l",774B - Significant Cups,GNU C++14,Accepted,873 ms,8100 KB,2017-04-05 19:31:00
26150445,Apr/05/2017 19:26,"Very Wow: AnatolyTolstobrov, fnch",795B - Significant Cups,JavaScript,Accepted,499 ms,27700 KB,2017-04-05 19:26:00
26152469,Apr/05/2017 19:51,xuanquang1999,795B - Significant Cups,GNU C++14,Accepted,140 ms,3500 KB,2017-04-05 19:51:00
26153800,Apr/05/2017 20:12,yuizy,795B - Significant Cups,MS C#,Accepted,467 ms,24300 KB,2017-04-05 20:12:00
26149381,Apr/05/2017 19:13,ferrarima,795B - Significant Cups,GNU C++11,Accepted,155 ms,11400 KB,2017-04-05 19:13:00
31879518,Oct/30/2017 04:26,daridius,774B - Significant Cups,GNU C++11,Accepted,249 ms,3100 KB,2017-10-30 04:26:00
26152665,Apr/05/2017 19:54,Umi,795B - Significant Cups,GNU C++11,Accepted,93 ms,5200 KB,2017-04-05 19:54:00
26513256,Apr/20/2017 13:45,krijgertje,774B - Significant Cups,PHP,Accepted,1543 ms,40200 KB,2017-04-20 13:45:00
79940324,May/13/2020 07:20,ruo,795B - Significant Cups,GNU C++17 (64),Accepted,280 ms,5800 KB,2020-05-13 07:20:00
26154108,Apr/05/2017 20:16,"Ukulele: Grzegorz, jaguar1996",774B - Significant Cups,FPC,Accepted,139 ms,5500 KB,2017-04-05 20:16:00
28488527,Jul/13/2017 06:53,KirillxIonov,774B - Significant Cups,Java 8,Accepted,951 ms,20600 KB,2017-07-13 06:53:00
26154216,Apr/05/2017 20:18,kondranin,795B - Significant Cups,GNU C++14,Accepted,124 ms,3400 KB,2017-04-05 20:18:00
26245382,Apr/10/2017 03:21,oxidizer,774B - Significant Cups,GNU C++11,Accepted,93 ms,5200 KB,2017-04-10 03:21:00
29676508,Aug/22/2017 10:31,zyr17,795B - Significant Cups,MS C#,Accepted,327 ms,14100 KB,2017-08-22 10:31:00
35768465,Feb/27/2018 19:08,nevgen#,774B - Significant Cups,GNU C++14,Accepted,171 ms,6500 KB,2018-02-27 19:08:00
52670559,Apr/13/2019 10:16,cheetose,774B - Significant Cups,GNU C++11,Accepted,109 ms,3200 KB,2019-04-13 10:16:00
26154496,Apr/05/2017 20:22,Motherlovers: w4r10ck,774B - Significant Cups,Java 8,Accepted,888 ms,26200 KB,2017-04-05 20:22:00
26154403,Apr/05/2017 20:21,"Weidenfeller: oneshadab, sgtlaugh",795B - Significant Cups,GNU C++14,Accepted,93 ms,95800 KB,2017-04-05 20:21:00
26155033,Apr/05/2017 20:29,"МАМОЧКА НА САНОЧКАХ: Mem4ik, RomanDerkach",774B - Significant Cups,FPC,Accepted,140 ms,14200 KB,2017-04-05 20:29:00
26149578,Apr/05/2017 19:15,ImNaman,795B - Significant Cups,GNU C++11,Accepted,327 ms,5200 KB,2017-04-05 19:15:00
26539197,Apr/21/2017 17:02,AbdelkareemEmara,774B - Significant Cups,MS C++,Accepted,405 ms,10200 KB,2017-04-21 17:02:00
26153479,Apr/05/2017 20:07,"Team Plum: equocredite, Xpech",774B - Significant Cups,GNU C++14,Accepted,139 ms,5000 KB,2017-04-05 20:07:00
26148001,Apr/05/2017 18:57,I_love_Hoang_Yen,795B - Significant Cups,GNU C++14,Accepted,171 ms,8200 KB,2017-04-05 18:57:00
26152947,Apr/05/2017 19:58,"Uns!nkable: rassvetik, godjan",774B - Significant Cups,MS C#,Accepted,311 ms,18800 KB,2017-04-05 19:58:00
28934823,Jul/27/2017 19:56,SssssssssssssbbbBBBB,795B - Significant Cups,GNU C++14,Accepted,249 ms,6200 KB,2017-07-27 19:56:00
26152270,Apr/05/2017 19:48,samvel: samvel,774B - Significant Cups,GNU C,Accepted,109 ms,6500 KB,2017-04-05 19:48:00
26147177,Apr/05/2017 18:45,Tinsane,795B - Significant Cups,GNU C++11,Accepted,109 ms,6700 KB,2017-04-05 18:45:00
26148932,Apr/05/2017 19:08,"Daxua_Gank_Team_20GG: Figthlighting, hiThere23",795B - Significant Cups,Java 8,Accepted,374 ms,24500 KB,2017-04-05 19:08:00
27435111,May/29/2017 22:31,mayankrungta7,795B - Significant Cups,GNU C++14,Accepted,171 ms,3100 KB,2017-05-29 22:31:00
34049575,Jan/09/2018 16:28,Linkus#,774B - Significant Cups,GNU C++14,Accepted,31 ms,3400 KB,2018-01-09 16:28:00
48450366,Jan/16/2019 12:57,tokitsukaze#,795B - Significant Cups,GNU C++14,Accepted,62 ms,3200 KB,2019-01-16 12:57:00
26154943,Apr/05/2017 20:28,sahedsohel,795B - Significant Cups,GNU C++14,Accepted,139 ms,4200 KB,2017-04-05 20:28:00
26153842,Apr/05/2017 20:12,"Bay Watch: VladGanzha, ver1tas",774B - Significant Cups,MS C++,Accepted,405 ms,8300 KB,2017-04-05 20:12:00
26155427,Apr/05/2017 20:33,"Maybe tomorrow: gars, Provet",774B - Significant Cups,Java 8,Accepted,452 ms,35100 KB,2017-04-05 20:33:00
36217367,Mar/12/2018 10:58,"Li2: dmd161100, safiullinzufar#",774B - Significant Cups,Java 8,Accepted,326 ms,26400 KB,2018-03-12 10:58:00
26169962,Apr/06/2017 15:37,6eJIa9IzZzTeHb,774B - Significant Cups,GNU C++14,Accepted,826 ms,48800 KB,2017-04-06 15:37:00
26154786,Apr/05/2017 20:26,mehrunesartem: mehrunesartem,774B - Significant Cups,GNU C++14,Accepted,187 ms,14000 KB,2017-04-05 20:26:00
35768465,Feb/27/2018 19:08,nevgen#,774B - Significant Cups,GNU C++14,Accepted,171 ms,6500 KB,2018-02-27 19:08:00
52670559,Apr/13/2019 10:16,cheetose,774B - Significant Cups,GNU C++11,Accepted,109 ms,3200 KB,2019-04-13 10:16:00
26154496,Apr/05/2017 20:22,Motherlovers: w4r10ck,774B - Significant Cups,Java 8,Accepted,888 ms,26200 KB,2017-04-05 20:22:00
26154403,Apr/05/2017 20:21,"Weidenfeller: oneshadab, sgtlaugh",795B - Significant Cups,GNU C++14,Accepted,93 ms,95800 KB,2017-04-05 20:21:00
26155033,Apr/05/2017 20:29,"МАМОЧКА НА САНОЧКАХ: Mem4ik, RomanDerkach",774B - Significant Cups,FPC,Accepted,140 ms,14200 KB,2017-04-05 20:29:00
26149578,Apr/05/2017 19:15,ImNaman,795B - Significant Cups,GNU C++11,Accepted,327 ms,5200 KB,2017-04-05 19:15:00
26539197,Apr/21/2017 17:02,AbdelkareemEmara,774B - Significant Cups,MS C++,Accepted,405 ms,10200 KB,2017-04-21 17:02:00
26153479,Apr/05/2017 20:07,"Team Plum: equocredite, Xpech",774B - Significant Cups,GNU C++14,Accepted,139 ms,5000 KB,2017-04-05 20:07:00
26148001,Apr/05/2017 18:57,I_love_Hoang_Yen,795B - Significant Cups,GNU C++14,Accepted,171 ms,8200 KB,2017-04-05 18:57:00
26152947,Apr/05/2017 19:58,"Uns!nkable: rassvetik, godjan",774B - Significant Cups,MS C#,Accepted,311 ms,18800 KB,2017-04-05 19:58:00
28934823,Jul/27/2017 19:56,SssssssssssssbbbBBBB,795B - Significant Cups,GNU C++14,Accepted,249 ms,6200 KB,2017-07-27 19:56:00
26152270,Apr/05/2017 19:48,samvel: samvel,774B - Significant Cups,GNU C,Accepted,109 ms,6500 KB,2017-04-05 19:48:00
26147177,Apr/05/2017 18:45,Tinsane,795B - Significant Cups,GNU C++11,Accepted,109 ms,6700 KB,2017-04-05 18:45:00
26148932,Apr/05/2017 19:08,"Daxua_Gank_Team_20GG: Figthlighting, hiThere23",795B - Significant Cups,Java 8,Accepted,374 ms,24500 KB,2017-04-05 19:08:00
27435111,May/29/2017 22:31,mayankrungta7,795B - Significant Cups,GNU C++14,Accepted,171 ms,3100 KB,2017-05-29 22:31:00
34049575,Jan/09/2018 16:28,Linkus#,774B - Significant Cups,GNU C++14,Accepted,31 ms,3400 KB,2018-01-09 16:28:00
48450366,Jan/16/2019 12:57,tokitsukaze#,795B - Significant Cups,GNU C++14,Accepted,62 ms,3200 KB,2019-01-16 12:57:00
26154943,Apr/05/2017 20:28,sahedsohel,795B - Significant Cups,GNU C++14,Accepted,139 ms,4200 KB,2017-04-05 20:28:00
26153842,Apr/05/2017 20:12,"Bay Watch: VladGanzha, ver1tas",774B - Significant Cups,MS C++,Accepted,405 ms,8300 KB,2017-04-05 20:12:00
26155427,Apr/05/2017 20:33,"Maybe tomorrow: gars, Provet",774B - Significant Cups,Java 8,Accepted,452 ms,35100 KB,2017-04-05 20:33:00
36217367,Mar/12/2018 10:58,"Li2: dmd161100, safiullinzufar#",774B - Significant Cups,Java 8,Accepted,326 ms,26400 KB,2018-03-12 10:58:00
26169962,Apr/06/2017 15:37,6eJIa9IzZzTeHb,774B - Significant Cups,GNU C++14,Accepted,826 ms,48800 KB,2017-04-06 15:37:00
26154786,Apr/05/2017 20:26,mehrunesartem: mehrunesartem,774B - Significant Cups,GNU C++14,Accepted,187 ms,14000 KB,2017-04-05 20:26:00
35768465,Feb/27/2018 19:08,nevgen#,774B - Significant Cups,GNU C++14,Accepted,171 ms,6500 KB,2018-02-27 19:08:00
52670559,Apr/13/2019 10:16,cheetose,774B - Significant Cups,GNU C++11,Accepted,109 ms,3200 KB,2019-04-13 10:16:00
26154496,Apr/05/2017 20:22,Motherlovers: w4r10ck,774B - Significant Cups,Java 8,Accepted,888 ms,26200 KB,2017-04-05 20:22:00
26154403,Apr/05/2017 20:21,"Weidenfeller: oneshadab, sgtlaugh",795B - Significant Cups,GNU C++14,Accepted,93 ms,95800 KB,2017-04-05 20:21:00
26155033,Apr/05/2017 20:29,"МАМОЧКА НА САНОЧКАХ: Mem4ik, RomanDerkach",774B - Significant Cups,FPC,Accepted,140 ms,14200 KB,2017-04-05 20:29:00
26149578,Apr/05/2017 19:15,ImNaman,795B - Significant Cups,GNU C++11,Accepted,327 ms,5200 KB,2017-04-05 19:15:00
26539197,Apr/21/2017 17:02,AbdelkareemEmara,774B - Significant Cups,MS C++,Accepted,405 ms,10200 KB,2017-04-21 17:02:00
26153479,Apr/05/2017 20:07,"Team Plum: equocredite, Xpech",774B - Significant Cups,GNU C++14,Accepted,139 ms,5000 KB,2017-04-05 20:07:00
26148001,Apr/05/2017 18:57,I_love_Hoang_Yen,795B - Significant Cups,GNU C++14,Accepted,171 ms,8200 KB,2017-04-05 18:57:00
26152947,Apr/05/2017 19:58,"Uns!nkable: rassvetik, godjan",774B - Significant Cups,MS C#,Accepted,311 ms,18800 KB,2017-04-05 19:58:00
28934823,Jul/27/2017 19:56,SssssssssssssbbbBBBB,795B - Significant Cups,GNU C++14,Accepted,249 ms,6200 KB,2017-07-27 19:56:00
26152270,Apr/05/2017 19:48,samvel: samvel,774B - Significant Cups,GNU C,Accepted,109 ms,6500 KB,2017-04-05 19:48:00
26147177,Apr/05/2017 18:45,Tinsane,795B - Significant Cups,GNU C++11,Accepted,109 ms,6700 KB,2017-04-05 18:45:00
