73742577,Mar/20/2020 00:11,zzzyq,3B - Lorry,Python 3,Accepted,1214 ms,11200 KB,2020-03-20 00:11:00
44174527,Oct/12/2018 11:06,140870,3B - Lorry,GNU C++17,Accepted,122 ms,3900 KB,2018-10-12 11:06:00
64164425,Nov/03/2019 18:44,Mai-sanBestWaifu,3B - Lorry,GNU C++17,Accepted,154 ms,3900 KB,2019-11-03 18:44:00
15528,Jul/03/2010 03:35,kohyatoh,3B - Lorry,GNU C++,Accepted,110 ms,2900 KB,2010-07-03 03:35:00
59319687,Aug/22/2019 20:53,winless,3B - Lorry,Python 3,Accepted,1278 ms,15700 KB,2019-08-22 20:53:00
35635921,Feb/24/2018 13:45,LJFan,3B - Lorry,GNU C++11,Accepted,92 ms,5900 KB,2018-02-24 13:45:00
15518,Jul/02/2010 20:57,kohyatoh,3B - Lorry,GNU C++,Accepted,110 ms,2900 KB,2010-07-02 20:57:00
5917746,Mar/03/2014 23:19,Amelius,3B - Lorry,GNU C++,Accepted,124 ms,2500 KB,2014-03-03 23:19:00
21865710,Oct/29/2016 10:16,whaleShark,3B - Lorry,Python 2,Accepted,1154 ms,9300 KB,2016-10-29 10:16:00
343834,Mar/19/2011 13:28,vlad107,3B - Lorry,GNU C++,Accepted,110 ms,3600 KB,2011-03-19 13:28:00
58932172,Aug/17/2019 04:36,yspm,3B - Lorry,GNU C++11,Accepted,592 ms,3900 KB,2019-08-17 04:36:00
15465044,Jan/21/2016 11:14,Batja_15,3B - Lorry,GNU C++,Accepted,1902 ms,1600 KB,2016-01-21 11:14:00
12486339,Aug/13/2015 05:53,kwakwa,3B - Lorry,GNU C,Accepted,124 ms,1200 KB,2015-08-13 05:53:00
343831,Mar/19/2011 13:26,vlad107,3B - Lorry,GNU C++,Accepted,110 ms,3600 KB,2011-03-19 13:26:00
3235049,Mar/03/2013 19:27,aiiYuu,3B - Lorry,GNU C++,Accepted,78 ms,1500 KB,2013-03-03 19:27:00
33052730,Dec/09/2017 17:20,adelacvg,3B - Lorry,GNU C++14,Accepted,156 ms,5900 KB,2017-12-09 17:20:00
45317469,Nov/05/2018 11:49,chengyufeng,3B - Lorry,GNU C++11,Accepted,124 ms,1200 KB,2018-11-05 11:49:00
66597602,Dec/10/2019 18:17,Afsana1313,3B - Lorry,GNU C++11,Accepted,622 ms,2100 KB,2019-12-10 18:17:00
4705810,Oct/08/2013 07:33,mlz000#,3B - Lorry,GNU C++,Accepted,92 ms,2500 KB,2013-10-08 07:33:00
57931224,Jul/29/2019 11:47,HybridSkills,3B - Lorry,Python 3,Accepted,1214 ms,10200 KB,2019-07-29 11:47:00
15401,May/06/2010 00:34,Ra16bit,3B - Lorry,GNU C++,Accepted,130 ms,2700 KB,2010-05-06 00:34:00
61203011,Sep/24/2019 11:33,vjudge5,3B - Lorry,GNU C++11,Accepted,590 ms,2100 KB,2019-09-24 11:33:00
18625694,Jun/21/2016 10:28,ambe_sst,3B - Lorry,GNU C++11,Accepted,684 ms,2100 KB,2016-06-21 10:28:00
22161628,Nov/11/2016 14:25,Junkfood,3B - Lorry,GNU C++11,Accepted,686 ms,2100 KB,2016-11-11 14:25:00
422666,May/03/2011 09:41,yuxingdubai,3B - Lorry,GNU C++,Accepted,110 ms,3200 KB,2011-05-03 09:41:00
11675301,Jun/20/2015 01:40,mohammedehab2002,3B - Lorry,GNU C++,Accepted,654 ms,2900 KB,2015-06-20 01:40:00
28721540,Jul/20/2017 13:27,BinZhao,3B - Lorry,Python 3,Accepted,1932 ms,13600 KB,2017-07-20 13:27:00
67843345,Dec/28/2019 23:18,romanysik,3B - Lorry,Python 3,Accepted,1310 ms,9900 KB,2019-12-28 23:18:00
422657,May/03/2011 09:21,yuxingdubai,3B - Lorry,GNU C++,Accepted,110 ms,3200 KB,2011-05-03 09:21:00
35665223,Feb/25/2018 04:03,firstruggle,3B - Lorry,GNU C++,Accepted,92 ms,3600 KB,2018-02-25 04:03:00
66303617,Dec/05/2019 11:23,luogu_bot2,3B - Lorry,GNU C++11,Accepted,154 ms,2400 KB,2019-12-05 11:23:00
55527570,Jun/13/2019 14:56,ahmedibrahim404,3B - Lorry,GNU C++17,Accepted,124 ms,1600 KB,2019-06-13 14:56:00
78015001,Apr/25/2020 13:47,Timotin,3B - Lorry,GNU C++17,Accepted,186 ms,1600 KB,2020-04-25 13:47:00
28009461,Jun/24/2017 20:38,Momentum,3B - Lorry,GNU C++11,Accepted,124 ms,4400 KB,2017-06-24 20:38:00
58428166,Aug/07/2019 13:41,luogu_bot1,3B - Lorry,GNU C++11,Accepted,122 ms,3500 KB,2019-08-07 13:41:00
