25815989,Mar/26/2017 13:09,forestryks,785B - Anton and Classes,Python 3,Accepted,1638 ms,16000 KB,2017-03-26 13:09:00
55115598,Jun/05/2019 11:30,Aidos,785B - Anton and Classes,PyPy 3,Accepted,3290 ms,11300 KB,2019-06-05 11:30:00
29598778,Aug/19/2017 15:58,unbelievable02,785B - Anton and Classes,Python 3,Accepted,1949 ms,0 KB,2017-08-19 15:58:00
25532122,Mar/15/2017 22:57,KillerBeer,785B - Anton and Classes,GNU C++14,Accepted,1622 ms,1900 KB,2017-03-15 22:57:00
25639848,Mar/19/2017 11:13,soheil_r,785B - Anton and Classes,Python 3,Accepted,1279 ms,4500 KB,2017-03-19 11:13:00
26489893,Apr/19/2017 09:42,MSTXI,785B - Anton and Classes,GNU C++14,Accepted,1544 ms,1900 KB,2017-04-19 09:42:00
25506741,Mar/15/2017 18:18,Vasilevich,785B - Anton and Classes,GNU C++,Accepted,1871 ms,2000 KB,2017-03-15 18:18:00
25573462,Mar/17/2017 16:18,elch10,785B - Anton and Classes,Python 3,Accepted,1294 ms,4500 KB,2017-03-17 16:18:00
25647333,Mar/19/2017 16:36,baxbaxa,785B - Anton and Classes,GNU C++,Accepted,1918 ms,2000 KB,2017-03-19 16:36:00
52546743,Apr/10/2019 01:22,saku7#,785B - Anton and Classes,Python 3,Accepted,1216 ms,0 KB,2019-04-10 01:22:00
25575212,Mar/17/2017 17:25,BekaAbU,785B - Anton and Classes,GNU C++11,Accepted,1903 ms,2000 KB,2017-03-17 17:25:00
28777102,Jul/22/2017 14:24,sobir_bobiev#,785B - Anton and Classes,Python 3,Accepted,1294 ms,4500 KB,2017-07-22 14:24:00
56493432,Jul/04/2019 03:53,bugdog#,785B - Anton and Classes,GNU C++17,Accepted,1560 ms,0 KB,2019-07-04 03:53:00
32569102,Nov/23/2017 10:58,laoliumang,785B - Anton and Classes,Python 2,Accepted,1185 ms,18600 KB,2017-11-23 10:58:00
25507760,Mar/15/2017 18:21,Mayfield,785B - Anton and Classes,Python 3,Accepted,1294 ms,4500 KB,2017-03-15 18:21:00
25509367,Mar/15/2017 18:27,Arhimason,785B - Anton and Classes,Python 3,Accepted,1310 ms,4500 KB,2017-03-15 18:27:00
25531361,Mar/15/2017 22:25,_HossamYehia_,785B - Anton and Classes,GNU C++14,Accepted,1715 ms,1900 KB,2017-03-15 22:25:00
26995426,May/10/2017 15:04,baxbaxa#,785B - Anton and Classes,GNU C++,Accepted,1965 ms,0 KB,2017-05-10 15:04:00
31900610,Oct/30/2017 20:04,Mad_Andrei,785B - Anton and Classes,Python 3,Accepted,1169 ms,0 KB,2017-10-30 20:04:00
25529809,Mar/15/2017 21:38,Tesla_d,785B - Anton and Classes,Python 3,Accepted,1263 ms,4500 KB,2017-03-15 21:38:00
25507995,Mar/15/2017 18:22,aya_elymany,785B - Anton and Classes,GNU C++11,Accepted,140 ms,2000 KB,2017-03-15 18:22:00
25565069,Mar/17/2017 09:19,559935,785B - Anton and Classes,GNU C++14,Accepted,280 ms,1900 KB,2017-03-17 09:19:00
34778274,Jan/31/2018 21:42,Jsxft,785B - Anton and Classes,Python 2,Accepted,1123 ms,22900 KB,2018-01-31 21:42:00
47067107,Dec/15/2018 19:03,arian000,785B - Anton and Classes,GNU C++17,Accepted,1435 ms,0 KB,2018-12-15 19:03:00
25506256,Mar/15/2017 18:16,T1duS,785B - Anton and Classes,Python 3,Accepted,2527 ms,55500 KB,2017-03-15 18:16:00
25512739,Mar/15/2017 18:42,Mohamed_Shawkat,785B - Anton and Classes,GNU C++14,Accepted,1606 ms,1900 KB,2017-03-15 18:42:00
26631463,Apr/24/2017 04:55,newpie#,785B - Anton and Classes,Python 3,Accepted,1310 ms,16300 KB,2017-04-24 04:55:00
26255223,Apr/10/2017 17:07,McAwesome,785B - Anton and Classes,GNU C++11,Accepted,1887 ms,2000 KB,2017-04-10 17:07:00
57456071,Jul/21/2019 14:40,vipin.pr,785B - Anton and Classes,GNU C++11,Accepted,1700 ms,0 KB,2019-07-21 14:40:00
25529198,Mar/15/2017 21:25,Isocyanide,785B - Anton and Classes,GNU C++,Accepted,1903 ms,2000 KB,2017-03-15 21:25:00
25509654,Mar/15/2017 18:28,f52985,785B - Anton and Classes,GNU C,Accepted,155 ms,1800 KB,2017-03-15 18:28:00
25520371,Mar/15/2017 19:25,lit2015004,785B - Anton and Classes,GNU C++14,Accepted,1591 ms,1900 KB,2017-03-15 19:25:00
25570576,Mar/17/2017 14:37,dsharma080,785B - Anton and Classes,GNU C++11,Accepted,1903 ms,2000 KB,2017-03-17 14:37:00
25549034,Mar/16/2017 15:51,David-M,785B - Anton and Classes,GNU C++11,Accepted,1902 ms,2000 KB,2017-03-16 15:51:00
25550116,Mar/16/2017 16:28,damiane_kapanadze,785B - Anton and Classes,GNU C++,Accepted,1903 ms,2000 KB,2017-03-16 16:28:00
44840968,Oct/25/2018 15:45,vjudge4,785B - Anton and Classes,GNU C++11,Accepted,140 ms,0 KB,2018-10-25 15:45:00
68147259,Jan/04/2020 08:09,unbelievable_aman,785B - Anton and Classes,GNU C++11,Accepted,1684 ms,0 KB,2020-01-04 08:09:00
25511819,Mar/15/2017 18:38,Roberto29,785B - Anton and Classes,PyPy 3,Accepted,3603 ms,32200 KB,2017-03-15 18:38:00
25896828,Mar/29/2017 16:33,Bnahmad15,785B - Anton and Classes,GNU C++,Accepted,1887 ms,5200 KB,2017-03-29 16:33:00
26787911,May/01/2017 18:13,kimbbakar,785B - Anton and Classes,Python 2,Accepted,1216 ms,8000 KB,2017-05-01 18:13:00
63399765,Oct/25/2019 20:55,kshitij_sodani#,785B - Anton and Classes,PyPy 3,Accepted,3478 ms,35600 KB,2019-10-25 20:55:00
25530668,Mar/15/2017 22:01,AbdAlhakem,785B - Anton and Classes,GNU C++11,Accepted,1903 ms,2000 KB,2017-03-15 22:01:00
25543050,Mar/16/2017 12:03,vivek_354,785B - Anton and Classes,GNU C++14,Accepted,1591 ms,1900 KB,2017-03-16 12:03:00
25601155,Mar/18/2017 16:17,thelastprime,785B - Anton and Classes,Python 3,Accepted,1123 ms,27100 KB,2017-03-18 16:17:00
25646287,Mar/19/2017 15:50,Div1.5,785B - Anton and Classes,Python 2,Accepted,1184 ms,43400 KB,2017-03-19 15:50:00
