65712594,Nov/25/2019 18:00,luogu_bot1,235B - Let's Play Osu!,GNU C++11,Accepted,1028 ms,0 KB,2019-11-25 18:00:00
17127093,Apr/02/2016 12:13,freebsdx,235B - Let's Play Osu!,GNU C++11,Accepted,154 ms,2000 KB,2016-04-02 12:13:00
63067335,Oct/21/2019 14:19,RainyClementine,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-10-21 14:19:00
2699196,Dec/06/2012 11:36,Jay_Chou,235B - Let's Play Osu!,Python 2,Accepted,281 ms,7800 KB,2012-12-06 11:36:00
2869187,Jan/03/2013 15:46,lzl65825,235B - Let's Play Osu!,GNU C++,Accepted,78 ms,1500 KB,2013-01-03 15:46:00
56370212,Jul/01/2019 06:03,ez_zh,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-07-01 06:03:00
58910928,Aug/16/2019 16:02,wkywky,235B - Let's Play Osu!,GNU C++11,Accepted,1028 ms,800 KB,2019-08-16 16:02:00
42124065,Aug/26/2018 17:03,Mk_Python_v1,235B - Let's Play Osu!,Python 3,Accepted,436 ms,8800 KB,2018-08-26 17:03:00
47148293,Dec/17/2018 07:50,Sanada-Masayuki,235B - Let's Play Osu!,GNU C++11,Accepted,92 ms,0 KB,2018-12-17 07:50:00
63623948,Oct/28/2019 05:00,luogu_bot1,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,0 KB,2019-10-28 05:00:00
61396046,Sep/28/2019 05:17,x_Yi_x,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-09-28 05:17:00
70032332,Feb/02/2020 16:13,luogu_bot1,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,1400 KB,2020-02-02 16:13:00
45248201,Nov/03/2018 18:02,luogu_bot2,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2018-11-03 18:02:00
74363446,Mar/26/2020 10:55,luogu_bot5,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,0 KB,2020-03-26 10:55:00
64188079,Nov/04/2019 09:22,yuzhechuan,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,800 KB,2019-11-04 09:22:00
34160875,Jan/13/2018 23:00,dionysios,235B - Let's Play Osu!,GNU C++14,Accepted,280 ms,1800 KB,2018-01-13 23:00:00
61700813,Oct/02/2019 11:30,luogu_bot1,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,0 KB,2019-10-02 11:30:00
65470061,Nov/21/2019 11:00,JasonLan,235B - Let's Play Osu!,GNU C++11,Accepted,998 ms,0 KB,2019-11-21 11:00:00
14825897,Dec/15/2015 21:28,yarak,235B - Let's Play Osu!,GNU C++11,Accepted,1216 ms,0 KB,2015-12-15 21:28:00
43709276,Oct/03/2018 05:12,da32s1da,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,1400 KB,2018-10-03 05:12:00
77446532,Apr/21/2020 11:46,luogu_bot4,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,1400 KB,2020-04-21 11:46:00
59597514,Aug/28/2019 06:09,luogu_bot1,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,0 KB,2019-08-28 06:09:00
79966810,May/13/2020 13:08,steamed_bun,235B - Let's Play Osu!,GNU C++11,Accepted,1028 ms,4000 KB,2020-05-13 13:08:00
58974802,Aug/18/2019 02:24,luogu_bot2,235B - Let's Play Osu!,GNU C++11,Accepted,92 ms,0 KB,2019-08-18 02:24:00
64064808,Nov/02/2019 08:21,luogu_bot5,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,1600 KB,2019-11-02 08:21:00
54407278,May/20/2019 10:13,luogu_bot5,235B - Let's Play Osu!,GNU C++11,Accepted,92 ms,0 KB,2019-05-20 10:13:00
58914518,Aug/16/2019 17:24,LittleBeetle,235B - Let's Play Osu!,GNU C++11,Accepted,92 ms,15500 KB,2019-08-16 17:24:00
45315672,Nov/05/2018 10:53,vjudge4,235B - Let's Play Osu!,GNU C++14,Accepted,218 ms,1600 KB,2018-11-05 10:53:00
61700501,Oct/02/2019 11:24,sunyunqi,235B - Let's Play Osu!,GNU C++14,Accepted,218 ms,0 KB,2019-10-02 11:24:00
5710800,Jan/17/2014 18:17,vjudge2,236D - Let's Play Osu!,GNU C++,Accepted,122 ms,0 KB,2014-01-17 18:17:00
70438470,Feb/06/2020 16:28,FCBM71,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,1400 KB,2020-02-06 16:28:00
51850605,Mar/26/2019 10:43,Gaozijian,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-03-26 10:43:00
61087554,Sep/22/2019 22:00,luogu_bot2,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-09-22 22:00:00
56421502,Jul/02/2019 10:33,Polygon-yg,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,15700 KB,2019-07-02 10:33:00
2437081,Oct/26/2012 13:06,737566563,235B - Let's Play Osu!,GNU C++,Accepted,156 ms,0 KB,2012-10-26 13:06:00
5186363,Nov/21/2013 20:13,CSUvjudge2,235B - Let's Play Osu!,GNU C++,Accepted,92 ms,0 KB,2013-11-21 20:13:00
54499531,May/22/2019 22:46,WOSHIGEPACHONG2,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-05-22 22:46:00
2419911,Oct/24/2012 08:46,lyrics,235B - Let's Play Osu!,Python 2,Accepted,156 ms,5700 KB,2012-10-24 08:46:00
5997928,Mar/11/2014 20:46,Nik_Storm_2010,235B - Let's Play Osu!,FPC,Accepted,62 ms,1000 KB,2014-03-11 20:46:00
