31267709,Oct/13/2017 10:38,MFoad_Aba,173B - Chamber of Secrets,GNU C++14,Accepted,92 ms,10400 KB,2017-10-13 10:38:00
44367772,Oct/15/2018 20:31,vjudge1,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,9500 KB,2018-10-15 20:31:00
71962986,Feb/27/2020 12:37,Shrey2809,173B - Chamber of Secrets,GNU C++17,Accepted,404 ms,10800 KB,2020-02-27 12:37:00
47193578,Dec/18/2018 16:29,mjn.bn,173B - Chamber of Secrets,GNU C++14,Accepted,404 ms,9400 KB,2018-12-18 16:29:00
40724536,Jul/25/2018 06:56,wanglili,173B - Chamber of Secrets,GNU C++14,Accepted,466 ms,10500 KB,2018-07-25 06:56:00
40721957,Jul/25/2018 04:54,ybwowen,173B - Chamber of Secrets,GNU C++14,Accepted,466 ms,10400 KB,2018-07-25 04:54:00
48604799,Jan/20/2019 13:15,ssw666,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,21600 KB,2019-01-20 13:15:00
17278401,Apr/11/2016 16:27,vjudge4,173B - Chamber of Secrets,GNU C++,Accepted,374 ms,29100 KB,2016-04-11 16:27:00
19221261,Jul/19/2016 03:23,vjudge3,173B - Chamber of Secrets,GNU C++,Accepted,436 ms,29300 KB,2016-07-19 03:23:00
48607585,Jan/20/2019 14:49,wanghaoze,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10700 KB,2019-01-20 14:49:00
13876466,Oct/26/2015 20:03,I_love_Pegah,173B - Chamber of Secrets,GNU C++11,Accepted,872 ms,9500 KB,2015-10-26 20:03:00
1481401,Apr/06/2012 19:28,navi,173B - Chamber of Secrets,GNU C++,Accepted,50 ms,2400 KB,2012-04-06 19:28:00
41517579,Aug/12/2018 10:02,vjudge3,173B - Chamber of Secrets,GNU C++11,Accepted,936 ms,9500 KB,2018-08-12 10:02:00
40870774,Jul/28/2018 09:16,arshiya_,173B - Chamber of Secrets,GNU C++11,Accepted,934 ms,9500 KB,2018-07-28 09:16:00
