75530909,Apr/05/2020 06:26,legend_life,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2020-04-05 06:26:00
12382290,Aug/06/2015 08:25,vjudge3,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2015-08-06 08:25:00
391566,Apr/15/2011 20:14,Och-Iv2000,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-15 20:14:00
394025,Apr/16/2011 14:44,Aphrodite,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-16 14:44:00
5917716,Mar/03/2014 23:14,Amelius,74B - Train,GNU C++,Accepted,30 ms,0 KB,2014-03-03 23:14:00
4102679,Jul/19/2013 09:55,dima_gozha,74B - Train,GNU C++,Accepted,15 ms,0 KB,2013-07-19 09:55:00
2003414,Aug/13/2012 10:46,tclsm,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-08-13 10:46:00
458855,May/18/2011 21:25,Nikolai,74B - Train,Delphi,Accepted,30 ms,800 KB,2011-05-18 21:25:00
12309530,Aug/02/2015 05:43,vjudge3,74B - Train,GNU C++,Accepted,60 ms,0 KB,2015-08-02 05:43:00
392877,Apr/15/2011 21:55,vroon,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 21:55:00
1904920,Jul/16/2012 22:22,Zarg,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-07-16 22:22:00
391691,Apr/15/2011 20:19,rudolf,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-15 20:19:00
987380,Dec/26/2011 21:15,aminabedi,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-12-26 21:15:00
390468,Apr/15/2011 19:34,xokin,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:34:00
394095,Apr/16/2011 15:16,jaamaa,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-16 15:16:00
4595253,Sep/28/2013 11:04,niting112,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-09-28 11:04:00
810184,Oct/28/2011 06:07,roypalacios,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-10-28 06:07:00
59198057,Aug/21/2019 05:50,vjudge2,74B - Train,MS C++,Accepted,62 ms,0 KB,2019-08-21 05:50:00
34499218,Jan/24/2018 03:23,vjudge3,74B - Train,GNU C++14,Accepted,30 ms,1900 KB,2018-01-24 03:23:00
390913,Apr/15/2011 19:49,igsilya,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:49:00
392200,Apr/15/2011 20:42,freak93,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-15 20:42:00
389991,Apr/15/2011 19:20,kcm1700,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-15 19:20:00
1202784,Feb/19/2012 07:41,Moor,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-02-19 07:41:00
603162,Aug/11/2011 22:35,pakh,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-08-11 22:35:00
390543,Apr/15/2011 19:36,Martin,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:36:00
57074250,Jul/15/2019 07:16,vjudge1,74B - Train,MS C++,Accepted,62 ms,0 KB,2019-07-15 07:16:00
3450134,Apr/01/2013 21:54,Grim,74B - Train,MS C++,Accepted,15 ms,1400 KB,2013-04-01 21:54:00
1230978,Feb/24/2012 22:43,Likogra,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-02-24 22:43:00
404429,Apr/21/2011 13:19,ithlony,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-21 13:19:00
390125,Apr/15/2011 19:25,Erop,74B - Train,MS C++,Accepted,30 ms,1300 KB,2011-04-15 19:25:00
391729,Apr/15/2011 20:20,Rosetta,74B - Train,FPC,Accepted,30 ms,1000 KB,2011-04-15 20:20:00
393651,Apr/16/2011 09:31,Le-Nika,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-16 09:31:00
26983969,May/09/2017 22:42,KieranHorgan,74B - Train,GNU C++14,Accepted,30 ms,0 KB,2017-05-09 22:42:00
1074883,Jan/18/2012 10:58,jyhuang,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-01-18 10:58:00
6580861,May/10/2014 10:08,vjudge4,74B - Train,GNU C++,Accepted,30 ms,0 KB,2014-05-10 10:08:00
393620,Apr/16/2011 09:08,LGM,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-16 09:08:00
756743,Oct/12/2011 15:30,claire_,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-10-12 15:30:00
30861303,Sep/30/2017 12:48,abdulla.ashraf,74B - Train,GNU C++14,Accepted,60 ms,0 KB,2017-09-30 12:48:00
7748123,Sep/12/2014 06:46,wjh720,74B - Train,GNU C++,Accepted,62 ms,0 KB,2014-09-12 06:46:00
15324906,Jan/13/2016 05:00,chubakueno,74B - Train,GNU C++,Accepted,30 ms,0 KB,2016-01-13 05:00:00
29123875,Aug/02/2017 11:51,vode,74B - Train,GNU C++14,Accepted,30 ms,1900 KB,2017-08-02 11:51:00
390272,Apr/15/2011 19:29,milkch,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-15 19:29:00
390476,Apr/15/2011 19:34,Eugen,74B - Train,MS C++,Accepted,30 ms,1300 KB,2011-04-15 19:34:00
420942,May/01/2011 12:04,kuraku,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-05-01 12:04:00
636153,Aug/24/2011 08:50,totalfrank,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-08-24 08:50:00
56023557,Jun/25/2019 08:39,quake0,74B - Train,GNU C++17,Accepted,92 ms,0 KB,2019-06-25 08:39:00
4607466,Sep/29/2013 22:58,marat.snowbear,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-09-29 22:58:00
391573,Apr/15/2011 20:14,AC9,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 20:14:00
390626,Apr/15/2011 19:39,helThazar,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:39:00
