26156248,Apr/05/2017 21:16,hitagg008,358B - Dima and Text Messages,GNU C++11,Accepted,108 ms,3000 KB,2017-04-05 21:16:00
5361533,Dec/06/2013 19:41,tourist__2,358B - Dima and Text Messages,GNU C++,Accepted,62 ms,1000 KB,2013-12-06 19:41:00
26319778,Apr/12/2017 17:29,smile_a,358B - Dima and Text Messages,GNU C++,Accepted,109 ms,3000 KB,2017-04-12 17:29:00
4891160,Oct/25/2013 22:04,Gotzillaz,358B - Dima and Text Messages,Python 2,Accepted,109 ms,4400 KB,2013-10-25 22:04:00
39445209,Jun/20/2018 22:45,AdolfoAiresSchneider,358B - Dima and Text Messages,GNU C++17,Accepted,78 ms,1000 KB,2018-06-20 22:45:00
17385364,Apr/19/2016 12:52,kingside,358B - Dima and Text Messages,GNU C++11,Accepted,109 ms,3000 KB,2016-04-19 12:52:00
7955320,Sep/26/2014 14:34,bjtutyq,358B - Dima and Text Messages,MS C++,Accepted,46 ms,3400 KB,2014-09-26 14:34:00
26156287,Apr/05/2017 21:19,hitagg008,358B - Dima and Text Messages,GNU C++11,Accepted,108 ms,3000 KB,2017-04-05 21:19:00
4882900,Oct/25/2013 19:56,kursatbakis0,358B - Dima and Text Messages,GNU C++,Accepted,62 ms,3800 KB,2013-10-25 19:56:00
4889270,Oct/25/2013 21:09,antonydeepak,358B - Dima and Text Messages,Python 3,Accepted,218 ms,1600 KB,2013-10-25 21:09:00
4892269,Oct/25/2013 23:03,shaileshahuja,358B - Dima and Text Messages,Python 2,Accepted,109 ms,700 KB,2013-10-25 23:03:00
4904756,Oct/26/2013 17:15,aabs08,358B - Dima and Text Messages,GNU C++,Accepted,62 ms,3800 KB,2013-10-26 17:15:00
5291525,Nov/29/2013 10:10,RedSaiyanAlvi,358B - Dima and Text Messages,GNU C++,Accepted,46 ms,1000 KB,2013-11-29 10:10:00
8770152,Nov/21/2014 04:50,dhipta_78,358B - Dima and Text Messages,GNU C++,Accepted,78 ms,1000 KB,2014-11-21 04:50:00
4919838,Oct/28/2013 17:46,dkat,358B - Dima and Text Messages,MS C++,Accepted,31 ms,3700 KB,2013-10-28 17:46:00
6738819,May/30/2014 11:44,Mohamed_Ayman,358B - Dima and Text Messages,GNU C++,Accepted,468 ms,1000 KB,2014-05-30 11:44:00
4892222,Oct/25/2013 23:00,wdan,358B - Dima and Text Messages,Python 2,Accepted,109 ms,400 KB,2013-10-25 23:00:00
5353918,Dec/05/2013 16:28,heedrag,358B - Dima and Text Messages,Scala,Accepted,249 ms,100 KB,2013-12-05 16:28:00
9270065,Dec/25/2014 20:27,assault95,358B - Dima and Text Messages,GNU C++,Accepted,77 ms,1000 KB,2014-12-25 20:27:00
54801513,May/29/2019 15:08,vjudge2,358B - Dima and Text Messages,GNU C++11,Accepted,93 ms,1000 KB,2019-05-29 15:08:00
26156326,Apr/05/2017 21:22,hitagg008,358B - Dima and Text Messages,GNU C++11,Accepted,109 ms,3000 KB,2017-04-05 21:22:00
4973019,Nov/02/2013 21:58,gcttirth,358B - Dima and Text Messages,Python 3,Accepted,265 ms,1100 KB,2013-11-02 21:58:00
18161807,May/31/2016 01:09,orailly,358B - Dima and Text Messages,Python 3,Accepted,77 ms,6100 KB,2016-05-31 01:09:00
7599753,Aug/27/2014 00:50,abhiruchi16,358B - Dima and Text Messages,GNU C++,Accepted,46 ms,1000 KB,2014-08-27 00:50:00
