18963602,Jul/08/2016 10:08,yashar_sb_sb,144B - Meeting,GNU C++11,Accepted,62 ms,200 KB,2016-07-08 10:08:00
2337002,Oct/11/2012 10:12,supdude1,144B - Meeting,MS C++,Accepted,46 ms,0 KB,2012-10-11 10:12:00
32502629,Nov/20/2017 17:26,zooll,144B - Meeting,GNU C++11,Accepted,154 ms,300 KB,2017-11-20 17:26:00
12263965,Jul/29/2015 14:54,samiemad#,144B - Meeting,GNU C++11,Accepted,62 ms,0 KB,2015-07-29 14:54:00
77997555,Apr/25/2020 11:27,tflave,144B - Meeting,PyPy 3,Accepted,436 ms,3900 KB,2020-04-25 11:27:00
4934518,Oct/30/2013 16:44,vjudge1,144B - Meeting,GNU C++,Accepted,92 ms,0 KB,2013-10-30 16:44:00
64684650,Nov/11/2019 14:20,eye_musician,144B - Meeting,GNU C++17,Accepted,124 ms,0 KB,2019-11-11 14:20:00
75460331,Apr/04/2020 09:43,vjudge3,144B - Meeting,Clang++17 Diagnostics,Accepted,684 ms,0 KB,2020-04-04 09:43:00
68215046,Jan/05/2020 01:11,Kas_09#,144B - Meeting,GNU C++14,Accepted,92 ms,200 KB,2020-01-05 01:11:00
1863113,Jul/04/2012 11:38,Ayubxon_TUIT,144B - Meeting,GNU C++,Accepted,230 ms,1400 KB,2012-07-04 11:38:00
4438290,Sep/10/2013 13:34,sft77,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2013-09-10 13:34:00
2528860,Nov/10/2012 01:44,daidailanlan,144B - Meeting,Python 2,Accepted,78 ms,300 KB,2012-11-10 01:44:00
40819697,Jul/27/2018 01:04,WeWellSee,144B - Meeting,GNU C++14,Accepted,62 ms,100 KB,2018-07-27 01:04:00
1076243,Jan/18/2012 19:16,* Sereja,144B - Meeting,Delphi,Accepted,50 ms,1000 KB,2012-01-18 19:16:00
1082833,Jan/18/2012 22:35,Sereja,144B - Meeting,Delphi,Accepted,60 ms,1000 KB,2012-01-18 22:35:00
1084223,Jan/19/2012 08:18,sandytea,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-19 08:18:00
1098626,Jan/21/2012 11:58,pnv#,144B - Meeting,FPC,Accepted,270 ms,1100 KB,2012-01-21 11:58:00
