38749286,May/29/2018 20:32,BelowLuminous,987E - Petr and Permutations,GNU C++14,Accepted,296 ms,3300 KB,2018-05-29 20:32:00
38772138,May/30/2018 15:10,CenturyBomber#,987E - Petr and Permutations,GNU C++,Accepted,1825 ms,11500 KB,2018-05-30 15:10:00
39261294,Jun/15/2018 11:44,luogu_bot2,986B - Petr and Permutations,GNU C++11,Accepted,1871 ms,7900 KB,2018-06-15 11:44:00
38752527,May/30/2018 00:57,pyrus,987E - Petr and Permutations,Python 3,Accepted,1076 ms,60200 KB,2018-05-30 00:57:00
38945688,Jun/04/2018 16:17,ak07_,987E - Petr and Permutations,GNU C++11,Accepted,217 ms,7300 KB,2018-06-04 16:17:00
41452260,Aug/11/2018 07:27,vjudge3,987E - Petr and Permutations,GNU C++17,Accepted,280 ms,0 KB,2018-08-11 07:27:00
38881716,Jun/02/2018 12:41,BackOnTrack,986B - Petr and Permutations,GNU C++17,Accepted,280 ms,11100 KB,2018-06-02 12:41:00
38865782,Jun/01/2018 22:43,TadijaSebez,986B - Petr and Permutations,GNU C++14,Accepted,233 ms,8200 KB,2018-06-01 22:43:00
38737543,May/29/2018 19:22,min1013,986B - Petr and Permutations,GNU C++17,Accepted,296 ms,11100 KB,2018-05-29 19:22:00
40779423,Jul/26/2018 15:58,ajcxsu,986B - Petr and Permutations,GNU C++11,Accepted,187 ms,0 KB,2018-07-26 15:58:00
53042721,Apr/20/2019 13:44,luogu_bot3,986B - Petr and Permutations,GNU C++11,Accepted,187 ms,3900 KB,2019-04-20 13:44:00
53592513,May/01/2019 04:33,YangHao666,986B - Petr and Permutations,GNU C++11,Accepted,171 ms,3700 KB,2019-05-01 04:33:00
38790382,May/31/2018 08:04,vjudge3,986B - Petr and Permutations,GNU C++11,Accepted,187 ms,3400 KB,2018-05-31 08:04:00
44894380,Oct/26/2018 08:48,luogu_bot1,986B - Petr and Permutations,GNU C++11,Accepted,171 ms,3700 KB,2018-10-26 08:48:00
53592572,May/01/2019 04:35,YangHao666,986B - Petr and Permutations,GNU C++11,Accepted,171 ms,3700 KB,2019-05-01 04:35:00
44894356,Oct/26/2018 08:48,innocent_lemon,986B - Petr and Permutations,GNU C++11,Accepted,171 ms,3700 KB,2018-10-26 08:48:00
38756163,May/30/2018 04:58,ftuknights,987E - Petr and Permutations,GNU C++14,Accepted,1434 ms,3300 KB,2018-05-30 04:58:00
38787315,May/31/2018 04:00,jefflyy,986B - Petr and Permutations,GNU C++11,Accepted,202 ms,11100 KB,2018-05-31 04:00:00
39261266,Jun/15/2018 11:42,ILLENIUM,986B - Petr and Permutations,GNU C++11,Accepted,1871 ms,7900 KB,2018-06-15 11:42:00
39270286,Jun/15/2018 18:42,luogu_bot3,986B - Petr and Permutations,GNU C++11,Accepted,1856 ms,7800 KB,2018-06-15 18:42:00
40519267,Jul/18/2018 18:04,enochjung#,987E - Petr and Permutations,GNU C++14,Accepted,265 ms,7800 KB,2018-07-18 18:04:00
44237653,Oct/13/2018 08:34,vjudge4,987E - Petr and Permutations,GNU C++11,Accepted,171 ms,7800 KB,2018-10-13 08:34:00
39675477,Jun/26/2018 15:33,jokergh,986B - Petr and Permutations,GNU C++,Accepted,202 ms,7600 KB,2018-06-26 15:33:00
38731323,May/29/2018 19:00,alphaGem,986B - Petr and Permutations,GNU C++,Accepted,202 ms,7800 KB,2018-05-29 19:00:00
47957067,Jan/05/2019 09:58,rushabh1,987E - Petr and Permutations,GNU C++14,Accepted,249 ms,7800 KB,2019-01-05 09:58:00
57316978,Jul/19/2019 11:34,Maroon5,986B - Petr and Permutations,GNU C++14,Accepted,1278 ms,3900 KB,2019-07-19 11:34:00
42452582,Sep/04/2018 12:08,FTD_1999,987E - Petr and Permutations,GNU C++14,Accepted,249 ms,0 KB,2018-09-04 12:08:00
38765355,May/30/2018 11:23,f-zyj,987E - Petr and Permutations,GNU C++14,Accepted,249 ms,3300 KB,2018-05-30 11:23:00
44845413,Oct/25/2018 17:18,luogu_bot4,986B - Petr and Permutations,GNU C++11,Accepted,171 ms,7600 KB,2018-10-25 17:18:00
38774580,May/30/2018 16:26,ryul,987E - Petr and Permutations,GNU C++11,Accepted,171 ms,7500 KB,2018-05-30 16:26:00
39077232,Jun/09/2018 22:27,Oxygen.,986B - Petr and Permutations,GNU C++14,Accepted,1482 ms,7800 KB,2018-06-09 22:27:00
57316989,Jul/19/2019 11:34,vjudge2,986B - Petr and Permutations,MS C++,Accepted,701 ms,3900 KB,2019-07-19 11:34:00
38750241,May/29/2018 20:43,misael,987E - Petr and Permutations,GNU C++11,Accepted,1840 ms,7300 KB,2018-05-29 20:43:00
38770393,May/30/2018 14:17,ssetia19,987E - Petr and Permutations,GNU C++17,Accepted,1684 ms,11400 KB,2018-05-30 14:17:00
39663091,Jun/26/2018 05:10,jokergh#,987E - Petr and Permutations,GNU C++,Accepted,218 ms,7700 KB,2018-06-26 05:10:00
38733332,May/29/2018 19:06,yarek,986B - Petr and Permutations,GNU C++14,Accepted,265 ms,7200 KB,2018-05-29 19:06:00
38783834,May/30/2018 22:30,backeii,987E - Petr and Permutations,GNU C++14,Accepted,1513 ms,81600 KB,2018-05-30 22:30:00
39191795,Jun/12/2018 15:48,NEU_Karl,986B - Petr and Permutations,GNU C++11,Accepted,202 ms,3900 KB,2018-06-12 15:48:00
43027403,Sep/18/2018 12:35,pikapikachu,987E - Petr and Permutations,GNU C++11,Accepted,202 ms,3900 KB,2018-09-18 12:35:00
43501666,Sep/27/2018 20:24,yujinwunz#,986B - Petr and Permutations,GNU C++17,Accepted,249 ms,0 KB,2018-09-27 20:24:00
72302215,Mar/03/2020 15:07,luogu_bot5,986B - Petr and Permutations,GNU C++11,Accepted,1606 ms,3900 KB,2020-03-03 15:07:00
38763111,May/30/2018 10:02,tsuda1627406047,987E - Petr and Permutations,GNU C++11,Accepted,670 ms,11300 KB,2018-05-30 10:02:00
38743897,May/29/2018 19:53,erge,987E - Petr and Permutations,GNU C++11,Accepted,280 ms,7700 KB,2018-05-29 19:53:00
38756778,May/30/2018 05:31,Romeolong,987E - Petr and Permutations,GNU C++,Accepted,202 ms,7300 KB,2018-05-30 05:31:00
38758467,May/30/2018 06:56,Romeolong#,987E - Petr and Permutations,GNU C++,Accepted,202 ms,7300 KB,2018-05-30 06:56:00
38909877,Jun/03/2018 08:11,OnionPringles#,986B - Petr and Permutations,GNU C++14,Accepted,311 ms,11200 KB,2018-06-03 08:11:00
38748250,May/29/2018 20:21,mikeleven,987E - Petr and Permutations,GNU C++14,Accepted,1497 ms,7800 KB,2018-05-29 20:21:00
38754783,May/30/2018 03:25,Bojack,987E - Petr and Permutations,GNU C++14,Accepted,280 ms,7200 KB,2018-05-30 03:25:00
38765864,May/30/2018 11:41,ak_1andonly,987E - Petr and Permutations,GNU C++14,Accepted,1466 ms,7200 KB,2018-05-30 11:41:00
39329041,Jun/17/2018 11:08,HEIMAOJINGZHANG#,987E - Petr and Permutations,GNU C++,Accepted,202 ms,3900 KB,2018-06-17 11:08:00
38753873,May/30/2018 02:20,nqiiii,986B - Petr and Permutations,GNU C++14,Accepted,390 ms,7200 KB,2018-05-30 02:20:00
38923316,Jun/03/2018 17:23,ilollol,987E - Petr and Permutations,GNU C++17,Accepted,327 ms,8100 KB,2018-06-03 17:23:00
72102394,Feb/29/2020 17:06,x_y,987E - Petr and Permutations,GNU C++11,Accepted,187 ms,3700 KB,2020-02-29 17:06:00
38923086,Jun/03/2018 17:13,jsu008,987E - Petr and Permutations,GNU C++,Accepted,171 ms,3400 KB,2018-06-03 17:13:00
38762083,May/30/2018 09:27,codewiz,987E - Petr and Permutations,GNU C++14,Accepted,1465 ms,7200 KB,2018-05-30 09:27:00
38764095,May/30/2018 10:39,Ryuuk,987E - Petr and Permutations,GNU C++14,Accepted,265 ms,8400 KB,2018-05-30 10:39:00
38923339,Jun/03/2018 17:24,ilollol,987E - Petr and Permutations,GNU C++17,Accepted,296 ms,8100 KB,2018-06-03 17:24:00
39029445,Jun/07/2018 21:36,.anarchist,987E - Petr and Permutations,GNU C++11,Accepted,1855 ms,3900 KB,2018-06-07 21:36:00
38878720,Jun/02/2018 11:02,vjudge1,986B - Petr and Permutations,GNU C++,Accepted,233 ms,7200 KB,2018-06-02 11:02:00
38745651,May/29/2018 20:03,pa.n.ik,987E - Petr and Permutations,PyPy 2,Accepted,295 ms,63700 KB,2018-05-29 20:03:00
38890546,Jun/02/2018 15:31,dianamichesa,987E - Petr and Permutations,GNU C++11,Accepted,1872 ms,7400 KB,2018-06-02 15:31:00
38918323,Jun/03/2018 13:55,vjudge5,986B - Petr and Permutations,GNU C++,Accepted,1825 ms,11300 KB,2018-06-03 13:55:00
38970667,Jun/05/2018 17:01,ccosi#,987E - Petr and Permutations,GNU C++,Accepted,217 ms,11300 KB,2018-06-05 17:01:00
39029512,Jun/07/2018 21:40,.anarchist,987E - Petr and Permutations,GNU C++11,Accepted,1840 ms,3900 KB,2018-06-07 21:40:00
38754830,May/30/2018 03:28,Bojack,987E - Petr and Permutations,GNU C++14,Accepted,265 ms,7200 KB,2018-05-30 03:28:00
38816382,Jun/01/2018 05:21,black_desk,987E - Petr and Permutations,GNU C++17,Accepted,280 ms,3300 KB,2018-06-01 05:21:00
40561090,Jul/20/2018 03:33,m4h,987E - Petr and Permutations,GNU C++14,Accepted,1435 ms,4000 KB,2018-07-20 03:33:00
38893962,Jun/02/2018 17:29,OrlandoIsay,987E - Petr and Permutations,GNU C++17,Accepted,327 ms,11100 KB,2018-06-02 17:29:00
38777042,May/30/2018 17:47,binaryLifter,987E - Petr and Permutations,GNU C++11,Accepted,233 ms,12200 KB,2018-05-30 17:47:00
38748012,May/29/2018 20:19,OrlandoIsay,987E - Petr and Permutations,GNU C++17,Accepted,327 ms,11100 KB,2018-05-29 20:19:00
38870928,Jun/02/2018 05:43,tpsoete,986B - Petr and Permutations,GNU C++11,Accepted,202 ms,11100 KB,2018-06-02 05:43:00
