33839487,Jan/01/2018 01:28,dionysios,156B - Suspects,GNU C++14,Accepted,92 ms,2600 KB,2018-01-01 01:28:00
46115468,Nov/23/2018 16:45,Lee2004,156B - Suspects,GNU C++11,Accepted,748 ms,1600 KB,2018-11-23 16:45:00
72612493,Mar/07/2020 07:06,sunsy,156B - Suspects,GNU C++11,Accepted,748 ms,1600 KB,2020-03-07 07:06:00
18146588,May/29/2016 15:12,"TM.Legend: consecutivelimit, chentong#",156B - Suspects,GNU C++,Accepted,124 ms,3800 KB,2016-05-29 15:12:00
36348337,Mar/17/2018 11:56,vjudge2,156B - Suspects,GNU C++,Accepted,124 ms,5000 KB,2018-03-17 11:56:00
1253199,Mar/01/2012 11:18,bluesky,156B - Suspects,GNU C++,Accepted,110 ms,2300 KB,2012-03-01 11:18:00
39955937,Jul/04/2018 15:58,CaNDidaTE_FaSTer,156B - Suspects,GNU C++14,Accepted,124 ms,1600 KB,2018-07-04 15:58:00
36375216,Mar/18/2018 05:54,vjudge2,156B - Suspects,GNU C++,Accepted,92 ms,4800 KB,2018-03-18 05:54:00
14083337,Nov/05/2015 09:43,fengsuiyan,156B - Suspects,GNU C++11,Accepted,92 ms,1600 KB,2015-11-05 09:43:00
47065836,Dec/15/2018 18:57,luogu_bot5,156B - Suspects,GNU C++11,Accepted,404 ms,2000 KB,2018-12-15 18:57:00
66216506,Dec/03/2019 12:08,AhooraBozorgManesh,156B - Suspects,GNU C++17,Accepted,122 ms,2400 KB,2019-12-03 12:08:00
42856460,Sep/14/2018 12:51,eddysboy,156B - Suspects,GNU C++11,Accepted,436 ms,2000 KB,2018-09-14 12:51:00
46056381,Nov/22/2018 14:09,paris2007,156B - Suspects,GNU C++11,Accepted,716 ms,1300 KB,2018-11-22 14:09:00
1289692,Mar/05/2012 12:43,tmt514,156B - Suspects,GNU C++,Accepted,80 ms,2900 KB,2012-03-05 12:43:00
18413119,Jun/13/2016 16:03,VAVAvile,157D - Suspects,GNU C++11,Accepted,186 ms,3000 KB,2016-06-13 16:03:00
58387350,Aug/06/2019 15:27,StevenJin,156B - Suspects,GNU C++17,Accepted,966 ms,1400 KB,2019-08-06 15:27:00
1250777,Feb/29/2012 23:25,lydrainbowcat,157D - Suspects,GNU C++,Accepted,90 ms,3000 KB,2012-02-29 23:25:00
9496291,Jan/21/2015 23:06,PAP,157D - Suspects,GNU C++,Accepted,904 ms,1300 KB,2015-01-21 23:06:00
9496298,Jan/21/2015 23:08,PAP,156B - Suspects,GNU C++,Accepted,904 ms,1300 KB,2015-01-21 23:08:00
1251017,Mar/01/2012 00:16,mage,156B - Suspects,GNU C++,Accepted,90 ms,17400 KB,2012-03-01 00:16:00
72617181,Mar/07/2020 09:12,xuewenjing,156B - Suspects,PyPy 3,Accepted,1964 ms,20400 KB,2020-03-07 09:12:00
1251367,Mar/01/2012 00:50,-dp-,156B - Suspects,Python 2,Accepted,1730 ms,18200 KB,2012-03-01 00:50:00
3997585,Jul/01/2013 00:24,mjhun,156B - Suspects,GNU C++,Accepted,234 ms,1300 KB,2013-07-01 00:24:00
72774746,Mar/09/2020 12:18,vjudge3,156B - Suspects,MS C++,Accepted,810 ms,1600 KB,2020-03-09 12:18:00
1251398,Mar/01/2012 00:52,-dp-,156B - Suspects,Python 2,Accepted,1670 ms,18200 KB,2012-03-01 00:52:00
36344117,Mar/17/2018 09:25,vjudge2,156B - Suspects,GNU C++,Accepted,936 ms,5000 KB,2018-03-17 09:25:00
36374699,Mar/18/2018 04:55,vjudge1,156B - Suspects,GNU C++,Accepted,124 ms,5000 KB,2018-03-18 04:55:00
1259639,Mar/03/2012 13:11,yury_chameleon,156B - Suspects,GNU C++,Accepted,80 ms,2700 KB,2012-03-03 13:11:00
1261377,Mar/03/2012 23:39,yury_chameleon,157D - Suspects,GNU C++,Accepted,80 ms,2700 KB,2012-03-03 23:39:00
1314207,Mar/09/2012 08:43,dopey,156B - Suspects,Python 2,Accepted,1760 ms,18600 KB,2012-03-09 08:43:00
1249131,Feb/29/2012 22:39,fura2,156B - Suspects,GNU C++,Accepted,80 ms,2600 KB,2012-02-29 22:39:00
1509179,Apr/10/2012 21:25,harald_zealot,156B - Suspects,GNU C++,Accepted,80 ms,2600 KB,2012-04-10 21:25:00
1253095,Mar/01/2012 10:48,micheal_wanzi,156B - Suspects,FPC,Accepted,60 ms,2300 KB,2012-03-01 10:48:00
1256524,Mar/02/2012 13:42,fagu,156B - Suspects,GNU C++,Accepted,80 ms,2600 KB,2012-03-02 13:42:00
58476105,Aug/09/2019 06:11,cleafm2016,156B - Suspects,GNU C++11,Accepted,434 ms,6400 KB,2019-08-09 06:11:00
70552917,Feb/08/2020 12:31,longmu,156B - Suspects,GNU C++11,Accepted,404 ms,6400 KB,2020-02-08 12:31:00
71200931,Feb/16/2020 09:20,luogu_bot5,156B - Suspects,GNU C++11,Accepted,404 ms,1900 KB,2020-02-16 09:20:00
41409743,Aug/09/2018 22:15,dajiaoying,156B - Suspects,GNU C++,Accepted,934 ms,1600 KB,2018-08-09 22:15:00
1253744,Mar/01/2012 14:29,seen,156B - Suspects,GNU C++,Accepted,80 ms,3000 KB,2012-03-01 14:29:00
34202270,Jan/15/2018 19:43,Ren_shimosawa,157D - Suspects,GNU C++,Accepted,92 ms,5000 KB,2018-01-15 19:43:00
40925994,Jul/29/2018 21:25,vjudge5,156B - Suspects,GNU C++14,Accepted,716 ms,1600 KB,2018-07-29 21:25:00
3811393,Jun/01/2013 16:38,XilinX#,156B - Suspects,MS C++,Accepted,62 ms,1400 KB,2013-06-01 16:38:00
11579612,Jun/14/2015 12:46,MaGaroo,156B - Suspects,GNU C++11,Accepted,186 ms,1300 KB,2015-06-14 12:46:00
12729001,Aug/28/2015 11:57,vjudge2,156B - Suspects,GNU C++,Accepted,122 ms,1600 KB,2015-08-28 11:57:00
29710569,Aug/23/2017 17:55,nikola12345#,157D - Suspects,GNU C++11,Accepted,92 ms,2900 KB,2017-08-23 17:55:00
1338542,Mar/10/2012 22:24,7Midav7,157D - Suspects,FPC,Accepted,60 ms,2400 KB,2012-03-10 22:24:00
6796474,Jun/04/2014 16:09,wjh720#,156B - Suspects,GNU C++,Accepted,154 ms,1600 KB,2014-06-04 16:09:00
22218425,Nov/15/2016 11:13,CKingy,156B - Suspects,GNU C++11,Accepted,92 ms,1400 KB,2016-11-15 11:13:00
1245940,Feb/29/2012 21:48,watashi,156B - Suspects,GNU C++0x,Accepted,90 ms,2100 KB,2012-02-29 21:48:00
1250766,Feb/29/2012 23:25,jonathanso123456,156B - Suspects,GNU C++,Accepted,80 ms,2900 KB,2012-02-29 23:25:00
1314213,Mar/09/2012 08:47,dopey,156B - Suspects,Python 2,Accepted,1590 ms,11200 KB,2012-03-09 08:47:00
1256622,Mar/02/2012 14:40,__ivan__,157D - Suspects,MS C++,Accepted,90 ms,2600 KB,2012-03-02 14:40:00
7578657,Aug/26/2014 13:16,qingping95,156B - Suspects,MS C++,Accepted,122 ms,1700 KB,2014-08-26 13:16:00
46030395,Nov/21/2018 16:25,xuziyuan,156B - Suspects,GNU C++14,Accepted,872 ms,1300 KB,2018-11-21 16:25:00
27106134,May/14/2017 15:04,vjudge4,157D - Suspects,GNU C++14,Accepted,92 ms,1600 KB,2017-05-14 15:04:00
20677450,Sep/17/2016 12:13,gzz#,157D - Suspects,GNU C++,Accepted,92 ms,1100 KB,2016-09-17 12:13:00
1244730,Feb/29/2012 21:38,tourist,156B - Suspects,Delphi,Accepted,60 ms,2500 KB,2012-02-29 21:38:00
48679102,Jan/21/2019 15:34,digcboy,156B - Suspects,GNU C++14,Accepted,902 ms,1600 KB,2019-01-21 15:34:00
1248481,Feb/29/2012 22:25,ilya.m,156B - Suspects,Python 2,Accepted,880 ms,8300 KB,2012-02-29 22:25:00
27106152,May/14/2017 15:05,NineFailure,157D - Suspects,GNU C++14,Accepted,124 ms,1600 KB,2017-05-14 15:05:00
46056838,Nov/22/2018 14:23,paris2007,156B - Suspects,GNU C++11,Accepted,716 ms,1500 KB,2018-11-22 14:23:00
58416230,Aug/07/2019 08:09,luogu_bot5,156B - Suspects,GNU C++11,Accepted,374 ms,1300 KB,2019-08-07 08:09:00
36446309,Mar/21/2018 08:32,vjudge2,156B - Suspects,GNU C++,Accepted,92 ms,5000 KB,2018-03-21 08:32:00
1260098,Mar/03/2012 16:06,flabby,156B - Suspects,GNU C++,Accepted,90 ms,2100 KB,2012-03-03 16:06:00
1269753,Mar/04/2012 09:10,flabby,157D - Suspects,GNU C++,Accepted,80 ms,2100 KB,2012-03-04 09:10:00
3079703,Feb/07/2013 10:46,sdshxs#,156B - Suspects,GNU C++,Accepted,93 ms,1700 KB,2013-02-07 10:46:00
1251077,Mar/01/2012 00:30,Rotsor,156B - Suspects,Haskell,Accepted,1010 ms,24700 KB,2012-03-01 00:30:00
1257538,Mar/02/2012 19:36,Miras.Mirzakerey,157D - Suspects,GNU C++,Accepted,300 ms,8800 KB,2012-03-02 19:36:00
