25061231,Feb/26/2017 20:37,TerenceLiu,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-02-26 20:37:00
25068052,Feb/27/2017 06:09,luoxinchen,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-27 06:09:00
36312263,Mar/15/2018 23:51,daleks,779B - Weird Rounding,Python 3,Accepted,124 ms,6900 KB,2018-03-15 23:51:00
25067412,Feb/27/2017 04:50,lavafalls,779B - Weird Rounding,Python 3,Accepted,77 ms,4500 KB,2017-02-27 04:50:00
25104933,Feb/28/2017 19:01,s17b2_voroneckij#,779B - Weird Rounding,Python 3,Accepted,77 ms,4500 KB,2017-02-28 19:01:00
25215409,Mar/04/2017 16:52,serszab,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-03-04 16:52:00
25045818,Feb/26/2017 12:38,jakshatdesai,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-02-26 12:38:00
25667233,Mar/20/2017 16:53,Kirillov_Alexey#,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-20 16:53:00
25316337,Mar/07/2017 13:01,Ishtiaq11,779B - Weird Rounding,Python 3,Accepted,62 ms,4600 KB,2017-03-07 13:01:00
25060157,Feb/26/2017 19:41,yudgin070707#,779B - Weird Rounding,PyPy 3,Accepted,202 ms,22600 KB,2017-02-26 19:41:00
25202450,Mar/04/2017 09:32,ani_anand,779B - Weird Rounding,Python 2,Accepted,46 ms,4500 KB,2017-03-04 09:32:00
27989756,Jun/23/2017 20:24,Moneesh,779B - Weird Rounding,GNU C++14,Accepted,30 ms,1900 KB,2017-06-23 20:24:00
32347854,Nov/16/2017 08:46,scott_wu,779B - Weird Rounding,Python 2,Accepted,62 ms,0 KB,2017-11-16 08:46:00
33004655,Dec/07/2017 18:28,dilimbek7,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-12-07 18:28:00
25045264,Feb/26/2017 12:32,elistark,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-02-26 12:32:00
35807003,Mar/01/2018 12:18,vjudge1,779B - Weird Rounding,GNU C++,Accepted,31 ms,1800 KB,2018-03-01 12:18:00
77344683,Apr/20/2020 12:27,Wjexmrc,779B - Weird Rounding,PyPy 2,Accepted,124 ms,0 KB,2020-04-20 12:27:00
25108583,Feb/28/2017 22:06,UnusedFever,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-28 22:06:00
25971034,Mar/31/2017 11:10,0w1,779B - Weird Rounding,Python 3,Accepted,62 ms,5400 KB,2017-03-31 11:10:00
29510077,Aug/16/2017 19:42,"Locus_to_icpc: asutoshsahoo786, ankitjha97, __TooLazy#",779B - Weird Rounding,Python 2,Accepted,62 ms,0 KB,2017-08-16 19:42:00
41649631,Aug/16/2018 14:00,cs1g,779B - Weird Rounding,Python 3,Accepted,155 ms,0 KB,2018-08-16 14:00:00
25189147,Mar/04/2017 00:23,thelastprime,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-04 00:23:00
25034868,Feb/26/2017 11:24,springbottom,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 11:24:00
25045296,Feb/26/2017 12:32,ramym,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 12:32:00
35779765,Feb/28/2018 12:22,vjudge5,779B - Weird Rounding,GNU C++14,Accepted,15 ms,2000 KB,2018-02-28 12:22:00
43463697,Sep/26/2018 20:56,aksh02#,779B - Weird Rounding,Python 3,Accepted,124 ms,0 KB,2018-09-26 20:56:00
25145687,Mar/02/2017 14:06,tpc2102,779B - Weird Rounding,Ruby,Accepted,108 ms,6300 KB,2017-03-02 14:06:00
25146220,Mar/02/2017 14:30,m0ghya#,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-02 14:30:00
26312630,Apr/12/2017 10:31,PunLig,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-04-12 10:31:00
29722034,Aug/24/2017 07:39,tusihaha,779B - Weird Rounding,Python 3,Accepted,62 ms,0 KB,2017-08-24 07:39:00
27105342,May/14/2017 14:11,Nafis_Sajid,779B - Weird Rounding,GNU C++14,Accepted,15 ms,0 KB,2017-05-14 14:11:00
25033485,Feb/26/2017 11:18,luka25,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-02-26 11:18:00
