31535557,Oct/20/2017 16:58,tun#,730B - Minimum and Maximum,GNU C++14,Accepted,342 ms,1900 KB,2017-10-20 16:58:00
21872879,Oct/29/2016 16:34,kanh,730B - Minimum and Maximum,GNU C++11,Accepted,296 ms,0 KB,2016-10-29 16:34:00
50910386,Mar/07/2019 04:20,Rea1,730B - Minimum and Maximum,GNU C++11,Accepted,374 ms,0 KB,2019-03-07 04:20:00
22263155,Nov/16/2016 12:55,reijnnn,730B - Minimum and Maximum,GNU C++11,Accepted,405 ms,0 KB,2016-11-16 12:55:00
46934968,Dec/12/2018 16:25,BlueDiamond,730B - Minimum and Maximum,GNU C++17,Accepted,826 ms,0 KB,2018-12-12 16:25:00
21846526,Oct/28/2016 15:28,jadlgkjas,730B - Minimum and Maximum,GNU C++14,Accepted,296 ms,0 KB,2016-10-28 15:28:00
22039200,Nov/04/2016 20:00,"Baumkuchen: luzhen1412, Sayanouta, N_C_Derek#",730B - Minimum and Maximum,GNU C++,Accepted,265 ms,0 KB,2016-11-04 20:00:00
67557512,Dec/24/2019 19:46,socho,730B - Minimum and Maximum,GNU C++14,Accepted,624 ms,200 KB,2019-12-24 19:46:00
21734829,Oct/24/2016 10:06,KousakaHonoka,730B - Minimum and Maximum,GNU C++,Accepted,233 ms,0 KB,2016-10-24 10:06:00
21711751,Oct/23/2016 15:26,"PikachuⅡ: baodaqing, jiedai, WAonce",730B - Minimum and Maximum,GNU C++,Accepted,280 ms,0 KB,2016-10-23 15:26:00
49083466,Jan/28/2019 09:48,"KAIST: Deobureo Minkyu Party: ko_osaga, .o., alex9801#",730B - Minimum and Maximum,GNU C++17,Accepted,638 ms,100 KB,2019-01-28 09:48:00
27457630,May/31/2017 04:17,vjudge5,730B - Minimum and Maximum,GNU C++11,Accepted,374 ms,0 KB,2017-05-31 04:17:00
34961107,Feb/06/2018 07:58,vjudge1,730B - Minimum and Maximum,GNU C++,Accepted,451 ms,2000 KB,2018-02-06 07:58:00
