24992111,Feb/24/2017 21:43,xlk,777B - Game of Credit Cards,Python 2,Accepted,61 ms,4500 KB,2017-02-24 21:43:00
25886643,Mar/29/2017 06:18,Dawn_Smith,777B - Game of Credit Cards,Python 3,Accepted,62 ms,5500 KB,2017-03-29 06:18:00
43576224,Sep/29/2018 18:03,harishmara98,777B - Game of Credit Cards,GNU C++17,Accepted,31 ms,300 KB,2018-09-29 18:03:00
24986736,Feb/24/2017 18:23,hagar-mohamad#,777B - Game of Credit Cards,GNU C++,Accepted,15 ms,2000 KB,2017-02-24 18:23:00
31571900,Oct/21/2017 15:10,mintukumar_730690#,777B - Game of Credit Cards,GNU C++11,Accepted,30 ms,2000 KB,2017-10-21 15:10:00
48786369,Jan/23/2019 12:09,payback_1996,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2019-01-23 12:09:00
31542146,Oct/20/2017 20:57,baba_yega,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,2000 KB,2017-10-20 20:57:00
46922208,Dec/12/2018 08:53,luogu_bot2,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-12-12 08:53:00
46979515,Dec/13/2018 21:45,namanbansal013,777B - Game of Credit Cards,GNU C++14,Accepted,46 ms,0 KB,2018-12-13 21:45:00
47186361,Dec/18/2018 07:53,luogu_bot5,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-12-18 07:53:00
47186590,Dec/18/2018 08:06,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-12-18 08:06:00
79463260,May/09/2020 15:29,luogu_bot5,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,3800 KB,2020-05-09 15:29:00
52450948,Apr/07/2019 12:44,luogu_bot1,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-04-07 12:44:00
29592675,Aug/19/2017 11:17,funrays2#,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,0 KB,2017-08-19 11:17:00
45858114,Nov/17/2018 06:33,luogu_bot1,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-11-17 06:33:00
27617712,Jun/06/2017 19:01,Yash_,777B - Game of Credit Cards,PyPy 2,Accepted,93 ms,1500 KB,2017-06-06 19:01:00
24967224,Feb/24/2017 13:43,artmch,777B - Game of Credit Cards,Python 2,Accepted,62 ms,4600 KB,2017-02-24 13:43:00
27107715,May/14/2017 16:49,texas541998,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,0 KB,2017-05-14 16:49:00
28327223,Jul/06/2017 15:47,Avneet,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2100 KB,2017-07-06 15:47:00
30096716,Sep/05/2017 13:31,aniket23,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2017-09-05 13:31:00
34641580,Jan/28/2018 21:55,AB_Programmer,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2018-01-28 21:55:00
40411187,Jul/16/2018 15:31,rushabh1,777B - Game of Credit Cards,GNU C++17,Accepted,30 ms,0 KB,2018-07-16 15:31:00
24986330,Feb/24/2017 18:08,Stronger2020,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-24 18:08:00
26140256,Apr/05/2017 13:28,Husayn_Hasanov,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,2000 KB,2017-04-05 13:28:00
27107702,May/14/2017 16:48,texas541998,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,0 KB,2017-05-14 16:48:00
40057568,Jul/07/2018 12:59,shivsharmastr,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2018-07-07 12:59:00
54370003,May/19/2019 09:06,luogu_bot5,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,2000 KB,2019-05-19 09:06:00
78432631,Apr/29/2020 04:02,dsoni351,777B - Game of Credit Cards,GNU C++17,Accepted,31 ms,0 KB,2020-04-29 04:02:00
26355111,Apr/14/2017 14:27,lukamosiashvili,777B - Game of Credit Cards,GNU C++11,Accepted,30 ms,2100 KB,2017-04-14 14:27:00
51960966,Mar/29/2019 09:45,Vishwa_02,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-03-29 09:45:00
67192832,Dec/19/2019 10:49,Ankit003,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-12-19 10:49:00
24991594,Feb/24/2017 21:26,21August#,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-02-24 21:26:00
46996963,Dec/14/2018 12:06,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-12-14 12:06:00
48758619,Jan/22/2019 19:27,WhyDef,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-01-22 19:27:00
