37718829,Apr/29/2018 17:22,kotatsugame,966B - Resource Distribution,GNU C++14,Accepted,218 ms,9400 KB,2018-04-29 17:22:00
37720176,Apr/29/2018 17:33,calabash_boy,966B - Resource Distribution,GNU C++14,Accepted,171 ms,5600 KB,2018-04-29 17:33:00
37860759,May/03/2018 14:45,freshman0213,967D - Resource Distribution,GNU C++,Accepted,156 ms,7900 KB,2018-05-03 14:45:00
37748870,Apr/30/2018 16:15,fcwww#,967D - Resource Distribution,GNU C++11,Accepted,156 ms,7900 KB,2018-04-30 16:15:00
37720902,Apr/29/2018 17:39,bleacher,967D - Resource Distribution,GNU C++11,Accepted,140 ms,5800 KB,2018-04-29 17:39:00
37720988,Apr/29/2018 17:40,Fizzmy_,967D - Resource Distribution,GNU C++,Accepted,140 ms,8100 KB,2018-04-29 17:40:00
37736166,Apr/30/2018 03:56,pr3pony,966B - Resource Distribution,GNU C++14,Accepted,156 ms,11100 KB,2018-04-30 03:56:00
37741747,Apr/30/2018 09:50,Ning_Mew,967D - Resource Distribution,GNU C++,Accepted,140 ms,5800 KB,2018-04-30 09:50:00
37720168,Apr/29/2018 17:33,massimodong,966B - Resource Distribution,GNU C++11,Accepted,124 ms,9300 KB,2018-04-29 17:33:00
37883213,May/04/2018 15:49,beginend#,966B - Resource Distribution,GNU C++,Accepted,156 ms,10800 KB,2018-05-04 15:49:00
37723407,Apr/29/2018 18:02,liu_zhan,967D - Resource Distribution,GNU C++,Accepted,234 ms,9300 KB,2018-04-29 18:02:00
54220042,May/16/2019 05:36,RNS_CUS,925B - Resource Distribution,GNU C++14,Accepted,171 ms,6100 KB,2019-05-16 05:36:00
37739221,Apr/30/2018 07:31,apink#,966B - Resource Distribution,GNU C++14,Accepted,139 ms,5600 KB,2018-04-30 07:31:00
40733119,Jul/25/2018 11:33,shiautsung,967D - Resource Distribution,GNU C++11,Accepted,624 ms,2300 KB,2018-07-25 11:33:00
37718865,Apr/29/2018 17:22,Gulan14no,967D - Resource Distribution,GNU C++14,Accepted,452 ms,10500 KB,2018-04-29 17:22:00
37873329,May/04/2018 04:37,ljt12138#,966B - Resource Distribution,GNU C++11,Accepted,124 ms,5800 KB,2018-05-04 04:37:00
37715196,Apr/29/2018 16:56,vikgxd,967D - Resource Distribution,GNU C++11,Accepted,186 ms,8100 KB,2018-04-29 16:56:00
37735920,Apr/30/2018 03:26,zjo_2001,966B - Resource Distribution,GNU C++,Accepted,202 ms,8100 KB,2018-04-30 03:26:00
37719600,Apr/29/2018 17:28,xymtxdy,966B - Resource Distribution,GNU C++,Accepted,171 ms,5800 KB,2018-04-29 17:28:00
37744364,Apr/30/2018 12:02,Anadi#,966B - Resource Distribution,GNU C++14,Accepted,140 ms,11400 KB,2018-04-30 12:02:00
37713532,Apr/29/2018 16:46,ikatanic,966B - Resource Distribution,GNU C++11,Accepted,140 ms,9500 KB,2018-04-29 16:46:00
37828197,May/02/2018 04:14,vjudge4,967D - Resource Distribution,GNU C++,Accepted,140 ms,5800 KB,2018-05-02 04:14:00
48719756,Jan/22/2019 16:00,Rorshach,967D - Resource Distribution,GNU C++11,Accepted,124 ms,6100 KB,2019-01-22 16:00:00
37738375,Apr/30/2018 06:34,2016014402,967D - Resource Distribution,GNU C++14,Accepted,156 ms,5600 KB,2018-04-30 06:34:00
37716474,Apr/29/2018 17:04,Zz7,967D - Resource Distribution,GNU C++11,Accepted,218 ms,8100 KB,2018-04-29 17:04:00
37724187,Apr/29/2018 18:10,yellowbag,966B - Resource Distribution,GNU C++11,Accepted,108 ms,5600 KB,2018-04-29 18:10:00
39729802,Jun/28/2018 03:27,FatCat_QAQ,967D - Resource Distribution,GNU C++,Accepted,140 ms,2200 KB,2018-06-28 03:27:00
37739339,Apr/30/2018 07:40,woong10sae,966B - Resource Distribution,GNU C++14,Accepted,155 ms,5600 KB,2018-04-30 07:40:00
