28795296,Jul/23/2017 10:59,vjudge1,614D - Skills,GNU C++,Accepted,312 ms,3600 KB,2017-07-23 10:59:00
49130945,Jan/29/2019 07:02,vjudge3,614D - Skills,GNU C++11,Accepted,124 ms,3100 KB,2019-01-29 07:02:00
15377880,Jan/15/2016 00:17,bluefi,614D - Skills,GNU C++,Accepted,358 ms,3100 KB,2016-01-15 00:17:00
15363744,Jan/14/2016 20:41,yarek,613B - Skills,GNU C++11,Accepted,171 ms,31300 KB,2016-01-14 20:41:00
22207047,Nov/14/2016 15:19,myk423,613B - Skills,GNU C++,Accepted,109 ms,1700 KB,2016-11-14 15:19:00
28815692,Jul/24/2017 09:06,vjudge3,614D - Skills,GNU C++11,Accepted,93 ms,5200 KB,2017-07-24 09:06:00
16322414,Feb/25/2016 10:59,Qoogle,613B - Skills,GNU C++11,Accepted,93 ms,3100 KB,2016-02-25 10:59:00
28652657,Jul/18/2017 05:26,vjudge3,614D - Skills,GNU C++,Accepted,202 ms,5200 KB,2017-07-18 05:26:00
43521117,Sep/28/2018 11:31,vjudge3,613B - Skills,MS C++,Accepted,202 ms,2400 KB,2018-09-28 11:31:00
43519849,Sep/28/2018 10:39,vjudge5,613B - Skills,GNU C++11,Accepted,124 ms,2200 KB,2018-09-28 10:39:00
24914732,Feb/23/2017 14:16,Shying,614D - Skills,GNU C++,Accepted,109 ms,4000 KB,2017-02-23 14:16:00
68594481,Jan/11/2020 16:38,YJU,613B - Skills,GNU C++14,Accepted,108 ms,5200 KB,2020-01-11 16:38:00
70358401,Feb/05/2020 15:45,vjudge3,614D - Skills,GNU C++11,Accepted,390 ms,3100 KB,2020-02-05 15:45:00
15358485,Jan/14/2016 20:18,wxy_z,613B - Skills,GNU C++,Accepted,140 ms,2400 KB,2016-01-14 20:18:00
72222403,Mar/02/2020 04:17,luogu_bot4,613B - Skills,GNU C++11,Accepted,78 ms,3100 KB,2020-03-02 04:17:00
15389653,Jan/15/2016 16:44,zjw,614D - Skills,GNU C++,Accepted,140 ms,2400 KB,2016-01-15 16:44:00
15626460,Jan/28/2016 12:55,inurtas,614D - Skills,GNU C++11,Accepted,343 ms,4600 KB,2016-01-28 12:55:00
16322517,Feb/25/2016 11:06,Qoogle,613B - Skills,GNU C++11,Accepted,93 ms,3100 KB,2016-02-25 11:06:00
29458239,Aug/14/2017 16:08,Momentum,614D - Skills,GNU C++14,Accepted,217 ms,5000 KB,2017-08-14 16:08:00
36152321,Mar/10/2018 16:45,rawatds,614D - Skills,GNU C++14,Accepted,217 ms,5000 KB,2018-03-10 16:45:00
