32934959,Dec/04/2017 23:44,AlmostRED,533B - Work Group,GNU C++14,Accepted,561 ms,34100 KB,2017-12-04 23:44:00
10767178,Apr/18/2015 14:58,phoenix__jpn#,533B - Work Group,GNU C++,Accepted,748 ms,28200 KB,2015-04-18 14:58:00
32461437,Nov/19/2017 17:06,vjudge2,533B - Work Group,GNU C++,Accepted,78 ms,7500 KB,2017-11-19 17:06:00
10846049,Apr/24/2015 13:53,lisihang,533B - Work Group,GNU C++,Accepted,109 ms,30200 KB,2015-04-24 13:53:00
23007934,Dec/15/2016 16:49,cipher0,533B - Work Group,GNU C++14,Accepted,639 ms,26200 KB,2016-12-15 16:49:00
52344777,Apr/05/2019 15:13,Zenkai,533B - Work Group,GNU C++11,Accepted,234 ms,25800 KB,2019-04-05 15:13:00
46760695,Dec/08/2018 16:19,karan0897,533B - Work Group,GNU C++17,Accepted,530 ms,29100 KB,2018-12-08 16:19:00
58251706,Aug/04/2019 11:10,YZBmmm,533B - Work Group,GNU C++11,Accepted,670 ms,25000 KB,2019-08-04 11:10:00
10798308,Apr/20/2015 16:16,igdor99,533B - Work Group,FPC,Accepted,140 ms,22800 KB,2015-04-20 16:16:00
23535347,Jan/04/2017 15:32,Ali.Kh,533B - Work Group,GNU C++11,Accepted,124 ms,31000 KB,2017-01-04 15:32:00
10755883,Apr/17/2015 20:05,matrix,533B - Work Group,GNU C++,Accepted,686 ms,4700 KB,2015-04-17 20:05:00
14670525,Dec/06/2015 05:01,fengsuiyan,533B - Work Group,GNU C++11,Accepted,139 ms,25000 KB,2015-12-06 05:01:00
11330023,May/28/2015 11:18,hnust_xudaoli,533B - Work Group,GNU C++,Accepted,78 ms,4500 KB,2015-05-28 11:18:00
16648556,Mar/11/2016 15:41,Mhammad1,533B - Work Group,GNU C++,Accepted,139 ms,28200 KB,2016-03-11 15:41:00
30469025,Sep/18/2017 17:01,vjudge5,533B - Work Group,GNU C++11,Accepted,733 ms,28100 KB,2017-09-18 17:01:00
67942925,Dec/30/2019 06:01,ChrisT,533B - Work Group,GNU C++14,Accepted,139 ms,25200 KB,2019-12-30 06:01:00
10766244,Apr/18/2015 13:33,Vlad_kv,533B - Work Group,GNU C++,Accepted,93 ms,26600 KB,2015-04-18 13:33:00
12310140,Aug/02/2015 07:03,suchir,533B - Work Group,GNU C++11,Accepted,124 ms,28100 KB,2015-08-02 07:03:00
58250436,Aug/04/2019 10:36,YZBmmm,533B - Work Group,GNU C++11,Accepted,639 ms,25000 KB,2019-08-04 10:36:00
11330012,May/28/2015 11:18,hnust_xudaoli,533B - Work Group,GNU C++,Accepted,78 ms,4500 KB,2015-05-28 11:18:00
16632280,Mar/10/2016 15:33,2015190026,533B - Work Group,MS C++,Accepted,140 ms,24300 KB,2016-03-10 15:33:00
10764690,Apr/18/2015 10:21,Rojo,533B - Work Group,GNU C++11,Accepted,733 ms,28200 KB,2015-04-18 10:21:00
10763252,Apr/18/2015 06:21,kingofnumbers,533B - Work Group,MS C++,Accepted,358 ms,23500 KB,2015-04-18 06:21:00
10772208,Apr/18/2015 22:13,Salvare001,533B - Work Group,GNU C++,Accepted,124 ms,30200 KB,2015-04-18 22:13:00
55576376,Jun/15/2019 04:34,chongryong,533B - Work Group,GNU C++17,Accepted,499 ms,36900 KB,2019-06-15 04:34:00
30418149,Sep/17/2017 13:56,vjudge2,533B - Work Group,GNU C++11,Accepted,733 ms,26000 KB,2017-09-17 13:56:00
