2094608,Sep/04/2012 11:45,shllhs,208B - Solitaire,GNU C++,Accepted,30 ms,51500 KB,2012-09-04 11:45:00
2636409,Nov/24/2012 12:27,hariprasath,208B - Solitaire,GNU C++,Accepted,31 ms,50700 KB,2012-11-24 12:27:00
12618937,Aug/20/2015 20:27,shamitlal_14,208B - Solitaire,GNU C++,Accepted,30 ms,50500 KB,2015-08-20 20:27:00
7615411,Aug/28/2014 21:07,mirbek,208B - Solitaire,MS C++,Accepted,15 ms,50700 KB,2014-08-28 21:07:00
14138129,Nov/08/2015 11:55,130705009,208B - Solitaire,GNU C++,Accepted,15 ms,1400 KB,2015-11-08 11:55:00
70561851,Feb/08/2020 15:06,vjudge1,208B - Solitaire,GNU C++11,Accepted,31 ms,9000 KB,2020-02-08 15:06:00
44487834,Oct/18/2018 16:18,Lee2004,208B - Solitaire,GNU C++11,Accepted,31 ms,9000 KB,2018-10-18 16:18:00
21820799,Oct/27/2016 15:08,vjudge5,208B - Solitaire,GNU C++,Accepted,15 ms,9000 KB,2016-10-27 15:08:00
14013402,Nov/01/2015 21:43,yusufk,208B - Solitaire,GNU C++,Accepted,31 ms,57800 KB,2015-11-01 21:43:00
21820790,Oct/27/2016 15:08,vjudge5,208B - Solitaire,GNU C++,Accepted,15 ms,9000 KB,2016-10-27 15:08:00
25656032,Mar/20/2017 00:47,vjudge1,208B - Solitaire,GNU C++,Accepted,31 ms,32900 KB,2017-03-20 00:47:00
26282423,Apr/10/2017 22:22,ali.taherinastooh,208B - Solitaire,GNU C++14,Accepted,31 ms,32800 KB,2017-04-10 22:22:00
4307782,Aug/18/2013 14:18,vjudge4,208B - Solitaire,GNU C++,Accepted,62 ms,50700 KB,2013-08-18 14:18:00
26348920,Apr/14/2017 03:58,vjudge2,208B - Solitaire,GNU C++,Accepted,31 ms,37900 KB,2017-04-14 03:58:00
1976531,Aug/04/2012 16:57,DoesNotCompute,208B - Solitaire,Python 2,Accepted,270 ms,3400 KB,2012-08-04 16:57:00
2859504,Dec/31/2012 02:14,NegaTeeF,208B - Solitaire,GNU C++,Accepted,46 ms,600 KB,2012-12-31 02:14:00
40883473,Jul/28/2018 14:45,kzvd4729,208B - Solitaire,GNU C++17,Accepted,31 ms,1600 KB,2018-07-28 14:45:00
1995718,Aug/09/2012 19:48,void13,208B - Solitaire,Ruby,Accepted,170 ms,5600 KB,2012-08-09 19:48:00
19211171,Jul/18/2016 14:46,Shepard_y,208B - Solitaire,GNU C++,Accepted,30 ms,35800 KB,2016-07-18 14:46:00
1937833,Jul/25/2012 09:32,okuzn,208B - Solitaire,GNU C++,Accepted,420 ms,3500 KB,2012-07-25 09:32:00
67643722,Dec/26/2019 12:14,luogu_bot3,208B - Solitaire,GNU C++11,Accepted,31 ms,35800 KB,2019-12-26 12:14:00
73656973,Mar/19/2020 16:32,zinai_boboyang,208B - Solitaire,GNU C++11,Accepted,46 ms,35800 KB,2020-03-19 16:32:00
42148466,Aug/27/2018 13:33,luogu_bot3,208B - Solitaire,GNU C++,Accepted,31 ms,9000 KB,2018-08-27 13:33:00
21820457,Oct/27/2016 14:56,vjudge4,208B - Solitaire,GNU C++11,Accepted,30 ms,101500 KB,2016-10-27 14:56:00
21820479,Oct/27/2016 14:56,vjudge1,208B - Solitaire,GNU C++11,Accepted,31 ms,101500 KB,2016-10-27 14:56:00
73828393,Mar/20/2020 22:33,CaiJiZXY,208B - Solitaire,GNU C++11,Accepted,31 ms,35800 KB,2020-03-20 22:33:00
1933176,Jul/23/2012 23:06,_removed,208B - Solitaire,Python 2,Accepted,230 ms,3700 KB,2012-07-23 23:06:00
45033003,Oct/29/2018 08:46,vjudge2,208B - Solitaire,GNU C++11,Accepted,31 ms,35800 KB,2018-10-29 08:46:00
1978977,Aug/06/2012 04:33,tobpro,208B - Solitaire,GNU C++,Accepted,50 ms,1900 KB,2012-08-06 04:33:00
1995713,Aug/09/2012 19:46,tagarine,208B - Solitaire,FPC,Accepted,30 ms,11500 KB,2012-08-09 19:46:00
68730126,Jan/13/2020 22:40,rajgarg150873,208B - Solitaire,GNU C++14,Accepted,62 ms,88600 KB,2020-01-13 22:40:00
53593957,May/01/2019 05:47,Mjgonzales,208B - Solitaire,GNU C++17,Accepted,46 ms,35800 KB,2019-05-01 05:47:00
17121844,Apr/02/2016 06:01,freebsdx,208B - Solitaire,GNU C++11,Accepted,15 ms,3400 KB,2016-04-02 06:01:00
3759217,May/23/2013 07:51,juancate,208B - Solitaire,GNU C++,Accepted,234 ms,2300 KB,2013-05-23 07:51:00
6102449,Mar/22/2014 10:34,lanmao#,208B - Solitaire,GNU C++,Accepted,62 ms,600 KB,2014-03-22 10:34:00
19209258,Jul/18/2016 13:10,S031402405,208B - Solitaire,GNU C++,Accepted,30 ms,9000 KB,2016-07-18 13:10:00
1943760,Jul/27/2012 10:23,Apple_Cplus,208B - Solitaire,GNU C++,Accepted,80 ms,1900 KB,2012-07-27 10:23:00
1929865,Jul/23/2012 20:44,trulo_17,208B - Solitaire,GNU C++,Accepted,90 ms,2000 KB,2012-07-23 20:44:00
4308228,Aug/18/2013 16:05,vjudge2,208B - Solitaire,GNU C++,Accepted,30 ms,30900 KB,2013-08-18 16:05:00
48413246,Jan/15/2019 11:58,vjudge2,208B - Solitaire,GNU C++11,Accepted,31 ms,9000 KB,2019-01-15 11:58:00
1941870,Jul/26/2012 16:54,woaishizhan,208B - Solitaire,GNU C++,Accepted,60 ms,32300 KB,2012-07-26 16:54:00
21325525,Oct/09/2016 22:13,javacoder1,208B - Solitaire,GNU C++11,Accepted,46 ms,52800 KB,2016-10-09 22:13:00
7737844,Sep/11/2014 01:28,hulk1357#,208B - Solitaire,GNU C++,Accepted,30 ms,600 KB,2014-09-11 01:28:00
21325363,Oct/09/2016 22:04,javacoder1,208B - Solitaire,GNU C++11,Accepted,31 ms,52800 KB,2016-10-09 22:04:00
1934566,Jul/24/2012 09:41,unk,208B - Solitaire,Python 2,Accepted,200 ms,3700 KB,2012-07-24 09:41:00
42151473,Aug/27/2018 15:27,vjudge4,208B - Solitaire,GNU C++,Accepted,31 ms,35900 KB,2018-08-27 15:27:00
1934309,Jul/24/2012 08:14,YaleZ,208B - Solitaire,GNU C++,Accepted,60 ms,32300 KB,2012-07-24 08:14:00
1934306,Jul/24/2012 08:13,YaleZ,208B - Solitaire,GNU C++,Accepted,50 ms,32300 KB,2012-07-24 08:13:00
74729189,Mar/29/2020 15:23,vjudge3,208B - Solitaire,MS C++ 2017,Accepted,31 ms,50700 KB,2020-03-29 15:23:00
16613020,Mar/09/2016 11:07,rajeevkgp,208B - Solitaire,GNU C++11,Accepted,124 ms,6500 KB,2016-03-09 11:07:00
21823566,Oct/27/2016 16:49,vjudge1,208B - Solitaire,GNU C++,Accepted,15 ms,9000 KB,2016-10-27 16:49:00
21823582,Oct/27/2016 16:50,vjudge2,208B - Solitaire,GNU C++,Accepted,31 ms,9000 KB,2016-10-27 16:50:00
2337350,Oct/11/2012 13:02,chenwenkang,208B - Solitaire,GNU C++,Accepted,62 ms,30900 KB,2012-10-11 13:02:00
21823554,Oct/27/2016 16:48,vjudge3,208B - Solitaire,GNU C++,Accepted,30 ms,9000 KB,2016-10-27 16:48:00
51202818,Mar/12/2019 04:50,yuming,208B - Solitaire,GNU C++17,Accepted,31 ms,35800 KB,2019-03-12 04:50:00
15399731,Jan/16/2016 10:52,shubhamgoyal__,208B - Solitaire,GNU C++11,Accepted,124 ms,6500 KB,2016-01-16 10:52:00
21823651,Oct/27/2016 16:52,vjudge2,208B - Solitaire,GNU C++,Accepted,15 ms,9000 KB,2016-10-27 16:52:00
51150150,Mar/11/2019 10:07,luowentao,208B - Solitaire,GNU C++14,Accepted,31 ms,35800 KB,2019-03-11 10:07:00
1930029,Jul/23/2012 20:47,capythm,208B - Solitaire,GNU C++,Accepted,30 ms,1700 KB,2012-07-23 20:47:00
1948180,Jul/28/2012 23:57,Rosetta,208B - Solitaire,FPC,Accepted,50 ms,15500 KB,2012-07-28 23:57:00
20398587,Sep/05/2016 14:37,vjudge4,208B - Solitaire,GNU C++,Accepted,31 ms,1400 KB,2016-09-05 14:37:00
20398035,Sep/05/2016 14:06,somanynames,208B - Solitaire,GNU C++11,Accepted,30 ms,1400 KB,2016-09-05 14:06:00
13668270,Oct/16/2015 19:10,shubhamgoyal__,208B - Solitaire,GNU C++,Accepted,171 ms,2200 KB,2015-10-16 19:10:00
14870461,Dec/19/2015 08:20,shubhamgoyal__,208B - Solitaire,GNU C++11,Accepted,140 ms,6500 KB,2015-12-19 08:20:00
42146245,Aug/27/2018 11:59,vjudge5,208B - Solitaire,GNU C++,Accepted,31 ms,300 KB,2018-08-27 11:59:00
5762956,Jan/21/2014 11:03,Yury_Bandarchuk,208B - Solitaire,FPC,Accepted,716 ms,123600 KB,2014-01-21 11:03:00
45997886,Nov/20/2018 16:11,I_Love_Totoro,208B - Solitaire,GNU C++14,Accepted,139 ms,6700 KB,2018-11-20 16:11:00
42146255,Aug/27/2018 12:00,vjudge3,208B - Solitaire,GNU C++,Accepted,31 ms,300 KB,2018-08-27 12:00:00
14138479,Nov/08/2015 12:19,harunsami,208B - Solitaire,GNU C++,Accepted,15 ms,38500 KB,2015-11-08 12:19:00
16613343,Mar/09/2016 11:42,rajeevkgp,208B - Solitaire,GNU C++11,Accepted,31 ms,35800 KB,2016-03-09 11:42:00
