9303738,Dec/30/2014 11:18,sumit_suthar,169B - Replacing Digits,GNU C++,Accepted,92 ms,400 KB,2014-12-30 11:18:00
62618024,Oct/15/2019 15:02,xieyuquan,169B - Replacing Digits,GNU C++11,Accepted,124 ms,400 KB,2019-10-15 15:02:00
49816887,Feb/12/2019 09:29,DannyGCM,169B - Replacing Digits,Python 3,Accepted,778 ms,2500 KB,2019-02-12 09:29:00
25882565,Mar/28/2017 22:42,GLAYS,169B - Replacing Digits,GNU C++14,Accepted,92 ms,2300 KB,2017-03-28 22:42:00
17515785,Apr/26/2016 02:56,vjudge4,169B - Replacing Digits,GNU C++,Accepted,62 ms,2400 KB,2016-04-26 02:56:00
30482223,Sep/18/2017 21:41,backeii,169B - Replacing Digits,GNU C++11,Accepted,154 ms,400 KB,2017-09-18 21:41:00
1441244,Mar/29/2012 22:23,AKruglyak,169B - Replacing Digits,GNU C++,Accepted,60 ms,1700 KB,2012-03-29 22:23:00
17515786,Apr/26/2016 02:56,vjudge3,169B - Replacing Digits,GNU C++,Accepted,62 ms,2400 KB,2016-04-26 02:56:00
7664356,Sep/02/2014 02:57,Ielsayed,169B - Replacing Digits,Python 2,Accepted,218 ms,1300 KB,2014-09-02 02:57:00
50341328,Feb/23/2019 05:34,vjudge4,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2019-02-23 05:34:00
58946761,Aug/17/2019 12:20,theSiddhantSharma,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2019-08-17 12:20:00
6970464,Jun/27/2014 19:09,MhmdAssem67,169B - Replacing Digits,GNU C++,Accepted,92 ms,400 KB,2014-06-27 19:09:00
6352423,Apr/14/2014 08:44,Mohamed_Ayman,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2014-04-14 08:44:00
25882577,Mar/28/2017 22:43,GLAYS,169B - Replacing Digits,GNU C++14,Accepted,92 ms,2300 KB,2017-03-28 22:43:00
39078221,Jun/09/2018 23:26,Omnia__,169B - Replacing Digits,GNU C++14,Accepted,124 ms,400 KB,2018-06-09 23:26:00
45500390,Nov/10/2018 10:14,willbered,169B - Replacing Digits,GNU C++11,Accepted,124 ms,400 KB,2018-11-10 10:14:00
1416877,Mar/25/2012 22:11,theia,169B - Replacing Digits,Python 2,Accepted,420 ms,4200 KB,2012-03-25 22:11:00
26161908,Apr/06/2017 07:07,legendary,169B - Replacing Digits,GNU C++14,Accepted,92 ms,2300 KB,2017-04-06 07:07:00
12868632,Sep/06/2015 14:17,sara_alia,169B - Replacing Digits,GNU C++,Accepted,122 ms,400 KB,2015-09-06 14:17:00
31035592,Oct/05/2017 16:40,Nour.M,169B - Replacing Digits,GNU C++14,Accepted,92 ms,400 KB,2017-10-05 16:40:00
8707941,Nov/16/2014 05:28,SeekAndDestroy#,169B - Replacing Digits,GNU C++,Accepted,92 ms,400 KB,2014-11-16 05:28:00
56762404,Jul/09/2019 19:31,AhooraBozorgManesh,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2019-07-09 19:31:00
76067917,Apr/10/2020 11:04,A_M_Saiyef,169B - Replacing Digits,GNU C++14,Accepted,124 ms,400 KB,2020-04-10 11:04:00
7860440,Sep/20/2014 03:21,midov35,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2014-09-20 03:21:00
14860263,Dec/18/2015 15:08,vjudge4,169B - Replacing Digits,GNU C++,Accepted,154 ms,400 KB,2015-12-18 15:08:00
26161927,Apr/06/2017 07:09,legendary,169B - Replacing Digits,GNU C++14,Accepted,124 ms,2300 KB,2017-04-06 07:09:00
31124840,Oct/07/2017 21:07,gamalkhaled11,169B - Replacing Digits,Python 3,Accepted,374 ms,2300 KB,2017-10-07 21:07:00
53592745,May/01/2019 04:44,vjudge4,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2019-05-01 04:44:00
30931840,Oct/02/2017 05:54,Nafis_Sajid,169B - Replacing Digits,GNU C++14,Accepted,30 ms,500 KB,2017-10-02 05:54:00
35567114,Feb/22/2018 10:45,vjudge2,169B - Replacing Digits,GNU C++,Accepted,92 ms,2400 KB,2018-02-22 10:45:00
49795511,Feb/11/2019 22:39,binarmo,169B - Replacing Digits,GNU C++11,Accepted,124 ms,400 KB,2019-02-11 22:39:00
1412811,Mar/25/2012 20:10,GamePr0graameR,169B - Replacing Digits,Python 2,Accepted,520 ms,5300 KB,2012-03-25 20:10:00
57766041,Jul/25/2019 23:29,sgrba,169B - Replacing Digits,GNU C++14,Accepted,124 ms,400 KB,2019-07-25 23:29:00
1419978,Mar/26/2012 17:09,ugly.frog2805,169B - Replacing Digits,GNU C++,Accepted,60 ms,1700 KB,2012-03-26 17:09:00
10958742,May/01/2015 06:34,deltaman,169B - Replacing Digits,GNU C++,Accepted,92 ms,2400 KB,2015-05-01 06:34:00
57764927,Jul/25/2019 22:45,vjudge3,169B - Replacing Digits,GNU C++11,Accepted,124 ms,400 KB,2019-07-25 22:45:00
58091841,Jul/31/2019 20:53,tarek284,169B - Replacing Digits,GNU C++14,Accepted,124 ms,400 KB,2019-07-31 20:53:00
18168489,May/31/2016 15:34,VAVAvile,169B - Replacing Digits,GNU C++11,Accepted,60 ms,2500 KB,2016-05-31 15:34:00
58154030,Aug/02/2019 07:32,BelGuTei.B,169B - Replacing Digits,GNU C++17,Accepted,280 ms,400 KB,2019-08-02 07:32:00
1410849,Mar/25/2012 19:32,touyoubuntu,169B - Replacing Digits,GNU C++,Accepted,60 ms,1700 KB,2012-03-25 19:32:00
19617235,Aug/04/2016 17:40,swad,169B - Replacing Digits,GNU C++11,Accepted,154 ms,400 KB,2016-08-04 17:40:00
60387878,Sep/11/2019 15:12,Sali_adelkhah,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2019-09-11 15:12:00
60524084,Sep/14/2019 12:38,vjudge2,169B - Replacing Digits,GNU C++14,Accepted,124 ms,400 KB,2019-09-14 12:38:00
1992637,Aug/08/2012 13:52,SPAND,169B - Replacing Digits,GNU C++,Accepted,60 ms,1800 KB,2012-08-08 13:52:00
17072149,Mar/31/2016 14:07,Bouhmid,169B - Replacing Digits,GNU C++11,Accepted,122 ms,2500 KB,2016-03-31 14:07:00
5705209,Jan/17/2014 00:11,mohamedsalah939,169B - Replacing Digits,GNU C++,Accepted,92 ms,400 KB,2014-01-17 00:11:00
6463814,Apr/25/2014 10:36,Mohsin,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2014-04-25 10:36:00
17515146,Apr/26/2016 00:48,Samao_Ofoad,169B - Replacing Digits,GNU C++11,Accepted,62 ms,2400 KB,2016-04-26 00:48:00
17833317,May/10/2016 17:45,soon,169B - Replacing Digits,Python 3,Accepted,310 ms,6000 KB,2016-05-10 17:45:00
31556290,Oct/21/2017 11:09,wjubeh,169B - Replacing Digits,GNU C++11,Accepted,936 ms,2400 KB,2017-10-21 11:09:00
34791481,Feb/01/2018 09:17,Bekh,169B - Replacing Digits,GNU C++14,Accepted,30 ms,2400 KB,2018-02-01 09:17:00
53175251,Apr/23/2019 06:06,guillermo.sanchez,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2019-04-23 06:06:00
57762822,Jul/25/2019 21:43,vjudge1,169B - Replacing Digits,Python 3,Accepted,778 ms,2500 KB,2019-07-25 21:43:00
16287350,Feb/23/2016 09:04,KBL,169B - Replacing Digits,GNU C++,Accepted,92 ms,400 KB,2016-02-23 09:04:00
18380118,Jun/11/2016 22:08,Re11m,169B - Replacing Digits,GNU C++11,Accepted,92 ms,2400 KB,2016-06-11 22:08:00
5826010,Jan/28/2014 18:31,kimocool,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2014-01-28 18:31:00
5826031,Jan/28/2014 18:34,Kareem,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2014-01-28 18:34:00
18588547,Jun/19/2016 02:59,nSayed,169B - Replacing Digits,GNU C++11,Accepted,124 ms,400 KB,2016-06-19 02:59:00
48170132,Jan/10/2019 09:15,vjudge5,169B - Replacing Digits,GNU C++14,Accepted,92 ms,400 KB,2019-01-10 09:15:00
36412767,Mar/19/2018 17:09,ionescu.virgiliu,169B - Replacing Digits,Python 3,Accepted,1840 ms,8000 KB,2018-03-19 17:09:00
38466203,May/20/2018 20:35,Physicist_Tridip,169B - Replacing Digits,GNU C++17,Accepted,156 ms,600 KB,2018-05-20 20:35:00
4438348,Sep/10/2013 13:53,taysir_zeitoun,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2013-09-10 13:53:00
6925558,Jun/20/2014 09:59,maxim2011xam,169B - Replacing Digits,MS C++,Accepted,62 ms,400 KB,2014-06-20 09:59:00
1448935,Apr/01/2012 14:50,Balmer,169B - Replacing Digits,Python 2,Accepted,500 ms,5700 KB,2012-04-01 14:50:00
1463153,Apr/02/2012 03:02,veluca93,169B - Replacing Digits,GNU C++,Accepted,60 ms,1600 KB,2012-04-02 03:02:00
8248864,Oct/16/2014 18:31,AhmadsamirrR,169B - Replacing Digits,GNU C++,Accepted,124 ms,400 KB,2014-10-16 18:31:00
12720713,Aug/27/2015 17:30,yehiahd,169B - Replacing Digits,GNU C++,Accepted,124 ms,400 KB,2015-08-27 17:30:00
58069512,Jul/31/2019 13:05,sameh98,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2019-07-31 13:05:00
11626360,Jun/18/2015 02:36,TheRealYoussef,169B - Replacing Digits,GNU C++11,Accepted,60 ms,400 KB,2015-06-18 02:36:00
6430330,Apr/20/2014 19:04,mostfama7mod,169B - Replacing Digits,GNU C++,Accepted,92 ms,400 KB,2014-04-20 19:04:00
13247004,Sep/27/2015 12:27,IzumiKonata,169B - Replacing Digits,GNU C++,Accepted,60 ms,200 KB,2015-09-27 12:27:00
52562740,Apr/10/2019 14:14,lerooo,169B - Replacing Digits,GNU C++17,Accepted,92 ms,400 KB,2019-04-10 14:14:00
57763439,Jul/25/2019 21:58,vjudge1,169B - Replacing Digits,Python 2,Accepted,622 ms,2600 KB,2019-07-25 21:58:00
1420097,Mar/26/2012 17:47,cohama,169B - Replacing Digits,Ruby,Accepted,310 ms,14300 KB,2012-03-26 17:47:00
17515208,Apr/26/2016 01:06,vjudge5,169B - Replacing Digits,GNU C++,Accepted,60 ms,2400 KB,2016-04-26 01:06:00
17515369,Apr/26/2016 01:52,vjudge4,169B - Replacing Digits,GNU C++,Accepted,30 ms,2400 KB,2016-04-26 01:52:00
53677892,May/02/2019 20:05,nikita4109,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2019-05-02 20:05:00
1410337,Mar/25/2012 19:25,kingkaushik,169B - Replacing Digits,GNU C++,Accepted,60 ms,1700 KB,2012-03-25 19:25:00
6456058,Apr/23/2014 21:57,m.motawe3,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2014-04-23 21:57:00
18131282,May/28/2016 15:04,elita15,169B - Replacing Digits,GNU C++,Accepted,124 ms,2600 KB,2016-05-28 15:04:00
1421671,Mar/27/2012 10:08,flashmt,169B - Replacing Digits,GNU C++,Accepted,50 ms,1700 KB,2012-03-27 10:08:00
7216291,Jul/24/2014 16:08,tasneem.sharaf97,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2014-07-24 16:08:00
21759103,Oct/24/2016 23:31,aruneshpa,169B - Replacing Digits,GNU C++11,Accepted,124 ms,400 KB,2016-10-24 23:31:00
60523568,Sep/14/2019 12:25,vjudge1,169B - Replacing Digits,GNU C++11,Accepted,124 ms,400 KB,2019-09-14 12:25:00
10649002,Apr/10/2015 16:41,KeremC,169B - Replacing Digits,GNU C++,Accepted,124 ms,200 KB,2015-04-10 16:41:00
50316495,Feb/22/2019 15:30,vjudge3,169B - Replacing Digits,GNU C++11,Accepted,124 ms,400 KB,2019-02-22 15:30:00
