26071636,Apr/02/2017 10:11,brocena,789B - Masha and geometric depression,GNU C++11,Accepted,93 ms,6000 KB,2017-04-02 10:11:00
26123406,Apr/04/2017 16:41,gurtej_29,789B - Masha and geometric depression,GNU C++14,Accepted,62 ms,6000 KB,2017-04-04 16:41:00
26378934,Apr/15/2017 15:14,vjudge5,789B - Masha and geometric depression,GNU C++,Accepted,31 ms,2200 KB,2017-04-15 15:14:00
26968336,May/09/2017 09:21,sensei11,789B - Masha and geometric depression,GNU C++14,Accepted,234 ms,3300 KB,2017-05-09 09:21:00
26333239,Apr/13/2017 11:25,Grunt#,789B - Masha and geometric depression,GNU C++14,Accepted,78 ms,5200 KB,2017-04-13 11:25:00
25953548,Mar/30/2017 16:18,SegmentationRight,789B - Masha and geometric depression,GNU C++11,Accepted,62 ms,5200 KB,2017-03-30 16:18:00
26325246,Apr/12/2017 23:04,merolish,789B - Masha and geometric depression,Python 3,Accepted,93 ms,14600 KB,2017-04-12 23:04:00
26191668,Apr/07/2017 14:48,mig,789B - Masha and geometric depression,MS C++,Accepted,171 ms,6700 KB,2017-04-07 14:48:00
26191733,Apr/07/2017 14:50,mig,789B - Masha and geometric depression,GNU C++14,Accepted,233 ms,6000 KB,2017-04-07 14:50:00
26112562,Apr/04/2017 07:16,ghost_08,789B - Masha and geometric depression,GNU C++14,Accepted,78 ms,6000 KB,2017-04-04 07:16:00
26349126,Apr/14/2017 04:35,free_001,789B - Masha and geometric depression,GNU C++11,Accepted,46 ms,2800 KB,2017-04-14 04:35:00
55677183,Jun/17/2019 14:05,frikhaa,789B - Masha and geometric depression,GNU C++17,Accepted,77 ms,4100 KB,2019-06-17 14:05:00
27190152,May/18/2017 07:57,jhamilex,789B - Masha and geometric depression,GNU C++11,Accepted,295 ms,4000 KB,2017-05-18 07:57:00
26050099,Apr/01/2017 13:37,frikha,789B - Masha and geometric depression,GNU C++11,Accepted,108 ms,6000 KB,2017-04-01 13:37:00
26344510,Apr/13/2017 20:07,m7mdbadawy,789B - Masha and geometric depression,Python 3,Accepted,109 ms,15900 KB,2017-04-13 20:07:00
56849803,Jul/11/2019 18:11,lasmyueng,789B - Masha and geometric depression,GNU C++14,Accepted,61 ms,3300 KB,2019-07-11 18:11:00
