25666214,Mar/20/2017 16:09,Big_black_jujube,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-03-20 16:09:00
24771503,Feb/18/2017 13:52,Abra_Stone,767B - The Queue,GNU C++,Accepted,62 ms,2100 KB,2017-02-18 13:52:00
24793165,Feb/19/2017 05:41,baluteshih,767B - The Queue,GNU C++14,Accepted,46 ms,2600 KB,2017-02-19 05:41:00
24814226,Feb/20/2017 05:58,YanHan22,767B - The Queue,GNU C++14,Accepted,61 ms,1900 KB,2017-02-20 05:58:00
25666167,Mar/20/2017 16:08,Big_black_jujube,767B - The Queue,GNU C++,Accepted,295 ms,2000 KB,2017-03-20 16:08:00
30833512,Sep/29/2017 18:15,Kaitokid,767B - The Queue,GNU C++11,Accepted,78 ms,2100 KB,2017-09-29 18:15:00
24809272,Feb/19/2017 22:28,iniesta8,767B - The Queue,GNU C++14,Accepted,46 ms,1900 KB,2017-02-19 22:28:00
24856930,Feb/21/2017 01:43,nishantarora,767B - The Queue,GNU C++14,Accepted,61 ms,1900 KB,2017-02-21 01:43:00
24884261,Feb/22/2017 06:35,wodetiannima,767B - The Queue,GNU C++11,Accepted,374 ms,2100 KB,2017-02-22 06:35:00
24822695,Feb/20/2017 16:02,Webwei#,767B - The Queue,GNU C++11,Accepted,343 ms,2000 KB,2017-02-20 16:02:00
25212317,Mar/04/2017 15:41,tomciomistrzu,767B - The Queue,GNU C++14,Accepted,46 ms,2000 KB,2017-03-04 15:41:00
36427089,Mar/20/2018 10:47,easyhoon,767B - The Queue,GNU C++14,Accepted,46 ms,3300 KB,2018-03-20 10:47:00
24804855,Feb/19/2017 18:03,ThirteenTimes,767B - The Queue,GNU C++14,Accepted,280 ms,2700 KB,2017-02-19 18:03:00
35089610,Feb/09/2018 15:35,vjudge5,767B - The Queue,GNU C++,Accepted,31 ms,2100 KB,2018-02-09 15:35:00
24778314,Feb/18/2017 15:45,chirs241097,767B - The Queue,GNU C++14,Accepted,46 ms,1900 KB,2017-02-18 15:45:00
72663340,Mar/07/2020 15:54,vjudge5,767B - The Queue,GNU C++17,Accepted,46 ms,0 KB,2020-03-07 15:54:00
24776520,Feb/18/2017 14:59,shirokami,767B - The Queue,GNU C++,Accepted,46 ms,2800 KB,2017-02-18 14:59:00
25066227,Feb/27/2017 02:05,dzimiks,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-02-27 02:05:00
25234989,Mar/05/2017 10:05,hzcong,767B - The Queue,GNU C++14,Accepted,62 ms,1900 KB,2017-03-05 10:05:00
30324959,Sep/14/2017 13:18,El_Apocalipsis,767B - The Queue,GNU C++11,Accepted,280 ms,0 KB,2017-09-14 13:18:00
