5820271,Jan/27/2014 19:27,PSDEV,385B - Bear and Strings,GNU C++,Accepted,15 ms,0 KB,2014-01-27 19:27:00
9513397,Jan/23/2015 15:49,JoKe,385B - Bear and Strings,GNU C++0x,Accepted,30 ms,0 KB,2015-01-23 15:49:00
27735532,Jun/12/2017 13:06,PTQ1001,385B - Bear and Strings,Python 2,Accepted,77 ms,100 KB,2017-06-12 13:06:00
52027375,Mar/30/2019 18:39,sejfsnmndkcjdoc,385B - Bear and Strings,GNU C++17,Accepted,109 ms,0 KB,2019-03-30 18:39:00
5817312,Jan/27/2014 10:34,okuzn,385B - Bear and Strings,GNU C++,Accepted,15 ms,0 KB,2014-01-27 10:34:00
14035006,Nov/03/2015 02:12,130705009,385B - Bear and Strings,GNU C++,Accepted,15 ms,0 KB,2015-11-03 02:12:00
22295735,Nov/17/2016 22:40,Math_Master,385B - Bear and Strings,GNU C++14,Accepted,124 ms,0 KB,2016-11-17 22:40:00
26568641,Apr/21/2017 23:38,f701pseudo,385B - Bear and Strings,Python 3,Accepted,77 ms,5400 KB,2017-04-21 23:38:00
47814730,Jan/01/2019 16:40,mr-meeseeks,385B - Bear and Strings,GNU C++14,Accepted,46 ms,0 KB,2019-01-01 16:40:00
52133575,Apr/01/2019 02:26,darkshadow.rv10,385B - Bear and Strings,GNU C++14,Accepted,62 ms,0 KB,2019-04-01 02:26:00
69707546,Jan/29/2020 08:28,ritikgupta0912,385B - Bear and Strings,GNU C++14,Accepted,46 ms,0 KB,2020-01-29 08:28:00
18260862,Jun/05/2016 21:05,Momentum,385B - Bear and Strings,GNU C++11,Accepted,15 ms,2200 KB,2016-06-05 21:05:00
55950296,Jun/23/2019 04:05,jig-saw,385B - Bear and Strings,GNU C++17,Accepted,93 ms,0 KB,2019-06-23 04:05:00
57130514,Jul/16/2019 09:56,Rush,385B - Bear and Strings,GNU C++11,Accepted,31 ms,0 KB,2019-07-16 09:56:00
25952992,Mar/30/2017 16:01,ilia12345,385B - Bear and Strings,GNU C++11,Accepted,15 ms,2000 KB,2017-03-30 16:01:00
8344168,Oct/21/2014 20:19,codetilyoudie#,385B - Bear and Strings,Python 2,Accepted,61 ms,100 KB,2014-10-21 20:19:00
10574083,Apr/04/2015 16:38,sugar,385B - Bear and Strings,GNU C++11,Accepted,15 ms,0 KB,2015-04-04 16:38:00
77379927,Apr/20/2020 18:42,avish_agarwal11,385B - Bear and Strings,GNU C++14,Accepted,46 ms,0 KB,2020-04-20 18:42:00
43402218,Sep/25/2018 12:26,tandonkarsh,385B - Bear and Strings,GNU C++11,Accepted,31 ms,300 KB,2018-09-25 12:26:00
7436519,Aug/12/2014 21:41,squiggly_lines,385B - Bear and Strings,Python 2,Accepted,61 ms,0 KB,2014-08-12 21:41:00
8043375,Oct/01/2014 10:23,c09,385B - Bear and Strings,GNU C++,Accepted,15 ms,0 KB,2014-10-01 10:23:00
8099043,Oct/05/2014 23:29,hsnprsd,385B - Bear and Strings,GNU C++,Accepted,93 ms,200 KB,2014-10-05 23:29:00
22513684,Nov/26/2016 19:53,12artem12,385B - Bear and Strings,GNU C++14,Accepted,30 ms,0 KB,2016-11-26 19:53:00
74769348,Mar/29/2020 23:52,vjudge5,385B - Bear and Strings,GNU C++17,Accepted,31 ms,0 KB,2020-03-29 23:52:00
5790454,Jan/24/2014 20:10,Gotzillaz,385B - Bear and Strings,Python 2,Accepted,93 ms,100 KB,2014-01-24 20:10:00
8397328,Oct/25/2014 06:58,qszhu,385B - Bear and Strings,Python 2,Accepted,62 ms,0 KB,2014-10-25 06:58:00
10018208,Feb/25/2015 13:59,ilya3d,385B - Bear and Strings,Python 2,Accepted,62 ms,0 KB,2015-02-25 13:59:00
46694429,Dec/06/2018 21:33,mateus929,385B - Bear and Strings,GNU C++11,Accepted,62 ms,0 KB,2018-12-06 21:33:00
78576561,Apr/30/2020 17:33,15Ishaan,385B - Bear and Strings,GNU C++14,Accepted,78 ms,0 KB,2020-04-30 17:33:00
79747331,May/11/2020 16:00,S7a2a7d,385B - Bear and Strings,GNU C11,Accepted,30 ms,3700 KB,2020-05-11 16:00:00
36654126,Mar/27/2018 00:21,vjudge4,385B - Bear and Strings,GNU C++,Accepted,31 ms,3700 KB,2018-03-27 00:21:00
18903576,Jul/05/2016 18:34,maloy,385B - Bear and Strings,GNU C,Accepted,15 ms,100 KB,2016-07-05 18:34:00
43727865,Oct/03/2018 15:59,Radu_mango,385B - Bear and Strings,GNU C++14,Accepted,78 ms,300 KB,2018-10-03 15:59:00
70154239,Feb/03/2020 16:41,david_varela,385B - Bear and Strings,Kotlin,Accepted,155 ms,0 KB,2020-02-03 16:41:00
5789699,Jan/24/2014 20:02,yaofeng,385B - Bear and Strings,GNU C++,Accepted,77 ms,0 KB,2014-01-24 20:02:00
10630801,Apr/08/2015 16:36,xxxyyyzzz,385B - Bear and Strings,GNU C++11,Accepted,31 ms,0 KB,2015-04-08 16:36:00
56459571,Jul/03/2019 09:10,harishmara98,385B - Bear and Strings,GNU C++17,Accepted,31 ms,0 KB,2019-07-03 09:10:00
