16305066,Feb/24/2016 11:16,KBL,209A - Multicolored Marbles,GNU C++,Accepted,60 ms,7800 KB,2016-02-24 11:16:00
67183200,Dec/19/2019 05:04,vjudge3,209A - Multicolored Marbles,GNU C++11,Accepted,122 ms,0 KB,2019-12-19 05:04:00
1951560,Jul/30/2012 11:23,sdibt1,209A - Multicolored Marbles,GNU C++,Accepted,80 ms,9300 KB,2012-07-30 11:23:00
14141292,Nov/08/2015 16:07,vjudge2,209A - Multicolored Marbles,GNU C,Accepted,30 ms,0 KB,2015-11-08 16:07:00
61290734,Sep/25/2019 23:33,aman_deep21,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,7800 KB,2019-09-25 23:33:00
3823185,Jun/05/2013 04:45,zhj,209A - Multicolored Marbles,GNU C++,Accepted,15 ms,0 KB,2013-06-05 04:45:00
22594204,Nov/29/2016 11:29,vjudge2,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,7800 KB,2016-11-29 11:29:00
1923329,Jul/23/2012 11:35,PaulPersa,209A - Multicolored Marbles,GNU C++,Accepted,50 ms,1400 KB,2012-07-23 11:35:00
2105243,Sep/09/2012 07:05,ytau,209A - Multicolored Marbles,GNU C++,Accepted,50 ms,1400 KB,2012-09-09 07:05:00
24112073,Jan/25/2017 16:12,nlgxh5,209A - Multicolored Marbles,GNU C++,Accepted,92 ms,9900 KB,2017-01-25 16:12:00
1951856,Jul/30/2012 12:30,sdibt4,209A - Multicolored Marbles,GNU C++,Accepted,50 ms,5400 KB,2012-07-30 12:30:00
24109795,Jan/25/2017 14:16,nlgxh3,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,9900 KB,2017-01-25 14:16:00
70351017,Feb/05/2020 13:56,akshatarun17,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,0 KB,2020-02-05 13:56:00
11439876,Jun/05/2015 06:44,biltharesatyendra,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,3700 KB,2015-06-05 06:44:00
23614806,Jan/07/2017 03:43,YamiDust,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,9900 KB,2017-01-07 03:43:00
22598741,Nov/29/2016 15:49,vjudge5,209A - Multicolored Marbles,GNU C++,Accepted,92 ms,78300 KB,2016-11-29 15:49:00
69482278,Jan/24/2020 21:11,Dolesh,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,7800 KB,2020-01-24 21:11:00
10775894,Apr/19/2015 08:04,vjudge3,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,9900 KB,2015-04-19 08:04:00
13906388,Oct/28/2015 01:34,puss_in_boots,209A - Multicolored Marbles,GNU C++,Accepted,30 ms,4400 KB,2015-10-28 01:34:00
67183247,Dec/19/2019 05:07,vjudge1,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,7800 KB,2019-12-19 05:07:00
18973097,Jul/08/2016 19:37,widelec,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2016-07-08 19:37:00
77276290,Apr/19/2020 15:58,SarsaParilla,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,3900 KB,2020-04-19 15:58:00
67183686,Dec/19/2019 05:39,SirHippo,209A - Multicolored Marbles,GNU C++11,Accepted,92 ms,0 KB,2019-12-19 05:39:00
67183777,Dec/19/2019 05:45,itskamee,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,7800 KB,2019-12-19 05:45:00
14175389,Nov/09/2015 21:00,boringcoding,209A - Multicolored Marbles,GNU C++11,Accepted,30 ms,0 KB,2015-11-09 21:00:00
22594724,Nov/29/2016 12:03,vjudge4,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,0 KB,2016-11-29 12:03:00
1951474,Jul/30/2012 11:00,sdibt3,209A - Multicolored Marbles,GNU C++,Accepted,60 ms,9300 KB,2012-07-30 11:00:00
3175042,Feb/23/2013 10:38,deleted51,209A - Multicolored Marbles,GNU C++,Accepted,31 ms,15600 KB,2013-02-23 10:38:00
1999316,Aug/11/2012 11:31,savinov,209A - Multicolored Marbles,GNU C++0x,Accepted,50 ms,1400 KB,2012-08-11 11:31:00
1951452,Jul/30/2012 10:54,sdibt1,209A - Multicolored Marbles,GNU C++,Accepted,50 ms,9300 KB,2012-07-30 10:54:00
67183704,Dec/19/2019 05:40,vjudge3,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2019-12-19 05:40:00
10777580,Apr/19/2015 10:09,vjudge2,209A - Multicolored Marbles,GNU C++,Accepted,92 ms,10500 KB,2015-04-19 10:09:00
17701094,May/03/2016 20:21,SteelRaven,209A - Multicolored Marbles,GNU C++11,Accepted,30 ms,2200 KB,2016-05-03 20:21:00
67183810,Dec/19/2019 05:47,vjudge5,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,7800 KB,2019-12-19 05:47:00
57144501,Jul/16/2019 15:26,AK.,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,7800 KB,2019-07-16 15:26:00
52301320,Apr/04/2019 12:22,Umm,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,7800 KB,2019-04-04 12:22:00
14140788,Nov/08/2015 15:24,vjudge3,209A - Multicolored Marbles,GNU C++,Accepted,30 ms,7800 KB,2015-11-08 15:24:00
28810042,Jul/24/2017 03:48,Noam527,209A - Multicolored Marbles,GNU C++11,Accepted,30 ms,2100 KB,2017-07-24 03:48:00
31722430,Oct/25/2017 22:52,Dalgerok,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,7800 KB,2017-10-25 22:52:00
43609449,Sep/30/2018 16:38,crathva,209A - Multicolored Marbles,GNU C++17,Accepted,60 ms,0 KB,2018-09-30 16:38:00
4852571,Oct/23/2013 17:19,vjudge1,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,7800 KB,2013-10-23 17:19:00
65453317,Nov/20/2019 22:07,krzysztofjadlowski,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,7800 KB,2019-11-20 22:07:00
67183229,Dec/19/2019 05:06,aurizzan,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,7800 KB,2019-12-19 05:06:00
26343769,Apr/13/2017 19:28,drdanailov,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,1900 KB,2017-04-13 19:28:00
24110585,Jan/25/2017 15:04,nlgxh1,209A - Multicolored Marbles,GNU C++,Accepted,92 ms,9900 KB,2017-01-25 15:04:00
56937763,Jul/12/2019 20:39,vjudge3,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,7800 KB,2019-07-12 20:39:00
70555950,Feb/08/2020 13:24,pravgcet,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,0 KB,2020-02-08 13:24:00
51102461,Mar/09/2019 22:44,kosar_esf24,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,7800 KB,2019-03-09 22:44:00
10777387,Apr/19/2015 09:57,vjudge1,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,13600 KB,2015-04-19 09:57:00
67183282,Dec/19/2019 05:10,vjudge3,209A - Multicolored Marbles,GNU C++11,Accepted,92 ms,7800 KB,2019-12-19 05:10:00
57972601,Jul/30/2019 09:34,Cruiying,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2019-07-30 09:34:00
1923802,Jul/23/2012 14:31,kuruma,209A - Multicolored Marbles,GNU C++,Accepted,30 ms,1400 KB,2012-07-23 14:31:00
25421440,Mar/12/2017 03:56,ShiroyashaGintoki,209A - Multicolored Marbles,GNU C++11,Accepted,30 ms,2000 KB,2017-03-12 03:56:00
57552498,Jul/22/2019 21:05,makiiii,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,0 KB,2019-07-22 21:05:00
1918701,Jul/21/2012 08:14,scott_wu,209A - Multicolored Marbles,GNU C++,Accepted,30 ms,1400 KB,2012-07-21 08:14:00
2863284,Jan/01/2013 15:04,metalopocalipsis,209A - Multicolored Marbles,FPC,Accepted,46 ms,3900 KB,2013-01-01 15:04:00
4851311,Oct/23/2013 15:27,vjudge4,209A - Multicolored Marbles,FPC,Accepted,62 ms,7800 KB,2013-10-23 15:27:00
77858780,Apr/24/2020 01:28,arpit_malhotra,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,300 KB,2020-04-24 01:28:00
75726180,Apr/07/2020 11:42,ayushgupta_,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,7800 KB,2020-04-07 11:42:00
65794979,Nov/27/2019 06:38,Chaska,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,3900 KB,2019-11-27 06:38:00
67267785,Dec/20/2019 09:54,christo,209A - Multicolored Marbles,GNU C++11,Accepted,92 ms,15700 KB,2019-12-20 09:54:00
67183391,Dec/19/2019 05:18,Nabil_Alhanif,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,0 KB,2019-12-19 05:18:00
75726361,Apr/07/2020 11:45,ayushgupta_,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,7800 KB,2020-04-07 11:45:00
75726513,Apr/07/2020 11:47,ayushgupta_,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,7800 KB,2020-04-07 11:47:00
1991356,Aug/07/2012 22:33,Tatyana_Petrashko,209A - Multicolored Marbles,FPC,Accepted,50 ms,5100 KB,2012-08-07 22:33:00
1951572,Jul/30/2012 11:26,sdibt2,209A - Multicolored Marbles,GNU C++,Accepted,30 ms,1400 KB,2012-07-30 11:26:00
55395087,Jun/10/2019 14:25,taklo,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,7800 KB,2019-06-10 14:25:00
75726082,Apr/07/2020 11:41,ayushgupta_,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,15600 KB,2020-04-07 11:41:00
78980604,May/04/2020 18:17,nothing9928,209A - Multicolored Marbles,GNU C++17,Accepted,122 ms,7800 KB,2020-05-04 18:17:00
58087344,Jul/31/2019 19:09,el_rey,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,0 KB,2019-07-31 19:09:00
67183410,Dec/19/2019 05:20,vjudge3,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,0 KB,2019-12-19 05:20:00
26353798,Apr/14/2017 13:01,Laika,209A - Multicolored Marbles,GNU C++,Accepted,30 ms,2100 KB,2017-04-14 13:01:00
51116759,Mar/10/2019 10:20,M.mohsenian,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,7800 KB,2019-03-10 10:20:00
46661247,Dec/05/2018 22:30,yluo,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,0 KB,2018-12-05 22:30:00
4852668,Oct/23/2013 17:27,vjudge2,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,7800 KB,2013-10-23 17:27:00
54947990,Jun/01/2019 20:09,itsBhrigu,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2019-06-01 20:09:00
1941723,Jul/26/2012 15:57,Quercitron,209A - Multicolored Marbles,Delphi,Accepted,50 ms,13600 KB,2012-07-26 15:57:00
1951788,Jul/30/2012 12:15,sdibt5,209A - Multicolored Marbles,GNU C++,Accepted,50 ms,18700 KB,2012-07-30 12:15:00
55226710,Jun/07/2019 05:15,BADDYN,209A - Multicolored Marbles,GNU C++14,Accepted,122 ms,7800 KB,2019-06-07 05:15:00
4851438,Oct/23/2013 15:43,vjudge2,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,7800 KB,2013-10-23 15:43:00
9956190,Feb/22/2015 09:37,vjudge5,209A - Multicolored Marbles,GNU C++,Accepted,92 ms,7800 KB,2015-02-22 09:37:00
24109740,Jan/25/2017 14:12,nlgxh9,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,9900 KB,2017-01-25 14:12:00
1898847,Jul/14/2012 11:57,tourist,209A - Multicolored Marbles,Delphi,Accepted,60 ms,9300 KB,2012-07-14 11:57:00
2229355,Sep/22/2012 15:30,TankEngineer#,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,1400 KB,2012-09-22 15:30:00
1995168,Aug/09/2012 16:21,yooo,209A - Multicolored Marbles,GNU C++,Accepted,50 ms,9200 KB,2012-08-09 16:21:00
4852698,Oct/23/2013 17:29,vjudge5,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,7800 KB,2013-10-23 17:29:00
61957592,Oct/06/2019 09:24,JustBoss,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,0 KB,2019-10-06 09:24:00
5411146,Dec/11/2013 22:45,sahiliitm,209A - Multicolored Marbles,GNU C,Accepted,62 ms,0 KB,2013-12-11 22:45:00
1923174,Jul/23/2012 10:58,zsyzgu,209A - Multicolored Marbles,GNU C++,Accepted,30 ms,1400 KB,2012-07-23 10:58:00
3012621,Jan/26/2013 18:51,AstroConjecture,209A - Multicolored Marbles,GNU C++,Accepted,31 ms,7800 KB,2013-01-26 18:51:00
