49900236,Feb/14/2019 11:58,qwsxdrt,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-02-14 11:58:00
58569177,Aug/11/2019 12:18,_IchBin_,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-08-11 12:18:00
36952591,Apr/04/2018 17:09,Youssef_IZIKITNE,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:09:00
37022704,Apr/06/2018 16:54,Incognito,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-06 16:54:00
54322732,May/18/2019 02:01,Anus1373,961A - Tetris,GNU C++14,Accepted,46 ms,0 KB,2019-05-18 02:01:00
57740222,Jul/25/2019 14:14,py_ultron,961A - Tetris,GNU C++11,Accepted,31 ms,0 KB,2019-07-25 14:14:00
57870017,Jul/28/2019 03:54,lopare,961A - Tetris,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 03:54:00
57923324,Jul/29/2019 09:05,RedRanger#,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2019-07-29 09:05:00
36956083,Apr/04/2018 17:19,vg_1706,961A - Tetris,Python 3,Accepted,77 ms,6900 KB,2018-04-04 17:19:00
36959562,Apr/04/2018 17:34,eugalt,961A - Tetris,Python 3,Accepted,108 ms,6900 KB,2018-04-04 17:34:00
36999102,Apr/05/2018 16:48,Evil__Coder,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-05 16:48:00
37414093,Apr/17/2018 19:26,PalmPTSJ,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-17 19:26:00
36952049,Apr/04/2018 17:07,Fandle,961A - Tetris,PyPy 3,Accepted,124 ms,20900 KB,2018-04-04 17:07:00
36954053,Apr/04/2018 17:13,kurbezz,961A - Tetris,Python 3,Accepted,108 ms,6900 KB,2018-04-04 17:13:00
36977928,Apr/04/2018 20:22,FuryPotat0,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 20:22:00
37108501,Apr/08/2018 22:45,unistar,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-08 22:45:00
37287874,Apr/13/2018 17:20,Doshik,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-13 17:20:00
61066569,Sep/22/2019 14:18,TDmitry,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-09-22 14:18:00
61066617,Sep/22/2019 14:19,Tigutor,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-09-22 14:19:00
36952775,Apr/04/2018 17:09,dzyura_christopher,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:09:00
37141638,Apr/10/2018 13:47,Ehzyo,961A - Tetris,Python 2,Accepted,139 ms,5900 KB,2018-04-10 13:47:00
60468249,Sep/13/2019 06:32,mohi07,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2019-09-13 06:32:00
36952647,Apr/04/2018 17:09,coro65536,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:09:00
36963975,Apr/04/2018 17:56,flatline,961A - Tetris,Python 2,Accepted,93 ms,5900 KB,2018-04-04 17:56:00
37005100,Apr/05/2018 21:14,nghiatd_16,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-05 21:14:00
56961878,Jul/13/2019 09:55,oqyshi,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2019-07-13 09:55:00
36954065,Apr/04/2018 17:13,dvec,961A - Tetris,PyPy 3,Accepted,140 ms,21300 KB,2018-04-04 17:13:00
40569377,Jul/20/2018 10:17,Cirno42,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2018-07-20 10:17:00
51852481,Mar/26/2019 11:51,Gol_D,961A - Tetris,Python 3,Accepted,108 ms,0 KB,2019-03-26 11:51:00
64794868,Nov/13/2019 15:32,daleks,961A - Tetris,Python 3,Accepted,140 ms,0 KB,2019-11-13 15:32:00
36953811,Apr/04/2018 17:12,djoshuac,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:12:00
50774160,Mar/04/2019 10:17,poikniok,961A - Tetris,PyPy 3,Accepted,140 ms,0 KB,2019-03-04 10:17:00
36955227,Apr/04/2018 17:17,kk3799,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:17:00
38639761,May/26/2018 19:29,tchr,961A - Tetris,Python 3,Accepted,78 ms,0 KB,2018-05-26 19:29:00
36953713,Apr/04/2018 17:12,Naoki_M,961A - Tetris,PyPy 3,Accepted,93 ms,20900 KB,2018-04-04 17:12:00
36987800,Apr/05/2018 07:44,Skybytskyi.Nikita,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-05 07:44:00
46980856,Dec/13/2018 22:44,Ooops_no,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2018-12-13 22:44:00
55822096,Jun/20/2019 12:04,tadashi99,961A - Tetris,PyPy 3,Accepted,155 ms,0 KB,2019-06-20 12:04:00
61070908,Sep/22/2019 15:43,Black_Fregat,961A - Tetris,Python 3,Accepted,155 ms,400 KB,2019-09-22 15:43:00
80192608,May/15/2020 08:19,grindthecode,961A - Tetris,Python 2,Accepted,186 ms,6300 KB,2020-05-15 08:19:00
36952446,Apr/04/2018 17:09,deathgun,961A - Tetris,Python 2,Accepted,109 ms,5900 KB,2018-04-04 17:09:00
36953013,Apr/04/2018 17:10,jakalletti,961A - Tetris,PyPy 3,Accepted,93 ms,20900 KB,2018-04-04 17:10:00
36965241,Apr/04/2018 18:03,yaobing,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 18:03:00
36968596,Apr/04/2018 18:23,sovereignD,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 18:23:00
