10,100,11,20,abs,add,all,and,ans,any,append,bin,break,count,def,elif,else,enumerate,exec,exit,find,for,from,gcd,if,import,in,index,int,join,key,lambda,len,list,map,math,max,min,no,not,open,or,ord,pop,range,re,replace,return,sep,set,sorted,split,str,strip,sum,sys,while,yes,yneos,zip
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324620665198269,0.0,0.0,0.39775816995822705,0.0,0.32263292062565535,0.0,0.24776901803711587,0.0,0.0,0.6139990131823375,0.0,0.0,0.3213845218346463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2923920753415914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45437651089299336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3555106601163564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5731078261643652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5819807354900142,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132980893142071,0.0,0.42522847653944,0.0,0.29912214809923315,0.12904935107619536,0.0,0.09910467577973932,0.0,0.0,0.0,0.0,0.0,0.0,0.7610113444858454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17606941682295885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2746062409422978,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4543489553363459,0.0,0.0,0.1358959616722466,0.0,0.4409162584406865,0.0,0.08465145790035743,0.0,0.0,0.0,0.0,0.0,0.10980254325355823,0.0,0.39121256551123756,0.4041528355141363,0.0,0.0,0.0,0.0,0.0,0.0,0.3007836453419128,0.0,0.0,0.0,0.3803060274463112,0.0,0.0,0.09989713666487993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368538189401993,0.0,0.0,0.44091970344386083,0.0,0.35764246325457105,0.0,0.13732746453325506,0.0,0.0,0.34031263623775615,0.0,0.35539656204829745,0.17812929910862826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24397604254196958,0.0,0.0,0.0,0.0,0.0,0.4041846449202351,0.16206006172354542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7102530991807608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25263208776124174,0.0,0.0,0.0,0.0,0.245163092353291,0.0,0.0,0.0,0.0,0.0,0.225303158659706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3551265495903804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3231695616050668,0.30049571779190404
0.0,0.0,0.0,0.0,0.0,0.0,0.32423074004210456,0.0,0.0,0.0,0.2741481185861206,0.0,0.0,0.0,0.0,0.0,0.16487070392833622,0.0,0.0,0.0,0.0,0.32346291315526127,0.0,0.0,0.3869915678886054,0.0,0.4185330995414118,0.0,0.08035411799291138,0.0,0.0,0.0,0.19231448833748446,0.0,0.10422840592897714,0.0,0.0,0.0,0.20795241052592559,0.0,0.0,0.0,0.0,0.0,0.28551433286112393,0.0,0.0,0.0,0.0,0.0,0.0,0.09482584831760897,0.0,0.3609997531147925,0.0,0.0,0.0,0.21117194932544892,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43829352127805526,0.0,0.0,0.0,0.0,0.0,0.0,0.40818125559654633,0.0,0.0,0.0,0.0,0.5854381388503477,0.0,0.06999839562271155,0.0,0.0,0.25123859122653885,0.0,0.06792891307952782,0.0,0.05216665446726533,0.0,0.0,0.0,0.0,0.13500467451460132,0.06766606831837142,0.0,0.12054281895711426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09267930455743394,0.0,0.0,0.41650677250335655,0.0,0.0,0.0,0.06156183886165497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665660052590042,0.15308411684270082,0.0,0.0,0.0,0.0,0.5005643130435895,0.0,0.0,0.11977519552038363,0.0,0.48576527231745675,0.0,0.14921922324011935,0.22232851545662843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2651029470401021,0.0,0.0,0.0,0.0,0.0,0.439184681415099,0.26414027897650344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9297468924491664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3681992884038726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
