36906093,Apr/03/2018 18:10,DatVu,798D - Mike and distribution,GNU C++14,Accepted,78 ms,4800 KB,2018-04-03 18:10:00
26608734,Apr/23/2017 18:44,Ehsan22,798D - Mike and distribution,GNU C++11,Accepted,873 ms,4400 KB,2017-04-23 18:44:00
29453037,Aug/14/2017 11:32,vjudge2,798D - Mike and distribution,GNU C++,Accepted,483 ms,3200 KB,2017-08-14 11:32:00
36339632,Mar/17/2018 05:07,ZJNU_5taiwei,798D - Mike and distribution,GNU C++14,Accepted,93 ms,4400 KB,2018-03-17 05:07:00
30652212,Sep/23/2017 22:25,AlexTheDagon,798D - Mike and distribution,GNU C++11,Accepted,483 ms,1600 KB,2017-09-23 22:25:00
30685488,Sep/24/2017 19:54,Therevengerking,798D - Mike and distribution,GNU C++11,Accepted,483 ms,1600 KB,2017-09-24 19:54:00
26574810,Apr/22/2017 07:58,iamz,798D - Mike and distribution,GNU C++,Accepted,62 ms,3000 KB,2017-04-22 07:58:00
26583957,Apr/22/2017 15:55,thai9cdb1,798D - Mike and distribution,GNU C++14,Accepted,405 ms,3100 KB,2017-04-22 15:55:00
26598064,Apr/23/2017 10:47,ZhihuiLiu,798D - Mike and distribution,GNU C++11,Accepted,608 ms,3600 KB,2017-04-23 10:47:00
61958404,Oct/06/2019 09:40,zyjun123,798D - Mike and distribution,GNU C++17,Accepted,77 ms,1200 KB,2019-10-06 09:40:00
26688572,Apr/26/2017 20:00,oipotato,798D - Mike and distribution,GNU C++,Accepted,62 ms,3400 KB,2017-04-26 20:00:00
29486916,Aug/15/2017 20:10,mbrc,798D - Mike and distribution,GNU C++,Accepted,155 ms,4000 KB,2017-08-15 20:10:00
61958143,Oct/06/2019 09:36,vjudge4,798D - Mike and distribution,GNU C++11,Accepted,62 ms,1200 KB,2019-10-06 09:36:00
26583506,Apr/22/2017 15:32,barsa492,798D - Mike and distribution,GNU C++11,Accepted,78 ms,3000 KB,2017-04-22 15:32:00
27426282,May/29/2017 11:59,vjudge1,798D - Mike and distribution,GNU C++,Accepted,592 ms,1200 KB,2017-05-29 11:59:00
33981691,Jan/07/2018 14:26,wzywzy,798D - Mike and distribution,GNU C++11,Accepted,78 ms,4400 KB,2018-01-07 14:26:00
33981810,Jan/07/2018 14:34,wzywzy,798D - Mike and distribution,GNU C++11,Accepted,452 ms,3600 KB,2018-01-07 14:34:00
29840474,Aug/28/2017 10:39,tcchung,798D - Mike and distribution,GNU C++14,Accepted,390 ms,3100 KB,2017-08-28 10:39:00
26591546,Apr/22/2017 23:47,aadishj02,798D - Mike and distribution,GNU C++14,Accepted,717 ms,4500 KB,2017-04-22 23:47:00
26631065,Apr/24/2017 04:04,shiyilang,798D - Mike and distribution,GNU C++14,Accepted,717 ms,4500 KB,2017-04-24 04:04:00
26599919,Apr/23/2017 12:19,NAIJI,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3200 KB,2017-04-23 12:19:00
27343643,May/25/2017 22:06,sharmaritvik60,798D - Mike and distribution,GNU C++14,Accepted,390 ms,1200 KB,2017-05-25 22:06:00
26690078,Apr/26/2017 22:01,solaimanope,798D - Mike and distribution,GNU C++14,Accepted,390 ms,3100 KB,2017-04-26 22:01:00
26696577,Apr/27/2017 08:53,xiang578,798D - Mike and distribution,GNU C++11,Accepted,514 ms,4000 KB,2017-04-27 08:53:00
33969805,Jan/06/2018 21:12,realcomplex,798D - Mike and distribution,GNU C++11,Accepted,499 ms,3700 KB,2018-01-06 21:12:00
72546686,Mar/06/2020 05:15,vjudge1,798D - Mike and distribution,GNU C++11,Accepted,451 ms,11700 KB,2020-03-06 05:15:00
26573240,Apr/22/2017 06:03,aya_elymany,798D - Mike and distribution,GNU C++11,Accepted,77 ms,3400 KB,2017-04-22 06:03:00
43507014,Sep/27/2018 22:57,racheriunicolae,798D - Mike and distribution,GNU C++11,Accepted,514 ms,9400 KB,2018-09-27 22:57:00
31861322,Oct/29/2017 12:08,oToToT,798D - Mike and distribution,GNU C++14,Accepted,78 ms,1600 KB,2017-10-29 12:08:00
26586390,Apr/22/2017 17:48,chrt,798D - Mike and distribution,GNU C++,Accepted,77 ms,3200 KB,2017-04-22 17:48:00
73861931,Mar/21/2020 10:28,CaiJiZXY,798D - Mike and distribution,GNU C++11,Accepted,451 ms,11800 KB,2020-03-21 10:28:00
26571360,Apr/22/2017 03:54,lzuqer,798D - Mike and distribution,GNU C++11,Accepted,545 ms,3600 KB,2017-04-22 03:54:00
26574063,Apr/22/2017 07:03,barriery,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3000 KB,2017-04-22 07:03:00
26658325,Apr/25/2017 13:51,15110506027,798D - Mike and distribution,GNU C++14,Accepted,77 ms,3100 KB,2017-04-25 13:51:00
26634634,Apr/24/2017 09:53,Ehsan22,798D - Mike and distribution,GNU C++11,Accepted,483 ms,3800 KB,2017-04-24 09:53:00
26802547,May/02/2017 15:51,vjudge3,798D - Mike and distribution,GNU C++,Accepted,62 ms,15800 KB,2017-05-02 15:51:00
26670853,Apr/25/2017 23:59,Volpe,798D - Mike and distribution,GNU C++14,Accepted,702 ms,3100 KB,2017-04-25 23:59:00
36339443,Mar/17/2018 04:52,ZJNU_5taiwei,798D - Mike and distribution,GNU C++14,Accepted,93 ms,4400 KB,2018-03-17 04:52:00
26578890,Apr/22/2017 11:43,FromATP,798D - Mike and distribution,GNU C++,Accepted,62 ms,3100 KB,2017-04-22 11:43:00
36339399,Mar/17/2018 04:48,ZJNU_5taiwei,798D - Mike and distribution,GNU C++14,Accepted,93 ms,4400 KB,2018-03-17 04:48:00
36339423,Mar/17/2018 04:50,ZJNU_5taiwei,798D - Mike and distribution,GNU C++14,Accepted,93 ms,4400 KB,2018-03-17 04:50:00
26581269,Apr/22/2017 13:45,God_Ra,798D - Mike and distribution,GNU C++11,Accepted,514 ms,3200 KB,2017-04-22 13:45:00
27209649,May/19/2017 10:31,Shizuo,798D - Mike and distribution,GNU C++14,Accepted,78 ms,1200 KB,2017-05-19 10:31:00
34062032,Jan/10/2018 07:58,kzvd4729,798D - Mike and distribution,GNU C++14,Accepted,436 ms,4200 KB,2018-01-10 07:58:00
70621661,Feb/09/2020 14:46,AC_AR,798D - Mike and distribution,GNU C++17,Accepted,1560 ms,2400 KB,2020-02-09 14:46:00
26578914,Apr/22/2017 11:44,Motarack,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3200 KB,2017-04-22 11:44:00
34335012,Jan/20/2018 05:00,vjudge2,798D - Mike and distribution,GNU C++,Accepted,62 ms,3600 KB,2018-01-20 05:00:00
29495816,Aug/16/2017 07:19,xmyqsh,798D - Mike and distribution,GNU C++11,Accepted,514 ms,3200 KB,2017-08-16 07:19:00
36236434,Mar/13/2018 02:17,vjudge2,798D - Mike and distribution,GNU C++,Accepted,62 ms,3200 KB,2018-03-13 02:17:00
26712069,Apr/28/2017 05:42,I_love_Y_UME,798D - Mike and distribution,GNU C++11,Accepted,77 ms,3000 KB,2017-04-28 05:42:00
29284440,Aug/08/2017 15:03,52416,798D - Mike and distribution,GNU C++14,Accepted,77 ms,18300 KB,2017-08-08 15:03:00
36228972,Mar/12/2018 18:49,vjudge2,798D - Mike and distribution,GNU C++,Accepted,62 ms,3300 KB,2018-03-12 18:49:00
59270362,Aug/22/2019 15:29,vjudge4,798D - Mike and distribution,GNU C++11,Accepted,62 ms,1200 KB,2019-08-22 15:29:00
26631138,Apr/24/2017 04:16,shiyilang,798D - Mike and distribution,GNU C++14,Accepted,93 ms,13600 KB,2017-04-24 04:16:00
49991825,Feb/16/2019 16:10,paulcristian,798D - Mike and distribution,GNU C++14,Accepted,389 ms,2400 KB,2019-02-16 16:10:00
27365582,May/27/2017 04:13,problem-solved,798D - Mike and distribution,GNU C++11,Accepted,77 ms,2600 KB,2017-05-27 04:13:00
79705776,May/11/2020 07:37,vjudge4,798D - Mike and distribution,GNU C++11,Accepted,140 ms,5800 KB,2020-05-11 07:37:00
27431934,May/29/2017 19:00,vjudge4,798D - Mike and distribution,GNU C++,Accepted,62 ms,1200 KB,2017-05-29 19:00:00
26568935,Apr/21/2017 23:55,r8b8,798D - Mike and distribution,GNU C++14,Accepted,78 ms,3600 KB,2017-04-21 23:55:00
26579486,Apr/22/2017 12:13,zyf2000,798D - Mike and distribution,GNU C++,Accepted,77 ms,3600 KB,2017-04-22 12:13:00
26670169,Apr/25/2017 22:56,ThanhSon_,798D - Mike and distribution,GNU C++14,Accepted,390 ms,3600 KB,2017-04-25 22:56:00
70622155,Feb/09/2020 14:56,AC_AR,798D - Mike and distribution,GNU C++17,Accepted,233 ms,1200 KB,2020-02-09 14:56:00
26592459,Apr/23/2017 01:57,Bassel,798D - Mike and distribution,GNU C++14,Accepted,78 ms,3100 KB,2017-04-23 01:57:00
26654423,Apr/25/2017 09:57,zigui,798D - Mike and distribution,GNU C++14,Accepted,62 ms,3600 KB,2017-04-25 09:57:00
70621964,Feb/09/2020 14:52,AC_AR,798D - Mike and distribution,GNU C++17,Accepted,1809 ms,1200 KB,2020-02-09 14:52:00
26584438,Apr/22/2017 16:18,szawinis,798D - Mike and distribution,GNU C++14,Accepted,78 ms,3000 KB,2017-04-22 16:18:00
26598117,Apr/23/2017 10:50,ZhihuiLiu,798D - Mike and distribution,GNU C++11,Accepted,155 ms,3600 KB,2017-04-23 10:50:00
52808225,Apr/16/2019 09:44,vjudge5,798D - Mike and distribution,GNU C++17,Accepted,78 ms,1200 KB,2019-04-16 09:44:00
59270416,Aug/22/2019 15:30,1223129310,798D - Mike and distribution,GNU C++11,Accepted,78 ms,1200 KB,2019-08-22 15:30:00
27532370,Jun/03/2017 01:24,quailty,798D - Mike and distribution,GNU C++11,Accepted,62 ms,1200 KB,2017-06-03 01:24:00
26676624,Apr/26/2017 09:13,chielo,798D - Mike and distribution,GNU C++14,Accepted,78 ms,3500 KB,2017-04-26 09:13:00
61907503,Oct/05/2019 13:04,vjudge3,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3100 KB,2019-10-05 13:04:00
26641529,Apr/24/2017 16:22,lawfung,798D - Mike and distribution,GNU C++11,Accepted,499 ms,4400 KB,2017-04-24 16:22:00
41929915,Aug/21/2018 12:32,shadandeajian,798D - Mike and distribution,GNU C++11,Accepted,546 ms,1200 KB,2018-08-21 12:32:00
26573683,Apr/22/2017 06:32,__stdcall,798D - Mike and distribution,GNU C++,Accepted,62 ms,3000 KB,2017-04-22 06:32:00
36339261,Mar/17/2018 04:37,ZJNU_5taiwei,798D - Mike and distribution,GNU C++14,Accepted,93 ms,4400 KB,2018-03-17 04:37:00
27265216,May/21/2017 13:57,dqhungdl,798D - Mike and distribution,GNU C++,Accepted,483 ms,1700 KB,2017-05-21 13:57:00
71676408,Feb/23/2020 13:28,vjudge5,798D - Mike and distribution,GNU C++17,Accepted,108 ms,3100 KB,2020-02-23 13:28:00
26767310,Apr/30/2017 15:19,_rqy#,798D - Mike and distribution,GNU C++,Accepted,62 ms,3000 KB,2017-04-30 15:19:00
26957566,May/08/2017 16:24,vjudge4,798D - Mike and distribution,MS C++,Accepted,62 ms,1300 KB,2017-05-08 16:24:00
41929855,Aug/21/2018 12:30,shadandeajian,798D - Mike and distribution,GNU C++11,Accepted,514 ms,1200 KB,2018-08-21 12:30:00
26585542,Apr/22/2017 17:09,y553546436,798D - Mike and distribution,GNU C++14,Accepted,78 ms,3200 KB,2017-04-22 17:09:00
28793201,Jul/23/2017 09:22,Star_dust,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3500 KB,2017-07-23 09:22:00
27606279,Jun/06/2017 09:13,BBuf,798D - Mike and distribution,GNU C++11,Accepted,62 ms,1200 KB,2017-06-06 09:13:00
29940831,Aug/31/2017 14:21,nanicode,798D - Mike and distribution,GNU C++11,Accepted,78 ms,2000 KB,2017-08-31 14:21:00
42741956,Sep/10/2018 19:49,Martin53,798D - Mike and distribution,GNU C++17,Accepted,93 ms,1400 KB,2018-09-10 19:49:00
42768726,Sep/11/2018 17:24,vjudge3,798D - Mike and distribution,GNU C++14,Accepted,421 ms,2400 KB,2018-09-11 17:24:00
44487981,Oct/18/2018 16:21,vjudge5,798D - Mike and distribution,GNU C++14,Accepted,78 ms,1700 KB,2018-10-18 16:21:00
26764677,Apr/30/2017 12:43,coding_weeb,798D - Mike and distribution,GNU C++14,Accepted,390 ms,3600 KB,2017-04-30 12:43:00
27606270,Jun/06/2017 09:12,BBuf,798D - Mike and distribution,GNU C++11,Accepted,62 ms,1200 KB,2017-06-06 09:12:00
26568973,Apr/21/2017 23:58,Trath,798D - Mike and distribution,GNU C++14,Accepted,780 ms,5500 KB,2017-04-21 23:58:00
36319289,Mar/16/2018 10:41,vjudge5,798D - Mike and distribution,GNU C++,Accepted,78 ms,5300 KB,2018-03-16 10:41:00
63106139,Oct/22/2019 07:52,luogu_bot5,798D - Mike and distribution,GNU C++11,Accepted,78 ms,1400 KB,2019-10-22 07:52:00
26556870,Apr/21/2017 18:45,Maplesss,798D - Mike and distribution,GNU C++,Accepted,78 ms,3200 KB,2017-04-21 18:45:00
26576541,Apr/22/2017 09:42,PhanTrinh,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3200 KB,2017-04-22 09:42:00
36213336,Mar/12/2018 04:50,vjudge1,798D - Mike and distribution,GNU C++,Accepted,62 ms,3200 KB,2018-03-12 04:50:00
64718456,Nov/12/2019 04:10,KevinWan,798D - Mike and distribution,GNU C++14,Accepted,93 ms,7800 KB,2019-11-12 04:10:00
26586408,Apr/22/2017 17:49,jl0x61,798D - Mike and distribution,GNU C++11,Accepted,77 ms,3700 KB,2017-04-22 17:49:00
26702287,Apr/27/2017 15:52,hhx,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3600 KB,2017-04-27 15:52:00
27426128,May/29/2017 11:50,vjudge2,798D - Mike and distribution,GNU C++,Accepted,62 ms,1000 KB,2017-05-29 11:50:00
26655143,Apr/25/2017 10:52,865143034,798D - Mike and distribution,GNU C++11,Accepted,468 ms,4000 KB,2017-04-25 10:52:00
27006472,May/11/2017 08:16,hj_d,798D - Mike and distribution,GNU C++,Accepted,62 ms,1100 KB,2017-05-11 08:16:00
40623524,Jul/22/2018 06:52,sdfzrlt,798D - Mike and distribution,GNU C++,Accepted,77 ms,1200 KB,2018-07-22 06:52:00
26575945,Apr/22/2017 09:10,PoomrokC,798D - Mike and distribution,GNU C++14,Accepted,468 ms,4200 KB,2017-04-22 09:10:00
26607041,Apr/23/2017 17:06,beach,798D - Mike and distribution,GNU C++14,Accepted,78 ms,3400 KB,2017-04-23 17:06:00
26997158,May/10/2017 16:32,Yeader,798D - Mike and distribution,GNU C++14,Accepted,78 ms,11800 KB,2017-05-10 16:32:00
27315498,May/24/2017 09:54,david89,798D - Mike and distribution,GNU C++11,Accepted,499 ms,1200 KB,2017-05-24 09:54:00
54261013,May/17/2019 04:39,vjudge2,798D - Mike and distribution,GNU C++11,Accepted,436 ms,1600 KB,2019-05-17 04:39:00
26569222,Apr/22/2017 00:15,Trath,798D - Mike and distribution,GNU C++14,Accepted,780 ms,5500 KB,2017-04-22 00:15:00
26571747,Apr/22/2017 04:25,gongy,798D - Mike and distribution,GNU C++11,Accepted,202 ms,4400 KB,2017-04-22 04:25:00
26572881,Apr/22/2017 05:39,kakjapan31,798D - Mike and distribution,GNU C++11,Accepted,78 ms,3200 KB,2017-04-22 05:39:00
