77880153,Apr/24/2020 08:53,Krithin7,777D - Cloud of Hashtags,PyPy 3,Accepted,685 ms,26100 KB,2020-04-24 08:53:00
25603922,Mar/18/2017 18:17,vjudge4,777D - Cloud of Hashtags,GNU C++,Accepted,1621 ms,15700 KB,2017-03-18 18:17:00
24987785,Feb/24/2017 19:02,ForgotToUpsolve,777D - Cloud of Hashtags,GNU C++14,Accepted,1232 ms,13600 KB,2017-02-24 19:02:00
25001959,Feb/25/2017 08:06,meidada,777D - Cloud of Hashtags,GNU C++,Accepted,1513 ms,15700 KB,2017-02-25 08:06:00
25010773,Feb/25/2017 14:27,mostafaheydar,777D - Cloud of Hashtags,GNU C++14,Accepted,1216 ms,15600 KB,2017-02-25 14:27:00
61848459,Oct/04/2019 15:01,Vishal_00_7,777D - Cloud of Hashtags,GNU C++14,Accepted,1730 ms,13700 KB,2019-10-04 15:01:00
76629658,Apr/13/2020 22:05,tuanio,777D - Cloud of Hashtags,GNU C++17 (64),Accepted,1466 ms,15600 KB,2020-04-13 22:05:00
25117907,Mar/01/2017 11:11,Hachikoo,777D - Cloud of Hashtags,GNU C++,Accepted,1528 ms,15700 KB,2017-03-01 11:11:00
27093801,May/13/2017 19:35,Gilmour,777D - Cloud of Hashtags,GNU C++14,Accepted,1201 ms,13700 KB,2017-05-13 19:35:00
25003343,Feb/25/2017 09:00,yudhik,777D - Cloud of Hashtags,GNU C++11,Accepted,1606 ms,15700 KB,2017-02-25 09:00:00
41649528,Aug/16/2018 13:56,vjudge2,777D - Cloud of Hashtags,GNU C++,Accepted,1606 ms,13700 KB,2018-08-16 13:56:00
51311341,Mar/14/2019 22:33,abhirock753,777D - Cloud of Hashtags,GNU C++14,Accepted,404 ms,25400 KB,2019-03-14 22:33:00
66810740,Dec/14/2019 05:09,vjudge1,777D - Cloud of Hashtags,GNU C++17,Accepted,1934 ms,13700 KB,2019-12-14 05:09:00
24970136,Feb/24/2017 14:02,* aasddf,777D - Cloud of Hashtags,Python 2,Accepted,1200 ms,29100 KB,2017-02-24 14:02:00
25420620,Mar/12/2017 02:13,janierss,777D - Cloud of Hashtags,Python 3,Accepted,1153 ms,27900 KB,2017-03-12 02:13:00
27330124,May/25/2017 08:58,vjudge2,777D - Cloud of Hashtags,GNU C++,Accepted,1528 ms,13700 KB,2017-05-25 08:58:00
25004277,Feb/25/2017 09:34,avinashgurjar,777D - Cloud of Hashtags,GNU C++11,Accepted,1575 ms,13700 KB,2017-02-25 09:34:00
30286220,Sep/12/2017 15:35,rwk_03,777D - Cloud of Hashtags,GNU C++11,Accepted,1481 ms,13700 KB,2017-09-12 15:35:00
41563053,Aug/13/2018 18:40,vjudge3,777D - Cloud of Hashtags,GNU C++,Accepted,1528 ms,13700 KB,2018-08-13 18:40:00
51148898,Mar/11/2019 09:15,BinGoo0o0o#,777D - Cloud of Hashtags,GNU C++17,Accepted,1747 ms,13700 KB,2019-03-11 09:15:00
40204584,Jul/11/2018 17:38,jayantjain,777D - Cloud of Hashtags,GNU C++14,Accepted,436 ms,13700 KB,2018-07-11 17:38:00
45489777,Nov/09/2018 21:33,huseyn12#,777D - Cloud of Hashtags,GNU C++17,Accepted,1809 ms,13700 KB,2018-11-09 21:33:00
66682101,Dec/12/2019 16:29,Carol_Luca,777D - Cloud of Hashtags,GNU C++14,Accepted,1434 ms,13000 KB,2019-12-12 16:29:00
25004792,Feb/25/2017 09:53,blackflag777,777D - Cloud of Hashtags,GNU C++11,Accepted,311 ms,15000 KB,2017-02-25 09:53:00
47279353,Dec/20/2018 01:03,kataki,777D - Cloud of Hashtags,GNU C++14,Accepted,405 ms,13700 KB,2018-12-20 01:03:00
73460433,Mar/17/2020 10:05,satanicO#,777D - Cloud of Hashtags,GNU C++17,Accepted,421 ms,13700 KB,2020-03-17 10:05:00
54363820,May/19/2019 02:32,Essam,777D - Cloud of Hashtags,GNU C++17,Accepted,1778 ms,25400 KB,2019-05-19 02:32:00
25001150,Feb/25/2017 07:24,qq123,777D - Cloud of Hashtags,GNU C++,Accepted,1528 ms,15700 KB,2017-02-25 07:24:00
24991029,Feb/24/2017 21:08,archon,777D - Cloud of Hashtags,GNU C++,Accepted,1122 ms,13800 KB,2017-02-24 21:08:00
54556000,May/24/2019 14:39,user909,777D - Cloud of Hashtags,Python 2,Accepted,1247 ms,12400 KB,2019-05-24 14:39:00
41649470,Aug/16/2018 13:54,zhanghuangying,777D - Cloud of Hashtags,GNU C++17,Accepted,1247 ms,13700 KB,2018-08-16 13:54:00
43586448,Sep/29/2018 23:24,neeleshsinha,777D - Cloud of Hashtags,GNU C++14,Accepted,1606 ms,23400 KB,2018-09-29 23:24:00
69424869,Jan/23/2020 18:29,_PerSik_,777D - Cloud of Hashtags,GNU C++17,Accepted,1778 ms,13600 KB,2020-01-23 18:29:00
25000706,Feb/25/2017 06:56,nir123,777D - Cloud of Hashtags,GNU C++14,Accepted,436 ms,15600 KB,2017-02-25 06:56:00
