25551104,Mar/16/2017 16:59,bluefi,425D - Sereja and Squares,GNU C++11,Accepted,1450 ms,10300 KB,2017-03-16 16:59:00
18991564,Jul/09/2016 23:52,bill_kondo,425D - Sereja and Squares,GNU C++11,Accepted,1466 ms,6300 KB,2016-07-09 23:52:00
35289820,Feb/15/2018 13:48,VIIIIIIVX,425D - Sereja and Squares,GNU C++11,Accepted,1871 ms,48600 KB,2018-02-15 13:48:00
9387442,Jan/08/2015 19:04,hkglly,425D - Sereja and Squares,GNU C++0x,Accepted,249 ms,6800 KB,2015-01-08 19:04:00
35289765,Feb/15/2018 13:45,VIIIIIIVX,425D - Sereja and Squares,GNU C++11,Accepted,1902 ms,48600 KB,2018-02-15 13:45:00
25664029,Mar/20/2017 14:18,Snow_Leopard,425D - Sereja and Squares,GNU C++14,Accepted,546 ms,4800 KB,2017-03-20 14:18:00
31853980,Oct/29/2017 05:18,parsaasaeii0016,425D - Sereja and Squares,GNU C++11,Accepted,592 ms,2700 KB,2017-10-29 05:18:00
6505374,Apr/29/2014 16:31,foreseeable,425D - Sereja and Squares,GNU C++,Accepted,561 ms,2900 KB,2014-04-29 16:31:00
11280169,May/26/2015 17:26,Athee,425D - Sereja and Squares,GNU C++,Accepted,561 ms,2800 KB,2015-05-26 17:26:00
35289923,Feb/15/2018 13:52,VIIIIIIVX,425D - Sereja and Squares,GNU C++11,Accepted,1793 ms,48600 KB,2018-02-15 13:52:00
17146245,Apr/03/2016 17:10,freebsdx,425D - Sereja and Squares,GNU C++11,Accepted,234 ms,7500 KB,2016-04-03 17:10:00
33922920,Jan/05/2018 16:45,Mohammadreza_mz,425D - Sereja and Squares,GNU C++11,Accepted,717 ms,41700 KB,2018-01-05 16:45:00
65105744,Nov/15/2019 22:13,code_cola,425D - Sereja and Squares,GNU C++11,Accepted,1201 ms,11800 KB,2019-11-15 22:13:00
6498786,Apr/28/2014 13:18,mayukuner,425D - Sereja and Squares,GNU C++0x,Accepted,171 ms,5600 KB,2014-04-28 13:18:00
6661808,May/20/2014 14:24,Cronologium,425D - Sereja and Squares,GNU C++,Accepted,1372 ms,22600 KB,2014-05-20 14:24:00
9380971,Jan/07/2015 19:56,singh,425D - Sereja and Squares,GNU C++,Accepted,265 ms,6400 KB,2015-01-07 19:56:00
10983869,May/03/2015 16:09,K_D_M,425D - Sereja and Squares,GNU C++11,Accepted,218 ms,6700 KB,2015-05-03 16:09:00
19897279,Aug/16/2016 02:56,SoiMae,425D - Sereja and Squares,GNU C++,Accepted,499 ms,4800 KB,2016-08-16 02:56:00
44320753,Oct/14/2018 17:06,vjudge5,425D - Sereja and Squares,GNU C++17,Accepted,967 ms,6400 KB,2018-10-14 17:06:00
75461013,Apr/04/2020 09:53,iShibly,425D - Sereja and Squares,GNU C++17,Accepted,1981 ms,7500 KB,2020-04-04 09:53:00
20171778,Aug/26/2016 12:14,IMAN_GH,425D - Sereja and Squares,GNU C++11,Accepted,795 ms,41000 KB,2016-08-26 12:14:00
6728907,May/28/2014 17:45,gagaga5-gagaga,425D - Sereja and Squares,GNU C++0x,Accepted,1466 ms,37200 KB,2014-05-28 17:45:00
6491473,Apr/27/2014 20:42,wclee2265,425D - Sereja and Squares,GNU C++0x,Accepted,1341 ms,24400 KB,2014-04-27 20:42:00
6728919,May/28/2014 17:48,gagaga5-gagaga,425D - Sereja and Squares,GNU C++0x,Accepted,1606 ms,37200 KB,2014-05-28 17:48:00
8631588,Nov/10/2014 17:02,vjudge1,425D - Sereja and Squares,GNU C++,Accepted,530 ms,2900 KB,2014-11-10 17:02:00
9701391,Feb/03/2015 16:22,vjudge4,425D - Sereja and Squares,GNU C++,Accepted,1341 ms,2700 KB,2015-02-03 16:22:00
19573028,Aug/02/2016 09:08,vjudge4,425D - Sereja and Squares,GNU C++,Accepted,1747 ms,8400 KB,2016-08-02 09:08:00
7576643,Aug/26/2014 06:47,vjudge3,425D - Sereja and Squares,GNU C++,Accepted,187 ms,5600 KB,2014-08-26 06:47:00
6499165,Apr/28/2014 14:31,Logsha,425D - Sereja and Squares,GNU C++,Accepted,1045 ms,4100 KB,2014-04-28 14:31:00
9387354,Jan/08/2015 18:50,hkglly,425D - Sereja and Squares,GNU C++0x,Accepted,733 ms,18600 KB,2015-01-08 18:50:00
28022118,Jun/25/2017 15:31,vjudge1,425D - Sereja and Squares,GNU C++,Accepted,202 ms,7800 KB,2017-06-25 15:31:00
35581257,Feb/22/2018 21:48,TadijaSebez,425D - Sereja and Squares,GNU C++14,Accepted,1684 ms,13700 KB,2018-02-22 21:48:00
17522346,Apr/26/2016 16:36,szszsz,425D - Sereja and Squares,GNU C++11,Accepted,514 ms,4800 KB,2016-04-26 16:36:00
28014595,Jun/25/2017 05:33,vjudge5,425D - Sereja and Squares,GNU C++,Accepted,140 ms,54600 KB,2017-06-25 05:33:00
33824951,Dec/31/2017 08:04,Amirshayan,425D - Sereja and Squares,GNU C++14,Accepted,1856 ms,9300 KB,2017-12-31 08:04:00
20601896,Sep/14/2016 03:01,wwyyxx,425D - Sereja and Squares,GNU C++11,Accepted,498 ms,2700 KB,2016-09-14 03:01:00
7576634,Aug/26/2014 06:46,zjbztianya,425D - Sereja and Squares,GNU C++,Accepted,171 ms,5700 KB,2014-08-26 06:46:00
32924752,Dec/04/2017 18:37,qtuan140101,425D - Sereja and Squares,GNU C++,Accepted,1014 ms,103000 KB,2017-12-04 18:37:00
6517008,May/01/2014 18:33,s17k,425D - Sereja and Squares,GNU C++,Accepted,577 ms,2900 KB,2014-05-01 18:33:00
6500207,Apr/28/2014 17:23,dzy493941464,425D - Sereja and Squares,GNU C++,Accepted,1326 ms,22700 KB,2014-04-28 17:23:00
44320721,Oct/14/2018 17:06,JacaJava,425D - Sereja and Squares,GNU C++17,Accepted,951 ms,6700 KB,2018-10-14 17:06:00
25490894,Mar/15/2017 09:22,joyfun,425D - Sereja and Squares,GNU C++14,Accepted,1668 ms,13800 KB,2017-03-15 09:22:00
28018199,Jun/25/2017 11:13,vjudge2,425D - Sereja and Squares,GNU C++,Accepted,1560 ms,13800 KB,2017-06-25 11:13:00
6495202,Apr/27/2014 22:22,Alien.kz,425D - Sereja and Squares,GNU C++,Accepted,1824 ms,21400 KB,2014-04-27 22:22:00
6498604,Apr/28/2014 12:39,stjepan,425D - Sereja and Squares,GNU C++0x,Accepted,733 ms,36500 KB,2014-04-28 12:39:00
25490896,Mar/15/2017 09:22,joyfun,425D - Sereja and Squares,GNU C++14,Accepted,545 ms,14200 KB,2017-03-15 09:22:00
6511604,Apr/30/2014 19:59,PitinHuylolalala,425D - Sereja and Squares,GNU C++,Accepted,1512 ms,23000 KB,2014-04-30 19:59:00
20174142,Aug/26/2016 14:50,ITDOI#,425D - Sereja and Squares,GNU C++11,Accepted,1606 ms,11900 KB,2016-08-26 14:50:00
55951501,Jun/23/2019 05:51,vjudge1,425D - Sereja and Squares,GNU C++11,Accepted,780 ms,12600 KB,2019-06-23 05:51:00
55951812,Jun/23/2019 06:14,vjudge3,425D - Sereja and Squares,GNU C++17,Accepted,249 ms,153100 KB,2019-06-23 06:14:00
6505142,Apr/29/2014 15:56,Omelianenko,425D - Sereja and Squares,GNU C++,Accepted,1419 ms,23000 KB,2014-04-29 15:56:00
28018120,Jun/25/2017 11:07,vjudge3,425D - Sereja and Squares,GNU C++,Accepted,1357 ms,21800 KB,2017-06-25 11:07:00
6559464,May/06/2014 03:40,alpq654321,425D - Sereja and Squares,GNU C++,Accepted,530 ms,3700 KB,2014-05-06 03:40:00
44828153,Oct/25/2018 10:14,DFPMTS,425D - Sereja and Squares,GNU C++11,Accepted,1715 ms,80600 KB,2018-10-25 10:14:00
6497406,Apr/28/2014 08:13,Sharifa,425D - Sereja and Squares,GNU C++,Accepted,779 ms,1600 KB,2014-04-28 08:13:00
6503548,Apr/29/2014 09:36,moji,425D - Sereja and Squares,GNU C++,Accepted,546 ms,6400 KB,2014-04-29 09:36:00
6928200,Jun/20/2014 18:18,qqz003,425D - Sereja and Squares,GNU C++,Accepted,171 ms,5600 KB,2014-06-20 18:18:00
6538482,May/03/2014 15:58,equation314,425D - Sereja and Squares,GNU C++,Accepted,1825 ms,6500 KB,2014-05-03 15:58:00
7112392,Jul/16/2014 04:52,yzyz,425D - Sereja and Squares,GNU C++,Accepted,1840 ms,11100 KB,2014-07-16 04:52:00
31919840,Oct/31/2017 14:50,pr3pony,425D - Sereja and Squares,GNU C++11,Accepted,561 ms,3100 KB,2017-10-31 14:50:00
41662836,Aug/16/2018 22:28,misael,425D - Sereja and Squares,GNU C++14,Accepted,358 ms,10600 KB,2018-08-16 22:28:00
6511678,Apr/30/2014 20:13,Omelianenko,425D - Sereja and Squares,GNU C++,Accepted,1325 ms,23000 KB,2014-04-30 20:13:00
7147924,Jul/18/2014 14:45,vjudge5,425D - Sereja and Squares,GNU C++,Accepted,514 ms,2900 KB,2014-07-18 14:45:00
25580523,Mar/17/2017 21:09,zadrga,425D - Sereja and Squares,GNU C++11,Accepted,702 ms,5600 KB,2017-03-17 21:09:00
33922903,Jan/05/2018 16:43,Mohammadreza_mz,425D - Sereja and Squares,GNU C++11,Accepted,608 ms,41800 KB,2018-01-05 16:43:00
6506231,Apr/29/2014 18:13,BogdanFlorea,425D - Sereja and Squares,GNU C++,Accepted,1294 ms,22700 KB,2014-04-29 18:13:00
6902225,Jun/17/2014 12:15,RNS,425D - Sereja and Squares,GNU C++,Accepted,1450 ms,12700 KB,2014-06-17 12:15:00
28015374,Jun/25/2017 06:59,vjudge5,425D - Sereja and Squares,GNU C++,Accepted,327 ms,176900 KB,2017-06-25 06:59:00
6497661,Apr/28/2014 09:15,niyuzheNO1,425D - Sereja and Squares,GNU C++,Accepted,842 ms,2600 KB,2014-04-28 09:15:00
28015366,Jun/25/2017 06:59,vjudge3,425D - Sereja and Squares,GNU C++,Accepted,343 ms,155100 KB,2017-06-25 06:59:00
6909717,Jun/19/2014 06:24,RNS,425D - Sereja and Squares,GNU C++,Accepted,265 ms,9300 KB,2014-06-19 06:24:00
26170298,Apr/06/2017 15:48,Kmcode,425D - Sereja and Squares,GNU C++11,Accepted,530 ms,14500 KB,2017-04-06 15:48:00
7147989,Jul/18/2014 14:52,vjudge1,425D - Sereja and Squares,GNU C++,Accepted,499 ms,2900 KB,2014-07-18 14:52:00
42600791,Sep/07/2018 07:34,mjhun,425D - Sereja and Squares,GNU C++14,Accepted,1825 ms,3700 KB,2018-09-07 07:34:00
7147993,Jul/18/2014 14:53,vjudge4,425D - Sereja and Squares,GNU C++,Accepted,514 ms,2900 KB,2014-07-18 14:53:00
6489744,Apr/27/2014 20:13,scipianus,425D - Sereja and Squares,GNU C++,Accepted,1279 ms,9600 KB,2014-04-27 20:13:00
6494640,Apr/27/2014 21:57,wangshufeng,425D - Sereja and Squares,GNU C++,Accepted,1747 ms,11900 KB,2014-04-27 21:57:00
6500212,Apr/28/2014 17:24,dzy493941464,425D - Sereja and Squares,GNU C++,Accepted,202 ms,5600 KB,2014-04-28 17:24:00
6909711,Jun/19/2014 06:23,RNS,425D - Sereja and Squares,GNU C++,Accepted,1419 ms,12700 KB,2014-06-19 06:23:00
54720087,May/27/2019 19:56,vjudge3,425D - Sereja and Squares,GNU C++14,Accepted,405 ms,8800 KB,2019-05-27 19:56:00
28059689,Jun/26/2017 17:33,vjudge2,425D - Sereja and Squares,GNU C++,Accepted,483 ms,7600 KB,2017-06-26 17:33:00
28765869,Jul/22/2017 03:59,mainstring,425D - Sereja and Squares,GNU C++,Accepted,218 ms,9900 KB,2017-07-22 03:59:00
28553331,Jul/14/2017 19:36,prakash14,425D - Sereja and Squares,GNU C++,Accepted,795 ms,8300 KB,2017-07-14 19:36:00
6570076,May/08/2014 06:36,diamondlx,425D - Sereja and Squares,GNU C++,Accepted,1793 ms,5700 KB,2014-05-08 06:36:00
20812535,Sep/22/2016 11:16,SmallBoy,425D - Sereja and Squares,GNU C++11,Accepted,1949 ms,86600 KB,2016-09-22 11:16:00
50660330,Mar/02/2019 01:27,ArshiaDadras,425D - Sereja and Squares,GNU C++17,Accepted,498 ms,4600 KB,2019-03-02 01:27:00
9126426,Dec/14/2014 12:12,vjudge2,425D - Sereja and Squares,GNU C++,Accepted,577 ms,2900 KB,2014-12-14 12:12:00
7123963,Jul/17/2014 16:44,vjudge1,425D - Sereja and Squares,GNU C++,Accepted,187 ms,5700 KB,2014-07-17 16:44:00
6561848,May/06/2014 15:21,hta,425D - Sereja and Squares,GNU C++,Accepted,202 ms,6400 KB,2014-05-06 15:21:00
34947603,Feb/05/2018 18:03,Vasiljko,425D - Sereja and Squares,GNU C++11,Accepted,1138 ms,20100 KB,2018-02-05 18:03:00
34948175,Feb/05/2018 18:28,Vasiljko,425D - Sereja and Squares,GNU C++11,Accepted,966 ms,20100 KB,2018-02-05 18:28:00
6974237,Jun/28/2014 13:07,halilozanakgul,425D - Sereja and Squares,GNU C++,Accepted,358 ms,5600 KB,2014-06-28 13:07:00
32007653,Nov/03/2017 15:52,Dannywang,425D - Sereja and Squares,GNU C++14,Accepted,405 ms,5700 KB,2017-11-03 15:52:00
29227903,Aug/06/2017 00:20,lukomskiy,425D - Sereja and Squares,GNU C++14,Accepted,1325 ms,20100 KB,2017-08-06 00:20:00
29493162,Aug/16/2017 02:11,keppo,425D - Sereja and Squares,GNU C++11,Accepted,1341 ms,20100 KB,2017-08-16 02:11:00
32069064,Nov/05/2017 09:23,Daikon,425D - Sereja and Squares,GNU C++11,Accepted,577 ms,6300 KB,2017-11-05 09:23:00
7504848,Aug/19/2014 03:27,Css,425D - Sereja and Squares,GNU C++,Accepted,1996 ms,11100 KB,2014-08-19 03:27:00
17342903,Apr/16/2016 19:15,vjudge3,425D - Sereja and Squares,GNU C++,Accepted,514 ms,2700 KB,2016-04-16 19:15:00
23277000,Dec/24/2016 20:51,tundra,425D - Sereja and Squares,GNU C++11,Accepted,483 ms,14200 KB,2016-12-24 20:51:00
10286298,Mar/15/2015 13:26,RomeoFantastik,425D - Sereja and Squares,GNU C++0x,Accepted,1466 ms,22500 KB,2015-03-15 13:26:00
10456937,Mar/26/2015 15:10,Alex7,425D - Sereja and Squares,MS C++,Accepted,1497 ms,23100 KB,2015-03-26 15:10:00
56003326,Jun/24/2019 17:08,vjudge4,425D - Sereja and Squares,GNU C++14,Accepted,1231 ms,58300 KB,2019-06-24 17:08:00
6522443,May/02/2014 17:53,HMAXS,425D - Sereja and Squares,GNU C++,Accepted,1248 ms,2900 KB,2014-05-02 17:53:00
6503853,Apr/29/2014 11:03,tankche1,425D - Sereja and Squares,GNU C++,Accepted,1918 ms,6900 KB,2014-04-29 11:03:00
54719948,May/27/2019 19:49,denis2111,425D - Sereja and Squares,GNU C++14,Accepted,405 ms,8800 KB,2019-05-27 19:49:00
49953023,Feb/15/2019 17:48,CowboyFromHell,425D - Sereja and Squares,GNU C++14,Accepted,1481 ms,32800 KB,2019-02-15 17:48:00
33597128,Dec/24/2017 19:08,m.r.m,425D - Sereja and Squares,GNU C++14,Accepted,1044 ms,15000 KB,2017-12-24 19:08:00
17342892,Apr/16/2016 19:14,chengjian,425D - Sereja and Squares,GNU C++11,Accepted,514 ms,2700 KB,2016-04-16 19:14:00
17700161,May/03/2016 18:34,anveshi,425D - Sereja and Squares,GNU C++11,Accepted,576 ms,20100 KB,2016-05-03 18:34:00
27216300,May/19/2017 17:19,IMyself,425D - Sereja and Squares,GNU C++14,Accepted,1388 ms,10100 KB,2017-05-19 17:19:00
64160015,Nov/03/2019 17:09,Sorting,425D - Sereja and Squares,GNU C++17,Accepted,1123 ms,312200 KB,2019-11-03 17:09:00
28653290,Jul/18/2017 05:59,vjudge5,425D - Sereja and Squares,GNU C++,Accepted,530 ms,4800 KB,2017-07-18 05:59:00
75749861,Apr/07/2020 16:43,.__.,425D - Sereja and Squares,GNU C++17,Accepted,577 ms,4200 KB,2020-04-07 16:43:00
6493886,Apr/27/2014 21:24,wangshufeng,425D - Sereja and Squares,GNU C++,Accepted,1918 ms,11900 KB,2014-04-27 21:24:00
6542045,May/04/2014 05:16,37ae912,425D - Sereja and Squares,GNU C++,Accepted,390 ms,6200 KB,2014-05-04 05:16:00
25494297,Mar/15/2017 12:37,yusufk,425D - Sereja and Squares,GNU C++,Accepted,577 ms,8300 KB,2017-03-15 12:37:00
6561900,May/06/2014 15:31,hta,425D - Sereja and Squares,GNU C++,Accepted,202 ms,6400 KB,2014-05-06 15:31:00
25581381,Mar/17/2017 21:39,NUOUN,425D - Sereja and Squares,GNU C++14,Accepted,1606 ms,16400 KB,2017-03-17 21:39:00
6495689,Apr/27/2014 23:23,BalloonphiliaR,425D - Sereja and Squares,MS C++,Accepted,280 ms,7500 KB,2014-04-27 23:23:00
18382315,Jun/12/2016 01:59,Marcil,425D - Sereja and Squares,GNU C++11,Accepted,358 ms,13400 KB,2016-06-12 01:59:00
6495359,Apr/27/2014 22:40,guille,425D - Sereja and Squares,GNU C++,Accepted,1824 ms,53600 KB,2014-04-27 22:40:00
19571198,Aug/02/2016 06:04,vjudge3,425D - Sereja and Squares,GNU C++,Accepted,1715 ms,5500 KB,2016-08-02 06:04:00
22875659,Dec/11/2016 13:56,ulna,425D - Sereja and Squares,GNU C++11,Accepted,1638 ms,7400 KB,2016-12-11 13:56:00
47853735,Jan/02/2019 22:37,BlueDiamond,425D - Sereja and Squares,GNU C++17,Accepted,1372 ms,8500 KB,2019-01-02 22:37:00
7122452,Jul/17/2014 13:13,vjudge4,425D - Sereja and Squares,GNU C++,Accepted,171 ms,5700 KB,2014-07-17 13:13:00
28653271,Jul/18/2017 05:58,Fugtemypt,425D - Sereja and Squares,GNU C++,Accepted,514 ms,4800 KB,2017-07-18 05:58:00
17131288,Apr/02/2016 16:56,liuzhijian,425D - Sereja and Squares,GNU C++,Accepted,1138 ms,4900 KB,2016-04-02 16:56:00
28477823,Jul/12/2017 18:11,harunsami,425D - Sereja and Squares,GNU C++,Accepted,577 ms,11500 KB,2017-07-12 18:11:00
60494142,Sep/13/2019 18:39,deyan,425D - Sereja and Squares,GNU C++17,Accepted,1777 ms,9000 KB,2019-09-13 18:39:00
6500165,Apr/28/2014 17:18,dzy493941464,425D - Sereja and Squares,GNU C++,Accepted,1341 ms,22700 KB,2014-04-28 17:18:00
9703931,Feb/03/2015 19:41,vjudge3,425D - Sereja and Squares,GNU C++,Accepted,1279 ms,2800 KB,2015-02-03 19:41:00
35320098,Feb/15/2018 23:12,asdfghjl,425D - Sereja and Squares,GNU C++14,Accepted,1482 ms,146700 KB,2018-02-15 23:12:00
