2895114,Jan/09/2013 08:35,Wizmann,260D - Black and White Tree,Python 2,Accepted,811 ms,19600 KB,2013-01-09 08:35:00
14314080,Nov/17/2015 17:25,huanghongxun,260D - Black and White Tree,GNU C++,Accepted,77 ms,1600 KB,2015-11-17 17:25:00
28812735,Jul/24/2017 06:15,vjudge2,260D - Black and White Tree,GNU C++,Accepted,93 ms,12200 KB,2017-07-24 06:15:00
40099584,Jul/09/2018 06:34,jack234232,260D - Black and White Tree,GNU C++,Accepted,78 ms,1600 KB,2018-07-09 06:34:00
2846216,Dec/28/2012 04:41,yakitori,260D - Black and White Tree,GNU C++,Accepted,125 ms,1100 KB,2012-12-28 04:41:00
3400276,Mar/24/2013 17:13,Scorpy,260D - Black and White Tree,MS C++,Accepted,140 ms,1200 KB,2013-03-24 17:13:00
2843476,Dec/27/2012 21:26,* squarefk,260D - Black and White Tree,GNU C++,Accepted,156 ms,2000 KB,2012-12-27 21:26:00
28815187,Jul/24/2017 08:41,vjudge4,260D - Black and White Tree,GNU C++,Accepted,93 ms,3600 KB,2017-07-24 08:41:00
30665513,Sep/24/2017 15:19,1992.wuyou,260D - Black and White Tree,GNU C++14,Accepted,405 ms,2000 KB,2017-09-24 15:19:00
2844616,Dec/27/2012 22:03,ainta,260D - Black and White Tree,GNU C++,Accepted,140 ms,1100 KB,2012-12-27 22:03:00
28686614,Jul/19/2017 09:31,2016339910033,260D - Black and White Tree,GNU C++11,Accepted,93 ms,3600 KB,2017-07-19 09:31:00
28814573,Jul/24/2017 08:06,vjudge4,260D - Black and White Tree,GNU C++,Accepted,78 ms,4100 KB,2017-07-24 08:06:00
2845485,Dec/27/2012 23:19,serega.belarus,260D - Black and White Tree,GNU C++,Accepted,125 ms,1500 KB,2012-12-27 23:19:00
28686863,Jul/19/2017 09:40,2016339910033,260D - Black and White Tree,GNU C++11,Accepted,343 ms,3600 KB,2017-07-19 09:40:00
2858319,Dec/30/2012 19:26,kymo,260D - Black and White Tree,Python 2,Accepted,795 ms,4700 KB,2012-12-30 19:26:00
2885551,Jan/08/2013 19:18,semicolon29,260D - Black and White Tree,GNU C++,Accepted,359 ms,2100 KB,2013-01-08 19:18:00
15095809,Dec/30/2015 14:07,ITDOI,260D - Black and White Tree,GNU C++11,Accepted,467 ms,5500 KB,2015-12-30 14:07:00
2845208,Dec/27/2012 22:39,tjsuwd,260D - Black and White Tree,GNU C++,Accepted,156 ms,2000 KB,2012-12-27 22:39:00
2869636,Jan/03/2013 18:32,noh4h_ss,260D - Black and White Tree,GNU C++,Accepted,125 ms,1400 KB,2013-01-03 18:32:00
15127778,Dec/30/2015 22:04,HannaYz,260D - Black and White Tree,GNU C++11,Accepted,78 ms,1400 KB,2015-12-30 22:04:00
28811668,Jul/24/2017 05:22,vjudge1,260D - Black and White Tree,GNU C++,Accepted,93 ms,3600 KB,2017-07-24 05:22:00
47953541,Jan/05/2019 06:59,vjudge4,260D - Black and White Tree,GNU C++14,Accepted,78 ms,2000 KB,2019-01-05 06:59:00
16912125,Mar/24/2016 22:19,hsnprsd,260D - Black and White Tree,GNU C++11,Accepted,483 ms,5200 KB,2016-03-24 22:19:00
28814560,Jul/24/2017 08:05,functionendless,260D - Black and White Tree,GNU C++,Accepted,78 ms,4100 KB,2017-07-24 08:05:00
2961862,Jan/20/2013 10:02,vapour18,260D - Black and White Tree,GNU C++,Accepted,328 ms,1600 KB,2013-01-20 10:02:00
16943174,Mar/26/2016 06:36,yarak,260D - Black and White Tree,GNU C++11,Accepted,670 ms,5200 KB,2016-03-26 06:36:00
24624764,Feb/13/2017 12:15,Cr0wley,260D - Black and White Tree,GNU C++14,Accepted,296 ms,5200 KB,2017-02-13 12:15:00
28687764,Jul/19/2017 10:10,vjudge4,260D - Black and White Tree,GNU C++,Accepted,78 ms,3900 KB,2017-07-19 10:10:00
47953282,Jan/05/2019 06:40,vjudge1,260D - Black and White Tree,GNU C++14,Accepted,93 ms,1800 KB,2019-01-05 06:40:00
26786936,May/01/2017 17:08,Joker1010123,260D - Black and White Tree,GNU C++11,Accepted,265 ms,3800 KB,2017-05-01 17:08:00
3875903,Jun/12/2013 21:52,moji,260D - Black and White Tree,GNU C++,Accepted,140 ms,2000 KB,2013-06-12 21:52:00
2858794,Dec/30/2012 21:14,vlg,260D - Black and White Tree,Python 2,Accepted,968 ms,12700 KB,2012-12-30 21:14:00
2911574,Jan/13/2013 19:16,Jzxc,260D - Black and White Tree,GNU C++,Accepted,265 ms,1200 KB,2013-01-13 19:16:00
3080160,Feb/07/2013 13:34,Quexint,260D - Black and White Tree,GNU C++,Accepted,125 ms,2300 KB,2013-02-07 13:34:00
2844946,Dec/27/2012 22:19,doraemon,260D - Black and White Tree,GNU C++,Accepted,265 ms,2000 KB,2012-12-27 22:19:00
3413100,Mar/27/2013 22:15,Slayer_,260D - Black and White Tree,GNU C++,Accepted,125 ms,1400 KB,2013-03-27 22:15:00
3257248,Mar/06/2013 09:50,UESTC_ElemeNtLz,260D - Black and White Tree,GNU C++,Accepted,125 ms,1400 KB,2013-03-06 09:50:00
28817165,Jul/24/2017 10:09,tkandi,260D - Black and White Tree,GNU C++,Accepted,78 ms,3600 KB,2017-07-24 10:09:00
28810991,Jul/24/2017 04:46,vjudge4,260D - Black and White Tree,GNU C++,Accepted,93 ms,3600 KB,2017-07-24 04:46:00
45591526,Nov/12/2018 15:47,vjudge4,260D - Black and White Tree,MS C++,Accepted,93 ms,1600 KB,2018-11-12 15:47:00
2863642,Jan/01/2013 17:27,WAmaker,260D - Black and White Tree,GNU C++,Accepted,328 ms,2100 KB,2013-01-01 17:27:00
3150148,Feb/20/2013 15:26,3_pehr,260D - Black and White Tree,GNU C++,Accepted,328 ms,1800 KB,2013-02-20 15:26:00
28817134,Jul/24/2017 10:08,vjudge5,260D - Black and White Tree,GNU C++,Accepted,93 ms,3600 KB,2017-07-24 10:08:00
28710762,Jul/20/2017 07:16,vjudge4,260D - Black and White Tree,GNU C++,Accepted,93 ms,3600 KB,2017-07-20 07:16:00
28875449,Jul/25/2017 15:19,vjudge1,260D - Black and White Tree,GNU C++,Accepted,78 ms,3600 KB,2017-07-25 15:19:00
45593100,Nov/12/2018 16:43,vjudge4,260D - Black and White Tree,GNU C++11,Accepted,78 ms,1400 KB,2018-11-12 16:43:00
40684631,Jul/24/2018 03:54,vjudge4,260D - Black and White Tree,GNU C++,Accepted,358 ms,2000 KB,2018-07-24 03:54:00
2961942,Jan/20/2013 10:31,vapour18,260D - Black and White Tree,GNU C++,Accepted,125 ms,1600 KB,2013-01-20 10:31:00
2850911,Dec/29/2012 04:12,mohit_dtu,260D - Black and White Tree,Python 2,Accepted,687 ms,9500 KB,2012-12-29 04:12:00
2844511,Dec/27/2012 22:00,Smit,260D - Black and White Tree,GNU C++,Accepted,203 ms,3200 KB,2012-12-27 22:00:00
3326013,Mar/16/2013 17:37,VujaJoker,260D - Black and White Tree,GNU C++,Accepted,421 ms,3200 KB,2013-03-16 17:37:00
33372463,Dec/18/2017 11:25,__C__,260D - Black and White Tree,GNU C++14,Accepted,109 ms,3700 KB,2017-12-18 11:25:00
3612635,Apr/23/2013 21:06,PeHash,260D - Black and White Tree,GNU C++,Accepted,484 ms,3200 KB,2013-04-23 21:06:00
18588052,Jun/19/2016 01:58,Arunnsit,260D - Black and White Tree,GNU C++11,Accepted,124 ms,3200 KB,2016-06-19 01:58:00
62970404,Oct/20/2019 09:42,vjudge1,260D - Black and White Tree,GNU C++11,Accepted,78 ms,1400 KB,2019-10-20 09:42:00
5700139,Jan/16/2014 05:58,vjudge5,260D - Black and White Tree,GNU C++,Accepted,78 ms,1500 KB,2014-01-16 05:58:00
27519438,Jun/02/2017 12:00,cr0n,260D - Black and White Tree,GNU C++14,Accepted,109 ms,2900 KB,2017-06-02 12:00:00
2847242,Dec/28/2012 10:15,tooweak#,260D - Black and White Tree,GNU C++,Accepted,671 ms,1600 KB,2012-12-28 10:15:00
24542652,Feb/09/2017 09:37,zyyyyyy,260D - Black and White Tree,GNU C++11,Accepted,93 ms,3900 KB,2017-02-09 09:37:00
28810423,Jul/24/2017 04:11,vjudge2,260D - Black and White Tree,GNU C++,Accepted,467 ms,3600 KB,2017-07-24 04:11:00
40153315,Jul/10/2018 03:17,vjudge4,260D - Black and White Tree,GNU C++17,Accepted,93 ms,1600 KB,2018-07-10 03:17:00
45382074,Nov/06/2018 18:23,U_U,260D - Black and White Tree,GNU C++14,Accepted,139 ms,3300 KB,2018-11-06 18:23:00
40108865,Jul/09/2018 13:19,vjudge2,260D - Black and White Tree,GNU C++,Accepted,93 ms,1900 KB,2018-07-09 13:19:00
2858828,Dec/30/2012 21:24,yoones.rezaei,260D - Black and White Tree,GNU C++,Accepted,640 ms,2000 KB,2012-12-30 21:24:00
12812871,Sep/02/2015 12:14,dhuacm5,260D - Black and White Tree,GNU C++,Accepted,78 ms,900 KB,2015-09-02 12:14:00
2851035,Dec/29/2012 07:08,txhwind,260D - Black and White Tree,GNU C++,Accepted,125 ms,2300 KB,2012-12-29 07:08:00
2846007,Dec/28/2012 02:38,gma89,260D - Black and White Tree,GNU C++,Accepted,125 ms,3100 KB,2012-12-28 02:38:00
2858515,Dec/30/2012 20:10,Gzs_iceberg,260D - Black and White Tree,Python 2,Accepted,843 ms,9500 KB,2012-12-30 20:10:00
2855360,Dec/30/2012 06:01,roosephu,260D - Black and White Tree,Haskell,Accepted,265 ms,2500 KB,2012-12-30 06:01:00
3652647,Apr/30/2013 06:39,vjudge1,260D - Black and White Tree,GNU C++,Accepted,125 ms,800 KB,2013-04-30 06:39:00
28813194,Jul/24/2017 06:39,vjudge4,260D - Black and White Tree,GNU C++,Accepted,78 ms,3900 KB,2017-07-24 06:39:00
24481177,Feb/07/2017 07:56,ManiSadati,260D - Black and White Tree,GNU C++11,Accepted,343 ms,7600 KB,2017-02-07 07:56:00
28812677,Jul/24/2017 06:12,vjudge1,260D - Black and White Tree,GNU C++,Accepted,108 ms,3400 KB,2017-07-24 06:12:00
28813424,Jul/24/2017 06:54,vjudge1,260D - Black and White Tree,GNU C++,Accepted,78 ms,3900 KB,2017-07-24 06:54:00
28814377,Jul/24/2017 07:56,vjudge5,260D - Black and White Tree,GNU C++,Accepted,78 ms,3900 KB,2017-07-24 07:56:00
2850590,Dec/28/2012 23:58,asadthehell,260D - Black and White Tree,GNU C++,Accepted,625 ms,2000 KB,2012-12-28 23:58:00
17129747,Apr/02/2016 15:14,freebsdx,260D - Black and White Tree,GNU C++11,Accepted,93 ms,2600 KB,2016-04-02 15:14:00
40686299,Jul/24/2018 05:23,luogu_bot4,260D - Black and White Tree,GNU C++,Accepted,358 ms,2000 KB,2018-07-24 05:23:00
51466733,Mar/19/2019 05:24,RobeZH,260D - Black and White Tree,GNU C++14,Accepted,499 ms,4500 KB,2019-03-19 05:24:00
7335837,Aug/03/2014 11:48,sdad120,260D - Black and White Tree,GNU C++,Accepted,78 ms,1400 KB,2014-08-03 11:48:00
3652649,Apr/30/2013 06:40,AntiForest,260D - Black and White Tree,GNU C++,Accepted,140 ms,800 KB,2013-04-30 06:40:00
17014823,Mar/29/2016 09:36,fengsuiyan,260D - Black and White Tree,GNU C++11,Accepted,124 ms,6000 KB,2016-03-29 09:36:00
40153304,Jul/10/2018 03:16,zhongzero,260D - Black and White Tree,GNU C++14,Accepted,93 ms,1600 KB,2018-07-10 03:16:00
3422761,Mar/30/2013 16:04,LXLWDGY,260D - Black and White Tree,GNU C++,Accepted,140 ms,800 KB,2013-03-30 16:04:00
47505468,Dec/26/2018 01:35,ljl,260D - Black and White Tree,GNU C++11,Accepted,78 ms,1400 KB,2018-12-26 01:35:00
40109053,Jul/09/2018 13:28,jack234232,260D - Black and White Tree,GNU C++,Accepted,93 ms,1900 KB,2018-07-09 13:28:00
2847532,Dec/28/2012 11:22,Crayon,260D - Black and White Tree,GNU C++,Accepted,140 ms,2100 KB,2012-12-28 11:22:00
12009152,Jul/11/2015 16:47,DanAlex#,260D - Black and White Tree,GNU C++11,Accepted,296 ms,2000 KB,2015-07-11 16:47:00
2856621,Dec/30/2012 15:10,error202,260D - Black and White Tree,GNU C++,Accepted,140 ms,1600 KB,2012-12-30 15:10:00
9923454,Feb/19/2015 11:33,stefanzzz,260D - Black and White Tree,GNU C++0x,Accepted,78 ms,1900 KB,2015-02-19 11:33:00
28811584,Jul/24/2017 05:16,vjudge1,260D - Black and White Tree,GNU C++,Accepted,93 ms,13400 KB,2017-07-24 05:16:00
3845426,Jun/08/2013 09:36,pause,260D - Black and White Tree,GNU C++,Accepted,140 ms,1600 KB,2013-06-08 09:36:00
5700051,Jan/16/2014 05:29,vjudge5,260D - Black and White Tree,GNU C++,Accepted,78 ms,1500 KB,2014-01-16 05:29:00
34415250,Jan/21/2018 16:26,lgkm39,260D - Black and White Tree,GNU C++11,Accepted,78 ms,3800 KB,2018-01-21 16:26:00
2849850,Dec/28/2012 20:05,LongTimeNoThin,260D - Black and White Tree,GNU C++,Accepted,140 ms,2000 KB,2012-12-28 20:05:00
3966686,Jun/27/2013 13:51,qwdqkh1,260D - Black and White Tree,GNU C++,Accepted,375 ms,2500 KB,2013-06-27 13:51:00
3400516,Mar/24/2013 18:05,gedemenli,260D - Black and White Tree,GNU C++,Accepted,156 ms,2100 KB,2013-03-24 18:05:00
2869579,Jan/03/2013 18:14,Master_Prog,260D - Black and White Tree,GNU C++,Accepted,140 ms,2300 KB,2013-01-03 18:14:00
3149867,Feb/20/2013 13:45,Alex.lap,260D - Black and White Tree,GNU C++,Accepted,343 ms,3300 KB,2013-02-20 13:45:00
45589244,Nov/12/2018 14:17,vjudge4,260D - Black and White Tree,GNU C++14,Accepted,93 ms,2000 KB,2018-11-12 14:17:00
2858466,Dec/30/2012 20:00,rockytheprogrammer,260D - Black and White Tree,GNU C++,Accepted,156 ms,2000 KB,2012-12-30 20:00:00
12576004,Aug/17/2015 16:42,Altria-PenDragon,260D - Black and White Tree,GNU C++,Accepted,78 ms,1900 KB,2015-08-17 16:42:00
40159418,Jul/10/2018 09:12,vjudge4,260D - Black and White Tree,GNU C++,Accepted,124 ms,1900 KB,2018-07-10 09:12:00
28814625,Jul/24/2017 08:10,vjudge1,260D - Black and White Tree,GNU C++,Accepted,93 ms,5900 KB,2017-07-24 08:10:00
5079857,Nov/13/2013 00:30,AloneWolf,260D - Black and White Tree,GNU C++,Accepted,78 ms,2000 KB,2013-11-13 00:30:00
40404689,Jul/16/2018 12:10,arbitrary_A,260D - Black and White Tree,GNU C++17,Accepted,140 ms,3300 KB,2018-07-16 12:10:00
28687779,Jul/19/2017 10:10,vjudge2,260D - Black and White Tree,GNU C++,Accepted,78 ms,3600 KB,2017-07-19 10:10:00
