68225866,Jan/05/2020 10:07,ayush_ar0204,118D - Caesar's Legions,GNU C++17,Accepted,60 ms,100 KB,2020-01-05 10:07:00
12725811,Aug/28/2015 03:34,0xA28,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,4800 KB,2015-08-28 03:34:00
30938220,Oct/02/2017 12:09,try_n_catch,118D - Caesar's Legions,GNU C++14,Accepted,60 ms,4800 KB,2017-10-02 12:09:00
70676633,Feb/09/2020 18:58,vjudge3,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,100 KB,2020-02-09 18:58:00
42837005,Sep/13/2018 19:13,sourav54,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,100 KB,2018-09-13 19:13:00
20215826,Aug/28/2016 20:09,mit312,118D - Caesar's Legions,GNU C++11,Accepted,60 ms,9700 KB,2016-08-28 20:09:00
20355117,Sep/03/2016 10:31,mit312,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,10500 KB,2016-09-03 10:31:00
22501736,Nov/26/2016 09:05,ayejayys,118D - Caesar's Legions,Python 3,Accepted,746 ms,15100 KB,2016-11-26 09:05:00
43929515,Oct/07/2018 09:42,gauss14,118D - Caesar's Legions,GNU C++14,Accepted,60 ms,7000 KB,2018-10-07 09:42:00
46035801,Nov/21/2018 19:17,jaaguptamme,118D - Caesar's Legions,GNU C++11,Accepted,92 ms,17600 KB,2018-11-21 19:17:00
15740300,Feb/02/2016 00:47,EL-sammany,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,100 KB,2016-02-02 00:47:00
42156833,Aug/27/2018 18:18,Mk_Python_v1,118D - Caesar's Legions,Python 3,Accepted,528 ms,1400 KB,2018-08-27 18:18:00
13904753,Oct/27/2015 22:54,vjudge1,118D - Caesar's Legions,GNU C++,Accepted,30 ms,4800 KB,2015-10-27 22:54:00
26471095,Apr/18/2017 10:52,Communism,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,2000 KB,2017-04-18 10:52:00
75945492,Apr/09/2020 06:05,Logic,118D - Caesar's Legions,PyPy 3,Accepted,748 ms,27000 KB,2020-04-09 06:05:00
1153538,Feb/06/2012 18:08,Furko,118D - Caesar's Legions,FPC,Accepted,30 ms,2000 KB,2012-02-06 18:08:00
13114114,Sep/20/2015 15:23,h.nejat,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,4800 KB,2015-09-20 15:23:00
16280418,Feb/22/2016 19:32,SWAMPYY,118D - Caesar's Legions,GNU C++,Accepted,30 ms,100 KB,2016-02-22 19:32:00
26809679,May/03/2017 00:37,RMSZ005,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,12700 KB,2017-05-03 00:37:00
749302,Oct/08/2011 04:46,prosho,118D - Caesar's Legions,Python 2,Accepted,420 ms,16300 KB,2011-10-08 04:46:00
3816910,Jun/03/2013 00:03,Hasan0540,118D - Caesar's Legions,GNU C++,Accepted,15 ms,6000 KB,2013-06-03 00:03:00
10413023,Mar/23/2015 20:35,pulkit_180894,118D - Caesar's Legions,GNU C++,Accepted,30 ms,5900 KB,2015-03-23 20:35:00
12920246,Sep/10/2015 11:47,HSD,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,4700 KB,2015-09-10 11:47:00
14579637,Dec/01/2015 07:40,shubhamgoyal__,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,4800 KB,2015-12-01 07:40:00
15690556,Jan/31/2016 10:29,NWO,118D - Caesar's Legions,GNU C++,Accepted,62 ms,4600 KB,2016-01-31 10:29:00
32065802,Nov/05/2017 03:45,KagamiharaNadeshiko,118D - Caesar's Legions,FPC,Accepted,30 ms,300 KB,2017-11-05 03:45:00
32355405,Nov/16/2017 15:51,AsahiKasugano,118D - Caesar's Legions,FPC,Accepted,30 ms,300 KB,2017-11-16 15:51:00
46397630,Nov/30/2018 13:28,sinewa18,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,7800 KB,2018-11-30 13:28:00
79033135,May/05/2020 10:31,thnkdiff,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,4800 KB,2020-05-05 10:31:00
21416159,Oct/14/2016 08:26,Amirshayan,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,2000 KB,2016-10-14 08:26:00
