48675996,Jan/21/2019 14:31,vjudge1,675D - Дерево,GNU C++17,Accepted,124 ms,7100 KB,2019-01-21 14:31:00
18071253,May/25/2016 15:36,wirequick1,675D - Дерево,GNU C++11,Accepted,623 ms,8300 KB,2016-05-25 15:36:00
18716467,Jun/25/2016 12:10,xy961218,675D - Дерево,GNU C++11,Accepted,124 ms,5300 KB,2016-06-25 12:10:00
19143511,Jul/15/2016 08:39,crosscheese,675D - Дерево,GNU C++11,Accepted,202 ms,6300 KB,2016-07-15 08:39:00
18144216,May/29/2016 13:01,SupervisorMayHap,675D - Дерево,GNU C++,Accepted,93 ms,6400 KB,2016-05-29 13:01:00
18652153,Jun/22/2016 22:39,bhardwaj_rahul,675D - Дерево,GNU C++11,Accepted,670 ms,7100 KB,2016-06-22 22:39:00
17959044,May/17/2016 05:29,johannesk,675D - Дерево,GNU C++11,Accepted,186 ms,5300 KB,2016-05-17 05:29:00
17974758,May/18/2016 07:24,N00NE,675D - Дерево,GNU C++11,Accepted,155 ms,8500 KB,2016-05-18 07:24:00
29243463,Aug/06/2017 17:26,vjudge3,675D - Дерево,GNU C++14,Accepted,140 ms,11500 KB,2017-08-06 17:26:00
17974772,May/18/2016 07:26,IcyGirl,675D - Дерево,GNU C++,Accepted,93 ms,6400 KB,2016-05-18 07:26:00
18052250,May/24/2016 10:48,fuzhongqing1995,675D - Дерево,GNU C++11,Accepted,436 ms,5300 KB,2016-05-24 10:48:00
18236179,Jun/03/2016 22:02,tamionv,675D - Дерево,GNU C++11,Accepted,373 ms,5700 KB,2016-06-03 22:02:00
30578867,Sep/21/2017 16:21,JustAni,675D - Дерево,GNU C++14,Accepted,467 ms,6500 KB,2017-09-21 16:21:00
30800560,Sep/28/2017 12:48,xc01,675D - Дерево,GNU C++11,Accepted,109 ms,6300 KB,2017-09-28 12:48:00
18181744,Jun/01/2016 15:07,BoJack_Horseman,675D - Дерево,GNU C++11,Accepted,764 ms,8300 KB,2016-06-01 15:07:00
18009295,May/20/2016 21:13,IPJ,675D - Дерево,GNU C++11,Accepted,93 ms,5300 KB,2016-05-20 21:13:00
18061423,May/24/2016 19:30,anjali_manocha,675D - Дерево,GNU C++11,Accepted,701 ms,9200 KB,2016-05-24 19:30:00
21619335,Oct/20/2016 16:46,Flowersea,675D - Дерево,GNU C++14,Accepted,623 ms,7300 KB,2016-10-20 16:46:00
24870510,Feb/21/2017 15:10,Shiina,675D - Дерево,GNU C++14,Accepted,623 ms,9200 KB,2017-02-21 15:10:00
18067465,May/25/2016 10:30,servesh196,675D - Дерево,GNU C++11,Accepted,810 ms,8500 KB,2016-05-25 10:30:00
18229360,Jun/03/2016 12:57,Vasiliy_48,675D - Дерево,GNU C++11,Accepted,748 ms,8500 KB,2016-06-03 12:57:00
17993044,May/19/2016 17:56,Unchang_star,675D - Дерево,GNU C++11,Accepted,140 ms,8300 KB,2016-05-19 17:56:00
17957101,May/17/2016 00:06,pedolove420,675D - Дерево,GNU C++11,Accepted,93 ms,5300 KB,2016-05-17 00:06:00
18899402,Jul/05/2016 14:58,mahe_pj,675D - Дерево,GNU C++,Accepted,685 ms,6300 KB,2016-07-05 14:58:00
38814255,Jun/01/2018 00:55,google-30,675D - Дерево,GNU C++17,Accepted,514 ms,9700 KB,2018-06-01 00:55:00
18011835,May/21/2016 03:06,JoseAcv2,675D - Дерево,GNU C++,Accepted,124 ms,8700 KB,2016-05-21 03:06:00
17968943,May/17/2016 17:56,201530800126,675D - Дерево,GNU C++,Accepted,654 ms,8300 KB,2016-05-17 17:56:00
18169080,May/31/2016 16:16,awaking_soul,675D - Дерево,GNU C++11,Accepted,170 ms,8500 KB,2016-05-31 16:16:00
17989187,May/19/2016 13:23,velly,675D - Дерево,GNU C++11,Accepted,624 ms,9200 KB,2016-05-19 13:23:00
17997387,May/20/2016 00:09,ADIEU,675D - Дерево,GNU C++11,Accepted,623 ms,8500 KB,2016-05-20 00:09:00
22495686,Nov/25/2016 21:32,Claris,675D - Дерево,GNU C++,Accepted,155 ms,3100 KB,2016-11-25 21:32:00
17957389,May/17/2016 00:38,mutreta,675D - Дерево,GNU C++11,Accepted,140 ms,8500 KB,2016-05-17 00:38:00
17978388,May/18/2016 14:10,bicat,675D - Дерево,GNU C++11,Accepted,592 ms,8300 KB,2016-05-18 14:10:00
68128213,Jan/03/2020 19:01,kogho,675D - Дерево,GNU C++11,Accepted,311 ms,6300 KB,2020-01-03 19:01:00
17961344,May/17/2016 09:33,gozzardam#,675D - Дерево,GNU C++11,Accepted,405 ms,6200 KB,2016-05-17 09:33:00
18047234,May/23/2016 21:37,wjoao,675D - Дерево,GNU C++11,Accepted,717 ms,8300 KB,2016-05-23 21:37:00
23272721,Dec/24/2016 16:44,chenrt,675D - Дерево,GNU C++,Accepted,155 ms,8700 KB,2016-12-24 16:44:00
17989159,May/19/2016 13:20,velly,675D - Дерево,GNU C++11,Accepted,748 ms,9200 KB,2016-05-19 13:20:00
17960618,May/17/2016 08:35,Kanish_The_Vista,675D - Дерево,GNU C++11,Accepted,607 ms,8300 KB,2016-05-17 08:35:00
18601769,Jun/19/2016 19:31,shubham.ghiya,675D - Дерево,GNU C++11,Accepted,763 ms,7100 KB,2016-06-19 19:31:00
19211715,Jul/18/2016 15:11,Dalie,675D - Дерево,GNU C++11,Accepted,811 ms,6300 KB,2016-07-18 15:11:00
18113167,May/27/2016 08:41,henry_colebrooke,675D - Дерево,GNU C++11,Accepted,717 ms,9300 KB,2016-05-27 08:41:00
41221052,Aug/04/2018 18:46,bringMeBack_,675D - Дерево,GNU C++17,Accepted,93 ms,3300 KB,2018-08-04 18:46:00
