25542976,Mar/16/2017 12:00,BARF,785D - Anton and School - 2,GNU C++14,Accepted,358 ms,7100 KB,2017-03-16 12:00:00
69016226,Jan/18/2020 08:21,Vishvas,785D - Anton and School - 2,GNU C++14,Accepted,280 ms,3700 KB,2020-01-18 08:21:00
27364697,May/27/2017 01:55,cephian,785D - Anton and School - 2,GNU C++11,Accepted,171 ms,3600 KB,2017-05-27 01:55:00
25535139,Mar/16/2017 02:27,lacroix,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,6700 KB,2017-03-16 02:27:00
52547506,Apr/10/2019 02:20,saku7#,785D - Anton and School - 2,Python 3,Accepted,826 ms,21400 KB,2019-04-10 02:20:00
25542965,Mar/16/2017 11:59,Aikurce,785D - Anton and School - 2,GNU C++11,Accepted,217 ms,6900 KB,2017-03-16 11:59:00
79354626,May/08/2020 10:27,vjudge2,785D - Anton and School - 2,GNU C++11,Accepted,187 ms,5900 KB,2020-05-08 10:27:00
25514526,Mar/15/2017 18:52,* wiwitrifai,785D - Anton and School - 2,GNU C++14,Accepted,483 ms,18500 KB,2017-03-15 18:52:00
60081173,Sep/05/2019 17:05,sg-61,785D - Anton and School - 2,GNU C++17,Accepted,62 ms,3600 KB,2019-09-05 17:05:00
25543162,Mar/16/2017 12:07,pr0grammer,785D - Anton and School - 2,GNU C++14,Accepted,234 ms,5200 KB,2017-03-16 12:07:00
25697208,Mar/21/2017 21:00,vipul190#,785D - Anton and School - 2,GNU C++,Accepted,140 ms,5700 KB,2017-03-21 21:00:00
25536877,Mar/16/2017 05:27,Amayoneko,785D - Anton and School - 2,GNU C++11,Accepted,140 ms,5400 KB,2017-03-16 05:27:00
25563141,Mar/17/2017 06:07,Qoogle,785D - Anton and School - 2,GNU C++14,Accepted,124 ms,5500 KB,2017-03-17 06:07:00
25823731,Mar/26/2017 19:33,4342,785D - Anton and School - 2,GNU C++14,Accepted,124 ms,5500 KB,2017-03-26 19:33:00
25559195,Mar/16/2017 22:57,stczhc,785D - Anton and School - 2,GNU C++,Accepted,217 ms,4100 KB,2017-03-16 22:57:00
25662058,Mar/20/2017 12:00,danya090699,785D - Anton and School - 2,GNU C++11,Accepted,217 ms,10300 KB,2017-03-20 12:00:00
66010957,Nov/30/2019 05:27,vjudge4,785D - Anton and School - 2,GNU C++14,Accepted,31 ms,5100 KB,2019-11-30 05:27:00
25519835,Mar/15/2017 19:21,phan_trinh,785D - Anton and School - 2,GNU C++,Accepted,139 ms,5300 KB,2017-03-15 19:21:00
73000267,Mar/12/2020 09:43,Pyqe,785D - Anton and School - 2,GNU C++11,Accepted,187 ms,6800 KB,2020-03-12 09:43:00
25640575,Mar/19/2017 11:44,vjudge5,785D - Anton and School - 2,GNU C++,Accepted,109 ms,10100 KB,2017-03-19 11:44:00
26186470,Apr/07/2017 10:48,WerKeyTom_FTD,785D - Anton and School - 2,GNU C++,Accepted,31 ms,3600 KB,2017-04-07 10:48:00
27541924,Jun/03/2017 14:06,vjudge5,785D - Anton and School - 2,GNU C++,Accepted,31 ms,3100 KB,2017-06-03 14:06:00
72242440,Mar/02/2020 14:15,Moon_human,785D - Anton and School - 2,GNU C++17,Accepted,109 ms,4900 KB,2020-03-02 14:15:00
29708746,Aug/23/2017 16:39,winter2121,785D - Anton and School - 2,GNU C++11,Accepted,249 ms,1800 KB,2017-08-23 16:39:00
27206138,May/19/2017 04:22,Svlad_Cjelli,785D - Anton and School - 2,GNU C++11,Accepted,202 ms,2100 KB,2017-05-19 04:22:00
40301444,Jul/14/2018 05:24,vjudge5,785D - Anton and School - 2,GNU C++11,Accepted,46 ms,3300 KB,2018-07-14 05:24:00
73860845,Mar/21/2020 10:15,CaiJiZXY,785D - Anton and School - 2,GNU C++11,Accepted,187 ms,6800 KB,2020-03-21 10:15:00
41661255,Aug/16/2018 21:15,15ucs069,785D - Anton and School - 2,GNU C++14,Accepted,218 ms,3600 KB,2018-08-16 21:15:00
46850438,Dec/10/2018 15:00,zzSucculentzz,785D - Anton and School - 2,GNU C++14,Accepted,202 ms,5200 KB,2018-12-10 15:00:00
44525845,Oct/19/2018 05:21,vjudge2,785D - Anton and School - 2,GNU C++11,Accepted,46 ms,16600 KB,2018-10-19 05:21:00
25542427,Mar/16/2017 11:34,a_student,785D - Anton and School - 2,GNU C++,Accepted,31 ms,3800 KB,2017-03-16 11:34:00
25587072,Mar/18/2017 04:52,dsharma080,785D - Anton and School - 2,PyPy 2,Accepted,545 ms,36500 KB,2017-03-18 04:52:00
64634075,Nov/10/2019 14:04,YuWenzhou,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,2600 KB,2019-11-10 14:04:00
41128813,Aug/02/2018 18:52,crathva,785D - Anton and School - 2,GNU C++17,Accepted,93 ms,1300 KB,2018-08-02 18:52:00
25523275,Mar/15/2017 19:44,paroothisumit95,785D - Anton and School - 2,GNU C++14,Accepted,109 ms,14100 KB,2017-03-15 19:44:00
25888333,Mar/29/2017 08:58,2015190026,785D - Anton and School - 2,GNU C++14,Accepted,93 ms,6800 KB,2017-03-29 08:58:00
25657874,Mar/20/2017 04:58,nnnnnox,785D - Anton and School - 2,GNU C++11,Accepted,109 ms,10100 KB,2017-03-20 04:58:00
40496063,Jul/18/2018 05:25,vjudge5,785D - Anton and School - 2,GNU C++,Accepted,187 ms,4700 KB,2018-07-18 05:25:00
25523767,Mar/15/2017 19:48,songyiqun,785D - Anton and School - 2,GNU C++,Accepted,46 ms,15000 KB,2017-03-15 19:48:00
65675471,Nov/24/2019 20:47,crossing0ver,785D - Anton and School - 2,GNU C++17,Accepted,202 ms,8300 KB,2019-11-24 20:47:00
61254255,Sep/25/2019 12:27,vjudge2,785D - Anton and School - 2,GNU C++17,Accepted,46 ms,6500 KB,2019-09-25 12:27:00
50890035,Mar/06/2019 15:51,vjudge1,785D - Anton and School - 2,GNU C++14,Accepted,217 ms,3300 KB,2019-03-06 15:51:00
25794326,Mar/25/2017 12:49,pkien,785D - Anton and School - 2,GNU C++11,Accepted,93 ms,6900 KB,2017-03-25 12:49:00
25807132,Mar/26/2017 00:49,Amirnasr,785D - Anton and School - 2,GNU C++14,Accepted,296 ms,6000 KB,2017-03-26 00:49:00
57730031,Jul/25/2019 11:20,WalkerV,785D - Anton and School - 2,GNU C++17,Accepted,218 ms,6800 KB,2019-07-25 11:20:00
57730227,Jul/25/2019 11:23,luogu_bot5,785D - Anton and School - 2,GNU C++11,Accepted,217 ms,6800 KB,2019-07-25 11:23:00
57980614,Jul/30/2019 12:16,runfeng1998,785D - Anton and School - 2,GNU C++14,Accepted,140 ms,6500 KB,2019-07-30 12:16:00
25537765,Mar/16/2017 06:45,szszsz,785D - Anton and School - 2,GNU C++11,Accepted,171 ms,5400 KB,2017-03-16 06:45:00
37345699,Apr/15/2018 09:44,anand,785D - Anton and School - 2,GNU C++11,Accepted,202 ms,6300 KB,2018-04-15 09:44:00
25685373,Mar/21/2017 13:09,INUA,785D - Anton and School - 2,GNU C++11,Accepted,421 ms,10400 KB,2017-03-21 13:09:00
63988276,Nov/01/2019 15:24,159,785D - Anton and School - 2,GNU C++11,Accepted,46 ms,6700 KB,2019-11-01 15:24:00
