16270300,Feb/22/2016 05:58,GentleSmile,249D - Donkey and Stars,GNU C++,Accepted,92 ms,2800 KB,2016-02-22 05:58:00
29252595,Aug/07/2017 06:54,owen_creeper,249D - Donkey and Stars,GNU C++,Accepted,124 ms,4800 KB,2017-08-07 06:54:00
8233232,Oct/15/2014 07:53,zyh,249D - Donkey and Stars,GNU C++,Accepted,154 ms,4700 KB,2014-10-15 07:53:00
72044463,Feb/28/2020 18:01,star_magic_young,249D - Donkey and Stars,GNU C++11,Accepted,156 ms,2700 KB,2020-02-28 18:01:00
3427683,Mar/31/2013 18:11,ballon#,249D - Donkey and Stars,MS C++,Accepted,93 ms,6800 KB,2013-03-31 18:11:00
17979353,May/18/2016 15:14,duyixian,249D - Donkey and Stars,GNU C++,Accepted,62 ms,4500 KB,2016-05-18 15:14:00
10373992,Mar/21/2015 08:35,neetenin,249D - Donkey and Stars,GNU C++,Accepted,156 ms,3900 KB,2015-03-21 08:35:00
2675401,Nov/29/2012 08:40,ergatis,249D - Donkey and Stars,GNU C++0x,Accepted,265 ms,8000 KB,2012-11-29 08:40:00
3670876,May/05/2013 07:02,beantan1,249D - Donkey and Stars,GNU C++,Accepted,125 ms,3500 KB,2013-05-05 07:02:00
56159842,Jun/27/2019 14:53,time_interspace,249D - Donkey and Stars,GNU C++11,Accepted,156 ms,3900 KB,2019-06-27 14:53:00
25161741,Mar/03/2017 05:53,Jin_Haonan,249D - Donkey and Stars,GNU C++,Accepted,62 ms,4800 KB,2017-03-03 05:53:00
8533493,Nov/03/2014 12:48,matthew99,249D - Donkey and Stars,GNU C++,Accepted,124 ms,6300 KB,2014-11-03 12:48:00
4324258,Aug/22/2013 17:56,yangff,249D - Donkey and Stars,GNU C++,Accepted,186 ms,4300 KB,2013-08-22 17:56:00
56541209,Jul/05/2019 08:20,Dilute,249D - Donkey and Stars,GNU C++11,Accepted,92 ms,3100 KB,2019-07-05 08:20:00
2650096,Nov/25/2012 22:35,rankalee,249D - Donkey and Stars,GNU C++,Accepted,156 ms,4800 KB,2012-11-25 22:35:00
56541714,Jul/05/2019 08:39,Dilute,249D - Donkey and Stars,GNU C++11,Accepted,92 ms,3100 KB,2019-07-05 08:39:00
2680796,Nov/30/2012 18:15,75249,249D - Donkey and Stars,GNU C++,Accepted,140 ms,3300 KB,2012-11-30 18:15:00
30856648,Sep/30/2017 09:40,RUSH_D_CAT,249D - Donkey and Stars,GNU C++14,Accepted,156 ms,4700 KB,2017-09-30 09:40:00
2757172,Dec/13/2012 12:33,c.c.#,249D - Donkey and Stars,GNU C++,Accepted,796 ms,5500 KB,2012-12-13 12:33:00
20352096,Sep/03/2016 06:34,mayuntao,249D - Donkey and Stars,GNU C++,Accepted,248 ms,7800 KB,2016-09-03 06:34:00
2673765,Nov/28/2012 19:56,Satoshi_Pikachu,249D - Donkey and Stars,GNU C++,Accepted,703 ms,2000 KB,2012-11-28 19:56:00
2928312,Jan/16/2013 05:44,cherudim,249D - Donkey and Stars,GNU C++,Accepted,78 ms,2700 KB,2013-01-16 05:44:00
71064424,Feb/14/2020 17:11,iotang,249D - Donkey and Stars,GNU C++14,Accepted,92 ms,2400 KB,2020-02-14 17:11:00
2865628,Jan/02/2013 11:44,hza,249D - Donkey and Stars,GNU C++,Accepted,375 ms,12700 KB,2013-01-02 11:44:00
38461495,May/20/2018 16:44,vjudge3,249D - Donkey and Stars,GNU C++,Accepted,124 ms,4700 KB,2018-05-20 16:44:00
38461529,May/20/2018 16:46,vjudge2,249D - Donkey and Stars,GNU C++,Accepted,122 ms,4700 KB,2018-05-20 16:46:00
8770547,Nov/21/2014 06:29,ufo,249D - Donkey and Stars,GNU C++,Accepted,218 ms,1900 KB,2014-11-21 06:29:00
8377638,Oct/24/2014 16:58,SkyDec,249D - Donkey and Stars,GNU C++,Accepted,248 ms,12500 KB,2014-10-24 16:58:00
12917715,Sep/10/2015 07:23,syc1999,249D - Donkey and Stars,GNU C++11,Accepted,218 ms,12400 KB,2015-09-10 07:23:00
71280678,Feb/17/2020 16:40,vjudge3,249D - Donkey and Stars,GNU C++17,Accepted,92 ms,2400 KB,2020-02-17 16:40:00
64887427,Nov/14/2019 16:33,Hoshi08,249D - Donkey and Stars,GNU C++17,Accepted,342 ms,15200 KB,2019-11-14 16:33:00
17280833,Apr/11/2016 19:37,mxh1999,249D - Donkey and Stars,GNU C++,Accepted,312 ms,5500 KB,2016-04-11 19:37:00
68398184,Jan/08/2020 15:02,AlexPop28,249D - Donkey and Stars,GNU C++11,Accepted,156 ms,3600 KB,2020-01-08 15:02:00
70501854,Feb/07/2020 15:23,big_tq,249D - Donkey and Stars,GNU C++11,Accepted,186 ms,3600 KB,2020-02-07 15:23:00
4403901,Sep/04/2013 08:48,I_so_sad,249D - Donkey and Stars,GNU C++,Accepted,124 ms,4500 KB,2013-09-04 08:48:00
8288556,Oct/18/2014 06:02,Aponoia,249D - Donkey and Stars,GNU C++,Accepted,278 ms,3900 KB,2014-10-18 06:02:00
8294359,Oct/18/2014 17:27,abel,249D - Donkey and Stars,GNU C++,Accepted,498 ms,4600 KB,2014-10-18 17:27:00
58570313,Aug/11/2019 12:51,Slaaava,249D - Donkey and Stars,GNU C++17,Accepted,810 ms,17500 KB,2019-08-11 12:51:00
51155372,Mar/11/2019 13:24,ruo,249D - Donkey and Stars,GNU C++17,Accepted,154 ms,3900 KB,2019-03-11 13:24:00
55605903,Jun/16/2019 02:16,aurinegro,249D - Donkey and Stars,GNU C++17,Accepted,186 ms,4700 KB,2019-06-16 02:16:00
40861218,Jul/28/2018 00:33,.__.,249D - Donkey and Stars,GNU C++17,Accepted,248 ms,5700 KB,2018-07-28 00:33:00
2771042,Dec/15/2012 23:03,alberist,249D - Donkey and Stars,GNU C++,Accepted,140 ms,5300 KB,2012-12-15 23:03:00
2856015,Dec/30/2012 11:57,wo_,249D - Donkey and Stars,GNU C++,Accepted,109 ms,5200 KB,2012-12-30 11:57:00
32052503,Nov/04/2017 15:17,sshockwave,249D - Donkey and Stars,GNU C++,Accepted,92 ms,2900 KB,2017-11-04 15:17:00
35548507,Feb/21/2018 16:20,Cmd2001,249D - Donkey and Stars,GNU C++,Accepted,156 ms,5000 KB,2018-02-21 16:20:00
25406496,Mar/11/2017 16:27,Spylft,249D - Donkey and Stars,GNU C++,Accepted,154 ms,6700 KB,2017-03-11 16:27:00
37236484,Apr/12/2018 03:19,nn020701,249D - Donkey and Stars,GNU C++11,Accepted,124 ms,7400 KB,2018-04-12 03:19:00
38461202,May/20/2018 16:33,vjudge5,249D - Donkey and Stars,GNU C++,Accepted,186 ms,13300 KB,2018-05-20 16:33:00
50620344,Mar/01/2019 03:25,xielinhan,249D - Donkey and Stars,GNU C++11,Accepted,156 ms,3900 KB,2019-03-01 03:25:00
11768110,Jun/26/2015 06:56,wmdcstdio,249D - Donkey and Stars,GNU C++,Accepted,156 ms,3900 KB,2015-06-26 06:56:00
2668120,Nov/27/2012 16:10,seen,249D - Donkey and Stars,MS C++,Accepted,281 ms,8200 KB,2012-11-27 16:10:00
38461379,May/20/2018 16:39,vjudge2,249D - Donkey and Stars,GNU C++,Accepted,156 ms,6300 KB,2018-05-20 16:39:00
38461437,May/20/2018 16:42,vjudge2,249D - Donkey and Stars,GNU C++,Accepted,154 ms,4700 KB,2018-05-20 16:42:00
18049720,May/24/2016 05:33,doubility,249D - Donkey and Stars,GNU C++11,Accepted,156 ms,9100 KB,2016-05-24 05:33:00
9611265,Jan/29/2015 09:14,___LH,249D - Donkey and Stars,GNU C++,Accepted,156 ms,6000 KB,2015-01-29 09:14:00
27835304,Jun/17/2017 03:36,Scut82,249D - Donkey and Stars,GNU C++,Accepted,154 ms,3200 KB,2017-06-17 03:36:00
